P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
ABCB1,0.019755594,0.02924843,0.0072899326,0.0187382,0.018038768,0.012933076,0.0070555257,0.0072412165,0.026250064,0.0016116936,0.0014420802,0.00061415235,0.047738653,0.017898085
ABCB10,0.059266776,0.031155936,0.056175362,0.06620831,0.07737682,0.07041341,0.091369055,0.04489554,0.056875136,0.061244357,0.096619375,0.0528171,0.06064099,0.053694252
ABCB11,0,0,0,0,0,0.00071850425,0,0,0,0,0,0,0,0
ABCB4,0.009559157,0.005722519,0.0072899326,0.0041640447,0.0023735221,0.012933076,0.0021166578,0.0014482433,0.0037500092,0,0.0014420802,0.00020471745,0.007741403,0.006562631
ABCB5,0.0038236633,0.0006358354,0,0.010826516,0,0.0071850424,0.0007055526,0,0.0031250075,0.0016116936,0.0014420802,0,0,0.0005966028
ABCB6,0.0006372772,0,0.00042881953,0,0.00094940886,0.00071850425,0.0007055526,0.0014482433,0.0006250015,0.0012087702,0,0.0008188698,0,0
ABCB7,0.13828915,0.111907035,0.112350725,0.11659326,0.13054371,0.110649645,0.070202485,0.13396251,0.10375025,0.09025484,0.15574467,0.06264354,0.11999175,0.22909547
ABCB8,0.1115235,0.08011526,0.12993233,0.10535033,0.13718958,0.085502,0.11112454,0.091239326,0.11687528,0.095895775,0.21054374,0.23849581,0.13934526,0.096649654
ABCB9,0.018481039,0.052138507,0.025300354,0.007078876,0.057439234,0.109212644,0.039510947,0.019551285,0.021250052,0.06487067,0.026678486,0.05670673,0.03354608,0.022670906
ABCC1,0.06054133,0.05150267,0.09905732,0.07370359,0.064085096,0.067539394,0.09877736,0.047792032,0.063125156,0.07655545,0.041820332,0.117098376,0.047738653,0.04653502
ABCC10,0.036962077,0.03306344,0.056175362,0.045388088,0.070730954,0.028021663,0.06173585,0.031861354,0.05875014,0.047947887,0.13050827,0.0399199,0.09676754,0.036989376
ABCC11,0.0006372772,0,0,0.00041640448,0.00094940886,0.0014370085,0,0,0,0.0004029234,0.0007210401,0.00020471745,0,0
ABCC12,0,0,0,0,0,0,0,0.0050688516,0.001250003,0.0012087702,0,0,0,0
ABCC2,0.0019118317,0.0006358354,0.00042881953,0,0.0014241133,0.00071850425,0.0003527763,0.0014482433,0.001250003,0.0028204639,0.006489361,0.0018424569,0.0038707014,0.00417622
ABCC3,0.21667424,0.091560304,0.72170335,0.31813303,0.53166896,0.2392619,1.4876575,0.41347346,0.115000285,2.2104378,0.038936168,1.09401,0.03999725,0.5148682
ABCC4,0.06563955,0.038150124,0.063894115,0.06412629,0.03322931,0.08047248,0.07619968,0.07313629,0.034375083,0.1857477,0.058404252,0.0786115,0.029675378,0.02744373
ABCC5,0.14912286,0.055953518,0.088336825,0.12533775,0.070730954,0.083346486,0.2215435,0.05648149,0.116250284,0.070511594,0.16223402,0.03357366,0.086445674,0.05309765
ABCC5-AS1,0,0.0006358354,0.00042881953,0,0.00047470443,0,0.0003527763,0,0,0,0,0.0004094349,0,0
ABCC6,0.036962077,0.021618405,0.120069474,0.030397525,0.05269219,0.031614184,0.094191276,0.07530865,0.020625051,0.20065586,0.05552009,0.03214064,0.0051609357,0.05727387
ABCC8,0,0,0,0.00083280896,0,0,0,0.0036206082,0,0.0008058468,0,0.00020471745,0,0.0011932056
ABCC9,0.06309044,0.029884266,0.003001737,0.017905394,0.003322931,0.0071850424,0.007761079,0.01303419,0.07187518,0.014908167,0.029562645,0.00061415235,0,0.002983014
ABCD1,0.06309044,0.04005763,0.08962329,0.08286449,0.087345615,0.058917344,0.06279418,0.032585476,0.05375013,0.025384175,0.092293136,0.0786115,0.042577717,0.06502971
ABCD2,0.012745544,0.012716709,0.005574654,0.0058296626,0.0052217483,0.0093405545,0.0021166578,0.00434473,0.006250015,0,0.003605201,0.00061415235,0.021933975,0.0053694253
ABCD3,0.11470989,0.062311873,0.21698269,0.12200651,0.22406049,0.102027595,0.19720195,0.136859,0.14187534,0.35940766,0.251643,0.10010683,0.11999175,0.18256047
ABCD4,0.21412514,0.14306296,0.23542194,0.13449864,0.19130588,0.13579729,0.1636882,0.17378919,0.2487506,0.21636988,0.24875887,0.10645307,0.1522476,0.16883859
ABCE1,0.2829511,0.21236902,0.2345643,0.21611391,0.28197443,0.19902568,0.20072971,0.22882244,0.20812552,0.23530728,0.21126476,0.2626525,0.26578817,0.19031629
ABCF1,0.40658283,0.32554772,0.7144134,0.4917737,0.7699706,0.26943907,0.3944039,0.29326928,0.47250116,0.40695265,1.2495626,0.18506457,0.36513618,0.27503392
ABCF2,0.13255365,0.09664698,0.18439241,0.16156493,0.19842644,0.12933075,0.19296864,0.1035494,0.120000295,0.15633428,0.179539,0.29295066,0.21933974,0.18196386
ABCF3,0.087944254,0.07312107,0.10163023,0.09868786,0.096365005,0.07903546,0.11676895,0.083998114,0.1218753,0.08783731,0.19251773,0.038896315,0.13676478,0.11037152
ABCG1,0.30079484,0.2155482,0.28387854,0.5409094,0.38118765,0.3412895,0.3210264,0.6647437,0.3250008,0.16600445,0.043262407,0.022518918,0.13031362,0.23446491
ABCG2,0.022941979,0.011445038,0.0072899326,0.07203797,0.026583448,0.07185042,0.020108247,0.08617047,0.040000096,0.011281855,0.006489361,0.00061415235,0.014192573,0.016108276
ABCG4,0.0006372772,0,0,0,0.0014241133,0,0,0,0.0006250015,0,0.0014420802,0,0.0012902339,0
ABCG5,0,0.0006358354,0,0,0,0,0,0,0,0.004029234,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0.00892188,0.009537531,0.008576391,0.0058296626,0.0047470443,0.00502953,0.005291644,0.0050688516,0.0006250015,0.004835081,0.0021631205,0.0012283047,0.009031637,0.0023864112
ABHD10,0.06755138,0.052138507,0.05789064,0.07245438,0.079750344,0.071131915,0.06596917,0.083998114,0.05375013,0.07131744,0.10743498,0.0562973,0.05677029,0.059063677
ABHD11,0.094954304,0.06485521,0.46998623,0.08328089,0.3009626,0.09627956,0.55597544,0.13975549,0.17375043,0.29655164,0.30283687,0.81211406,0.11870151,0.24043095
ABHD11-AS1,0.013382821,0.0063583544,0.24056777,0.012492133,0.38308647,0.011496068,0.19367419,0.031861354,0.16625041,0.23933652,0.07570922,0.6735204,0.038707018,0.08710401
ABHD12,0.39065093,0.27213758,0.43310773,0.4942721,0.6394269,0.42032498,0.687561,0.40840462,0.6187515,0.47947887,1.8992198,0.6698355,0.36384594,0.3197791
ABHD12B,0.0006372772,0,0.0034305563,0.00083280896,0.0028482266,0,0.0014111052,0.009413581,0.017500043,0.0008058468,0.0021631205,0.0063462406,0.0012902339,0.0035796168
ABHD13,0.16378024,0.15323634,0.17410073,0.13574786,0.15475364,0.14082682,0.14393273,0.14554846,0.14625035,0.13497935,0.17377068,0.13818428,0.22321047,0.15094051
ABHD14A,0.32437408,0.31410268,0.29331258,0.28107303,0.2245352,0.24141742,0.29386264,0.37002617,0.418751,0.31589195,0.31293145,0.16582114,0.27740026,0.27264747
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,0.662131,0.65045965,0.3572067,0.47345188,0.3327678,0.49289387,0.5386894,0.66184723,0.44437608,0.48391104,0.25308508,0.6792525,0.5818955,0.43194047
ABHD15,0.087944254,0.0699419,0.090052105,0.08244809,0.062186282,0.053887814,0.08643019,0.05213676,0.07812519,0.084211,0.06417257,0.050974645,0.061931223,0.06145009
ABHD15-AS1,0,0.0006358354,0,0,0,0,0,0,0,0,0,0,0.0012902339,0
ABHD16A,0.012745544,0.008901696,0.0051458348,0.011659325,0.0071205664,0.012214572,0.013758276,0.018103043,0.011875029,0.009670162,0.012257683,0.0036849137,0.019353509,0.016108276
ABHD16B,0,0,0,0,0.00047470443,0,0,0,0,0,0,0.00020471745,0,0
ABHD17A,0.41486746,0.2765884,0.34091154,0.36893433,0.41251814,0.28237215,0.33901802,0.25199434,0.410001,0.37109247,0.34898344,0.44792178,0.43738928,0.28278974
ABHD17B,0.0892188,0.071213566,0.07118405,0.05871303,0.05791394,0.06394687,0.053974774,0.09196345,0.106875256,0.094687,0.0915721,0.0669426,0.13934526,0.048921432
ABHD17C,0.052894007,0.024797583,0.21012159,0.09535663,0.101586744,0.050295293,0.16897984,0.099204674,0.07500018,0.48753732,0.10382978,0.2878327,0.047738653,0.08352439
ABHD18,0.080296926,0.05277434,0.07204168,0.045388088,0.060762167,0.04382876,0.049035903,0.06444683,0.039375097,0.07091452,0.056241132,0.0915087,0.06838239,0.047728226
ABHD2,0.44099584,0.17103973,0.42238727,0.36810154,0.39352995,0.24860246,0.51434785,0.48371327,0.5850014,0.6644207,0.6691253,0.8553095,0.3264292,0.40628654
ABHD3,0.19054587,0.20155983,0.1423681,0.22194359,0.1936794,0.22776583,0.20672691,0.2172365,0.2012505,0.06728821,0.125461,0.17175792,0.38319945,0.13900846
ABHD4,0.037599355,0.032427605,0.05574654,0.040807642,0.052217487,0.03089568,0.054680325,0.05575737,0.053125132,0.09791039,0.0807565,0.045242555,0.04386795,0.03340976
ABHD5,0.25108722,0.20601068,0.37821886,0.3701836,0.32802075,0.23279536,0.23318513,1.083286,0.32812577,0.25505054,0.17377068,0.40882075,0.20385695,0.2738407
ABHD6,0.052894007,0.031791773,0.04717015,0.065791905,0.04082458,0.033769697,0.039158165,0.050688516,0.039375097,0.021757865,0.013699763,0.054045405,0.046448417,0.049518034
ABHD8,0.13319093,0.09791865,0.1535174,0.124921344,0.15332954,0.09987208,0.08889963,0.15568615,0.1218753,0.099522084,0.1903546,0.10931911,0.09031637,0.106791906
ABI1,0.45119226,0.33127028,0.35634905,0.4455528,0.41489166,0.45337617,0.45860916,0.5105058,0.43250105,0.32112995,0.4290189,0.29458842,0.7096286,0.42597443
ABI2,0.31099126,0.13924795,0.3529185,0.19779213,0.15332954,0.12861225,0.28080994,0.2136159,0.30562577,0.30581886,0.4023404,0.42745003,0.23740302,0.20105515
