P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
C1QA,7.1177487,4.021659,9.377855,21.958258,20.469255,7.263359,6.657947,30.264666,7.6962686,3.3438613,3.1170566,0.15640414,4.115846,8.618525
C1QB,5.8935394,3.4869215,7.503056,20.206442,22.717932,7.343831,6.993085,22.431116,7.9487696,3.2427275,3.7623875,0.16336451,6.092484,9.454365
C1QBP,0.8361077,0.8030602,0.82419115,1.0772383,0.9740935,1.1424217,0.8787657,1.1079061,0.84000206,0.47504672,1.8624468,0.8538765,1.1444374,0.8316644
C1QC,4.0065618,2.3277936,5.1059546,7.1038604,8.294036,3.348948,3.1873338,12.411445,3.9593847,1.5331236,1.8884043,0.092122845,2.48241,5.843128
C1QL1,0.0006372772,0,0.04845661,0.00041640448,0.005696453,0.00071850425,0.0014111052,0,0.0043750107,0.0016116936,0.0007210401,0.0010235872,0,0.00417622
C1QL2,0,0.0069941897,0.0021440978,0,0,0.00071850425,0,0,0.0056250137,0,0.017304964,0.0032754792,0,0
C1QL3,0,0,0,0,0,0,0,0,0,0,0.0007210401,0.00020471745,0,0
C1QL4,0,0,0,0.00041640448,0.00047470443,0,0,0,0,0.0004029234,0.0014420802,0,0,0
C1QTNF1,0.04715851,0.031155936,0.03173265,0.021653032,0.0028482266,0.0071850424,0.013758276,0.005792973,0.09062522,0.009670162,0.0007210401,0.06776147,0,0.0638365
C1QTNF1-AS1,0.0012745544,0,0.0012864587,0,0,0,0.0010583289,0,0.0006250015,0,0,0.008393415,0,0
C1QTNF2,0.16123113,0.029884266,0.065609396,0.011242921,0.00094940886,0.0035925212,0.0028222103,0.00868946,0.056875136,0.0044321576,0,0.01044059,0,0.031023346
C1QTNF3,0.23069435,0.02225424,0.054031264,0.019987416,0.014241133,0.007903546,0.017638814,0.011585946,0.07500018,0.018534478,0.036052007,0.01924344,0.0064511695,0.041165594
C1QTNF3-AMACR,0,0,0,0,0,0,0,0,0,0,0.0007210401,0.00020471745,0,0
C1QTNF4,0.048433065,0.0063583544,0.011578128,0.0037476402,0.00094940886,0.0021555126,0.0017638814,0.0036206082,0.040000096,0.0024175404,0.0021631205,0.0016377396,0,0.006562631
C1QTNF5,0.0012745544,0,0,0,0,0.00071850425,0,0.00072412164,0.0006250015,0,0,0,0,0.0005966028
C1QTNF6,0.03823663,0.01526005,0.084048636,0.01207573,0.029431675,0.015088589,0.027163774,0.012310069,0.13312532,0.021757865,0.24875887,0.028046291,0.019353509,0.032813154
C1QTNF7,0.15804476,0.04705182,0.0042881956,0.020403821,0.00047470443,0.004311025,0.0007055526,0.016654799,0.046250112,0.0024175404,0.0007210401,0.00020471745,0,0.002983014
C1QTNF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF9,0,0,0,0.00041640448,0.0014241133,0.0021555126,0.0003527763,0.00072412164,0,0.0024175404,0,0,0,0.0005966028
C1QTNF9B,0,0,0.00042881953,0,0,0,0,0,0.001250003,0.0004029234,0,0,0,0
PCOTH,0.015294653,0.00826586,0.0098628495,0.013324943,0.00854468,0.0014370085,0.017638814,0.012310069,0.015000037,0.040292345,0.020189125,0.03848688,0.0025804678,0.008949042
C1R,2.4312124,1.7479116,0.8181877,0.3622719,0.27058154,0.3218899,0.6706277,0.44461071,3.5543835,0.3702866,0.026678486,0.8385227,0.0012902339,0.87223333
C1RL,0.17716305,0.09410364,0.13936636,0.12700336,0.12199904,0.06682089,0.1636882,0.136859,0.1593754,0.20226757,0.13627659,0.16336451,0.06064099,0.11454774
C1RL-AS1,0.059904054,0.04450848,0.0437396,0.01957101,0.025159333,0.02011812,0.034924854,0.032585476,0.021250052,0.04109819,0.038936168,0.061005797,0.032255847,0.05488746
C1S,3.0748625,1.9647315,0.5921998,0.39516786,0.23260516,0.3262009,0.5214034,0.5083334,3.9862597,0.27882302,0.04254137,0.62868726,0.011612104,1.4867343
C1orf100,0,0,0,0,0,0,0,0,0.0006250015,0,0,0,0,0
CATSPERE,0.0050982176,0.0025433416,0.0042881956,0.0037476402,0.0018988177,0.0035925212,0.0063499734,0.0050688516,0.011875029,0.0056409277,0.013699763,0.0067556757,0.0025804678,0.005966028
C1orf105,0,0.0006358354,0.0021440978,0,0.00047470443,0,0.0014111052,0,0,0,0.0007210401,0.0024566094,0,0
INAVA,0.027402919,0.019710898,0.20969278,0.028315503,0.09446618,0.025866153,0.16086598,0.105721764,0.061250146,0.16761614,0.49751773,0.4143481,0.032255847,0.16287257
C1orf109,0.07519871,0.059132695,0.07204168,0.04372247,0.056015123,0.033769697,0.07090803,0.031861354,0.06250016,0.079375915,0.17377068,0.115665354,0.123862445,0.057870474
SPATA46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf112,0.012745544,0.010173366,0.033019107,0.019154606,0.02895697,0.014370085,0.016933262,0.021723649,0.019375047,0.021757865,0.059846334,0.023133071,0.027094912,0.01670488
C1orf115,0.024853809,0.01653172,0.030875009,0.041640446,0.0023735221,0.014370085,0.0074083023,0.03910257,0.043125104,0.05318589,0.051193852,0.019038722,0.024514442,0.013125262
C1orf116,0.084120594,0.031155936,0.14794275,0.19446088,0.4813503,0.1013091,0.67274445,0.434473,0.1675004,0.6527359,0.65686756,0.6610326,0.018063273,0.1915095
C1orf122,0.5786477,0.37577873,1.2114152,0.61711144,1.4184167,0.5065455,1.5381047,0.654606,0.9331273,0.88280517,1.3425767,2.209925,0.5728638,0.8614945
CZIB,0.4441822,0.26132837,0.4429706,0.39849907,0.31330493,0.25363198,0.29668486,0.38233626,0.3256258,0.27761424,0.50689125,0.14268807,0.36126548,0.3185859
C1orf127,0.0050982176,0,0.0017152781,0.0029148313,0.0023735221,0.0021555126,0.0007055526,0.005792973,0.0031250075,0.002014617,0.0007210401,0.00061415235,0.0025804678,0.0077558365
C1orf131,0.18353583,0.15832302,0.22813201,0.18363437,0.19415411,0.14729336,0.2875127,0.15496203,0.14687535,0.16197522,0.35619384,0.12856255,0.27481982,0.13900846
MIR29B2CHG,0.15677018,0.10872786,0.06303647,0.121173695,0.0968397,0.12070871,0.08643019,0.1774098,0.07625019,0.20790848,0.043983452,0.10706723,0.06967263,0.0847176
C1orf137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02817,0.0025491088,0,0,0,0,0,0,0,0,0,0.0007210401,0.00020471745,0,0
C1orf141,0.0019118317,0.0006358354,0.003859376,0,0,0,0.0003527763,0.00434473,0.0018750046,0.0004029234,0.0007210401,0.005527371,0.0012902339,0.005966028
C1orf143,0.0012745544,0.0031791772,0.0021440978,0.0012492135,0.0014241133,0.002874017,0.0010583289,0.002172365,0.006250015,0.0004029234,0.0007210401,0,0,0.0005966028
OBSCN-AS1,0.0025491088,0.0031791772,0.0068611125,0.0033312358,0.0014241133,0,0.0007055526,0.00072412164,0.006250015,0.0012087702,0.0028841605,0.0016377396,0.0051609357,0.0011932056
C1orf147,0,0,0,0,0,0,0,0,0.0006250015,0,0,0,0,0.0011932056
C1orf158,0.007010049,0,0.0042881956,0.013324943,0,0.0035925212,0.0003527763,0.013758312,0.009375023,0.0008058468,0.0014420802,0.009826438,0.0051609357,0.0047728224
C1orf159,0.046521235,0.020346733,0.071612865,0.035810787,0.05791394,0.025866153,0.04586092,0.037654325,0.055625137,0.05076835,0.112482265,0.18178909,0.08128473,0.039972387
C1orf162,1.4230399,0.54236764,1.2517244,2.993948,1.9510353,1.8831996,1.0417484,3.8870852,0.7862519,0.41501114,0.3287943,0.04728973,1.8721293,0.97484905
C1orf167,0.051619455,0.019075062,0.043310773,0.011242921,0.018988177,0.023710638,0.02293046,0.3135447,0.056250136,0.070511594,0.11825058,0.08352472,0.0064511695,0.060256884
FYB2,0.009559157,0.0006358354,0.008147571,0.005413258,0,0,0.0021166578,0.023896016,0.00812502,0.011684779,0.003605201,0.0059368056,0.0012902339,0.010738851
C1orf174,0.1867222,0.12716709,0.15180212,0.14490876,0.17516594,0.15016738,0.15874934,0.15568615,0.12375031,0.08139053,0.27904254,0.21372502,0.30578545,0.13602544
C1orf185,0,0,0,0,0,0.00071850425,0,0,0,0,0,0,0,0
RHEX,0.030589307,0.041329302,0.003859376,0.028731909,0.02041229,0.07903546,0.013405499,0.049240276,0.020000048,0.010878933,0.0021631205,0.037258573,0.015482806,0.0077558365
C1orf189,0,0,0.00085763907,0.0012492135,0,0,0,0.0014482433,0.0018750046,0,0.003605201,0.0008188698,0.0025804678,0.0011932056
C1orf194,0.091130644,0.0025433416,0.06432293,0.028731909,0.00047470443,0.026584655,0.032102644,0.17668568,0.09937524,0.010476009,0.058404252,0.13122387,0.08257497,0.09426325
C1orf195,0,0,0.00042881953,0.00041640448,0,0,0,0,0,0,0.0007210401,0,0,0
C1orf198,0.12490633,0.059132695,0.37178656,0.121173695,0.11962551,0.08262798,0.2603489,0.38885334,0.12250029,0.25545344,1.2445153,0.09539833,0.077414036,0.1061953
SNHG28,0.0076473267,0.0031791772,0.015008684,0.005413258,0.003322931,0.0021555126,0.0021166578,0.005792973,0.0075000185,0.010073086,0.016583925,0.0061415234,0.0025804678,0.0023864112
C1orf21,0.29378477,0.18629979,0.23842368,0.25900358,0.18038769,0.16741148,0.098071806,0.38233626,0.2875007,0.36746615,0.025236407,0.30769032,0.5199642,0.0847176
C1orf210,0.019755594,0.015895886,0.123071216,0.03372876,0.09161796,0.040954743,0.15134102,0.06951568,0.043750107,0.26351193,0.33239952,0.19775705,0.051609356,0.041165594
C1orf216,0.06818866,0.04705182,0.04759897,0.07037236,0.050793372,0.051013798,0.046213694,0.045619663,0.07125017,0.036666032,0.07282505,0.030502899,0.065801926,0.05071124
C1orf220,0.0012745544,0.0031791772,0.0012864587,0.00041640448,0.0047470443,0.0014370085,0.0021166578,0,0.001250003,0.0004029234,0.0021631205,0.00020471745,0.0012902339,0.0011932056
C1orf226,0.006372772,0.0006358354,0.049743067,0.026649887,0.07168037,0.016525596,0.044097036,0.0072412165,0.021875054,0.079375915,0.004326241,0.068785064,0,0.005966028
ARMH1,0.073286876,0.09346781,0.051458348,0.17405708,0.11677729,0.09915358,0.036335956,0.15351379,0.047500115,0.015714012,0.057683215,0.02395194,0.13160385,0.07636516
C1orf229,0.0019118317,0.0031791772,0.004717015,0.0020820224,0.00047470443,0.00071850425,0.0049388683,0.002172365,0.0006250015,0,0.007931442,0.00061415235,0,0.0047728224
FNDC10,0.026765643,0.013352544,0.07461461,0.033312358,0.045571625,0.02227363,0.040216494,0.058653854,0.019375047,0.05802097,0.026678486,0.022314202,0.019353509,0.038779184
TEX46,0,0.0012716708,0,0,0,0,0,0.00072412164,0.0006250015,0,0,0.00061415235,0,0
ODR4,0.14848559,0.10936369,0.22212853,0.14449236,0.17374183,0.07328743,0.1534577,0.18465102,0.15125036,0.22483127,0.19612293,0.24402319,0.10708941,0.09426325
C1orf35,0.28868657,0.23017243,0.58705395,0.33312356,0.4419498,0.23495087,0.9179239,0.37075028,0.34000084,0.42790467,0.63884157,0.4634803,0.35223383,0.34841603
C1orf43,0.9865051,0.7604591,1.5201654,1.4291,1.2641379,1.1603843,1.8728894,1.5583099,1.1262528,1.4960546,1.8473049,2.2048068,1.1779835,1.2630081
C1orf50,0.14275008,0.11572205,0.22641672,0.16864382,0.24494748,0.12789375,0.208138,0.18320277,0.13500033,0.17768924,0.29346335,0.24033828,0.18708391,0.16525899
C1orf52,0.29697117,0.2422533,0.28559384,0.23568493,0.2691574,0.21124025,0.25364617,0.23533954,0.25000063,0.2671382,0.7880969,0.1443258,0.41416508,0.22611248
C1orf53,0.059904054,0.042600974,0.22898965,0.24234739,0.107283205,0.11208665,0.21378244,0.17089272,0.15750039,0.14263488,0.22424349,0.20103252,0.07870426,0.14915071
C1orf54,0.53722465,0.3249119,0.4228161,0.45304805,0.46568504,0.27087608,0.1516938,0.30340698,0.34375083,0.05802097,0.09301418,0.02088118,0.0799945,0.252363
C1orf56,0.40021008,0.27913174,0.16166498,0.17488988,0.17896357,0.29889774,0.5079979,0.2766145,0.2518756,0.19340324,0.24875887,0.370948,0.93025863,0.26071545
C1orf61,0.007010049,0.019710898,0.004717015,0.0058296626,0.0028482266,0.006466538,0.0017638814,0.0036206082,0.0075000185,0.0056409277,0.0014420802,0.06960393,0.01677304,0.0077558365
SRARP,0,0,0,0,0,0,0,0,0,0.0028204639,0,0.00020471745,0,0
C1orf74,0.009559157,0.00826586,0.032161467,0.009993708,0.010918202,0.0071850424,0.015874933,0.005792973,0.0037500092,0.020549094,0.022352245,0.01842457,0.010321871,0.009545645
C1orf87,0.0025491088,0,0.0012864587,0.0020820224,0,0.00071850425,0.0024694342,0.016654799,0.0075000185,0,0.0021631205,0.004708501,0.0038707014,0.006562631
C1orf94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STUM,0.0019118317,0.0025433416,0.0012864587,0.00041640448,0,0.00071850425,0.0003527763,0.00072412164,0.0018750046,0,0,0,0.0012902339,0.0011932056
C2,0.20647782,0.19138646,0.15909205,0.65666986,0.7376906,0.26943907,0.37747064,0.94425464,0.47875118,0.17486876,0.10382978,0.057525605,0.086445674,0.6914627
C2-AS1,0.0006372772,0,0.00085763907,0,0.00094940886,0,0.0003527763,0.00072412164,0,0.0028204639,0.0028841605,0,0,0
C20orf141,0,0,0.006003474,0,0.00094940886,0,0.0003527763,0,0.002500006,0,0,0,0.0025804678,0.0047728224
C20orf144,0.0019118317,0.0006358354,0.0021440978,0.0016656179,0.00047470443,0.0035925212,0.0014111052,0.0014482433,0.001250003,0.0032233873,0.005768321,0.0010235872,0.0038707014,0.0005966028
MIR1-1HG-AS1,0.0025491088,0.0006358354,0.00042881953,0.00041640448,0.00047470443,0,0,0,0.0006250015,0,0,0.00020471745,0,0
C20orf194,0.17142756,0.068034396,0.104631975,0.15157123,0.108707316,0.067539394,0.0818441,0.11079062,0.11750028,0.083002225,0.08003546,0.02640855,0.073543325,0.06741612
FNDC11,0.003186386,0.005086683,0.021012159,0.0033312358,0.0018988177,0.0035925212,0.017638814,0.007965338,0.002500006,0.008461392,0.012978722,0.02722742,0.0051609357,0.0035796168
SHLD1,0.09622885,0.10554868,0.1097778,0.14282674,0.11725199,0.18034457,0.18273811,0.18609926,0.11437528,0.06003559,0.07643026,0.06612373,0.09031637,0.06801272
C20orf197,0.0050982176,0.0012716708,0.00900521,0.0016656179,0.00047470443,0.0014370085,0.0017638814,0.002172365,0.0056250137,0.002014617,0.0014420802,0.020471744,0.0064511695,0.0005966028
C20orf202,0.0006372772,0.0006358354,0.00042881953,0,0.00047470443,0.00071850425,0.0010583289,0.0014482433,0,0.0004029234,0.0007210401,0.00020471745,0.0038707014,0.0005966028
C20orf203,0.0006372772,0,0.00042881953,0.00041640448,0,0.0014370085,0,0,0.002500006,0.0028204639,0,0.00061415235,0,0.0005966028
RAB5IF,0.72904515,0.62311876,1.2834569,1.0893141,1.0666609,1.1381106,1.7607065,1.2324551,1.0312525,1.2490627,0.9164421,2.890201,1.5095736,1.2164732
C20orf27,0.55379385,0.29184845,0.5874828,0.73245543,0.50223726,0.35422257,0.79233557,0.9724954,0.5200013,0.41904038,0.34393615,0.6618515,0.48899862,0.43253705
C20orf85,0.10769984,0.0019075063,0.06689585,0.02331865,0,0.017962605,0.04339148,0.297614,0.24250059,0.013296473,0.10022458,0.28435254,0.09676754,0.1676454
C20orf96,0.06500227,0.0305201,0.11363718,0.056214605,0.02895697,0.038080722,0.117121726,0.07386041,0.07562518,0.05076835,0.33456266,0.080453955,0.03354608,0.06145009
CFAP410,0.2236843,0.2263574,0.21440977,0.24734426,0.22833283,0.22776583,0.31044313,0.23244305,0.25437564,0.24699205,0.45786053,0.2745261,0.19224484,0.23804452
GATD3A,0.00446094,0.005722519,0.0025729174,0.002498427,0.014715837,0.27734262,0.0042333156,0.28023508,0.0037500092,0.0052380045,0.006489361,0.0032754792,0.0064511695,0.12886621
C21orf58,0.045883957,0.01526005,0.11878302,0.056214605,0.028007561,0.02874017,0.039510947,0.047792032,0.034375083,0.023772482,0.11897163,0.102358714,0.034836315,0.028636934
CFAP298,0.29824573,0.23017243,0.51672757,0.3626883,0.33751482,0.26153553,0.53339773,0.35699198,0.27562568,0.38479185,0.49823877,0.60145986,0.2825612,0.32097232
C21orf62,0.012745544,0.005086683,0.0021440978,0.0033312358,0.005696453,0.007903546,0.0042333156,0.0028964865,0.0043750107,0.004029234,0.004326241,0.0014330222,0.023224209,0.0053694253
C21orf62-AS1,0.018481039,0.011445038,0.015437504,0.0058296626,0.0071205664,0.00862205,0.0035277628,0.012310069,0.0068750167,0.013699396,0.006489361,0.01207833,0.007741403,0.0035796168
C21orf91,0.1312791,0.116357885,0.13336289,0.09494022,0.14193663,0.074724436,0.07796356,0.091239326,0.060625147,0.06003559,0.07498817,0.03684914,0.18192297,0.11514435
C21orf91-OT1,0.0006372772,0.0006358354,0,0,0,0,0.0003527763,0,0,0.0008058468,0,0,0,0
C22orf15,0.010833712,0.0019075063,0.0064322934,0.0020820224,0,0.004311025,0.0070555257,0.023896016,0.021250052,0.0004029234,0.010815602,0.020471744,0.010321871,0.025653921
C22orf23,0.0076473267,0.0019075063,0.006003474,0.0029148313,0,0.0014370085,0.0038805394,0.012310069,0.00812502,0.0044321576,0.014420804,0.0030707617,0.0051609357,0.0035796168
RTL10,0.051619455,0.031155936,0.06217884,0.03997483,0.058388647,0.051732305,0.0938385,0.03403372,0.073125176,0.1273238,0.57539004,0.07676904,0.13676478,0.04653502
C22orf31,0.00446094,0.0031791772,0.00085763907,0.00083280896,0,0,0.0056444206,0.00072412164,0.0037500092,0.002014617,0.010094563,0,0,0.0005966028
C22orf34,0.021667425,0.008901696,0.005574654,0.014157752,0.009019384,0.016525596,0.0059971972,0.010137703,0.008750021,0.0016116936,0.007931442,0,0.018063273,0.00417622
C22orf39,0.25491086,0.25242668,0.2611511,0.27565977,0.23497869,0.27734262,0.49917847,0.29254517,0.35250086,0.389224,0.6921985,0.19079666,0.45416233,0.19986196
C22orf42,0,0,0,0,0,0,0,0,0.0006250015,0,0,0,0.0012902339,0
C22orf46,0.07711054,0.07312107,0.04888543,0.042473257,0.031805195,0.038799226,0.036688734,0.038378447,0.03750009,0.04230696,0.0987825,0.024361376,0.12644292,0.041165594
C2CD2,0.052894007,0.038150124,0.107204884,0.05413258,0.07215507,0.025866153,0.14287439,0.036206085,0.050625123,0.14344074,0.13483451,0.1830174,0.034836315,0.08949042
C2CD2L,0.06563955,0.036878455,0.0767587,0.080782466,0.07262978,0.053887814,0.07478857,0.058653854,0.04937512,0.05197712,0.057683215,0.07431243,0.074833564,0.06085349
C2CD3,0.057992224,0.035606783,0.065609396,0.04830292,0.06788273,0.0344882,0.0744358,0.026792502,0.04937512,0.04351573,0.0843617,0.06243882,0.083865196,0.04474521
C2CD4A,0.0038236633,0.0019075063,0.019725699,0.0066624717,0.10348556,0.002874017,0.022224907,0.016654799,0.0031250075,0.041904036,0.0021631205,0.02395194,0.027094912,0.04414861
C2CD4B,0.010833712,0.005086683,0.046741333,0.029981121,0.031805195,0.005748034,0.015522158,0.046343785,0.07625019,0.015311089,0.0028841605,0.0030707617,0,0.011932056
C2CD4C,0,0,0.008576391,0.0037476402,0.0104434965,0,0.0010583289,0,0.0006250015,0.006849698,0,0.039510466,0,0.0023864112
C2CD4D,0.011470989,0.014624215,0.015437504,0.004996854,0.009019384,0.0071850424,0.009877737,0.010861824,0.009375023,0.018131554,0.008652482,0.008598133,0.0064511695,0.0053694253
C2CD5,0.061815884,0.031155936,0.035592023,0.050384942,0.044622216,0.04957679,0.067027494,0.052860882,0.04937512,0.05882682,0.05912529,0.03603027,0.06967263,0.04653502
C2orf15,0.008284603,0.009537531,0.04631251,0.009993708,0.00854468,0.004311025,0.035277627,0.011585946,0.01562504,0.027398791,0.072104014,0.086800195,0.024514442,0.021477701
C2orf16,0,0,0,0,0.00047470443,0,0,0,0,0,0.0007210401,0,0,0.0005966028
C2orf27B,0.008284603,0.00826586,0.022298615,0.004996854,0.0028482266,0.004311025,0.0042333156,0.0014482433,0.008750021,0.0024175404,0.005768321,0.01044059,0.0064511695,0.0035796168
ECRG4,0.26192093,0.043872647,0.033447925,0.06121146,0.0014241133,0.015088589,0.02469434,0.1303419,0.15562539,0.012893549,0.023073284,0.063052975,0.027094912,0.041762196
C2orf42,0.03441297,0.036878455,0.032590285,0.031230336,0.02563404,0.03089568,0.024341565,0.02606838,0.055625137,0.019743247,0.023073284,0.046880294,0.049028885,0.05071124
WDCP,0.008284603,0.008901696,0.017152783,0.009160899,0.01281702,0.0035925212,0.0119943945,0.005792973,0.010625026,0.016116936,0.015141843,0.014739655,0.018063273,0.019687893
C2orf49,0.11470989,0.099826165,0.14708512,0.114927635,0.11487847,0.07041341,0.10583289,0.08979108,0.10437526,0.10435717,0.15286052,0.117303096,0.15740852,0.106791906
C2orf50,0.0050982176,0.0012716708,0.008147571,0.0016656179,0,0.00071850425,0.010230512,0.0036206082,0.0031250075,0.0016116936,0.006489361,0.005527371,0.012902339,0.0035796168
MAB21L4,0.007010049,0.008901696,0.044168413,0.0062460667,0.014241133,0.0021555126,0.07337747,0.018103043,0.23812558,0.013296473,0.31004724,0.10072098,0.030965611,0.15571333
STPG4,0.0006372772,0,0,0,0,0,0,0,0.008750021,0.0012087702,0.018747043,0,0,0.0011932056
C2orf66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf68,0.14848559,0.095375314,0.19554172,0.12450494,0.14241132,0.12789375,0.31044313,0.123824805,0.10437526,0.17930092,0.46795508,0.16295509,0.23869327,0.10321229
C2orf69,0.16186841,0.16023052,0.13293406,0.1857164,0.14051251,0.14082682,0.15134102,0.17958216,0.12875031,0.09025484,0.33888885,0.12528709,0.22062999,0.096649654
FAM166C,0.0012745544,0.0012716708,0.0025729174,0.011659325,0,0.00071850425,0.0007055526,0.006517095,0.002500006,0.0008058468,0,0.0042990665,0.0012902339,0.0047728224
PCARE,0.0006372772,0,0,0.0037476402,0.00047470443,0.00071850425,0,0.0014482433,0.001250003,0,0,0,0.0025804678,0
C2orf72,0,0,0.003001737,0.0029148313,0,0,0,0.00072412164,0.0006250015,0.0024175404,0.0014420802,0.00020471745,0.007741403,0.0047728224
C2orf73,0.00446094,0.0006358354,0.00900521,0.0033312358,0,0.00071850425,0.0017638814,0.0072412165,0.011875029,0.0032233873,0.004326241,0.012897199,0.0064511695,0.0047728224
C2orf74,0.1593193,0.1615022,0.4429706,0.27940738,0.10301086,0.25363198,0.208138,0.17378919,0.13375033,0.055603433,0.1543026,0.2913129,0.19095461,0.113354534
C2orf76,0.14976014,0.10682035,0.1204983,0.12242292,0.05506571,0.13867131,0.10794955,0.14410022,0.16500041,0.073734984,0.39801416,0.17360039,0.17418157,0.1270764
C2orf78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf80,0,0,0.00042881953,0.0016656179,0.0014241133,0.00071850425,0.0007055526,0.002172365,0.0006250015,0,0,0.00020471745,0.0025804678,0.0011932056
C2orf81,0.03568752,0.025433417,0.054460082,0.021653032,0.018988177,0.013651581,0.020813802,0.025344258,0.043750107,0.02256371,0.021631204,0.049336903,0.020643743,0.01670488
SNORC,0.0019118317,0.0006358354,0.021012159,0.0029148313,0.00854468,0.0014370085,0.017286038,0.0028964865,0.028125068,0.011281855,0.0014420802,0.020062309,0.042577717,0.03579617
C2orf83,0,0,0,0,0,0,0.0003527763,0,0,0,0,0,0,0
C2orf88,0.008284603,0.04832349,0.004717015,0.007911685,0.0018988177,0.06394687,0.021872131,0.012310069,0.021875054,0.0016116936,0.041099288,0.002251892,0.009031637,0.009545645
C2orf91,0.0019118317,0.0012716708,0.0102916695,0.0045804493,0.00427234,0.0021555126,0.0035277628,0.007965338,0.0018750046,0.0012087702,0,0.009007568,0,0.0005966028
C3,2.4834692,1.5609759,1.1771097,0.46095973,0.5739176,0.21267724,1.3380805,0.7074669,3.7606342,1.3828331,0.19251773,4.210833,0.037416782,1.1812736
C3AR1,0.30270666,0.14051963,0.25300354,0.31022134,0.22168697,0.2931497,0.122413374,0.28168333,0.16625041,0.057618048,0.09589834,0.0026613267,0.19740577,0.28040332
C3orf14,0.17079028,0.112542875,0.4296772,0.27399415,0.22833283,0.17531504,0.7171942,0.29254517,0.18437546,0.3904328,0.6128841,0.48395202,0.123862445,0.2100042
NEPRO,0.16186841,0.11762955,0.1423681,0.11534404,0.14098722,0.093405545,0.12735224,0.1035494,0.121250294,0.12329457,0.21486996,0.12815312,0.1754718,0.12886621
C3orf18,0.026128365,0.01653172,0.0218698,0.02415146,0.009019384,0.010777564,0.018344367,0.02244777,0.02437506,0.012893549,0.010815602,0.03766801,0.019353509,0.016108276
C3orf20,0,0,0,0,0,0.0014370085,0,0,0,0,0,0,0,0.0005966028
C3orf22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX55,0,0,0,0,0,0,0,0,0,0,0.0007210401,0,0,0.0005966028
C3orf33,0.026765643,0.017803391,0.024013896,0.0278991,0.032754607,0.017962605,0.04198038,0.02606838,0.023125056,0.06003559,0.114645384,0.037258573,0.03354608,0.026847126
C3orf35,0.0025491088,0.0025433416,0.0064322934,0.0037476402,0.0037976354,0.0035925212,0.0031749867,0.0036206082,0.0037500092,0.004835081,0.014420804,0.0026613267,0,0.0035796168
C3orf36,0.0012745544,0.0006358354,0.0012864587,0.00083280896,0.00047470443,0,0.0038805394,0.00072412164,0.0006250015,0,0,0.0020471744,0,0.002983014
C3orf38,0.17907488,0.18057726,0.14880039,0.16531257,0.17848887,0.16453747,0.17603537,0.16003089,0.111250274,0.07695837,0.2999527,0.09724078,0.23611279,0.1694352
C3orf49,0,0,0,0,0,0,0.0003527763,0,0,0,0,0,0,0
C3orf52,0.009559157,0.010173366,0.065609396,0.012492133,0.0859215,0.014370085,0.08819407,0.08254987,0.041250102,0.10717763,0.23505908,0.14350693,0.01677304,0.047728226
C3orf56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIPK2A,0.13255365,0.07947943,0.084048636,0.07536921,0.060762167,0.0682579,0.053974774,0.12092832,0.13937534,0.1599606,0.0951773,0.064486,0.14063549,0.06860933
C3orf62,0.08220875,0.03624262,0.08919446,0.08577932,0.07785153,0.06322837,0.06455806,0.06951568,0.063750155,0.066079445,0.082198575,0.06735204,0.077414036,0.07934818
C3orf67,0.006372772,0.0025433416,0.023156255,0.0074952804,0.0014241133,0.0071850424,0.008466631,0.009413581,0.010625026,0.010878933,0.09301418,0.027841572,0.007741403,0.008949042
C3orf67-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3orf70,0.0025491088,0.05150267,0.003859376,0.011242921,0.00047470443,0.005748034,0.008113855,0.0050688516,0.03312508,0,0.0007210401,0,0.0025804678,0.00417622
C3orf79,0.0006372772,0,0,0,0,0,0,0,0,0,0,0,0,0
C3orf80,0.007010049,0.0031791772,0.005574654,0.0058296626,0.00094940886,0.0035925212,0.03033876,0.002172365,0.033750083,0.0032233873,0.054078013,0.0012283047,0.0012902339,0.0077558365
C3orf84,0.0006372772,0,0,0.0016656179,0.00047470443,0,0,0,0,0,0,0,0,0
C4A,0,0.0006358354,0,0,0.00047470443,0,0,0,0.0018750046,0.0004029234,0,0.00020471745,0,0
C4B,0,0.0006358354,0,0,0.00047470443,0,0,0,0.0006250015,0,0,0,0,0
C4BPA,0.11088623,0.13606879,0.0051458348,0.26858088,0.9797899,0.18034457,0.40004832,2.7907648,0.18312545,2.131062,0,0.33143756,0.0064511695,0.0011932056
