GeneID,T_cell
AGTR1,0.00039382582
AGTR2,0.0
AGTRAP,0.3938007
AGXT,0.0
AGXT2,0.0
AHCTF1,0.08709167
AHCY,0.16219208
AHCYL1,0.17483556
AHCYL2,0.020071533
AHDC1,0.04868564
AHI1,0.42381668
AHNAK,1.2463567
AHNAK2,0.002125765
AHR,0.28732976
AHRR,0.0028099688
AHSA1,0.5170116
AHSA2P,0.11278151
AHSG,0.0
AHSP,0.019444956
AICDA,0.0
AIDA,0.3236077
AIF1,0.36130765
AIF1L,0.0018987287
AIFM1,0.120936684
AIFM2,0.03626892
AIFM3,0.0038602676
AIG1,0.110967845
CRYBG1,0.3430911
CRYBG2,0.025873875
AIM2,0.059640534
AIMP1,0.77036786
AIMP2,0.09529043
AIP,1.0144007
AIPL1,0.0003245798
AIRE,0.0022802255
AIRN,0.0004232927
AJAP1,0.00048782746
AJUBA,0.0036970836
AK1,0.12774004
AK2,0.41566938
AK3,0.32913426
AK4,0.018640986
AK5,0.016247544
AK6,0.34609836
AK7,0.0013612472
AK8,0.0014035602
AK9,0.057853166
AKAP1,0.09404435
AKAP10,0.15826905
AKAP11,0.113231905
AKAP12,0.004675528
AKAP13,1.7790827
AKAP14,0.0006541814
AKAP17A,0.32571828
AKAP3,0.002284014
AKAP4,0.0
AKAP5,0.1385822
AKAP6,0.0018371835
AKAP7,0.20920934
AKAP8,0.25691208
AKAP8L,0.2210466
AKAP9,1.063338
AKIP1,0.21635632
AKIRIN1,0.81762254
AKIRIN2,0.709613
AKNA,1.0734041
AKNAD1,0.0
AKR1A1,0.5287499
AKR1B1,0.5770496
AKR1B10,0.0
AKR1B15,0.0
AKR1C1,0.0077883955
AKR1C2,0.005069102
AKR1C3,0.064971134
AKR1C4,0.0
AKR1D1,0.0
AKR1E2,0.00052361883
AKR7A2,0.47615525
AKR7A3,0.0013121685
AKT1,0.13577598
AKT1S1,0.08916693
AKT2,0.22893757
AKT3,0.10347089
AKTIP,0.2941749
ALAD,0.07125194
ALAS1,0.11077816
ALAS2,0.005394538
ALB,0.0
ALCAM,0.043599993
ALDH16A1,0.17455426
ALDH18A1,0.08544384
ALDH1A1,0.030620012
ALDH1A2,0.0012063264
ALDH1A3,0.0024083313
ALDH1B1,0.025335323
ALDH1L1,0.0
ALDH1L1-AS1,0.0
ALDH1L1-AS2,0.0
ALDH1L2,0.0007255794
ALDH2,0.08356444
ALDH3A1,0.0
ALDH3A2,0.12605321
ALDH3B1,0.010472147
ALDH3B2,0.0007776259
ALDH4A1,0.0053986274
ALDH5A1,0.034685306
ALDH6A1,0.07635243
ALDH7A1,0.0066595054
ALDH8A1,0.0031408984
ALDH9A1,0.4115197
ALDOA,5.16222
ALDOB,0.0004818244
ALDOC,0.20148653
ALG1,0.08107353
ALG10,0.028871063
ALG10B,0.021472026
ALG11,0.026621707
ALG12,0.096246526
ALG13,0.6752558
ALG13-AS1,0.00038706392
ALG14,0.060747623
ALG1L,0.005374664
ALG1L2,0.0031318115
ALG2,0.13500261
ALG3,0.2337891
ALG5,0.4097168
ALG6,0.08632659
ALG8,0.1305294
ALG9,0.019897336
ALK,0.0
ALKBH1,0.049121253
ALKBH2,0.08376078
ALKBH3,0.11501943
ALKBH3-AS1,0.0
ALKBH4,0.08202262
ALKBH5,0.62691313
ALKBH6,0.15111212
ALKBH7,0.8449371
ALKBH8,0.0344178
ALLC,0.0
ALMS1,0.031204773
ALOX12,0.0
ALOX12-AS1,0.065585434
ALOX12B,0.0007034513
ALOX15,0.0010564837
ALOX15B,0.0018238075
ALOX5,0.03236902
ALOX5AP,3.9441447
ALOXE3,0.0
ALPI,0.0
ALPK1,0.018936457
ALPK2,0.002110671
ALPK3,0.0007206033
ALPL,0.004904649
ALPP,0.0
ALPG,0.0019612412
ALS2,0.018569564
ALS2CL,0.0075400313
C2CD6,0.0
FLACC1,0.0041613686
ALX1,0.0
ALX3,0.0
ALX4,0.0
ALYREF,0.10388813
AMACR,0.00535226
AMBN,0.0
AMBP,0.0
AMBRA1,0.04280317
AMD1,1.2375479
AMDHD1,0.006816017
AMDHD2,0.1736557
AMELX,0.0
AMELY,0.0
AMER1,0.0052799424
AMER2,0.00033884624
AMER3,0.0
AMFR,0.09375397
AMH,0.00066371646
AMHR2,0.0006391924
AMIGO1,0.0066824653
