GeneID,Epithelial
ADGRG2,0.00620564
ADGRG3,0.0015882566
ADGRG4,0.0
ADGRG5,0.0
ADGRG6,0.06228011
ADGRG7,0.0015466813
ADGRL1,0.116962366
ADGRL2,0.026730487
ADGRL3,0.0
ADGRL4,0.0007050865
ADGRV1,0.13892093
ADH1A,0.0
ADH1B,0.012971714
ADH1C,0.2118552
ADH4,0.0
ADH5,0.62437874
ADH6,0.065599844
ADH7,0.073911406
ADHFE1,0.050158802
ADI1,1.6405933
ADIG,0.0
ADIPOQ,0.0
ADIPOQ-AS1,0.0
ADIPOR1,0.9603723
ADIPOR2,0.15037876
ADIRF,3.8180695
ADK,0.5394837
ADM,0.19065748
ADM2,0.017736243
ADM5,0.01746059
ADNP,0.29168454
ADNP-AS1,0.0056812116
ADNP2,0.11882998
ADO,0.07246212
ADORA1,0.01725814
ADORA2A,0.0
ADORA2A-AS1,0.0090381745
ADORA2B,0.056827437
ADORA3,0.001307805
ADPGK,0.2604599
ADPGK-AS1,0.0039043645
ADPRH,0.03082363
ADPRHL1,0.013039312
ADPRHL2,0.28730297
ADPRM,0.043539952
ADRA1A,0.0
ADRA1B,0.0
ADRA1D,0.0
ADRA2A,0.024741193
ADRA2B,0.0050626807
ADRA2C,0.000619559
ADRB1,0.062862925
ADRB2,0.5675069
ADRB3,0.0
GRK2,0.16837391
GRK3,0.14383572
ADRM1,0.5949344
ADSL,0.24793015
ADSS2,0.3302712
ADSS1,0.14091524
ADTRP,0.002595809
AEBP1,0.020103086
AEBP2,0.16635817
AEN,0.07715897
TLE5,1.6183983
AFAP1,0.0472038
AFAP1-AS1,0.006019992
AFAP1L1,0.014537984
AFAP1L2,0.0071008024
AFF1,0.19419856
AFF2,0.0
AFF3,0.15347311
AFF4,0.60952586
AFG3L2,0.24185425
AFM,0.0
AFMID,0.20951396
AFP,0.0
AFTPH,0.3366079
AGA,0.20383744
AGAP1,0.1439146
AGAP14P,0.0
AGAP2,0.0064023174
AGAP2-AS1,0.034196027
AGAP3,0.23398288
AGAP4,0.038926635
AGAP5,0.030141033
AGAP6,0.04642944
AGAP9,0.025635539
AGBL1,0.063113295
AGBL1-AS1,0.0
AGBL2,0.071102574
AGBL3,0.04940651
AGBL4,0.03513971
AGBL5,0.13206895
AGBL5-AS1,0.0026373733
AGER,2.298326
AGFG1,0.17124152
AGFG2,0.061730955
AGGF1,0.26748368
AGK,0.03795399
AGL,0.2118978
AGMAT,0.00066378975
AGMO,0.0018455088
AGO1,0.09695477
AGO2,0.30920827
AGO3,0.28420457
AGO4,0.15139747
AGPAT1,0.1861918
AGPAT2,2.2822495
AGPAT3,0.24828541
AGPAT4,0.06779897
AGPAT5,0.06057832
AGPS,0.14139493
AGR2,6.716265
AGR3,8.155689
AGRN,0.6022273
AGRP,0.00521283
AGT,0.008352854
AGTPBP1,0.079819605
AGTR1,0.0007249672
AGTR2,0.13963425
AGTRAP,0.51709914
AGXT,0.0
AGXT2,0.0
AHCTF1,0.11442073
AHCY,0.43839133
AHCYL1,0.8542159
AHCYL2,0.5501624
AHDC1,0.12742952
AHI1,0.5051486
AHNAK,0.84138846
AHNAK2,0.15585968
AHR,0.9381174
AHRR,0.0
AHSA1,0.759086
AHSA2P,0.30820084
AHSG,0.0
AHSP,0.0021618817
AICDA,0.0012095479
AIDA,0.44647717
AIF1,0.16519663
AIF1L,0.02197794
AIFM1,0.15002026
AIFM2,0.08845361
AIFM3,0.026789287
AIG1,0.4037901
CRYBG1,0.15670392
CRYBG2,0.00907583
AIM2,0.0
AIMP1,0.727809
AIMP2,0.13023841
AIP,0.40280238
AIPL1,0.002854546
AIRE,0.0
AIRN,0.0009162893
AJAP1,0.010013987
AJUBA,0.10786454
AK1,4.332744
AK2,0.81474733
AK3,0.5988393
AK4,0.023544347
AK5,0.0
AK6,0.3761642
AK7,0.20106298
AK8,0.13658541
AK9,0.42320284
AKAP1,0.35179105
AKAP10,0.118640505
AKAP11,0.17162627
AKAP12,0.06349592
AKAP13,1.9955107
AKAP14,0.38329795
AKAP17A,0.20655678
AKAP3,0.02148065
AKAP4,0.0
AKAP5,0.0040291944
AKAP6,0.14882018
AKAP7,0.08060331
AKAP8,0.15104908
AKAP8L,0.17704225
AKAP9,1.9922992
AKIP1,0.1639411
AKIRIN1,0.40444642
AKIRIN2,0.22757222
AKNA,0.28708968
AKNAD1,0.0
AKR1A1,0.87692237
AKR1B1,0.19862019
AKR1B10,0.0068871495
AKR1B15,0.0
AKR1C1,0.39352465
AKR1C2,0.16701628
AKR1C3,0.37491336
AKR1C4,0.00038327076
AKR1D1,0.0
AKR1E2,0.0006520911
AKR7A2,0.6398399
AKR7A3,0.0021054072
AKT1,0.4148343
AKT1S1,0.22129725
AKT2,0.25571793
AKT3,0.0136775905
AKTIP,0.2115681
ALAD,0.13959594
ALAS1,0.26385564
ALAS2,0.0
ALB,0.001780074
ALCAM,1.0718042
ALDH16A1,0.2257426
ALDH18A1,0.15519086
ALDH1A1,1.2793665
ALDH1A2,0.015530949
ALDH1A3,0.14896804
ALDH1B1,0.035547387
ALDH1L1,0.20652986
ALDH1L1-AS1,0.0
ALDH1L1-AS2,0.0
ALDH1L2,0.000619559
ALDH2,1.6665341
ALDH3A1,0.45115575
ALDH3A2,0.67462534
ALDH3B1,0.70541054
ALDH3B2,0.012774088
ALDH4A1,0.04085087
ALDH5A1,0.19718826
ALDH6A1,0.317051
ALDH7A1,0.16788542
ALDH8A1,0.0011624295
ALDH9A1,0.453985
ALDOA,4.2985516
ALDOB,0.0016923733
ALDOC,0.0980924
ALG1,0.12075654
ALG10,0.016724266
ALG10B,0.04006789
ALG11,0.021178551
ALG12,0.12565586
ALG13,0.33771905
ALG13-AS1,0.0
ALG14,0.13282518
ALG1L,0.10455558
ALG1L2,0.011033831
ALG2,0.27078286
ALG3,0.2513155
ALG5,0.5854936
ALG6,0.04821043
ALG8,0.12186607
ALG9,0.02548744
ALK,0.0013711131
ALKBH1,0.043533027
ALKBH2,0.14225197
ALKBH3,0.17428827
ALKBH3-AS1,0.0
ALKBH4,0.077188194
ALKBH5,0.5325826
ALKBH6,0.10020322
ALKBH7,1.1500431
ALKBH8,0.042256624
ALLC,0.005836353
ALMS1,0.15297711
ALOX12,0.0
ALOX12-AS1,0.04120546
ALOX12B,0.001282114
ALOX15,0.27479538
ALOX15B,0.24918705
ALOX5,0.026452973
ALOX5AP,0.22105356
ALOXE3,0.00079213496
ALPI,0.0
ALPK1,0.099961214
ALPK2,0.0
ALPK3,0.055137716
ALPL,1.3893712
ALPP,0.0036077972
ALPG,0.0019648473
ALS2,0.07898024
ALS2CL,0.17850617
C2CD6,0.0053353943
FLACC1,0.04873833
ALX1,0.0
ALX3,0.0
ALX4,0.0
ALYREF,0.10214544
AMACR,0.0329351
AMBN,0.0
AMBP,0.013660222
AMBRA1,0.05998483
AMD1,1.0095841
AMDHD1,0.008844523
AMDHD2,0.14678474
AMELX,0.0
AMELY,0.0
AMER1,0.0023187432
AMER2,0.0
AMER3,0.0
AMFR,0.14948022
AMH,0.009379951
AMHR2,0.002996942
AMIGO1,0.02574075
AMIGO2,0.096757166
AMIGO3,0.0
AMMECR1,0.11315981
AMMECR1L,0.08565672
AMN,0.11911322
AMN1,0.0876129
AMOT,0.026064578
AMOTL1,0.18211436
AMOTL2,0.30164394
AMPD1,0.0027271332
AMPD2,0.056093965
AMPD3,0.09091792
AMPH,0.0
AMT,0.093768045
AMTN,0.00086552993
AMY1A,0.0022977681
AMY1B,0.0
AMY1C,0.0
AMY2A,0.0
AMY2B,0.028770639
AMZ1,0.00088638783
AMZ2,0.30815956
ANAPC1,0.08893067
ANAPC10,0.21376055
ANAPC11,2.4780395
ANAPC13,0.69928044
ANAPC15,0.50361174
ANAPC16,2.8329186
ANAPC2,0.085039966
ANAPC4,0.13146707
ANAPC5,0.4853513
ANAPC7,0.14912479
ANG,0.3800527
ANGEL1,0.041657075
ANGEL2,0.1407576
ANGPT1,0.011738337
ANGPT2,0.016408777
ANGPT4,0.0012202766
ANGPTL1,0.0
ANGPTL2,0.016576096
ANGPTL3,0.0
ANGPTL4,0.0329249
ANGPTL5,0.0067955777
ANGPTL6,0.0036058011
ANGPTL7,0.002723193
ANGPTL8,0.0
ANHX,0.0
ANK1,0.00037561948
ANK2,0.0064590443
ANK3,0.68052983
ANKAR,0.044828735
ANKDD1A,0.012478974
ANKDD1B,0.06642167
ANKEF1,0.06356749
ANKFN1,0.038106095
ANKFY1,0.19321534
ANKH,0.14553471
ANKHD1,0.12765628
ANKHD1-EIF4EBP3,0.018527072
ANKIB1,0.20933767
ANKK1,0.011697588
ANKLE1,0.0028293778
ANKLE2,0.31239912
ANKMY1,0.196147
ANKMY2,0.08603783
ANKRA2,0.1774567
ANKRD1,0.015591706
ANKRD10,0.3842174
ANKRD11,0.79369074
ANKRD12,0.9805075
ANKRD13A,0.2947873
ANKRD13B,0.0042978227
ANKRD13C,0.10553217
ANKRD13D,0.2518249
ANKRD16,0.046927985
ANKRD17,0.360863
ANKRD18A,0.060315154
ANKRD18B,0.02629416
ANKRD2,0.005760316
ANKRD20A1,0.0
ANKRD20A2,0.0
ANKRD20A3,0.0007050865
ANKRD20A4,0.015806012
ANKRD22,0.052123286
ANKRD23,0.023419755
