GeneID,Bcells,Malignant,Fibroblasts
C3orf36,0.00055717345,0.0015806832,0.00089145685
C3orf38,0.11310621,0.10748645,0.17294262
C3orf49,0.0,0.0,0.0
C3orf52,0.007243255,0.1306698,0.004457284
C3orf56,0.0,0.0,0.0
DIPK2A,0.027858673,0.103798196,0.17115971
C3orf62,0.01782955,0.07244798,0.06685926
C3orf67,0.0066860816,0.017914409,0.0035658274
C3orf67-AS1,0.0,0.0,0.0
C3orf70,0.06351777,0.0018441302,0.017829137
C3orf79,0.0,0.0,0.00089145685
C3orf80,0.0,0.012908912,0.065967806
C3orf84,0.0,0.0,0.0
C4A,0.0,0.00052689435,0.00089145685
C4B,0.00055717345,0.00026344717,0.0
C4BPA,0.016715204,1.5298377,0.012480396
C4BPB,0.00055717345,0.31560972,0.0017829137
C4orf17,0.0,0.001317236,0.0
C4orf19,0.00055717345,0.076399684,0.00089145685
CFAP299,0.0039002143,0.004215155,0.0
ODAPH,0.055717345,0.0031613663,0.00089145685
HPF1,0.081347324,0.18072477,0.34677672
C4orf3,1.394048,2.397106,3.1290135
FAM241A,0.04123084,0.062700436,0.098951705
C4orf33,0.03398758,0.050845306,0.06685926
C4orf36,0.01448651,0.054797016,0.0846884
C4orf45,0.0,0.0,0.00089145685
C4orf46,0.026187154,0.04136121,0.077556744
C4orf47,0.0033430408,0.04531292,0.01961205
C4orf48,0.3549195,1.7648327,0.62045395
C4orf50,0.0011143469,0.00026344717,0.0
C4orf51,0.0,0.00026344717,0.0
C5,0.0066860816,0.024764035,0.01693768
C5AR1,0.011143469,0.0234468,0.029418077
C5AR2,0.00055717345,0.013435806,0.006240198
C5orf15,0.11812077,0.3198249,0.7425836
C5orf17,0.0,0.03846329,0.005348741
C5orf22,0.01782955,0.08035139,0.030309532
C5orf24,0.07856146,0.42546722,0.51258767
TMEM267,0.0356591,0.10643266,0.104300454
C5orf30,0.01448651,0.044522576,0.018720593
C5orf34,0.009471949,0.01686062,0.012480396
C5orf38,0.006128908,0.511351,0.05616178
CPLANE1,0.016158031,0.16728896,0.12658687
MRNIP,0.12146382,0.20101021,0.30487823
C5orf46,0.0,0.0007903416,0.01426331
C5orf47,0.00055717345,0.00026344717,0.0
C5orf49,0.0016715204,0.22419356,0.03387536
C5orf51,0.02117259,0.12671809,0.07042509
C5orf52,0.0,0.0,0.0
IRF1-AS1,0.25072807,0.13330427,0.31290135
C5orf63,0.02395846,0.108540244,0.023177877
C5orf66,0.0,0.0060592853,0.0
C5orf66-AS1,0.0,0.0,0.0
C5orf66-AS2,0.0,0.0,0.0
C5orf67,0.0,0.0,0.0
C6,0.0,0.007376521,0.031200988
SMIM29,0.10530578,0.52004474,0.45196864
TSBP1,0.0,0.0,0.0
ILRUN,0.05794604,0.266872,0.09984317
C6orf118,0.0,0.008693757,0.0
C6orf120,0.03955932,0.08693757,0.18096575
C6orf132,0.0066860816,0.48158145,0.07042509
C6orf136,0.04011649,0.11328229,0.06685926
C6orf141,0.0,0.11565331,0.00089145685
C6orf15,0.0,0.0021075774,0.0
C6orf163,0.00055717345,0.0018441302,0.0035658274
C6orf201,0.0,0.0,0.0
MTRES1,0.037887797,0.11670711,0.15243912
BNIP5,0.0,0.048474282,0.0017829137
C6orf223,0.00055717345,0.059275616,0.0
C6orf226,0.054603003,0.13251393,0.17918283
ARMH2,0.0,0.0,0.0
MPIG6B,0.0,0.00052689435,0.0017829137
C6orf47,0.081347324,0.20575225,0.20592654
C6orf47-AS1,0.0011143469,0.0,0.0017829137
SNHG32,1.1188043,3.6250334,4.7880144
C6orf52,0.0078004287,0.035038475,0.007131655
C6orf58,0.0,0.00026344717,0.00089145685
C6orf62,0.19333918,1.1220216,0.6641354
C6orf89,0.13929337,0.40992382,0.4207676
C6orf99,0.009471949,0.017124068,0.00089145685
C7,0.03343041,0.007113074,10.184895
C7orf25,0.0022286938,0.00843031,0.012480396
C7orf26,0.07633276,0.21918806,0.18542302
C7orf31,0.04011649,0.020021986,0.0392241
C7orf33,0.0,0.0,0.0
LLCFC1,0.0,0.0,0.0
MAP11,0.018386725,0.06691559,0.029418077
CYREN,0.10697731,0.22182254,0.20503506
C7orf50,0.5259717,1.5701452,0.887891
FMC1,0.17773832,0.2779368,0.34855962
FMC1-LUC7L2,0.0,0.0,0.0
C7orf57,0.0011143469,0.05347978,0.0017829137
BMT2,0.011700642,0.089835495,0.07131655
C7orf61,0.0027858673,0.009484099,0.012480396
TEX47,0.0,0.0,0.0
C7orf65,0.0,0.0,0.00089145685
C7orf69,0.00055717345,0.0,0.0
LINC02860,0.0,0.0,0.0
SPATA48,0.0011143469,0.0,0.0
STMP1,0.2875015,1.4131306,1.0340899
C7orf77,0.0,0.0,0.0
C8A,0.0,0.00052689435,0.0
C8B,0.0,0.0007903416,0.00089145685
C8G,0.00055717345,0.013172359,0.004457284
PPDPFL,0.0,0.0,0.00089145685
C8orf33,0.0902621,0.33958343,0.3369707
C8orf34,0.0,0.024764035,0.017829137
C8orf34-AS1,0.0,0.04979152,0.00089145685
C8orf37,0.0033430408,0.011064782,0.008023111
C8orf37-AS1,0.00055717345,0.0018441302,0.0035658274
TCIM,0.0356591,3.525187,1.5056707
C8orf44,0.010029122,0.029769532,0.038332645
C8orf44-SGK3,0.0,0.00052689435,0.0
VXN,0.0,0.003951708,0.008023111
C8orf48,0.0,0.010537888,0.01693768
C8orf49,0.0,0.0,0.0
C8orf58,0.016715204,0.042415,0.10073462
RBIS,0.7070531,1.2684982,1.2498225
C8orf74,0.0,0.0,0.0
C8orf76,0.05961756,0.15859522,0.10340899
C8orf82,0.08691906,0.40992382,0.23445314
C8orf86,0.0,0.0,0.0
