GeneID,Bcells,Malignant,Fibroblasts
ACSM5,0.0,0.00016985844,0.0050648185
ACSM6,0.0,0.0,0.0
ACSS1,0.11173666,0.169179,0.048115775
ACSS2,0.035471957,0.15898749,0.08863433
ACSS3,0.0,0.007473771,0.1418149
ACTA1,0.0,0.0022081595,0.0
ACTA2,0.04788714,0.07626644,10.463914
ACTA2-AS1,0.0017735978,0.00033971688,0.0050648185
ACTB,12.594318,24.966473,33.268257
ACTBL2,0.0,0.004756036,0.0025324093
ACTC1,0.0,0.00067943375,0.010129637
ACTG1,6.5392547,18.28475,22.743565
ACTG2,0.0017735978,0.0015287258,0.70147735
ACTL10,0.02483037,0.050957527,0.025324091
ACTL6A,0.08690629,0.32256117,0.23044923
ACTL6B,0.0,0.0,0.0
ACTL7B,0.0,0.0010191506,0.0
ACTL8,0.0,0.013248957,0.0
ACTN1,0.023056772,0.48732385,2.0689783
ACTN1-AS1,0.0,0.0010191506,0.0050648185
ACTN2,0.0,0.00067943375,0.017726863
ACTN3,0.0,0.00033971688,0.0
ACTN4,0.18977496,2.1291754,0.75719035
ACTR10,0.14011422,0.48698413,0.59511614
ACTR1A,0.11173666,0.31186008,0.44570398
ACTR1B,0.13656703,0.35874102,0.34947246
ACTR2,0.43275785,1.0752039,0.6862829
ACTR3,0.6278536,0.7509441,0.89394045
ACTR3B,0.007094391,0.04365362,0.043050956
ACTR3C,0.021283174,0.04212489,0.015194455
ACTR5,0.017735979,0.05163696,0.043050956
ACTR6,0.06917031,0.10921897,0.11395841
ACTR8,0.037245553,0.046371352,0.05824541
ACTRT1,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0
ACTRT3,0.0,0.008153205,0.0075972276
ACVR1,0.014188782,0.15626976,0.31148633
ACVR1B,0.010641587,0.18038966,0.101296365
ACVR1C,0.019509576,0.009172355,0.0
ACVR2A,0.0035471956,0.034311403,0.12915286
ACVR2B,0.014188782,0.08730724,0.06077782
ACVR2B-AS1,0.0,0.0018684427,0.0025324093
ACVRL1,0.0,0.003906744,0.32161596
ACY1,0.0017735978,0.010021647,0.010129637
ACY3,0.0815855,0.014947542,0.0
ACYP1,0.06917031,0.15932721,0.11649082
ACYP2,0.12415185,0.15355203,0.18486588
ADA,0.13301983,0.02700749,0.12662046
ADAD2,0.0,0.0,0.0
ADAL,0.023056772,0.061488755,0.083569504
ADAM10,0.04966074,0.3137285,0.18233345
ADAM11,0.0017735978,0.0020383012,0.0050648185
ADAM12,0.0,0.009342213,0.25830573
ADAM15,0.033698358,0.81532043,0.16460659
ADAM17,0.122378245,0.34871936,0.40265307
ADAM18,0.0,0.0,0.0
ADAM19,0.09577428,0.007813488,0.093699135
ADAM2,0.0,0.0,0.0
