CID3586,CID3838,CID3921,CID3941,CID3946,CID3948,CID3963,CID4040,CID4066,CID4067,CID4290A,CID4398,CID44041,CID4461,CID4463,CID4465,CID4471,CID4495,CID44971,CID44991,CID4513,CID4515,CID45171,CID4523,CID4530N,CID4535
RP5-902P8.12,0.0005446203,0.00049587956,0.0007518705,0,0,0.0033524225,0.0006993082,0.0008659355,0.00070835144,0.001401417,0,0,0.0013098584,0,0,0,0.00066309015,0.0005571843,0.0009444575,0.00018425404,0.0012093678,0.000187159,0.0022802874,0.00039326653,0.0005587934,0.0003628797
UBE2J2,0.2859257,0.2687667,0.569166,0.23436385,0.31486845,0.27992728,0.37902507,0.3208291,0.39703095,0.33353722,0.20280795,0.025908599,0.1100281,0.5288572,0.48020953,0.66049814,0.37464592,0.497937,0.5194516,0.8177194,0.4593582,0.2940268,0.5894543,0.4782121,0.46063203,0.32387015
SCNN1D,0.007080065,0.0059505543,0.0018796762,0.007944537,0.018521674,0.01340969,0.0048951576,0.0060615484,0.008146041,0.031531878,0.025720542,0.002072688,0.0026197168,0.022993792,0.009395404,0.010653196,0.0074597644,0.0014858247,0.0034000468,0.007922923,0.0026202968,0.003930339,0.0034204312,0.004719198,0.010244546,0.005261756
ACAP3,0.070256025,0.1115729,0.12293083,0.07547311,0.15743423,0.06704845,0.068532206,0.11170568,0.11262788,0.09249351,0.069475025,0.01554516,0.05763377,0.080478266,0.05010882,0.14381814,0.09366148,0.061847456,0.05477853,0.12529275,0.07679485,0.047351226,0.18527335,0.0845523,0.09424983,0.059693716
PUSL1,0.12961964,0.09744033,0.24097452,0.14300168,0.15743423,0.18438324,0.15664504,0.091356196,0.16787928,0.19549765,0.111751325,0.009327096,0.05894363,0.10347207,0.15867792,0.17045113,0.098468885,0.16641237,0.15262432,0.24524212,0.13726324,0.106306314,0.23144917,0.24539831,0.13858077,0.13408406
CPSF3L,0.32241526,0.29455245,0.64924026,0.2899756,0.47230268,0.4324625,0.37832576,0.39962924,0.37365535,0.35455847,0.2601618,0.069435045,0.3929575,0.43688205,0.945804,0.33557564,0.5606427,0.4574483,0.68567616,0.6734485,0.40574285,0.16675867,0.5541099,0.327591,0.44777977,0.46793342
CPTP,0.08005919,0.09372124,0.43345335,0.07150084,0.12965171,0.09219162,0.12657478,0.091356196,0.15937907,0.1499516,0.068883754,0.01036344,0.09038023,0.080478266,0.17224908,0.21306391,0.22246674,0.25667623,0.20249169,0.5125947,0.19591758,0.103498936,0.48627132,0.19977939,0.17751005,0.15948564
TAS1R3,0.0010892407,0.0017355784,0.029698886,0.0039722687,0,0.011733479,0,0.0038967098,0.0010625272,0.034334715,0.0056171296,0.002072688,0.0026197168,0,0.0010439337,0.005326598,0.0018234979,0.009286405,0.00018889148,0.0084756855,0.0002015613,0.002058749,0.07011884,0.0066855308,0.0026077027,0.0010886391
DVL1,0.037578806,0.078596905,0.16428372,0.10725126,0.19447757,0.07710572,0.052448116,0.11863317,0.10519018,0.13803956,0.069179386,0.017617848,0.047154903,0.080478266,0.0803829,0.07457237,0.104105145,0.054789785,0.05062292,0.12731953,0.075585485,0.04753839,0.10888372,0.07078797,0.086612985,0.03628797
MXRA8,0.19606334,1.3056508,0.39210048,0.11122353,1.1576047,0.12739205,0.053846736,0.9300147,2.3014338,0.42743212,0.32372406,0.10156171,0.33794346,1.8280065,0.2818621,2.0294337,1.2129576,0.18888547,0.60294163,0.18388553,0.063088685,0.11603858,0.17615221,0.048765052,0.4235654,0.10904536
