,T.cell
KLHDC7A,0.0
PAX7,0.0
AL080251.1,0.0
ALDH4A1,0.0060926247
IFFO2,0.11573555
UBR4,0.45089903
AL035413.1,0.015727758
EMC1,0.13104217
MRTO4,0.30060408
AKR7A3,0.0012072357
AKR7A2,0.5089568
PQLC2,0.034726653
CAPZB,2.3545902
AL031727.2,0.00011282577
MINOS1,1.0258726
NBL1,0.23052272
MINOS1-NBL1,0.0
HTR6,3.3847737e-05
TMCO4,0.11813852
RNF186,0.0
AL391883.1,0.0
OTUD3,0.0752583
PLA2G2E,0.0
PLA2G2A,0.0012636486
PLA2G5,5.6412893e-05
PLA2G2D,0.00085747585
PLA2G2F,1.1282579e-05
Z98257.1,0.00025949927
PLA2G2C,0.0019631726
UBXN10-AS1,0.027348306
UBXN10,0.004919228
LINC01757,0.0
Z98257.2,0.0
VWA5B1,0.00027078186
AL020998.1,0.000586694
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,1.1282579e-05
CAMK2N1,0.09443875
MUL1,0.1093627
FAM43B,1.1282579e-05
CDA,0.019676602
PINK1,0.11332174
PINK1-AS,0.009838468
DDOST,0.8069048
KIF17,0.0006318243
SH2D5,0.0001015432
AL663074.1,1.1282579e-05
HP1BP3,2.087877
EIF4G3,0.4481037
ECE1,0.34404945
AL031005.1,0.00036104248
AL031728.1,0.0045356187
AL592309.2,0.0
NBPF3,0.022835424
ALPL,0.0019857378
AL359815.1,0.0
RAP1GAP,0.0006995198
USP48,0.6706028
LDLRAD2,0.0019406069
HSPG2,0.0034863306
CELA3B,0.0
CELA3A,0.0
LINC01635,0.0026175666
CDC42,3.8696904
AL031281.2,0.00250474
WNT4,0.00056412886
ZBTB40,0.17904964
EPHA8,4.5130317e-05
C1QA,0.17644672
C1QC,0.08545893
C1QB,0.19838801
EPHB2,0.0043550944
AL512444.1,0.0
LACTBL1,0.0
TEX46,0.00027078186
KDM1A,0.27400166
AL031428.1,9.026062e-05
LUZP1,0.66994935
HTR1D,2.2565158e-05
LINC01355,0.05856863
AL109936.6,0.0024483267
HNRNPR,1.908099
ZNF436,0.018074417
ZNF436-AS1,0.008360439
AL109936.2,0.00036104248
TCEA3,0.03456883
ASAP3,0.001015432
E2F2,0.047137745
AL021154.1,0.0010605623
ID3,0.3434097
MDS2,0.020308282
RPL11,33.825924
ELOA,0.26745918
ELOA-AS1,0.04695699
PITHD1,0.5327536
LYPLA2,0.39134255
GALE,0.10580938
HMGCL,0.22901699
FUCA1,0.14069879
CNR2,0.020342117
AL590609.3,2.2565158e-05
PNRC2,1.1186237
SRSF10,1.51707
AL591178.1,0.0
MYOM3,0.00016923864
AL591178.2,0.0
IL22RA1,0.00018052124
IFNLR1,0.02633286
AL590683.1,6.7695466e-05
AL138902.1,1.1282579e-05
GRHL3,3.3847737e-05
STPG1,0.03532462
NIPAL3,0.4427547
RCAN3,1.173634
AL445686.2,0.12413877
NCMAP,0.0006995198
SRRM1,2.71659
AL445648.1,0.0
CLIC4,0.0172283
RUNX3,2.653111
AL445471.1,0.0009703017
AL445471.2,0.0008123456
AL050344.1,0.00085747585
AL031432.1,0.0011621055
SYF2,1.7714889
AL031432.5,0.001015432
RSRP1,3.1219885
AL031432.3,0.003204265
RHD,0.015107238
TMEM50A,2.0023222
RHCE,0.0043663783
MACO1,0.30391547
LDLRAP1,0.34139836
AL606491.1,0.0061716037
MAN1C1,0.12171405
AL031280.1,0.07616083
SELENON,0.0868702
AL020996.1,0.013967752
MTFR1L,0.12954234
AUNIP,0.008270177
AL033528.2,0.0014554529
PAQR7,0.01095545
STMN1,2.1406922
PAFAH2,0.11863401
EXTL1,0.00048515084
SLC30A2,0.0014441703
TRIM63,5.6412893e-05
PDIK1L,0.08424084
FAM110D,0.0003948902
C1orf232,0.0
AL391650.1,0.00022565154
ZNF593,0.2834558
CNKSR1,0.008157352
CATSPER4,0.0001015432
CEP85,0.06017086
SH3BGRL3,14.862302
UBXN11,0.19618654
CD52,13.251911
CRYBG2,0.053626046
ZNF683,1.0260992
LIN28A,0.000665672
DHDDS,0.19860828
AL513365.2,0.00047386825
HMGN2,4.4113665
RPS6KA1,0.43355206
AL512408.1,0.0017036714
ARID1A,0.8720647
PIGV,0.06243929
ZDHHC18,0.34204036
SFN,0.002369344
AL034380.1,0.00022565154
GPN2,0.13875772
GPATCH3,0.07347558
NUDC,1.2292246
NR0B2,0.00019180382
KDF1,0.0063746916
TRNP1,0.0010041493
TENT5B,0.0002030864
SLC9A1,0.1040949
AL590640.1,0.0
WDTC1,0.19910425
TMEM222,0.23991296
SYTL1,0.7654615
MAP3K6,0.086767994
FCN3,7.897804e-05
CD164L2,0.0001015432
GPR3,0.00018052124
WASF2,1.5828642
FO393419.2,0.0003384773
BX293535.1,0.0062167346
AHDC1,0.12493994
FGR,0.1904355
LINC02574,0.0070629334
IFI6,4.673026
AL445490.1,0.0009477365
FAM76A,0.21295646
STX12,0.33480904
PPP1R8,0.19962329
THEMIS2,0.16539009
RPA2,0.7856077
SMPDL3B,0.0029447628
AL512288.1,0.00023693412
XKR8,0.08576439
EYA3,0.20151824
PTAFR,0.016731912
DNAJC8,1.7455038
ATP5IF1,2.5932186
AL353622.1,0.07605938
AL353622.2,0.0019970206
SESN2,0.0851658
MED18,0.08917181
PHACTR4,0.53344333
RCC1,0.084590055
TRNAU1AP,0.46277726
SNHG12,0.48138723
TAF12,0.50071925
RAB42,0.0047838353
LINC01715,0.0031478514
AL360012.1,0.056729343
GMEB1,0.3496679
YTHDF2,0.69241565
OPRD1,0.0008461933
AL009181.1,0.0007333676
EPB41,1.2195864
TMEM200B,0.002211391
AL357500.1,0.00021436896
SRSF4,1.447266
MECR,0.07398325
AL590729.1,1.1282579e-05
PTPRU,0.00077849784
LINC01756,0.0
AC092265.1,0.0
AL645944.2,0.0
LINC01648,0.0
AL137076.1,0.0
MATN1,0.0015569968
MATN1-AS1,0.03833689
LAPTM5,3.5135345
AL137027.1,0.0
LINC01778,1.1282579e-05
AL445235.1,0.0
SDC3,0.007886567
PUM1,0.69224674
NKAIN1,0.00199702
SNRNP40,0.55373544
ZCCHC17,0.4952383
AL451070.1,0.00032719472
FABP3,0.0035653098
SERINC2,0.0045807473
AC114488.1,0.0
TINAGL1,0.00082362816
HCRTR1,1.1282579e-05
PEF1,0.38195923
AC114488.2,0.0012298009
AC114488.3,0.0022565213
COL16A1,0.001331344
ADGRB2,0.005449513
AL354919.2,2.2565158e-05
SPOCD1,0.0002482167
AL354919.1,0.00041745536
AL136115.2,0.009590249
PTP4A2,2.4420173
AL136115.1,0.0016472581
AL136115.3,6.7695466e-05
KHDRBS1,1.4501671
AL445248.1,0.010989298
TMEM39B,0.08676853
KPNA6,0.4905236
TXLNA,0.37363586
CCDC28B,0.20223314
AL049795.1,0.0032493952
IQCC,0.014892882
DCDC2B,0.0013651918
TMEM234,0.087671354
EIF3I,1.1290393
FAM167B,0.008879442
LCK,3.2475674
HDAC1,0.8223932
MARCKSL1,0.28784132
AL109945.1,0.0
TSSK3,0.0048628156
FAM229A,0.024335925
BSDC1,0.41894346
AL033529.1,0.0
ZBTB8B,0.002967329
ZBTB8A,0.01845801
ZBTB8OS,0.7935021
RBBP4,0.91943
SYNC,0.2043947
AC114489.1,5.6412893e-05
KIAA1522,0.0044115083
YARS,0.4714858
S100PBP,0.4893852
FNDC5,0.0032268302
HPCA,0.00027078186
TMEM54,0.0017262367
RNF19B,0.10447845
AL020995.1,0.001963172
AK2,0.33412355
AZIN2,0.024832347
TRIM62,0.03742306
AL662907.3,0.002595001
ZNF362,0.07987379
AL513327.3,0.0005528463
A3GALT2,0.0
AL513327.1,0.0010718448
PHC2,0.22523858
AL513327.2,3.3847737e-05
ZSCAN20,0.007164477
CSMD2,0.00038360764
HMGB4,1.1282579e-05
CSMD2-AS1,1.1282579e-05
C1orf94,1.1282579e-05
SMIM12,0.47963881
GJB5,3.3847737e-05
GJB4,0.0002030864
AL121988.1,0.0
GJB3,0.0005189986
GJA4,0.00022565154
AL122010.1,0.00013539093
DLGAP3,0.010436448
AC114490.3,0.043504063
AC114490.2,0.009736924
TMEM35B,0.003960203
ZMYM6,0.1128593
ZMYM1,0.119063094
AL590434.1,0.0003497599
SFPQ,2.5461617
ZMYM4,0.23965551
ZMYM4-AS1,0.0006092591
KIAA0319L,0.3187386
NCDN,0.067189865
AC004865.2,0.11751752
TFAP2E,0.008270178
PSMB2,1.2040201
C1orf216,0.09665018
CLSPN,0.30332714
AL354864.1,0.00030462956
AGO4,0.1560385
AGO1,0.18147539
AL139286.2,0.0023919134
AGO3,0.52349514
AL138787.2,0.0020534338
TEKT2,0.00032719472
ADPRHL2,0.25281712
COL8A2,0.0019406072
TRAPPC3,0.5267865
MAP7D1,0.48182663
THRAP3,2.2059145
SH3D21,0.010504144
EVA1B,0.24195836
AL591845.1,0.0042309863
STK40,0.1755983
LSM10,0.64803976
OSCP1,0.0053931004
MRPS15,0.6023971
CSF3R,0.02749506
AL596257.1,2.2565158e-05
AC117945.2,0.0
AC117945.1,0.0
GRIK3,4.5130317e-05
AL031430.1,0.0
AL353604.1,0.0
LINC01137,0.06583598
ZC3H12A,0.19258732
MEAF6,0.9474778
SNIP1,0.24432504
DNALI1,0.0012749312
GNL2,0.27303234
RSPO1,6.7695466e-05
C1orf109,0.103463225
CDCA8,0.11698982
EPHA10,0.00027078186
MANEAL,0.018536976
AL929472.3,0.00011282577
YRDC,0.21565159
C1orf122,0.4739994
MTF1,0.15285796
AL929472.2,0.0019631726
INPP5B,0.15443718
SF3A3,0.49283722
FHL3,0.17095184
UTP11,0.27934942
POU3F1,0.07710795
AL139158.2,0.0012185182
AL139158.3,0.0
LINC01685,0.00012410835
AL354702.2,0.0
RRAGC,0.24464066
AL139260.1,0.008337874
MYCBP,0.21597998
AL139260.3,0.0010492797
GJA9,3.3847737e-05
RHBDL2,0.0023242172
AKIRIN1,0.77282655
NDUFS5,2.6537204
MACF1,2.5110357
AL442071.1,0.00018052124
BMP8A,0.0005754114
PABPC4,0.5481662
AL365277.1,0.00015795608
HEYL,0.00013539093
AL035404.2,0.0
NT5C1A,5.6412893e-05
HPCAL4,0.013335972
PPIE,0.47711107
BMP8B,0.006284429
OXCT2,0.0056413184
AL033527.3,0.0031478514
AL033527.5,0.005494644
AL033527.4,7.897804e-05
TRIT1,0.062055565
MYCL,0.0030914356
AL033527.2,4.5130317e-05
MFSD2A,0.006950105
CAP1,2.6602254
PPT1,0.44566572
RLF,0.413926
TMCO2,0.0002482167
AL050341.2,0.05224945
ZMPSTE24,0.22181022
COL9A2,0.08671075
SMAP2,2.1012256
AL031985.4,0.00025949927
ZFP69B,0.024493877
ZFP69,0.021650806
AL603839.3,0.008134786
EXO5,0.0513466
AL603839.1,0.00011282577
AL603839.2,0.00018052124
ZNF684,0.060001817
RIMS3,0.022463132
AL031289.1,2.2565158e-05
NFYC-AS1,0.04134918
NFYC,0.30433372
KCNQ4,0.0012523661
CITED4,0.10926161
AC119677.1,7.897804e-05
CTPS1,0.1468928
SLFNL1-AS1,0.0075255223
SLFNL1,0.0019970206
SCMH1,0.08402653
AC093151.3,0.00051899854
FOXO6,0.0005754114
AC093151.2,6.7695466e-05
EDN2,0.00018052124
HIVEP3,0.3189002
AL445933.2,0.0
GUCA2B,1.1282579e-05
GUCA2A,4.5130317e-05
FOXJ3,0.30552742
RIMKLA,0.0030350245
ZMYND12,0.0018052154
PPCS,0.76345265
CCDC30,0.04854809
PPIH,0.360982
AC098484.2,0.0015344316
YBX1,4.8553762
CLDN19,0.0002030864
P3H1,0.111325406
C1orf50,0.081859864
AC098484.3,0.0007672153
AC098484.1,0.0003497599
TMEM269,0.0015457142
SVBP,0.3208913
ERMAP,0.027269276
AL512353.1,0.004208421
ZNF691,0.043910213
SLC2A1,0.16942817
SLC2A1-AS1,0.014001605
AC099795.1,0.0
FAM183A,0.0003948902
EBNA1BP2,0.35560223
CFAP57,0.004795118
TMEM125,0.0013990396
C1orf210,0.0006431069
TIE1,0.02047756
MPL,4.5130317e-05
AL139289.2,0.008157351
CDC20,0.117440976
ELOVL1,0.3311674
MED8,0.3450288
AL139289.1,0.0008461933
SZT2,0.21952096
SZT2-AS1,0.0002482167
HYI,0.08324747
PTPRF,0.0345801
AL451062.3,0.0029221983
KDM4A,0.09683064
KDM4A-AS1,0.017735953
ST3GAL3,0.089329526
AL451062.1,0.0004964334
ARTN,0.0008913236
AL357079.1,0.0044792052
IPO13,0.050285954
DPH2,0.07962533
ATP6V0B,1.2489028
B4GALT2,0.0204775
CCDC24,0.0074352613
SLC6A9,0.0007672153
AL139220.2,0.002730393
KLF17,2.2565158e-05
DMAP1,0.30752385
ERI3,0.2026688
RNF220,0.27580604
TMEM53,0.04037898
ARMH1,0.23375264
KIF2C,0.11254476
AL592166.1,0.002211391
RPS8,28.782408
BEST4,0.010199512
PLK3,0.47049958
TCTEX1D4,0.0032268297
BTBD19,0.017950313
PTCH2,0.040999517
EIF2B3,0.15867868
HECTD3,0.08696032
UROD,0.17496634
ZSWIM5,0.008461983
LINC01144,0.0013877569
HPDL,0.0058556874
MUTYH,0.10855064
TOE1,0.14835769
TESK2,0.04207128
CCDC163,0.015253912
MMACHC,0.016077494
PRDX1,2.0713181
AKR1A1,0.5460982
NASP,1.5994854
CCDC17,0.007773741
GPBP1L1,0.5503481
TMEM69,0.09958307
IPP,0.15592587
MAST2,0.046708725
PIK3R3,0.06274378
AL358075.4,0.0
AL358075.1,0.0006431069
AL358075.2,0.0020872813
TSPAN1,0.0017600845
POMGNT1,0.17390548
LURAP1,0.0014667356
RAD54L,0.022102218
LRRC41,0.22539678
UQCRH,2.721013
NSUN4,0.096616216
FAAH,0.007739893
DMBX1,0.00015795608
AL136373.1,0.00038360764
MKNK1-AS1,0.0013651918
KNCN,0.00011282577
MKNK1,0.26944488
MOB3C,0.09227367
ATPAF1,0.23891032
TEX38,0.0016698234
EFCAB14-AS1,0.00093645393
