,Mast.cell
EMC1,0.14590567
MRTO4,0.27213866
AKR7A3,0.0016393913
AKR7A2,0.34755057
PQLC2,0.024590872
CAPZB,2.1639962
AL031727.2,0.0
MINOS1,1.1492113
NBL1,0.037706003
MINOS1-NBL1,0.0
HTR6,0.0
TMCO4,0.095084645
RNF186,0.0
AL391883.1,0.0
OTUD3,0.047542352
PLA2G2E,0.0
PLA2G2A,0.0147545235
PLA2G5,0.0016393913
PLA2G2D,0.0
PLA2G2F,0.0016393913
Z98257.1,0.018033307
PLA2G2C,0.013115132
UBXN10-AS1,0.25738412
UBXN10,0.11967547
LINC01757,0.0
Z98257.2,0.0
VWA5B1,0.0
AL020998.1,0.0
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,0.054099917
MUL1,0.1131179
FAM43B,0.0
CDA,0.006557565
PINK1,0.22295696
PINK1-AS,0.004918174
DDOST,1.2852806
KIF17,0.0
SH2D5,0.0
AL663074.1,0.0
HP1BP3,1.3639711
EIF4G3,0.38033825
ECE1,0.09016649
AL031005.1,0.0
AL031728.1,0.0016393913
AL592309.2,0.0
NBPF3,0.013115132
ALPL,0.0016393913
AL359815.1,0.0
RAP1GAP,0.0016393913
USP48,0.860679
LDLRAD2,0.04262418
HSPG2,0.2885325
CELA3B,0.0
CELA3A,0.0
LINC01635,0.0032787826
CDC42,3.155847
AL031281.2,0.0016393913
WNT4,0.0016393913
ZBTB40,0.12295424
EPHA8,0.0
C1QA,0.9656014
C1QC,0.8475653
C1QB,1.0951133
EPHB2,0.027869655
AL512444.1,0.0
LACTBL1,0.0
TEX46,0.0
KDM1A,0.43935624
AL031428.1,0.0
LUZP1,0.36886245
HTR1D,0.0
LINC01355,0.027869655
AL109936.6,0.0016393913
HNRNPR,1.439383
ZNF436,0.01147574
ZNF436-AS1,0.0147545235
AL109936.2,0.0
TCEA3,0.02295148
ASAP3,0.0032787826
E2F2,0.011475739
AL021154.1,0.0
ID3,0.039345395
MDS2,0.0
RPL11,40.107704
ELOA,0.22131757
ELOA-AS1,0.06557566
PITHD1,0.57706475
LYPLA2,0.20984183
GALE,0.1426269
HMGCL,0.25574467
FUCA1,0.25574473
CNR2,0.006557565
AL590609.3,0.0
PNRC2,0.7623157
SRSF10,1.1623266
AL591178.1,0.0
MYOM3,0.0
AL591178.2,0.0
IL22RA1,0.0
IFNLR1,0.009836349
AL590683.1,0.0
AL138902.1,0.0
GRHL3,0.0
STPG1,0.026230264
NIPAL3,0.21967815
RCAN3,0.2606629
AL445686.2,0.034427222
NCMAP,0.0081969565
SRRM1,2.0328417
AL445648.1,0.0
CLIC4,0.16721775
RUNX3,0.5688682
AL445471.1,0.0
AL445471.2,0.0
AL050344.1,0.0
AL031432.1,0.0016393913
SYF2,1.7557849
AL031432.5,0.0
RSRP1,2.8230443
AL031432.3,0.0
RHD,0.0147545235
TMEM50A,1.9180841
RHCE,0.02131209
MACO1,0.4705045
LDLRAP1,0.06393627
AL606491.1,0.0
MAN1C1,0.09344526
AL031280.1,0.040984787
SELENON,0.19344792
AL020996.1,0.004918174
MTFR1L,0.3032869
AUNIP,0.01147574
AL033528.2,0.0016393913
PAQR7,0.10000282
STMN1,3.4410963
PAFAH2,0.16393892
EXTL1,0.008196957
SLC30A2,0.118036084
TRIM63,0.14426632
PDIK1L,0.114757314
FAM110D,0.0
C1orf232,0.0
AL391650.1,0.0016393913
ZNF593,0.45247132
CNKSR1,0.0032787826
CATSPER4,0.0
CEP85,0.085248314
SH3BGRL3,11.975787
UBXN11,0.11311791
CD52,8.751113
CRYBG2,0.0
ZNF683,0.029509047
LIN28A,0.0
