,Cycling.cancer.cell.1
MANEAL,0.007974013
AL929472.3,0.0001300112
YRDC,0.33184642
C1orf122,1.275945
MTF1,0.21335526
AL929472.2,0.00060671906
INPP5B,0.04663035
SF3A3,0.7382044
FHL3,0.09525394
UTP11,0.42429128
POU3F1,0.0045070546
AL139158.2,0.0001300112
AL139158.3,0.0
LINC01685,0.0
AL354702.2,0.0
RRAGC,0.30917975
AL139260.1,0.010877584
MYCBP,0.27767158
AL139260.3,0.0007367303
GJA9,0.0
RHBDL2,0.07011867
AKIRIN1,1.0991201
NDUFS5,5.5065045
MACF1,1.4117547
AL442071.1,8.667413e-05
BMP8A,0.00017334826
PABPC4,1.4567393
AL365277.1,8.667413e-05
HEYL,0.0040736846
AL035404.2,0.0
NT5C1A,0.0
HPCAL4,0.0023835376
PPIE,0.46082747
BMP8B,0.00663057
OXCT2,0.0026435591
AL033527.3,0.0020801784
AL033527.5,0.0028602446
AL033527.4,0.00017334826
TRIT1,0.19948679
MYCL,0.19510768
AL033527.2,0.0009967528
MFSD2A,0.06543845
CAP1,1.4143838
PPT1,0.48175862
RLF,0.3090066
TMCO2,0.0007367303
AL050341.2,0.1284526
ZMPSTE24,0.5020431
COL9A2,0.40812305
SMAP2,0.13053268
AL031985.4,0.0003033595
ZFP69B,0.023012055
ZFP69,0.014777941
AL603839.3,0.0058071706
EXO5,0.041906666
AL603839.1,8.667413e-05
AL603839.2,0.0003033595
ZNF684,0.060627922
RIMS3,0.010097517
AL031289.1,0.0
NFYC-AS1,0.027172342
NFYC,0.36188167
KCNQ4,0.014777948
CITED4,0.7158673
AC119677.1,0.0001300112
CTPS1,0.18353632
SLFNL1-AS1,0.009577475
SLFNL1,0.0026868964
SCMH1,0.13603674
AC093151.3,0.0030769294
FOXO6,0.048147146
AC093151.2,0.0012134381
EDN2,0.11124658
HIVEP3,0.013781185
AL445933.2,0.0
GUCA2B,0.0003466966
GUCA2A,0.0001300112
FOXJ3,0.24971752
RIMKLA,0.014387909
ZMYND12,0.01776823
PPCS,0.8005089
CCDC30,0.13460647
PPIH,0.69494915
AC098484.2,0.0041603586
YBX1,13.1503525
CLDN19,0.005590485
P3H1,0.0704653
C1orf50,0.047757067
AC098484.3,4.3337066e-05
AC098484.1,0.0
TMEM269,0.0019068304
SVBP,0.5940094
ERMAP,0.057247724
AL512353.1,0.0073672975
ZNF691,0.054950878
SLC2A1,0.67591214
SLC2A1-AS1,0.036272977
AC099795.1,4.3337066e-05
FAM183A,0.021841913
EBNA1BP2,1.5292468
CFAP57,0.03345609
TMEM125,0.2912362
C1orf210,0.15939659
TIE1,0.009057435
MPL,8.667413e-05
AL139289.2,0.09087676
CDC20,2.60556
ELOVL1,0.48028415
MED8,0.49441347
AL139289.1,0.00047670782
SZT2,0.15025245
SZT2-AS1,0.0009967528
HYI,0.3410333
PTPRF,1.7696915
AL451062.3,0.0013001123
KDM4A,0.19697222
KDM4A-AS1,0.021408569
ST3GAL3,0.056294367
AL451062.1,0.0001300112
ARTN,0.050573993
AL357079.1,0.004637067
IPO13,0.08675974
DPH2,0.2014793
ATP6V0B,2.8488781
B4GALT2,0.28274238
CCDC24,0.099891305
SLC6A9,0.073282264
AL139220.2,0.012481056
KLF17,4.3337066e-05
DMAP1,0.36547804
ERI3,0.6750992
RNF220,0.28170204
TMEM53,0.07081195
ARMH1,0.010010848
KIF2C,0.82502323
AL592166.1,0.00095341564
RPS8,38.913322
BEST4,0.010660898
PLK3,0.38540816
TCTEX1D4,0.020021748
BTBD19,0.029425845
PTCH2,0.03185269
EIF2B3,0.20910722
HECTD3,0.06452825
UROD,0.3624875
ZSWIM5,0.0018634934
LINC01144,0.005720497
HPDL,0.04221014
MUTYH,0.08857996
TOE1,0.11753069
TESK2,0.08177611
CCDC163,0.020108448
MMACHC,0.08064927
PRDX1,6.4302807
AKR1A1,0.96185815
NASP,1.7940104
CCDC17,0.013607827
GPBP1L1,0.6836387
TMEM69,0.2252736
IPP,0.15042557
MAST2,0.113023125
PIK3R3,0.3028942
AL358075.4,0.0
AL358075.1,0.0008234044
AL358075.2,0.011527637
TSPAN1,0.30401635
POMGNT1,0.30025187
LURAP1,0.008797414
RAD54L,0.047453795
LRRC41,0.7443517
UQCRH,9.848115
NSUN4,0.19744971
FAAH,0.10465845
DMBX1,0.0110076
AL136373.1,0.0003033595
MKNK1-AS1,0.0003466966
KNCN,4.3337066e-05
MKNK1,0.26228645
MOB3C,0.057941116
ATPAF1,0.6366567
TEX38,0.0010400899
EFCAB14-AS1,0.00047670782
EFCAB14,0.802717
CYP4B1,0.34969547
CYP4A11,0.0024268748
CYP4X1,0.115407355
CYP4Z1,0.008234033
CYP4A22-AS1,0.0035969755
CYP4A22,0.00069339323
LINC00853,0.0072806245
PDZK1IP1,0.5556837
TAL1,0.0005200448
AL135960.1,4.3337066e-05
STIL,0.19367725
CMPK1,0.5379271
LINC01389,0.0016034715
FOXE3,0.0003466966
FOXD2-AS1,0.0033802898
FOXD2,0.0021235154
LINC01738,0.0
TRABD2B,0.0026002226
AL691459.1,0.0
AC096541.1,0.0
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,0.0
SLC5A9,4.3337066e-05
AL109659.2,0.00047670782
SPATA6,0.06691171
AGBL4,0.00338029
BEND5,0.039783213
AC099788.1,8.667413e-05
AL590432.1,4.3337066e-05
ELAVL4,0.00043337073
AL592182.2,0.0001300112
AL592182.1,0.0
AL596275.2,0.0
DMRTA2,0.00086674147
FAF1,0.35611573
AL049637.1,4.3337066e-05
CDKN2C,0.5129521
C1orf185,0.00017334826
LINC01562,0.0009967528
RNF11,0.31277755
AL162430.2,0.00052004494
TTC39A,0.07250253
TTC39A-AS1,0.0026435591
EPS15,0.2726014
AC104170.2,0.00060671906
AC104170.1,0.00052004494
OSBPL9,0.42134422
NRDC,0.9596873
AL050343.1,0.005417137
AL050343.2,0.00086674147
RAB3B,0.017074823
TXNDC12,0.91349864
KTI12,0.105005346
AL445685.1,0.00017334826
TXNDC12-AS1,0.0
BTF3L4,1.1123034
ZFYVE9,0.123771764
CC2D1B,0.08415955
AL513218.1,0.0015601345
ORC1,0.019458387
PRPF38A,0.65148133
TUT4,0.54278266
AL591167.1,0.0010400899
GPX7,0.12853907
SHISAL2A,0.0006500562
COA7,0.22362643
ZYG11B,0.33210552
ZYG11A,0.0146045955
AC099677.4,4.3337066e-05
ECHDC2,0.3725407
SCP2,1.1450652
PODN,0.0050271014
AL445183.1,4.3337066e-05
SLC1A7,0.0001300112
AL445183.2,0.0
CPT2,0.25067174
AL606760.2,0.00489709
C1orf123,0.3919155
AL606760.3,0.008624066
MAGOH,1.4193103
AL606760.1,0.022188649
LRP8,0.1877827
AL355483.4,0.0003033595
AL355483.2,0.0002600224
AL355483.3,4.3337066e-05
LINC01771,0.0017334823
AC119428.1,0.0
AC119428.2,0.0029469186
DMRTB1,0.00017334826
GLIS1,0.0026435594
NDC1,0.31099978
YIPF1,0.13239658
DIO1,0.004030348
HSPB11,0.6999734
LRRC42,0.34939978
LDLRAD1,0.030595876
TMEM59,2.471599
TCEANC2,0.09889435
AL357673.1,0.0008234044
CDCP2,8.667413e-05
AL357673.2,0.0019935046
CYB5RL,0.060627952
MRPL37,0.72550327
SSBP3,0.9069627
SSBP3-AS1,0.0026868964
AL161644.1,8.667413e-05
AL035415.1,4.3337066e-05
AC099796.1,4.3337066e-05
ACOT11,0.10409552
FAM151A,0.0002600224
MROH7,0.005547148
MROH7-TTC4,8.667413e-05
TTC4,0.09148338
PARS2,0.062014695
TTC22,0.07852579
AC096536.2,0.0
LEXM,0.0021235154
DHCR24,1.2190869
AC096536.3,0.0012134381
AC096536.1,0.011310949
TMEM61,0.020671815
AL590440.1,0.0
BSND,0.0020801784
PCSK9,0.0021668528
USP24,0.24417001
MIR4422HG,0.00021668535
AL603840.1,0.0002600224
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,0.00338029
AC119674.2,0.006413887
LINC01767,0.00052004494
PLPP3,0.123554945
PRKAA2,0.14136752
FYB2,0.013001107
AL360295.1,0.0
C8A,0.00017334826
C8B,0.0001300112
AL161740.1,0.0
DAB1,0.0019501678
AL390243.1,0.0
DAB1-AS1,0.0
AL445193.2,0.0
OMA1,0.13456349
TACSTD2,1.423636
MYSM1,0.29544178
AL136985.3,0.0009967528
JUN,8.820869
LINC01135,0.00065005606
AL136985.2,0.0013867865
AL136985.1,0.00017334826
AC105277.1,0.011787658
LINC01358,0.004377045
AL592431.2,0.0
AL592431.1,0.0
AC093424.1,0.0010834269
FGGY,0.100584805
AL035416.1,0.0
HOOK1,0.46234134
CYP2J2,0.028559107
C1orf87,0.00095341564
AC097066.1,0.0
LINC01748,0.018678294
AC099792.1,0.0
NFIA,1.0192276
NFIA-AS2,0.00021668535
AC099791.3,0.00039003367
TM2D1,0.51899004
