,Fibroblast
AL445490.1,0.00046496282
FAM76A,0.14288424
STX12,0.45287928
PPP1R8,0.17665087
THEMIS2,0.05768427
RPA2,0.3416355
SMPDL3B,0.016950957
AL512288.1,8.97297e-05
XKR8,0.07588048
EYA3,0.1343037
PTAFR,0.003173169
DNAJC8,1.3720969
ATP5IF1,1.5075332
AL353622.1,0.012448086
AL353622.2,7.341521e-05
SESN2,0.11579805
MED18,0.05815692
PHACTR4,0.44945285
RCC1,0.11470437
TRNAU1AP,0.29406875
SNHG12,0.2349121
TAF12,0.3829878
RAB42,0.07082392
LINC01715,0.0050656227
AL360012.1,0.060139727
GMEB1,0.14938475
YTHDF2,0.6715472
OPRD1,0.0013867345
AL009181.1,0.0006281077
EPB41,0.11509657
TMEM200B,0.09079825
AL357500.1,3.262898e-05
SRSF4,1.0473998
MECR,0.15400125
AL590729.1,0.0
PTPRU,0.08822115
LINC01756,1.631449e-05
AC092265.1,4.894347e-05
AL645944.2,8.157245e-06
LINC01648,1.631449e-05
AL137076.1,0.0
MATN1,0.0019006432
MATN1-AS1,0.01769332
LAPTM5,0.0170732
AL137027.1,0.0
LINC01778,0.0015335657
AL445235.1,0.0
SDC3,0.14882228
PUM1,0.7902624
NKAIN1,0.0049187965
SNRNP40,0.33956417
ZCCHC17,0.4004175
AL451070.1,0.00010604419
FABP3,0.047498126
SERINC2,0.3946144
AC114488.1,4.894347e-05
TINAGL1,0.15303698
HCRTR1,4.0786224e-05
PEF1,0.36639777
AC114488.2,0.0010522861
AC114488.3,0.0005302208
COL16A1,1.0006988
ADGRB2,0.10770638
AL354919.2,3.262898e-05
SPOCD1,0.06907925
AL354919.1,0.00031813246
AL136115.2,0.0043233237
PTP4A2,1.9315763
AL136115.1,0.0002284028
AL136115.3,8.157245e-06
KHDRBS1,1.458137
AL445248.1,0.0053837574
TMEM39B,0.14086138
KPNA6,0.40841088
TXLNA,0.5333967
CCDC28B,0.2675687
AL049795.1,0.0049269516
IQCC,0.013981692
DCDC2B,0.0009217697
TMEM234,0.16380487
EIF3I,1.3760269
FAM167B,0.021445595
LCK,0.0023248196
HDAC1,0.3113846
MARCKSL1,2.638149
AL109945.1,0.0
TSSK3,0.007113134
FAM229A,0.051411804
BSDC1,0.3334549
AL033529.1,8.157245e-06
ZBTB8B,0.0043233237
ZBTB8A,0.16095048
ZBTB8OS,0.40664944
RBBP4,0.7504314
SYNC,0.2178971
AC114489.1,0.0006199505
KIAA1522,0.1201862
YARS,0.2334921
S100PBP,0.21625753
FNDC5,0.025564581
HPCA,0.0070723468
TMEM54,0.35537967
RNF19B,0.1232202
AL020995.1,0.0006117932
AK2,0.50233287
AZIN2,0.07812367
TRIM62,0.014862694
AL662907.3,0.0014519928
ZNF362,0.11807265
AL513327.3,0.00060363597
A3GALT2,1.631449e-05
AL513327.1,0.0021045753
PHC2,0.64601845
AL513327.2,0.00017945937
ZSCAN20,0.020711562
CSMD2,0.22614355
HMGB4,0.00011420142
CSMD2-AS1,9.788694e-05
C1orf94,0.0014030491
SMIM12,0.30534914
GJB5,0.00012235866
GJB4,0.00021208836
AL121988.1,0.0
GJB3,0.0036707541
GJA4,0.096782066
AL122010.1,8.157245e-06
DLGAP3,0.0018027559
AC114490.3,0.029691633
AC114490.2,0.0045925085
TMEM35B,0.0028550397
ZMYM6,0.09302491
ZMYM1,0.10829347
AL590434.1,0.0016069808
SFPQ,2.0337853
ZMYM4,0.57522243
ZMYM4-AS1,0.0008972978
KIAA0319L,0.2507995
NCDN,0.0888244
AC004865.2,0.0054082302
TFAP2E,0.0026918973
PSMB2,1.2366234
C1orf216,0.113921136
CLSPN,0.0697262
AL354864.1,0.00012235866
AGO4,0.09336749
AGO1,0.15705146
AL139286.2,0.0009707134
AGO3,0.36297232
AL138787.2,9.788694e-05
TEKT2,0.0047230255
ADPRHL2,0.30317962
COL8A2,0.23805256
TRAPPC3,0.5530944
MAP7D1,0.51959705
THRAP3,1.5347258
SH3D21,0.037407428
EVA1B,1.9248345
AL591845.1,0.040058307
STK40,0.101466864
LSM10,0.46340093
OSCP1,0.054184843
MRPS15,0.73330086
CSF3R,0.013190391
AL596257.1,5.7100715e-05
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.0016151383
AL031430.1,8.157245e-06
AL353604.1,8.157245e-06
LINC01137,0.04631413
ZC3H12A,0.12198209
MEAF6,0.6154896
SNIP1,0.18169978
DNALI1,0.17547697
GNL2,0.31422248
RSPO1,0.040572416
C1orf109,0.09791064
CDCA8,0.024683822
EPHA10,0.0003262897
MANEAL,0.003377097
AL929472.3,2.4471736e-05
YRDC,0.1602817
C1orf122,1.529965
MTF1,0.12629454
AL929472.2,0.0011828026
INPP5B,0.079395756
SF3A3,0.38521427
FHL3,0.42321524
UTP11,0.37743375
POU3F1,0.0047474974
AL139158.2,0.0004404911
AL139158.3,0.0
LINC01685,0.0
AL354702.2,2.4471736e-05
RRAGC,0.30070016
AL139260.1,0.013068056
MYCBP,0.1061486
AL139260.3,0.0015498801
GJA9,1.631449e-05
