,Cancer.cell.3
SMIM12,0.3929271
GJB5,0.011216187
GJB4,0.011414708
AL121988.1,0.0
GJB3,0.082186446
GJA4,0.015236163
AL122010.1,4.9629216e-05
DLGAP3,0.0133998655
AC114490.3,0.037122656
AC114490.2,0.0036725637
TMEM35B,0.0012407304
ZMYM6,0.09231147
ZMYM1,0.12238764
AL590434.1,0.0014888762
SFPQ,2.475955
ZMYM4,0.5313242
ZMYM4-AS1,0.0012407304
KIAA0319L,0.43089503
NCDN,0.111270316
AC004865.2,0.0028288667
TFAP2E,0.002382203
PSMB2,2.2509067
C1orf216,0.075188644
CLSPN,0.040447798
AL354864.1,0.00034740454
AGO4,0.09608339
AGO1,0.22011107
AL139286.2,0.0015385055
AGO3,0.46260452
AL138787.2,0.00069480913
TEKT2,0.04148998
ADPRHL2,0.650864
COL8A2,0.040497407
TRAPPC3,0.9987173
MAP7D1,0.3840425
THRAP3,1.5296463
SH3D21,0.019256175
EVA1B,0.2856214
AL591845.1,0.018114686
STK40,0.2147017
LSM10,0.47883013
OSCP1,0.110674836
MRPS15,1.3871471
CSF3R,0.02104279
AL596257.1,0.00029777532
AC117945.2,0.0
AC117945.1,9.925843e-05
GRIK3,0.03454198
AL031430.1,0.0
AL353604.1,4.9629216e-05
LINC01137,0.048239436
ZC3H12A,0.31832945
MEAF6,0.9807586
SNIP1,0.21058242
DNALI1,0.29649186
GNL2,0.5582178
RSPO1,0.13151875
C1orf109,0.17345811
CDCA8,0.028586544
EPHA10,0.0073451167
MANEAL,0.020695454
AL929472.3,9.925843e-05
YRDC,0.29321808
C1orf122,1.6439599
MTF1,0.20656215
AL929472.2,0.00029777532
INPP5B,0.04823942
SF3A3,0.58069587
FHL3,0.09062389
UTP11,0.3751591
POU3F1,0.0027296073
AL139158.2,0.00014888766
AL139158.3,0.0
LINC01685,0.0
AL354702.2,4.9629216e-05
RRAGC,0.33783603
AL139260.1,0.012407283
MYCBP,0.22021042
AL139260.3,0.0009925845
GJA9,0.0
RHBDL2,0.11305708
AKIRIN1,0.8088071
NDUFS5,4.974466
MACF1,1.780682
AL442071.1,9.925843e-05
BMP8A,4.9629216e-05
PABPC4,1.2523118
AL365277.1,0.0002481461
HEYL,0.003225901
AL035404.2,4.9629216e-05
NT5C1A,0.0
HPCAL4,0.0009429553
PPIE,0.4707925
BMP8B,0.007841408
OXCT2,0.0033251592
AL033527.3,0.0017370223
AL033527.5,0.002183686
AL033527.4,0.0002481461
TRIT1,0.17023198
MYCL,0.13995668
AL033527.2,0.00054592144
MFSD2A,0.071019754
CAP1,1.2550622
PPT1,0.4345175
RLF,0.2563918
TMCO2,0.00029777532
AL050341.2,0.10030194
ZMPSTE24,0.4317389
COL9A2,0.26904717
SMAP2,0.1451684
AL031985.4,0.0002481461
ZFP69B,0.023325827
ZFP69,0.015881352
AL603839.3,0.0063029057
EXO5,0.037569303
AL603839.1,0.0
AL603839.2,4.9629216e-05
ZNF684,0.03498863
RIMS3,0.010074716
AL031289.1,0.0
NFYC-AS1,0.019008033
NFYC,0.3167929
KCNQ4,0.026353242
CITED4,1.2211133
AC119677.1,0.00034740454
CTPS1,0.20512226
SLFNL1-AS1,0.012853946
SLFNL1,0.0027296082
SCMH1,0.1389644
AC093151.3,0.0046155164
FOXO6,0.033450123
AC093151.2,0.0008436969
EDN2,0.07111881
HIVEP3,0.033847164
AL445933.2,0.0
GUCA2B,0.00069480913
GUCA2A,0.00029777532
FOXJ3,0.2580295
RIMKLA,0.012308025
ZMYND12,0.023772502
PPCS,1.0179799
CCDC30,0.149635
PPIH,0.36811146
AC098484.2,0.0030770132
YBX1,9.618154
CLDN19,0.0029777545
P3H1,0.062483218
C1orf50,0.041936602
AC098484.3,0.00034740454
AC098484.1,4.9629216e-05
TMEM269,0.0011911013
SVBP,0.39114016
ERMAP,0.06228473
AL512353.1,0.008089553
ZNF691,0.05692446
SLC2A1,0.6346305
SLC2A1-AS1,0.038611498
AC099795.1,0.00019851686
FAM183A,0.026402803
EBNA1BP2,1.1772374
CFAP57,0.043673586
TMEM125,0.32532895
C1orf210,0.18199466
TIE1,0.007940667
MPL,0.0002481461
AL139289.2,0.047643926
CDC20,0.0532024
ELOVL1,0.48319697
MED8,0.5110306
AL139289.1,0.0006451799
SZT2,0.16169584
SZT2-AS1,0.0007444384
HYI,0.25554812
PTPRF,1.9808304
AL451062.3,0.0013896179
KDM4A,0.15559101
KDM4A-AS1,0.016873943
ST3GAL3,0.047197208
AL451062.1,0.00029777532
ARTN,0.06069642
AL357079.1,0.006451792
IPO13,0.09300632
DPH2,0.18090273
ATP6V0B,2.9080238
B4GALT2,0.25728473
CCDC24,0.13147025
SLC6A9,0.099458106
AL139220.2,0.020199152
KLF17,0.00014888766
DMAP1,0.33555374
ERI3,0.60546017
RNF220,0.28210077
TMEM53,0.12472034
ARMH1,0.020000625
KIF2C,0.014690236
AL592166.1,0.0018362809
RPS8,38.943035
BEST4,0.01791617
PLK3,0.5062709
TCTEX1D4,0.022432478
BTBD19,0.047197215
PTCH2,0.028834673
EIF2B3,0.21321252
HECTD3,0.08074754
UROD,0.36175892
ZSWIM5,0.0034244182
LINC01144,0.0061540185
HPDL,0.050423127
MUTYH,0.0786133
TOE1,0.102138266
TESK2,0.036229305
CCDC163,0.007394745
MMACHC,0.05136601
PRDX1,5.6128206
AKR1A1,0.9564466
NASP,1.3016868
CCDC17,0.012159138
GPBP1L1,0.5634791
TMEM69,0.19738048
IPP,0.18273917
MAST2,0.08203778
PIK3R3,0.27931994
AL358075.4,4.9629216e-05
AL358075.1,0.00079406763
AL358075.2,0.007891037
TSPAN1,0.5037851
POMGNT1,0.30592385
LURAP1,0.0069977124
RAD54L,0.013002834
LRRC41,0.6982929
UQCRH,9.103712
NSUN4,0.19926634
FAAH,0.10640668
DMBX1,0.0067991987
AL136373.1,9.925843e-05
MKNK1-AS1,0.00034740454
KNCN,4.9629216e-05
MKNK1,0.24036095
MOB3C,0.121196516
ATPAF1,0.59612787
TEX38,0.0015881348
EFCAB14-AS1,0.00044666295
EFCAB14,0.7994829
CYP4B1,1.018063
CYP4A11,0.0055584707
CYP4X1,0.14750087
CYP4Z1,0.014789492
CYP4A22-AS1,0.006054759
CYP4A22,0.001687393
LINC00853,0.01677469
PDZK1IP1,1.5079468
TAL1,0.00014888766
AL135960.1,0.0
STIL,0.038164876
CMPK1,0.7245473
LINC01389,0.0012407304
FOXE3,0.00044666295
FOXD2-AS1,0.0027792372
FOXD2,0.00332516
LINC01738,0.0
TRABD2B,0.002382203
AL691459.1,0.0
AC096541.1,4.9629216e-05
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,4.9629216e-05
SLC5A9,0.00014888766
AL109659.2,0.0007444384
SPATA6,0.09047507
AGBL4,0.006203647
BEND5,0.027941395
AC099788.1,0.00014888766
AL590432.1,0.0
ELAVL4,0.0002481461
AL592182.2,9.925843e-05
AL592182.1,0.0
AL596275.2,0.0
DMRTA2,0.0010918429
FAF1,0.30557626
AL049637.1,9.925843e-05
CDKN2C,0.1862612
C1orf185,0.00019851686
LINC01562,0.0008436968
RNF11,0.29435945
AL162430.2,0.00029777532
TTC39A,0.09171536
TTC39A-AS1,0.0036725637
EPS15,0.33451125
AC104170.2,0.0008436969
AC104170.1,0.00029777532
OSBPL9,0.37932828
NRDC,0.79495907
AL050343.1,0.004665145
AL050343.2,0.00079406763
RAB3B,0.009578427
TXNDC12,0.61989397
KTI12,0.08322903
AL445685.1,9.925843e-05
TXNDC12-AS1,9.925843e-05
BTF3L4,1.1306623
ZFYVE9,0.1262589
CC2D1B,0.09618267
AL513218.1,0.0017370223
ORC1,0.009082138
PRPF38A,0.49748456
TUT4,0.48805788
AL591167.1,0.0005955507
GPX7,0.10010348
SHISAL2A,0.0010422136
COA7,0.19127575
ZYG11B,0.3207631
ZYG11A,0.0058562444
AC099677.4,4.9629216e-05
ECHDC2,0.5464578
SCP2,1.3733239
PODN,0.00501255
AL445183.1,4.9629216e-05
SLC1A7,0.0
AL445183.2,0.00019851686
CPT2,0.22805232
AL606760.2,0.0040199673
C1orf123,0.3778396
AL606760.3,0.0070969714
MAGOH,1.1710308
AL606760.1,0.018660622
LRP8,0.28472948
AL355483.4,0.00019851686
AL355483.2,0.00014888766
AL355483.3,0.0
LINC01771,0.0021340565
AC119428.1,0.00014888766
AC119428.2,0.006848825
DMRTB1,0.00014888766
GLIS1,0.0040695965
NDC1,0.11469496
YIPF1,0.18199489
DIO1,0.005707358
HSPB11,0.69408584
LRRC42,0.36915362
