,Dendritic.cell
FHL3,0.047614492
UTP11,0.3319763
POU3F1,0.007935751
AL139158.2,0.0
AL139158.3,0.0
LINC01685,0.00026452506
AL354702.2,0.0
RRAGC,0.65813035
AL139260.1,0.018781288
MYCBP,0.45973974
AL139260.3,0.0021162003
GJA9,0.0
RHBDL2,0.003703351
AKIRIN1,0.8975211
NDUFS5,1.7516929
MACF1,0.90995467
AL442071.1,0.0
BMP8A,0.00026452506
PABPC4,0.65151787
AL365277.1,0.0
HEYL,0.00026452506
AL035404.2,0.0
NT5C1A,0.0
HPCAL4,0.00026452506
PPIE,0.3616024
BMP8B,0.0013226253
OXCT2,0.0063486015
AL033527.3,0.0
AL033527.5,0.043911174
AL033527.4,0.0034388262
TRIT1,0.25076836
MYCL,0.93085176
AL033527.2,0.003174301
MFSD2A,0.31716362
CAP1,2.7294142
PPT1,0.4980973
RLF,0.29520804
TMCO2,0.0
AL050341.2,0.029097782
ZMPSTE24,0.33594424
COL9A2,0.009258376
SMAP2,1.0773971
AL031985.4,0.00026452506
ZFP69B,0.0092583755
ZFP69,0.007142176
AL603839.3,0.005819551
EXO5,0.037827123
AL603839.1,0.0
AL603839.2,0.00026452506
ZNF684,0.058724497
RIMS3,0.23040028
AL031289.1,0.0
NFYC-AS1,0.03623997
NFYC,0.30552414
KCNQ4,0.00079357525
CITED4,0.030155886
AC119677.1,0.0
CTPS1,0.226168
SLFNL1-AS1,0.010316475
SLFNL1,0.0034388262
SCMH1,0.091525555
AC093151.3,0.0010581003
FOXO6,0.0021162003
AC093151.2,0.0
EDN2,0.0
HIVEP3,0.3914941
AL445933.2,0.0
GUCA2B,0.0
GUCA2A,0.0
FOXJ3,0.25473627
RIMKLA,0.0010581003
ZMYND12,0.0026452506
PPCS,0.81525505
CCDC30,0.10342932
PPIH,0.26187828
AC098484.2,0.0021162003
YBX1,5.682551
CLDN19,0.00026452506
P3H1,0.07909278
C1orf50,0.07882826
AC098484.3,0.00079357525
AC098484.1,0.0
TMEM269,0.0021162003
SVBP,0.28198224
ERMAP,0.04840807
AL512353.1,0.0018516753
ZNF691,0.034652818
SLC2A1,0.809436
SLC2A1-AS1,0.03227209
AC099795.1,0.0
FAM183A,0.00026452506
EBNA1BP2,0.35472465
CFAP57,0.0034388262
TMEM125,0.0052905018
C1orf210,0.0005290501
TIE1,0.0018516753
MPL,0.0
AL139289.2,0.00899385
CDC20,0.006613127
ELOVL1,0.35789934
MED8,0.20976807
AL139289.1,0.00026452506
SZT2,0.25896868
SZT2-AS1,0.0
HYI,0.22114219
PTPRF,0.005025977
AL451062.3,0.0018516753
KDM4A,0.11850731
KDM4A-AS1,0.011374577
ST3GAL3,0.06004711
AL451062.1,0.0
ARTN,0.005819551
AL357079.1,0.0034388262
IPO13,0.069569916
DPH2,0.08253162
ATP6V0B,3.361362
B4GALT2,0.0034388262
CCDC24,0.007142176
SLC6A9,0.0034388262
AL139220.2,0.00079357525
KLF17,0.0
DMAP1,0.19019331
ERI3,0.1933676
RNF220,0.280924
TMEM53,0.14019848
ARMH1,0.45683074
