,Cycling.cancer.cell.2
AL049795.1,0.005510226
IQCC,0.065910935
DCDC2B,0.0021679543
TMEM234,0.14908165
EIF3I,1.6795889
FAM167B,0.005961881
LCK,0.0031917137
HDAC1,0.8295196
MARCKSL1,3.0526738
AL109945.1,0.0
TSSK3,0.0075878403
FAM229A,0.05407788
BSDC1,0.35102344
AL033529.1,0.0
ZBTB8B,0.023305552
ZBTB8A,0.12818311
ZBTB8OS,0.60783935
RBBP4,1.5092529
SYNC,0.25268498
AC114489.1,0.00045165754
KIAA1522,0.5255259
YARS,0.39892173
S100PBP,0.28216332
FNDC5,0.011472101
HPCA,0.007467399
TMEM54,0.4201214
RNF19B,0.12074511
AL020995.1,0.000722652
AK2,1.0635821
AZIN2,0.010388106
TRIM62,0.021769963
AL662907.3,0.00448647
ZNF362,0.13053209
AL513327.3,0.0010237567
A3GALT2,3.01105e-05
AL513327.1,0.00581133
PHC2,0.354545
AL513327.2,0.001174309
ZSCAN20,0.01782549
CSMD2,0.008762149
HMGB4,3.01105e-05
CSMD2-AS1,0.0
C1orf94,0.0001505525
SMIM12,0.42658702
GJB5,0.004366027
GJB4,0.003703592
AL121988.1,0.0
GJB3,0.068259664
GJA4,0.018939553
AL122010.1,3.01105e-05
DLGAP3,0.020595664
AC114490.3,0.019722467
AC114490.2,0.0023486172
TMEM35B,0.0011140881
ZMYM6,0.08337498
ZMYM1,0.1591386
AL590434.1,0.00060221006
SFPQ,2.844251
ZMYM4,0.48990425
ZMYM4-AS1,0.00078287296
KIAA0319L,0.33449098
NCDN,0.08719949
AC004865.2,0.0020475127
TFAP2E,0.0021679546
PSMB2,2.1320064
C1orf216,0.070005834
CLSPN,0.94171643
AL354864.1,3.01105e-05
AGO4,0.0790689
AGO1,0.22763573
AL139286.2,0.0015055242
AGO3,0.46846905
AL138787.2,3.01105e-05
TEKT2,0.026707975
ADPRHL2,0.52347404
COL8A2,0.031104084
TRAPPC3,0.9052515
MAP7D1,0.34653425
THRAP3,1.6666449
SH3D21,0.027219843
EVA1B,0.30492714
AL591845.1,0.025834775
STK40,0.15245397
LSM10,0.4577165
OSCP1,0.072023235
MRPS15,1.5957747
CSF3R,0.0064737564
AL596257.1,0.0004516575
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.029508205
AL031430.1,0.0
AL353604.1,0.0
LINC01137,0.027852148
ZC3H12A,0.15242201
MEAF6,0.99605715
SNIP1,0.19912228
DNALI1,0.27367464
GNL2,0.54093754
RSPO1,0.0773231
C1orf109,0.21077552
CDCA8,0.3565602
EPHA10,0.0052994536
MANEAL,0.04098017
AL929472.3,9.03315e-05
YRDC,0.27578124
C1orf122,1.361152
MTF1,0.17085136
AL929472.2,0.00054198905
INPP5B,0.06714541
SF3A3,0.744232
FHL3,0.08756068
UTP11,0.43131366
POU3F1,0.0018066289
AL139158.2,0.00027099453
AL139158.3,3.01105e-05
LINC01685,0.0
AL354702.2,0.0
RRAGC,0.2685236
AL139260.1,0.009545011
MYCBP,0.2952313
AL139260.3,0.000722652
GJA9,6.0221e-05
RHBDL2,0.07590742
AKIRIN1,0.8007903
NDUFS5,5.5091734
MACF1,1.4697616
AL442071.1,6.0221e-05
BMP8A,0.00024088401
PABPC4,1.4697484
AL365277.1,6.0221e-05
HEYL,0.002890607
AL035404.2,0.0
NT5C1A,0.0
HPCAL4,0.0018969604
PPIE,0.4676543
BMP8B,0.021318305
OXCT2,0.0037638156
AL033527.3,0.0024991694
AL033527.5,0.0036433728
AL033527.4,0.0001505525
TRIT1,0.1725982
MYCL,0.2030344
AL033527.2,0.0006925415
MFSD2A,0.07870775
CAP1,1.101478
PPT1,0.4589564
RLF,0.24823041
TMCO2,0.00036132603
AL050341.2,0.09039128
ZMPSTE24,0.42438868
COL9A2,0.26009402
SMAP2,0.15685093
AL031985.4,0.00021077349
ZFP69B,0.025654128
ZFP69,0.016139286
AL603839.3,0.0060221017
EXO5,0.0549811
AL603839.1,6.0221e-05
AL603839.2,6.0221e-05
ZNF684,0.06389357
RIMS3,0.011472099
AL031289.1,0.0
NFYC-AS1,0.023305556
NFYC,0.35839483
KCNQ4,0.016470505
CITED4,0.77838194
AC119677.1,0.00036132603
CTPS1,0.37733582
SLFNL1-AS1,0.015356402
SLFNL1,0.0022582859
SCMH1,0.1526348
AC093151.3,0.0034627095
FOXO6,0.04372009
AC093151.2,0.0011441986
EDN2,0.13167429
HIVEP3,0.024359405
AL445933.2,3.01105e-05
GUCA2B,0.00039143654
GUCA2A,0.0
FOXJ3,0.21601334
RIMKLA,0.025262706
ZMYND12,0.016801726
PPCS,0.8337235
CCDC30,0.1166801
PPIH,0.60076475
AC098484.2,0.0037337048
YBX1,13.106405
CLDN19,0.004727354
P3H1,0.06434525
C1orf50,0.04239519
AC098484.3,9.03315e-05
AC098484.1,3.01105e-05
TMEM269,0.00093342527
SVBP,0.36719018
ERMAP,0.051157165
AL512353.1,0.010117109
ZNF691,0.057751156
SLC2A1,0.61459005
SLC2A1-AS1,0.03191701
AC099795.1,6.0221e-05
FAM183A,0.014784273
EBNA1BP2,1.0979167
CFAP57,0.020113865
TMEM125,0.2513609
C1orf210,0.16305248
TIE1,0.008822365
MPL,0.0001505525
AL139289.2,0.048898965
CDC20,0.4004286
ELOVL1,0.44140157
MED8,0.4378492
AL139289.1,0.00036132603
SZT2,0.1421254
SZT2-AS1,0.0010237567
HYI,0.2667778
PTPRF,1.7900987
AL451062.3,0.0012044195
KDM4A,0.12550294
KDM4A-AS1,0.029658733
ST3GAL3,0.06795836
AL451062.1,0.00021077349
ARTN,0.058052357
AL357079.1,0.004727355
IPO13,0.08373637
DPH2,0.15916865
ATP6V0B,3.0632422
B4GALT2,0.32359624
CCDC24,0.116709925
SLC6A9,0.067326166
AL139220.2,0.013519636
KLF17,0.0
DMAP1,0.2977607
ERI3,0.7314804
RNF220,0.28231353
TMEM53,0.07738276
ARMH1,0.011140881
KIF2C,0.33590978
AL592166.1,0.0010538672
RPS8,37.85929
BEST4,0.01547684
PLK3,0.3705343
TCTEX1D4,0.017855573
BTBD19,0.030140493
PTCH2,0.032549333
EIF2B3,0.21974853
HECTD3,0.065067895
UROD,0.3440376
ZSWIM5,0.0037638154
LINC01144,0.004877908
HPDL,0.08451937
MUTYH,0.1122535
TOE1,0.19075195
TESK2,0.03703569
CCDC163,0.011140878
MMACHC,0.057690967
PRDX1,5.3865514
AKR1A1,0.9053712
NASP,3.0675304
CCDC17,0.007527619
GPBP1L1,0.4600372
TMEM69,0.18470222
IPP,0.19936363
MAST2,0.139204
PIK3R3,0.23197241
AL358075.4,0.0
AL358075.1,0.00093342527
AL358075.2,0.008762143
TSPAN1,0.28646937
POMGNT1,0.26611638
LURAP1,0.0055403365
RAD54L,0.19599067
LRRC41,0.62200963
UQCRH,9.874822
NSUN4,0.17389268
FAAH,0.10933262
DMBX1,0.015747832
AL136373.1,0.00027099453
MKNK1-AS1,0.00060221006
KNCN,9.03315e-05
MKNK1,0.23570573
MOB3C,0.058714736
ATPAF1,0.6842375
TEX38,0.0011441986
EFCAB14-AS1,0.00036132603
EFCAB14,0.675082
CYP4B1,0.51011485
CYP4A11,0.003522929
CYP4X1,0.09837193
CYP4Z1,0.008792251
CYP4A22-AS1,0.0048477976
CYP4A22,0.0012345299
LINC00853,0.010719325
PDZK1IP1,0.70545465
TAL1,0.00030110503
AL135960.1,0.0
STIL,0.24001083
CMPK1,0.6231045
LINC01389,0.003251935
FOXE3,0.0015958557
FOXD2-AS1,0.0050585708
FOXD2,0.0037035942
LINC01738,0.0
TRABD2B,0.008430933
AL691459.1,0.0
AC096541.1,0.0
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,3.01105e-05
SLC5A9,0.000120442
AL109659.2,0.0010237567
SPATA6,0.10454445
AGBL4,0.006895301
BEND5,0.041943617
AC099788.1,0.0001505525
AL590432.1,0.0
ELAVL4,0.0005720995
AL592182.2,6.0221e-05
AL592182.1,0.0
AL596275.2,6.0221e-05
DMRTA2,0.001354972
FAF1,0.46939987
AL049637.1,0.000120442
CDKN2C,0.43905854
C1orf185,0.00054198905
LINC01562,0.00060221006
RNF11,0.23034528
AL162430.2,0.00033121553
TTC39A,0.0975281
TTC39A-AS1,0.0032519344
EPS15,0.26623544
AC104170.2,0.00060221006
AC104170.1,0.00021077349
OSBPL9,0.37552664
NRDC,0.75200725
AL050343.1,0.0043058065
AL050343.2,0.0007527625
RAB3B,0.0151757365
TXNDC12,0.69022906
KTI12,0.084308445
AL445685.1,6.0221e-05
TXNDC12-AS1,0.0001505525
BTF3L4,1.3128767
ZFYVE9,0.13068272
CC2D1B,0.087319896
AL513218.1,0.0018367394
ORC1,0.11613818
PRPF38A,0.5630945
TUT4,0.5623428
AL591167.1,0.00060221006
GPX7,0.13926415
SHISAL2A,0.0013850823
COA7,0.21483989
ZYG11B,0.33202422
ZYG11A,0.013790637
AC099677.4,3.01105e-05
ECHDC2,0.42532486
SCP2,1.2353294
PODN,0.004787575
AL445183.1,0.0
SLC1A7,9.03315e-05
AL445183.2,0.0
CPT2,0.23934892
AL606760.2,0.0039143683
C1orf123,0.3895262
AL606760.3,0.006684528
MAGOH,1.1632949
AL606760.1,0.019481586
LRP8,0.26686984
AL355483.4,0.00021077349
AL355483.2,0.000180663
AL355483.3,0.0
LINC01771,0.0024088386
AC119428.1,0.0
AC119428.2,0.0029508285
DMRTB1,0.0001505525
GLIS1,0.004155253
NDC1,0.29505128
YIPF1,0.09843169
DIO1,0.0020776233
HSPB11,1.0164443
LRRC42,0.39166364
LDLRAD1,0.03206754
TMEM59,2.4794745
TCEANC2,0.10764614
AL357673.1,0.00084309385
CDCP2,3.01105e-05
AL357673.2,0.0014453033
CYB5RL,0.08298348
MRPL37,0.8256029
SSBP3,0.7127826
SSBP3-AS1,0.0012044195
AL161644.1,3.01105e-05
AL035415.1,0.0
AC099796.1,0.000120442
ACOT11,0.15669939
FAM151A,0.0001505525
MROH7,0.010237554
MROH7-TTC4,0.000120442
TTC4,0.08650694
PARS2,0.06467641
TTC22,0.05624569
AC096536.2,0.0
LEXM,0.0022582859
DHCR24,1.3455846
AC096536.3,0.0010839776
AC096536.1,0.0112613235
TMEM61,0.022582928
AL590440.1,3.01105e-05
BSND,0.0023787278
PCSK9,0.0018367396
USP24,0.1660338
MIR4422HG,0.00027099453
AL603840.1,0.000120442
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,0.0047273543
AC119674.2,0.005209122
LINC01767,0.0009635358
PLPP3,0.12122599
PRKAA2,0.18539305
FYB2,0.017976033
AL360295.1,0.0
C8A,0.000180663
C8B,3.01105e-05
AL161740.1,0.000120442
DAB1,0.0016861871
AL390243.1,0.0
DAB1-AS1,3.01105e-05
AL445193.2,0.0
OMA1,0.14920202
TACSTD2,1.349176
MYSM1,0.25334778
AL136985.3,0.0015657451
JUN,8.621799
LINC01135,0.0006925415
AL136985.2,0.001174309
AL136985.1,0.0001505525
AC105277.1,0.012014093
LINC01358,0.0051489
AL592431.2,0.0
AL592431.1,0.0
AC093424.1,0.0010538672
FGGY,0.11171127
AL035416.1,3.01105e-05
HOOK1,0.53621066
CYP2J2,0.029448004
C1orf87,0.000301105
AC097066.1,0.0
LINC01748,0.01918043
AC099792.1,0.0
NFIA,0.9986075
NFIA-AS2,6.0221e-05
AC099791.3,0.0007527625
TM2D1,0.5244962
AC099791.2,0.026075661
PATJ,0.5934159
L1TD1,0.013760508
KANK4,0.025925087
