,Plasma.cell
ECE1,0.11207765
AL031005.1,2.8857094e-05
AL031728.1,0.0036648551
AL592309.2,0.0
NBPF3,0.0020777099
ALPL,0.0018757103
AL359815.1,2.8857094e-05
RAP1GAP,0.0009522838
USP48,0.522752
LDLRAD2,0.014111167
HSPG2,0.017372057
CELA3B,0.0
CELA3A,0.0
LINC01635,0.0022797093
CDC42,0.7384643
AL031281.2,0.00028857094
WNT4,0.030790761
ZBTB40,0.1138674
EPHA8,0.00014428547
C1QA,0.41544873
C1QC,0.25235122
C1QB,0.53658736
EPHB2,0.0070411335
AL512444.1,0.0
LACTBL1,0.0
TEX46,0.0
KDM1A,0.101026125
AL031428.1,0.0
LUZP1,0.061551422
HTR1D,0.0021354242
LINC01355,0.016419759
AL109936.6,0.0006925701
HNRNPR,0.5458972
ZNF436,0.0043574288
ZNF436-AS1,0.0045882864
AL109936.2,0.0
TCEA3,0.0032031392
ASAP3,0.0008368555
E2F2,0.02813581
AL021154.1,0.00023085675
ID3,0.073296435
MDS2,0.0023085666
RPL11,9.648228
ELOA,0.09816927
ELOA-AS1,0.033214804
PITHD1,0.122667596
LYPLA2,0.06512948
GALE,0.038639907
HMGCL,0.052461766
FUCA1,0.056126457
CNR2,0.012581721
AL590609.3,5.7714187e-05
PNRC2,0.1837558
SRSF10,0.37908053
AL591178.1,0.0
MYOM3,5.7714187e-05
AL591178.2,0.0
IL22RA1,0.00020199966
IFNLR1,0.031887364
AL590683.1,8.657129e-05
AL138902.1,0.0
GRHL3,0.00031742803
STPG1,0.013591731
NIPAL3,0.08861798
RCAN3,0.08858952
AL445686.2,0.008368547
NCMAP,0.016996907
SRRM1,0.66936654
AL445648.1,0.0
CLIC4,0.30448776
RUNX3,0.16393298
AL445471.1,0.000115428375
AL445471.2,8.657129e-05
AL050344.1,2.8857094e-05
AL031432.1,0.0003751422
SYF2,0.3711433
AL031432.5,0.0005482847
RSRP1,0.5378148
AL031432.3,0.0012697118
RHD,0.0037802847
TMEM50A,0.5510599
RHCE,0.0040688566
MACO1,0.19838506
LDLRAP1,0.07577729
AL606491.1,0.0052808537
MAN1C1,0.008281978
AL031280.1,0.0036937122
SELENON,0.014197735
AL020996.1,0.003462855
MTFR1L,0.045536447
AUNIP,0.0031165679
AL033528.2,0.0007791413
PAQR7,0.0065217027
STMN1,0.33854732
PAFAH2,0.015813757
EXTL1,0.00025971385
SLC30A2,0.00023085675
TRIM63,0.000115428375
PDIK1L,0.06582195
FAM110D,0.0004905705
C1orf232,0.0
AL391650.1,0.00017314257
ZNF593,0.36632589
CNKSR1,0.089253046
CATSPER4,0.00020199966
CEP85,0.018930355
SH3BGRL3,1.3306211
UBXN11,0.0210658
CD52,0.9746592
CRYBG2,0.0021642812
ZNF683,0.033330053
LIN28A,8.657129e-05
DHDDS,0.11106805
AL513365.2,8.657129e-05
HMGN2,0.98109365
RPS6KA1,0.056097675
AL512408.1,0.0007214272
ARID1A,0.24420838
PIGV,0.019074652
ZDHHC18,0.07043896
SFN,0.0021065671
AL034380.1,8.657129e-05
GPN2,0.041525528
GPATCH3,0.018324353
NUDC,0.38877565
