,Endothelial.cell
ECE1,2.4739819
AL031005.1,0.00029679984
AL031728.1,0.000692533
AL592309.2,0.0
NBPF3,0.021468522
ALPL,0.58815503
AL359815.1,0.000692533
RAP1GAP,0.0034626648
USP48,0.69451076
LDLRAD2,0.15423904
HSPG2,16.334686
CELA3B,0.00019786655
CELA3A,9.893328e-05
LINC01635,0.0031658649
CDC42,3.5433896
AL031281.2,0.0009893328
WNT4,0.008211463
ZBTB40,0.15156779
EPHA8,9.893328e-05
C1QA,0.11476268
C1QC,0.08082855
C1QB,0.13237281
EPHB2,0.018500524
AL512444.1,0.0
LACTBL1,0.0
TEX46,9.893328e-05
KDM1A,0.44914302
AL031428.1,0.0
LUZP1,1.7936878
HTR1D,0.0004946664
LINC01355,0.06331785
AL109936.6,0.0011871994
HNRNPR,1.8491882
ZNF436,0.20657557
ZNF436-AS1,0.022754654
AL109936.2,0.0004946664
TCEA3,0.06331779
ASAP3,0.10625557
E2F2,0.0050455974
AL021154.1,0.000692533
ID3,6.79128
MDS2,0.0012861326
RPL11,23.314363
ELOA,0.34814075
ELOA-AS1,0.024634387
PITHD1,0.4323257
LYPLA2,0.43123767
GALE,0.20499268
HMGCL,0.28304654
FUCA1,0.15047953
CNR2,0.0003957331
AL590609.3,0.0
PNRC2,0.7883041
SRSF10,1.4752423
AL591178.1,0.0
MYOM3,0.043135133
AL591178.2,0.0
IL22RA1,0.00019786655
IFNLR1,0.0014839992
AL590683.1,0.00019786655
AL138902.1,0.0
GRHL3,0.00029679984
STPG1,0.06371362
NIPAL3,0.28314567
RCAN3,0.08894198
AL445686.2,0.0066285296
NCMAP,0.003957331
SRRM1,1.7430226
AL445648.1,0.0
CLIC4,1.940814
RUNX3,0.008013597
AL445471.1,0.0
AL445471.2,0.0
AL050344.1,0.0
AL031432.1,0.001385066
SYF2,1.3592995
AL031432.5,0.00029679984
RSRP1,2.4719963
AL031432.3,0.0031658649
RHD,0.005540264
TMEM50A,2.1697443
RHCE,0.0021765323
MACO1,0.43578774
LDLRAP1,0.18431528
AL606491.1,0.0052434644
MAN1C1,0.07449746
AL031280.1,0.01563146
SELENON,1.1752976
AL020996.1,0.005935997
MTFR1L,0.20528948
AUNIP,0.0048477305
AL033528.2,0.00029679984
PAQR7,0.061042365
STMN1,2.2730682
PAFAH2,0.05708493
EXTL1,0.00029679984
SLC30A2,0.0019786656
TRIM63,0.0
PDIK1L,0.09052494
FAM110D,0.7646573
C1orf232,9.893328e-05
AL391650.1,0.000692533
ZNF593,0.47753888
CNKSR1,0.005935997
CATSPER4,9.893328e-05
CEP85,0.024535455
SH3BGRL3,4.5964804
UBXN11,0.041651133
CD52,0.033439506
CRYBG2,0.0009893328
ZNF683,0.00019786655
LIN28A,0.0004946664
DHDDS,0.2161724
AL513365.2,0.0
HMGN2,1.9248841
RPS6KA1,0.08538033
AL512408.1,0.0021765323
ARID1A,0.69955504
PIGV,0.059459407
ZDHHC18,0.14048712
SFN,0.0073210634
AL034380.1,0.0003957331
GPN2,0.16304427
GPATCH3,0.0716284
NUDC,1.2054807
NR0B2,0.0
KDF1,0.003759465
TRNP1,0.04016708
TENT5B,0.0014839992
SLC9A1,0.25544673
