,Endothelial.cell
HOGA1,0.0007914662
C10orf62,0.0
MORN4,0.030471483
PI4K2A,0.08340163
AVPI1,0.028393852
MARVELD1,0.22379023
ZFYVE27,0.16808997
SFRP5,0.0003957331
LINC00866,0.0
GOLGA7B,0.0016818658
CRTAC1,0.07865238
R3HCC1L,0.13771695
LOXL4,0.0028690654
AL139241.1,0.0004946664
PYROXD2,0.044124514
HPS1,0.1855025
HPSE2,0.0012861326
CNNM1,0.0004946664
GOT1,0.16472615
AL391684.1,0.009695461
LINC01475,0.0005935997
AL513542.1,0.003759465
NKX2-3,0.02987787
SLC25A28,0.19777042
AL353719.1,0.0028690654
AL133353.1,0.002077599
ENTPD7,0.03818841
CUTC,0.23328754
COX15,0.17768665
ABCC2,0.0031658649
DNMBP,0.12624045
DNMBP-AS1,0.0011871994
CPN1,0.0
ERLIN1,0.2363543
CHUK,0.119216055
AL138921.2,9.893328e-05
AL138921.1,0.0003957331
CWF19L1,0.10041846
BLOC1S2,0.32825688
PKD2L1,0.00019786655
AL139819.1,0.0
SCD,0.09003014
OLMALINC,0.03531928
WNT8B,0.0
SEC31B,0.049664855
AL133352.1,9.893328e-05
NDUFB8,1.1022034
HIF1AN,0.18016
PAX2,0.0031658649
AL138762.1,0.019193057
SLF2,0.42045507
AL133215.3,0.0007914662
MRPL43,0.7069758
SEMA4G,0.00840933
AL133215.1,0.0
TWNK,0.06025087
LZTS2,0.26702097
PDZD7,0.0028690654
SFXN3,0.49999887
AL133215.2,0.002770132
KAZALD1,0.018005857
TLX1NB,0.0
TLX1,0.0
LINC01514,0.0
LBX1,0.0
AL133387.2,9.893328e-05
AL133387.1,0.0
AL133387.3,0.0
BTRC,0.1551295
DPCD,0.13356161
POLL,0.13089041
FBXW4,0.136134
AC010789.1,0.00029679984
FGF8,9.893328e-05
NPM3,0.13445203
OGA,0.9530212
KCNIP2-AS1,0.0005935997
KCNIP2,0.0050455974
ARMH3,0.100220606
HPS6,0.08181869
LDB1,0.14513701
PPRC1,0.13761798
NOLC1,0.40442944
ELOVL3,0.004254131
PITX3,0.00019786655
GBF1,0.23496938
NFKB2,0.2493131
PSD,0.0053423974
FBXL15,0.4265878
CUEDC2,0.7076677
C10orf95,0.008211463
MFSD13A,0.06598911
ACTR1A,0.58914006
AL121928.1,0.0034626648
SUFU,0.11733633
TRIM8,0.6889698
AL391121.1,0.026415186
ARL3,0.4901048
SFXN2,0.033637397
WBP1L,0.38127923
CYP17A1,0.0015829324
CYP17A1-AS1,0.0018797325
AL358790.1,0.0011871994
BORCS7,0.7314165
BORCS7-ASMT,0.0
AS3MT,9.893328e-05
AL356608.1,0.00019786655
CNNM2,0.042244725
NT5C2,0.25505102
RPEL1,0.0003957331
INA,0.0010882661
PCGF6,0.13633178
TAF5,0.041947927
ATP5MD,2.219129
PDCD11,0.29531357
CALHM2,0.34497458
AL139339.2,0.0025722652
AL139339.1,0.002770132
CALHM1,0.00029679984
CALHM3,0.00029679984
NEURL1-AS1,0.0
NEURL1,0.0061338637
SH3PXD2A,0.542049
AL121929.2,0.003759465
SH3PXD2A-AS1,0.017214391
STN1,0.2726595
SLK,1.2409884
COL17A1,0.06025079
SFR1,0.09527384
CFAP43,0.004451998
GSTO1,1.8434565
GSTO2,0.03838625
ITPRIP,0.7795954
AL162742.2,0.0
AL162742.1,0.0003957331
CFAP58-DT,0.0010882661
CFAP58,0.0064306636
AL161646.1,0.0
AL161646.2,9.893328e-05
SORCS3,9.893328e-05
AL731574.1,0.0
AL353148.1,0.0
SORCS1,0.0009893328
LINC01435,0.0
AL353740.1,0.0005935997
AL356476.1,0.0
XPNPEP1,0.3005564
ADD3,0.7379424
MXI1,0.24278425
AL360182.2,0.00019786655
SMNDC1,0.460421
AL355512.1,0.0019786656
DUSP5,0.2621737
SMC3,1.0473957
RBM20,0.008310396
AL136368.1,0.00019786655
PDCD4-AS1,0.034132067
PDCD4,1.4781077
BBIP1,0.3003591
AL158163.2,0.0069253296
AL158163.1,0.012168794
SHOC2,0.6635418
ADRA2A,0.011970927
GPAM,0.10130883
TECTB,0.0
ACSL5,0.34764537
AL157786.1,0.009200796
ZDHHC6,0.22497755
VTI1A,0.21102776
AL139120.1,9.893328e-05
TCF7L2,0.46546745
AL158212.2,0.01444426
HABP2,0.0004946664
NRAP,0.00019786655
CASP7,0.36090186
AL592546.1,0.0
PLEKHS1,0.0025722652
DCLRE1A,0.026019454
NHLRC2,0.35565853
ADRB1,0.0030669319
CCDC186,0.6422723
TDRD1,0.010190128
VWA2,0.0028690654
AC005383.1,0.0065295966
AFAP1L2,0.29640228
ABLIM1,1.1976576
AL137025.1,0.003759465
FAM160B1,0.5073192
TRUB1,0.12020543
AL355340.1,0.00019786655
ATRNL1,0.0029679984
GFRA1,0.023842921
CCDC172,0.0
PNLIPRP3,0.0
PNLIP,0.0
PNLIPRP1,0.00029679984
C10orf82,0.0008903995
AC016825.1,0.0
HSPA12A,0.027206652
ENO4,0.0009893328
SHTN1,0.04649887
VAX1,0.0
MIR3663HG,0.0
AL731557.1,0.0
SLC18A2,0.0018797325
AL391988.1,0.014246392
PDZD8,0.41679424
AC005871.2,0.0
EMX2OS,0.022457855
EMX2,0.037990462
AC005871.1,0.0
AL139121.1,0.0
AL513324.1,0.0
RAB11FIP2,0.20895012
AC022395.1,0.00029679984
CASC2,0.00840933
FAM204A,0.7099455
LINC00867,0.0015829324
PRLHR,9.893328e-05
CACUL1,0.44746158
AL157788.1,0.0
NANOS1,0.010981595
EIF3A,2.1794553
FAM45A,0.2794854
SFXN4,0.11743524
PRDX3,0.7964172
GRK5,0.38217223
AL583824.1,0.0009893328
RGS10,0.08409398
TIAL1,0.77178115
BAG3,0.5839975
INPP5F,0.18777801
MCMBP,0.4241152
SEC23IP,0.34072053
PLPP4,0.003759465
LINC01561,0.00019786655
WDR11-AS1,0.0023743988
WDR11,0.5067253
AC010998.2,0.004155198
AC010998.1,0.0
AC010998.3,0.0
LINC01153,0.0
FGFR2,0.008805063
AC009988.1,0.0
ATE1,0.3129224
AL731566.2,0.0015829324
NSMCE4A,0.47575742
AL731566.1,0.0046498645
TACC2,0.29353395
BTBD16,0.0040562646
PLEKHA1,1.4263798
ARMS2,0.0003957331
HTRA1,6.835892
DMBT1,0.009002929
C10orf120,0.0
CUZD1,0.0052434644
FAM24B,0.013158127
FAM24A,0.0
C10orf88,0.07637728
PSTK,0.035022493
IKZF5,0.12327244
ACADSB,0.07499218
HMX3,0.0
HMX2,0.0
BUB3,0.7154845
AL160290.2,0.00029679984
AL357127.1,0.0
GPR26,0.000692533
CPXM2,0.6020071
AC009987.1,0.00029679984
CHST15,0.32825944
OAT,0.42599496
NKX1-2,0.0
LHPP,0.06312001
AC068896.1,0.0010882661
FAM53B,0.18767904
AL513190.1,0.00029679984
FAM53B-AS1,0.0012861326
EEF1AKMT2,0.19816616
ABRAXAS2,0.17353141
ZRANB1,0.29541266
AL731577.1,0.009992261
CTBP2,0.80205435
AL731571.1,0.0023743988
AL157888.1,0.0025722652
TEX36,9.893328e-05
AL158835.1,0.013652793
EDRF1,0.21112666
EDRF1-AS1,0.002077599
MMP21,0.002077599
UROS,0.4005717
BCCIP,0.26830703
DHX32,0.26850498
FANK1,0.012564527
FANK1-AS1,0.0
ADAM12,0.06391122
LINC00601,0.0005935997
C10orf90,0.0
DOCK1,0.7870135
AL359094.1,0.009398662
FAM196A,0.0019786656
NPS,0.0
FOXI2,0.0031658649
CLRN3,0.0056391973
PTPRE,1.2414908
AL158166.2,0.0003957331
MKI67,0.2704841
AL390763.2,0.0016818658
AL390763.1,0.0004946664
AL355537.1,0.0
AL355537.2,0.0
AL391869.1,0.0
MGMT,1.2168511
AL157832.2,0.0003957331
AL157832.1,0.005738131
AL157832.3,0.00722213
EBF3,0.24397115
AL354950.2,0.0018797325
AL354950.1,0.004254131
C10orf143,0.037594795
GLRX3,0.6702703
AL355500.1,0.0
TCERG1L,0.000692533
TCERG1L-AS1,0.0008903995
LINC01164,0.0
FP565171.1,0.0
PPP2R2D,0.2589091
BNIP3,0.35565895
AL162274.2,0.013850659
AL162274.1,0.0036605317
JAKMIP3,0.001385066
AL512622.1,0.0
DPYSL4,0.013257059
STK32C,0.09646105
LRRC27,0.058865782
PWWP2B,0.084391005
AL451069.2,0.00019786655
AL451069.3,0.00019786655
C10orf91,0.0
AL451069.1,0.0010882661
LINC01165,9.893328e-05
INPP5A,0.2853224
NKX6-2,0.00019786655
CFAP46,0.0049466644
LINC01166,9.893328e-05
LINC01167,0.0
LINC01168,0.0
ADGRA1,0.0003957331
ADGRA1-AS1,0.0
KNDC1,0.0005935997
UTF1,0.00029679984
VENTX,0.0007914662
MIR202HG,9.893328e-05
AL592071.1,0.00029679984
ADAM8,0.005935997
TUBGCP2,0.51196903
AL360181.2,0.0054413304
ZNF511,0.25247914
CALY,0.0003957331
AL360181.1,0.0
PRAP1,9.893328e-05
FUOM,0.06490077
ECHS1,0.9365063
AL360181.4,0.0
PAOX,0.034923553
AL360181.3,0.0
MTG1,0.08518248
SPRN,0.0007914662
SCART1,0.010684795
CYP2E1,0.0025722652
AL161645.1,9.893328e-05
SYCE1,0.0065295966
FRG2B,0.0
FAM138D,0.0
IQSEC3,0.022853587
AC026369.3,0.0003957331
AC026369.1,0.00029679984
AC026369.2,0.0010882661
AC007406.3,0.0038583982
SLC6A12,0.0010882661
AC007406.1,0.0
AC007406.4,9.893328e-05
SLC6A13,0.0008903995
KDM5A,1.0399749
CCDC77,0.06470294
B4GALNT3,0.007024263
NINJ2,0.06282312
AC006205.1,0.0
AC021054.1,0.02255679
LINC02455,0.0
WNK1,1.2171425
RAD52,0.041453253
AC004803.1,0.0077167964
ERC1,0.7547587
AC004672.1,9.893328e-05
LINC00942,0.00019786655
WNT5B,0.004155198
FBXL14,0.014839993
ADIPOR2,0.48743266
CACNA2D4,0.004451998
LRTM2,0.0
AC005342.2,0.0
LINC00940,0.00029679984
DCP1B,0.09438342
CACNA1C,0.22715387
AC005342.1,0.0009893328
AC005344.1,0.0
CACNA1C-AS4,0.0
CACNA1C-AS3,0.0
CACNA1C-AS2,0.0046498645
CACNA1C-AS1,0.0015829324
LINC02371,0.0
FKBP4,0.43529424
ITFG2-AS1,0.017709058
AC005841.1,0.00019786655
ITFG2,0.22003074
NRIP2,0.0049466644
TEX52,0.0
FOXM1,0.075090714
RHNO1,0.10200137
TULP3,0.19935334
TEAD4,0.3641667
AC125807.2,0.04362982
TSPAN9,0.73487747
AC005865.1,9.893328e-05
LINC02417,0.0
PRMT8,0.0005935997
CRACR2A,0.018005857
AC006207.1,0.00019786655
PARP11,0.09487807
AC005842.1,0.0
AC007207.2,9.893328e-05
CCND2,0.55214083
TIGAR,0.15611883
FGF23,0.0016818658
FGF6,0.0
C12orf4,0.13316591
RAD51AP1,0.05025831
DYRK4,0.21528187
AC005832.4,9.893328e-05
AKAP3,0.0047487975
NDUFA9,0.4661592
AC005833.2,0.0
AC005833.1,0.0
GALNT8,0.0012861326
AC005833.3,0.0
KCNA1,0.0004946664
AC006063.2,0.0
KCNA5,0.00781573
LINC02443,0.0
AC006206.2,0.0004946664
AC006206.1,0.0009893328
AC007848.2,0.0
AC007848.1,0.0004946664
NTF3,0.0040562646
ANO2,0.14117962
VWF,23.607471
AC005845.1,0.00029679984
CD9,2.61872
PLEKHG6,0.005837064
TNFRSF1A,1.5101547
SCNN1A,0.041947905
LTBR,0.6138763
AC005840.2,0.008706129
CD27,0.0029679984
TAPBPL,0.122678824
VAMP1,0.022457855
AC005840.4,0.004451998
MRPL51,1.5410327
NCAPD2,0.12950514
AC006064.3,0.0
GAPDH,15.360686
AC006064.4,0.015334659
IFFO1,0.1266362
AC006064.1,0.0031658649
NOP2,0.021468522
AC006064.6,0.0
CHD4,1.4779224
AC006064.2,0.0046498645
LPAR5,0.0015829324
ACRBP,0.0060349307
ING4,0.36080232
ZNF384,0.1827323
PIANP,0.0004946664
AC125494.3,0.0
COPS7A,0.26474595
AC125494.2,0.003957331
MLF2,0.87279665
PTMS,5.9922075
LAG3,0.016422926
CD4,0.024634387
GPR162,0.024139723
P3H3,0.07093582
GNB3,0.0050455974
CDCA3,0.032450147
USP5,0.2806726
TPI1,2.950572
SPSB2,0.08023572
LRRC23,0.09092071
U47924.3,0.0022754655
ENO2,0.024139723
ATN1,0.679769
C12orf57,2.1016793
U47924.2,0.009893329
PTPN6,0.07182623
MIR200CHG,0.0043530646
U47924.1,9.893328e-05
PHB2,1.1895504
EMG1,0.27167043
EMG1-1,0.016126126
LPCAT3,0.18678863
C1S,0.11624767
C1R,0.32825768
C1RL,0.20439906
C1RL-AS1,0.041750032
AC233309.1,0.018797323
RBP5,0.30688936
AC018653.3,0.008805063
CLSTN3,0.3829622
AC018653.1,0.0005935997
PEX5,0.11822674
ACSM4,0.0
CD163L1,0.024832254
CD163,0.029482119
APOBEC1,9.893328e-05
GDF3,0.02681092
DPPA3,0.0
CLEC4C,0.0004946664
NANOGNB,0.00019786655
NANOG,0.005935997
SLC2A14,0.011278395
SLC2A3,1.7175305
AC006511.4,0.0
FOXJ2,0.17234415
C3AR1,0.011674128
NECAP1,0.26078856
CLEC4A,0.008112529
ZNF705A,0.0012861326
FAM66C,0.05055526
AC092111.2,0.0025722652
AC092111.1,0.011773061
FAM90A1,0.005837064
LINC02449,0.0030669319
LINC00937,0.0063317297
AC092745.1,0.00029679984
CLEC6A,0.0
CLEC4D,0.0004946664
CLEC4E,0.0043530646
AC092746.1,9.893328e-05
AICDA,0.0004946664
MFAP5,0.075288326
AC092490.2,9.893328e-05
RIMKLB,0.6691802
A2ML1-AS1,0.00019786655
AC092490.1,0.0028690654
A2ML1-AS2,0.0
A2ML1,0.0003957331
AC006581.2,0.0007914662
PHC1,0.21082984
M6PR,0.60101444
KLRG1,0.10140758
AC006581.1,0.0
A2M-AS1,0.019687723
A2M,25.601543
PZP,0.019687723
LINC00987,0.26029378
AC010175.1,0.001385066
LINC02367,0.005738131
KLRB1,0.001780799
AC010186.1,0.0
CLEC2D,0.11377456
LINC02390,0.0
CLECL1,0.001780799
CD69,0.021270655
KLRF1,0.00840933
CLEC2B,1.4907821
AC091814.1,0.008903996
KLRF2,0.0
CLEC2A,0.0004946664
LINC02470,0.0
CLEC12A-AS1,9.893328e-05
CLEC12A,0.0032647983
CLEC1B,0.00019786655
CLEC12B,0.0
AC024224.2,0.0008903995
CLEC9A,0.0024733322
CLEC1A,0.5128603
CLEC7A,0.04729032
OLR1,0.019193057
TMEM52B,0.0003957331
GABARAPL1,0.4132329
AC115676.1,0.0
KLRD1,0.0141474595
AC022075.3,0.0
AC022075.2,0.0
AC022075.1,0.0005935997
KLRK1,0.0
KLRC4-KLRK1,0.0
KLRC4,0.0004946664
AC068775.1,0.0
KLRC3,0.0
KLRC2,0.0
KLRC1,0.0008903995
EIF2S3B,0.0038583982
LINC02446,0.000692533
MAGOHB,0.34992132
STYK1,0.017709058
YBX3,4.453914
LINC02366,0.0
TAS2R7,0.0
TAS2R8,0.0004946664
TAS2R9,9.893328e-05
PRH1,0.31796694
TAS2R10,0.0021765323
PRR4,0.0030669319
AC018630.2,0.0005935997
AC006518.7,0.0004946664
TAS2R13,0.0012861326
PRH2,0.0
TAS2R14,0.04452024
TAS2R50,0.0011871994
TAS2R20,0.0030669319
TAS2R19,0.0030669319
TAS2R31,0.01503786
TAS2R46,0.0024733322
TAS2R43,0.0014839992
TAS2R30,0.01563146
SMIM10L1,0.4849609
TAS2R42,9.893328e-05
AC244131.2,0.0003957331
PRB3,0.0
PRB4,0.0
PRB1,0.0
PRB2,9.893328e-05
AC007450.1,0.0
LINC01252,0.0368033
ETV6,0.55856913
BCL2L14,0.001385066
LRP6,0.6666087
MANSC1,0.57855433
LOH12CR2,0.019193057
BORCS5,0.093196176
DUSP16,0.10536515
AC007619.1,0.0
CREBL2,0.17996216
AC008115.4,0.0016818658
GPR19,0.0018797325
AC008115.2,0.0
CDKN1B,0.2875974
AC008115.1,0.0
APOLD1,2.5918381
DDX47,0.014048526
GPRC5A,0.065296225
GPRC5D-AS1,0.030372549
GPRC5D,0.0
AC007688.2,0.0
HEBP1,0.94402176
AC023790.2,0.0014839992
FAM234B,0.05124781
GSG1,0.0010882661
EMP1,4.795303
LINC01559,0.0
GRIN2B,0.00840933
AC007527.2,0.00019786655
AC092112.1,9.893328e-05
ATF7IP,0.69332296
PLBD1,0.035022464
AC008114.1,0.0
PLBD1-AS1,0.0007914662
GUCY2C,0.0
AC010168.1,0.0004946664
HIST4H4,0.015829325
H2AFJ,1.1948996
WBP11,0.5989366
C12orf60,0.01444426
SMCO3,0.0004946664
ART4,0.024832254
AC007655.1,0.0
MGP,14.499246
ERP27,0.03512141
ARHGDIB,2.5049565
PDE6H,0.00019786655
LINC01489,0.0003957331
RERG,0.023743987
RERG-AS1,0.0
PTPRO,0.0014839992
EPS8,0.3981996
AC073651.1,0.00019786655
STRAP,1.202707
DERA,0.32825616
SLC15A5,0.0
MGST1,0.045410547
LMO3,0.005738131
AC007552.2,0.0
AC007529.2,9.893328e-05
AC007529.1,0.00029679984
LINC02378,0.0
AC087321.1,0.0
RERGL,0.00722213
PIK3C2G,0.0026711987
PLCZ1,9.893328e-05
AC087242.1,0.0
CAPZA3,0.0
PLEKHA5,0.13286902
AEBP2,0.26583385
AC024901.1,9.893328e-05
LINC02398,9.893328e-05
LINC02468,0.0
AC129102.1,9.893328e-05
PDE3A,0.03739689
SLCO1C1,0.0033637316
SLCO1B3,0.0004946664
AC011604.2,0.0
SLCO1B7,0.0
AC022335.1,0.0
SLCO1B1,0.0
SLCO1A2,0.0018797325
IAPP,0.000692533
PYROXD1,0.15295286
RECQL,0.7955266
GOLT1B,0.26781282
SPX,0.002077599
GYS2,0.0005935997
LDHB,2.4275777
AC010197.1,0.0
AC010185.1,0.0003957331
KCNJ8,0.035418134
ABCC9,0.02888852
AC008250.1,9.893328e-05
CMAS,0.3643641
ST8SIA1,0.023941854
AC087318.1,0.0
C2CD5,0.1412786
AC053513.1,0.004254131
AC087241.1,0.0
AC087241.3,0.0010882661
ETNK1,0.5666822
AC084816.1,0.0
AC084819.1,0.00019786655
AC087258.1,0.0
AC087235.1,0.0
SOX5,0.1021991
AC087260.1,0.0
SOX5-AS1,0.0003957331
LINC00477,0.0
AC023796.1,0.0
BCAT1,0.2119176
AC023796.2,9.893328e-05
AC026310.2,0.0
C12orf77,0.00019786655
LRMP,0.24357574
AC023510.1,0.0
AC023510.2,9.893328e-05
CASC1,0.003759465
ETFRF1,0.32024288
KRAS,0.7383381
AC092794.1,0.009695461
AC092794.2,0.0009893328
AC087239.1,0.035022486
LMNTD1,0.0003957331
AC019209.3,0.0
AC019209.2,0.0
AC019209.1,0.0
RASSF8-AS1,0.124261685
RASSF8,0.22567
BHLHE41,0.043926567
SSPN,0.030174673
AC022509.3,0.00019786655
AC022509.2,0.0040562646
AC022509.1,0.000692533
AC022509.4,0.0003957331
AC055720.1,0.0
AC024145.1,0.0005935997
ITPR2,0.5371019
AC023051.1,9.893328e-05
INTS13,0.13672757
FGFR1OP2,0.7324025
AC024896.1,0.0021765323
TM7SF3,0.31529653
MED21,0.31074634
AC092747.4,0.071430504
C12orf71,0.00019786655
AC092747.1,0.0
STK38L,0.36673823
ARNTL2,0.108827844
ARNTL2-AS1,0.00029679984
SMCO2,0.0049466644
PPFIBP1,1.6505376
AC087257.1,0.0004946664
AC009509.1,0.0015829324
REP15,0.05015952
AC009509.4,0.008508262
AC009509.2,0.000692533
MRPS35,0.33122367
MANSC4,0.0003957331
AC009511.2,9.893328e-05
KLHL42,0.41867527
AC009511.1,9.893328e-05
PTHLH,0.045014784
AC008011.2,0.0004946664
CCDC91,0.1881737
AC022364.1,0.0073210634
AC022079.2,0.0010882661
AC022081.1,0.0
AC012150.1,0.0011871994
FAR2,0.21280845
AC012150.2,9.893328e-05
AC009318.4,0.0018797325
AC009318.1,0.0029679984
AC009318.3,0.013850659
AC009318.2,0.005738131
ERGIC2,0.6292095
OVCH1-AS1,0.028591719
OVCH1,0.0023743988
TMTC1,0.46487683
AC009320.1,9.893328e-05
AC023511.1,9.893328e-05
LINC02386,0.0
IPO8,0.3175714
CAPRIN2,0.12159048
AC010198.1,0.00029679984
LINC00941,0.009299729
TSPAN11,0.038584124
DDX11-AS1,0.005540264
DDX11,0.15542625
SINHCAF,0.60269564
AC024940.1,0.007024263
LINC02387,0.001780799
DENND5B,0.08795263
DENND5B-AS1,0.00029679984
ETFBKMT,0.068264596
AMN1,0.11842456
AC023157.3,0.097153455
H3F3C,0.0010882661
LINC02422,9.893328e-05
KIAA1551,0.9380879
AC016957.2,0.017610125
AC048344.1,0.0
BICD1,0.3258818
FGD4,0.4560701
DNM1L,0.66828966
AC084824.5,0.010387995
YARS2,0.22171266
PKP2,0.016620792
AC087311.2,0.0
SYT10,0.0009893328
ALG10,0.036902253
AC046130.1,0.0005935997
AC046130.2,0.00019786655
AC140847.1,0.0
AC140847.2,0.000692533
ALG10B,0.10091312
AC087897.2,0.00019786655
CPNE8,0.45260552
AC067735.1,0.016225059
LINC02406,0.0
KIF21A,0.021666389
ABCD2,0.0005935997
C12orf40,9.893328e-05
SLC2A13,0.11575335
LINC02555,0.0
LINC02471,0.0
AC079630.1,0.0014839992
LRRK2,0.019687723
MUC19,0.000692533
CNTN1,0.0043530646
PDZRN4,0.0024733322
AC090531.1,0.0
LINC02400,0.00019786655
AC090630.1,0.119216055
GXYLT1,0.37287202
YAF2,0.4501327
PPHLN1,0.5360106
ZCRB1,0.71330583
PRICKLE1,0.1357381
AC079601.1,0.004451998
LINC02402,0.0
LINC02451,0.0
LINC02450,0.0004946664
AC012038.2,0.0
AC012038.1,0.0
LINC02461,9.893328e-05
ADAMTS20,0.0003957331
PUS7L,0.39433753
IRAK4,0.27246153
TWF1,0.52196103
TMEM117,0.060943417
AC025030.2,0.0
AC025253.1,0.0
NELL2,0.0010882661
DBX2,0.0
AC008127.1,0.0
ANO6,0.58221596
AC079950.1,0.00029679984
AC008124.1,0.19856192
ARID2,0.3135157
SCAF11,2.1376088
SLC38A1,0.4538998
SLC38A2,1.9575326
AC025031.2,0.00029679984
AC008014.1,0.009695461
AC025031.1,0.0
AC025031.4,0.007123196
AC008035.1,0.005540264
SLC38A4,0.0043530646
AC079906.1,0.0005935997
AMIGO2,0.09062387
PCED1B,0.032450177
AC008083.1,0.0025722652
AC008083.2,0.003561598
AC008083.3,0.0003957331
LINC02416,0.0
LINC02156,0.0
RPAP3,0.25999704
AC004241.1,0.010882661
ENDOU,0.009794395
AC004241.2,0.0012861326
RAPGEF3,0.69213754
SLC48A1,0.22280094
HDAC7,1.4876094
AC004466.1,0.0036605317
AC004466.3,0.0007914662
LINC02354,0.0
VDR,0.007617863
AC121338.1,9.893328e-05
AC121338.2,0.0003957331
TMEM106C,0.17461936
COL2A1,0.0005935997
AC004801.5,0.0
AC004801.4,0.0
AC004801.3,0.0
AC004801.6,0.0052434644
SENP1,0.15839434
PFKM,0.1906471
ASB8,0.30124944
AC074029.3,0.00019786655
CCDC184,0.012168794
AC024257.3,0.005738131
OR10AD1,0.0
AC024257.1,0.0
AC024257.5,0.00029679984
H1FNT,0.0
ZNF641,0.104573674
AC090115.1,0.0004946664
AC024257.4,0.0010882661
ANP32D,0.0003957331
C12orf54,0.002077599
AC089987.2,0.0
OR8S1,9.893328e-05
OR5BS1P,0.0
LALBA,0.0
KANSL2,0.17333348
CCNT1,0.3352792
TEX49,0.0
AC117498.1,0.00029679984
ADCY6,0.20716926
AC117498.2,0.0043530646
CACNB3,0.13029675
DDX23,0.43865696
RND1,0.103089206
AC073610.3,0.003759465
CCDC65,0.00840933
FKBP11,0.43282086
ARF3,0.7987915
WNT10B,0.00019786655
WNT1,0.0
DDN,0.0005935997
AC011603.3,0.0
DDN-AS1,0.023546122
PRKAG1,0.28027666
KMT2D,0.27305508
RHEBL1,0.023645055
DHH,0.07835587
AC011603.1,0.0023743988
LMBR1L,0.38128102
AC011603.2,0.013355994
TUBA1B,4.547727
TUBA1A,3.2710173
TUBA1C,0.79848826
AC010173.1,0.011871994
AC125611.3,0.0004946664
AC125611.4,0.00019786655
PRPH,0.0021765323
TROAP,0.031559736
C1QL4,0.0004946664
DNAJC22,0.008607196
SPATS2,0.55174446
KCNH3,0.0019786656
MCRS1,0.24337785
PRPF40B,0.07281561
AC020612.3,0.0
FAM186B,0.0015829324
FMNL3,1.0410583
TMBIM6,3.9681578
NCKAP5L,0.22022864
BCDIN3D-AS1,0.0034626648
BCDIN3D,0.073903896
AC131157.1,0.0
FAIM2,0.0011871994
LINC02396,0.0
LINC02395,9.893328e-05
AQP2,0.0
AC025154.2,0.0046498645
AC025154.1,0.0
AQP5,0.03383524
AQP6,0.0007914662
RACGAP1,0.049763642
ASIC1,0.0022754655
SMARCD1,0.5875589
GPD1,0.002077599
COX14,1.1550269
AC074032.1,0.088546276
CERS5,0.28482717
LIMA1,1.3937213
AC008147.1,0.00029679984
FAM186A,0.0008903995
LARP4,0.48960882
DIP2B,0.26791105
ATF1,0.17175056
TMPRSS12,0.0
METTL7A,0.27829862
AC008121.2,0.000692533
HIGD1C,0.00029679984
AC008121.3,0.00019786655
SLC11A2,0.15334861
LETMD1,0.23457365
CSRNP2,0.1226788
TFCP2,0.16146131
POU6F1,0.039573498
DAZAP2,0.98042464
SMAGP,0.41897205
BIN2,0.0049466644
CELA1,0.0
GALNT6,0.09764813
SLC4A8,0.022358922
AC107031.1,0.0
SCN8A,0.011080528
AC068987.2,0.0056391973
AC068987.5,0.013751726
AC068987.3,0.00019786655
FIGNL2,0.03383527
AC068987.4,0.011476262
AC068987.1,9.893328e-05
ANKRD33,0.00019786655
ACVRL1,2.1844013
ACVR1B,0.12040328
GRASP,1.4173719
NR4A1,1.0191061
AC025259.3,0.012465593
ATG101,0.3938434
AC025259.1,0.0004946664
AC078864.2,9.893328e-05
AC078864.1,0.0
LINC00592,0.0007914662
KRT80,0.004155198
C12orf80,0.0
KRT7,0.19440585
KRT7-AS,0.00019786655
KRT86,0.0018797325
AC021066.1,0.0
KRT81,0.0028690654
AC121757.1,9.893328e-05
KRT83,9.893328e-05
KRT85,0.0
KRT84,0.0
AC078865.1,0.0
KRT82,0.0
AC055736.1,0.0
KRT75,9.893328e-05
KRT6B,9.893328e-05
KRT6C,0.0
KRT6A,0.008310396
KRT5,0.0062327967
KRT71,0.0
KRT74,0.0
KRT72,0.0
KRT73-AS1,9.893328e-05
KRT73,0.0
KRT2,0.0007914662
KRT1,0.0
KRT77,0.0
KRT76,0.0
KRT3,0.0
KRT4,0.000692533
KRT79,0.0
KRT78,0.0
KRT8,0.48783037
KRT18,0.75298315
EIF4B,2.2856123
AC068888.1,0.04590532
TNS2,1.381854
SPRYD3,0.19470347
IGFBP6,0.17966495
SOAT2,0.00019786655
CSAD,0.23862943
AC073573.1,0.0
ZNF740,0.10585986
ITGB7,0.008112529
RARG,0.23823382
AC021072.1,0.00029679984
MFSD5,0.16749637
ESPL1,0.01751119
PFDN5,5.4192543
AC073611.1,0.013850659
C12orf10,0.48842263
AAAS,0.11506083
SP7,9.893328e-05
SP1,0.32904688
AMHR2,0.0003957331
PRR13,0.6501862
PCBP2,3.049918
MAP3K12,0.23407894
AC023509.4,0.011377327
TARBP2,0.11496191
AC023509.3,0.014543193
NPFF,9.893328e-05
ATF7,0.44360343
AC023509.2,0.010585861
ATP5MC2,3.70978
CALCOCO1,0.4424155
CISTR,0.0003957331
AC076968.1,9.893328e-05
HOXC13-AS,9.893328e-05
HOXC13,0.0
HOXC12,0.0
HOTAIR,0.0
HOXC11,0.0
HOXC10,0.0019786656
HOXC6,0.007617863
HOXC9,0.019094124
