,Myeloid.cell
ARHGEF19,0.021480793
CPLANE2,0.009806038
FBXO42,0.20623288
SZRD1,0.6038308
SPATA21,0.0017571205
NECAP2,0.8577685
LINC01772,0.018563274
AL137802.2,0.0022651474
AL137802.1,0.0002610041
LINC01783,4.6607885e-05
NBPF1,0.063197695
AL137798.1,7.923338e-05
AL137798.2,0.0
AL021920.1,9.321577e-06
AL021920.3,0.0
CROCC,0.0383521
BX284668.1,0.0
BX284668.2,2.3303943e-05
BX284668.5,0.13119265
BX284668.6,0.005122155
MFAP2,0.0026100462
AL049569.1,9.321577e-06
ATP13A2,0.21563424
SDHB,0.77533734
PADI2,0.16292831
AL590644.1,9.321577e-06
AL590644.3,1.3982365e-05
PADI1,0.00040548883
PADI3,3.262552e-05
PADI4,0.014429467
PADI6,0.0023816675
AC004824.1,5.592946e-05
RCC2,0.7003826
ARHGEF10L,0.30943665
AL136529.1,1.3982365e-05
ACTL8,6.991182e-05
AL357509.1,0.0
IGSF21,0.18948622
IGSF21-AS1,4.6607884e-06
AL591896.1,4.6607884e-06
KLHDC7A,1.8643153e-05
PAX7,0.0
AL080251.1,0.0
ALDH4A1,0.025698623
IFFO2,0.03480541
UBR4,0.49065748
AL035413.1,0.011334712
EMC1,0.20166358
MRTO4,0.29997623
AKR7A3,0.0016033141
AKR7A2,0.5422208
PQLC2,0.09682378
CAPZB,3.1191561
AL031727.2,0.000563956
MINOS1,1.1598108
NBL1,0.10308315
MINOS1-NBL1,0.0
HTR6,1.8643153e-05
TMCO4,0.096343756
RNF186,4.6607884e-06
AL391883.1,0.0
OTUD3,0.033584338
PLA2G2E,0.0
PLA2G2A,0.0010300352
PLA2G5,6.525103e-05
PLA2G2D,0.046494782
PLA2G2F,0.000121180456
Z98257.1,0.015711032
PLA2G2C,0.008016389
UBXN10-AS1,0.005648802
UBXN10,0.0057047303
LINC01757,0.0
Z98257.2,0.0
VWA5B1,6.059025e-05
AL020998.1,0.0
LINC01141,0.0
AL139254.1,0.0
AL139254.2,0.0
AL139254.3,0.0
CAMK2N1,0.00532257
MUL1,0.11591819
FAM43B,3.7286307e-05
CDA,0.101908654
PINK1,0.21024564
PINK1-AS,0.005816576
DDOST,0.9587078
KIF17,0.017104536
SH2D5,0.000111858884
AL663074.1,5.1268675e-05
HP1BP3,1.1628522
EIF4G3,0.66467315
ECE1,0.070650056
AL031005.1,6.059025e-05
AL031728.1,0.0002796473
AL592309.2,0.0
NBPF3,0.0057000625
ALPL,0.0010440181
AL359815.1,3.262552e-05
RAP1GAP,0.00077835243
USP48,0.42366144
LDLRAD2,0.0029596062
HSPG2,0.021676611
CELA3B,0.0
CELA3A,4.6607884e-06
LINC01635,0.001999482
CDC42,3.9597101
AL031281.2,0.0019854996
WNT4,0.00068979745
ZBTB40,0.11484625
EPHA8,0.0002470217
C1QA,26.139128
C1QC,16.352922
C1QB,30.927467
EPHB2,0.3922572
AL512444.1,1.3982365e-05
LACTBL1,0.0
TEX46,0.000111858884
KDM1A,0.24998657
AL031428.1,3.262552e-05
LUZP1,0.3767368
HTR1D,1.3982365e-05
LINC01355,0.02580117
AL109936.6,0.00071310153
HNRNPR,1.3666589
ZNF436,0.018992053
ZNF436-AS1,0.008496417
AL109936.2,0.00010253731
TCEA3,0.0139167635
ASAP3,0.0010253751
E2F2,0.026062302
AL021154.1,0.000111858884
ID3,0.30465966
MDS2,0.00034955924
RPL11,20.45842
ELOA,0.27604088
ELOA-AS1,0.023755161
PITHD1,0.43301278
LYPLA2,0.26566356
GALE,0.15825683
HMGCL,0.329569
FUCA1,0.76177406
CNR2,0.002251165
AL590609.3,4.6607884e-06
PNRC2,0.8360607
SRSF10,0.89953387
AL591178.1,0.0
MYOM3,0.00013982359
AL591178.2,4.6607884e-06
IL22RA1,8.855496e-05
IFNLR1,0.0690188
AL590683.1,0.0008762295
AL138902.1,3.7286307e-05
GRHL3,0.00046607922
STPG1,0.02413733
NIPAL3,0.12603766
RCAN3,0.18484874
AL445686.2,0.012173616
NCMAP,0.0015100978
SRRM1,1.9310907
AL445648.1,4.6607885e-05
CLIC4,0.5255805
RUNX3,0.4022707
AL445471.1,0.00016312752
AL445471.2,0.00019575302
AL050344.1,0.00045209675
AL031432.1,0.00054997357
SYF2,1.1593279
AL031432.5,0.00060124235
RSRP1,1.6268746
AL031432.3,0.0018130501
RHD,0.0021719316
TMEM50A,2.0087063
RHCE,0.0017524597
MACO1,0.2345037
LDLRAP1,0.06542078
AL606491.1,0.0033557746
MAN1C1,0.14588943
AL031280.1,0.015263588
SELENON,0.27672026
AL020996.1,0.0056487964
MTFR1L,0.16835323
AUNIP,0.0076155793
AL033528.2,0.0015706886
PAQR7,0.028471682
STMN1,1.3850273
PAFAH2,0.078325935
EXTL1,0.00019575302
SLC30A2,0.0015473842
TRIM63,0.00023303933
PDIK1L,0.07497963
FAM110D,0.00055463426
C1orf232,4.6607884e-06
AL391650.1,0.00020507458
ZNF593,0.36309072
CNKSR1,0.002018125
CATSPER4,4.6607884e-06
CEP85,0.054967105
SH3BGRL3,12.720402
UBXN11,0.23325346
CD52,1.7867883
CRYBG2,0.0012677365
ZNF683,0.021933252
LIN28A,0.00018643144
DHDDS,0.20753199
AL513365.2,0.0002843081
HMGN2,3.7541804
RPS6KA1,0.52336246
AL512408.1,0.0015007765
ARID1A,0.80049664
PIGV,0.06488482
ZDHHC18,0.12095188
SFN,0.0021579484
AL034380.1,7.923338e-05
GPN2,0.1386032
GPATCH3,0.08354578
NUDC,1.0113002
NR0B2,1.8643153e-05
KDF1,0.0012024853
TRNP1,0.008142224
TENT5B,0.00067581516
SLC9A1,0.09433036
AL590640.1,0.0
WDTC1,0.1647102
TMEM222,0.16980104
SYTL1,0.043488164
MAP3K6,0.060732253
FCN3,0.00019575305
CD164L2,0.00032625525
GPR3,0.0020134642
WASF2,2.2525241
FO393419.2,0.00024236091
BX293535.1,0.0009974103
AHDC1,0.07499363
FGR,0.6166959
LINC02574,0.0049636913
IFI6,8.382363
AL445490.1,0.00043345365
FAM76A,0.14661358
STX12,0.88809854
PPP1R8,0.1602477
THEMIS2,1.1452738
RPA2,0.3863316
SMPDL3B,0.0037332962
AL512288.1,0.0001351628
XKR8,0.06303456
EYA3,0.17283696
PTAFR,1.1483812
DNAJC8,1.466612
ATP5IF1,1.5743853
AL353622.1,0.022771785
AL353622.2,0.0005313304
SESN2,0.13361327
MED18,0.07095754
PHACTR4,0.57839924
RCC1,0.10915584
TRNAU1AP,0.314295
SNHG12,0.4297365
TAF12,0.39126256
RAB42,0.2983598
LINC01715,0.0034210256
AL360012.1,0.25368878
GMEB1,0.2172151
YTHDF2,0.6552159
OPRD1,0.00037752406
AL009181.1,0.0009321591
EPB41,0.28113866
TMEM200B,0.00040548886
AL357500.1,6.991182e-05
SRSF4,0.99356586
MECR,0.08909189
AL590729.1,1.3982365e-05
PTPRU,0.00392438
LINC01756,0.0
AC092265.1,9.321577e-06
AL645944.2,0.0
LINC01648,0.0
AL137076.1,9.321577e-06
MATN1,0.0009508022
MATN1-AS1,0.014070476
LAPTM5,13.65747
AL137027.1,0.0
LINC01778,0.00031693367
AL445235.1,3.262552e-05
SDC3,0.9144127
PUM1,0.84757304
NKAIN1,0.0027591921
SNRNP40,0.32597652
ZCCHC17,0.39955318
AL451070.1,0.00020973537
FABP3,0.09643735
SERINC2,0.06048064
AC114488.1,0.0
TINAGL1,0.003817189
HCRTR1,0.00015380594
PEF1,0.30561578
AC114488.2,0.00048938324
AC114488.3,0.0011605383
COL16A1,0.0014914549
ADGRB2,0.0005080264
AL354919.2,1.3982365e-05
SPOCD1,0.0043718056
AL354919.1,0.000116519666
AL136115.2,0.008123566
PTP4A2,1.8973505
AL136115.1,0.00058726
AL136115.3,3.262552e-05
KHDRBS1,1.3355035
AL445248.1,0.0050848667
TMEM39B,0.11636559
KPNA6,0.4109852
TXLNA,0.33818215
CCDC28B,0.07755701
AL049795.1,0.0025028482
IQCC,0.005998343
DCDC2B,0.00060590316
TMEM234,0.0883788
EIF3I,0.99929494
FAM167B,0.001109269
LCK,0.07469109
HDAC1,0.33292392
MARCKSL1,0.4094262
AL109945.1,9.321577e-06
TSSK3,0.002139306
FAM229A,0.015920725
BSDC1,0.2533105
AL033529.1,4.6607884e-06
ZBTB8B,0.001556706
ZBTB8A,0.018642519
ZBTB8OS,0.4978531
RBBP4,0.6330426
SYNC,0.07914619
AC114489.1,6.525103e-05
KIAA1522,0.03982021
YARS,0.24299996
S100PBP,0.20375684
FNDC5,0.0013423093
HPCA,0.0002610041
TMEM54,0.008664211
RNF19B,0.37245703
AL020995.1,0.0004847224
AK2,0.5629286
AZIN2,0.03160362
TRIM62,0.019108556
AL662907.3,0.0007690311
ZNF362,0.111211
AL513327.3,0.00066183275
A3GALT2,4.6607885e-05
AL513327.1,0.002297773
PHC2,0.8849306
AL513327.2,8.855496e-05
ZSCAN20,0.012364698
CSMD2,0.0005359912
HMGB4,0.0
CSMD2-AS1,0.0
