P1_Normal,P1_Tumor,P10_Normal,P10_Tumor,P2_Normal,P2_Tumor,P3_Normal,P3_Tumor,P4_Normal,P4_Tumor,P5_Normal,P5_Tumor,P6_Normal,P6_Tumor,P7_Normal,P7_Tumor,P8_Normal,P8_Tumor,P9_Normal,P9_Tumor
CPSF3L,0.46637383,0.43166104,0.44459096,0.51292354,0.48670882,0.45915815,0.2768465,0.439092,0.46741545,0.32739213,0.38714525,0.3371425,0.44696558,0.4417721,0.46798384,0.4571501,0.32881758,0.28914988,0.37241328,0.45283058
GLTPD1,0.18654953,0.14023212,0.16276947,0.13073215,0.17049208,0.13504651,0.06036503,0.073182,0.1965766,0.07304717,0.19461335,0.101926796,0.15094331,0.1424543,0.14022622,0.13875163,0.09279514,0.094833724,0.09605413,0.14935721
DVL1,0.21213819,0.10214438,0.16355014,0.09838261,0.11001347,0.08488638,0.056201924,0.036591,0.20531334,0.048844796,0.28203326,0.03706429,0.17057613,0.100209236,0.11699596,0.056543894,0.14726186,0.04090866,0.10480482,0.077607185
MXRA8,0.006603523,0.020775128,0.01834572,0.24645677,0.013823682,0.021221595,0.04579416,0.00914775,0.008736737,0.004840475,0.062442787,0.01354272,0.06374295,0.018338945,0.0097144665,0.003755683,0.040345713,0.090185,0.005494622,0.027821442
AURKAIP1,1.4932216,2.0235553,1.999293,2.2971504,1.6807293,2.1042452,1.1948112,1.207503,1.3061422,2.1311293,1.505912,1.392762,1.9196827,2.150896,1.610912,1.8717908,1.1357318,1.4420303,1.5714618,1.8662331
CCNL2,0.42262548,0.29344872,0.4399069,0.39686543,0.43371806,0.29296824,0.23105234,0.37505776,0.62030834,0.25126466,0.6119393,0.25374782,0.38398755,0.35367966,0.37801948,0.24724914,0.38530156,0.21198127,0.34331208,0.2924912
RP4-758J18.2,0.052828185,0.068384804,0.09446094,0.10505261,0.11663732,0.09756421,0.0395495,0.08232975,0.052420426,0.05676557,0.05515779,0.10549067,0.07292193,0.11887566,0.052373644,0.12685862,0.08674329,0.06694145,0.06125486,0.11641078
MRPL20,1.3694056,1.8108988,1.7420626,1.828249,1.3457931,1.9829788,1.0095531,1.2166507,1.1095657,1.5771147,1.1947386,1.3963258,1.5068833,1.7421998,1.4056411,1.7643363,0.96627986,1.1779835,1.4159844,1.6334114
RP4-758J18.13,0.0074289637,0.0046166955,0.0039033443,0.0063365065,0.0034559206,0.0019292358,0,0.0182955,0.03057858,0.0035203455,0.0062442785,0.007127748,0.004844464,0.0032748117,0.0021118405,0.003547034,0.020172857,0.005578454,0.0030525678,0.0047589308
ANKRD65,0.048700985,0.06290248,0.0804089,0.050358552,0.08121413,0.06090873,0.03746795,0.00914775,0.14415617,0.051045008,0.062442787,0.029223766,0.06807747,0.062548906,0.051951278,0.05737849,0.028242,0.01952459,0.067767,0.15045543
VWA1,0.20801099,0.29777685,0.2548884,0.22711374,0.20562728,0.21414518,0.06660969,0.064034246,0.25773376,0.04840475,0.19565406,0.049894232,0.20142771,0.16505049,0.22469984,0.17025763,0.15734829,0.041838408,0.17867696,0.09993755
ATAD3C,0.028890416,0.013273,0.023810402,0.0063365065,0.0305273,0.012126625,0.016652422,0,0.048052058,0.0044004316,0.021854976,0.020670468,0.008669041,0.0042572552,0.026609192,0.010432452,0.050432146,0.010227165,0.010989244,0.012446435
ATAD3B,0.17829512,0.12782475,0.19399622,0.21010523,0.12383715,0.18024576,0.079099,0.073182,0.17910312,0.05632553,0.17796193,0.060585856,0.14074443,0.12378788,0.18541959,0.16003384,0.1432273,0.082747065,0.11233449,0.16619651
ATAD3A,0.28477696,0.33153644,0.4262452,0.3621814,0.22924274,0.35222337,0.09575143,0.04573875,0.2227868,0.16149585,0.28827754,0.12544836,0.280214,0.25772768,0.33029187,0.31422547,0.183573,0.15433723,0.17481038,0.23135726
SSU72,1.0953594,1.1002163,1.2635125,1.2132742,1.2254119,1.1580927,1.065755,1.170912,1.1750913,1.0943874,0.91894966,0.8774258,1.1519625,1.2909306,1.1876991,1.2341591,1.0086429,0.90092033,0.83620006,1.2431791
AL645728.1,0.03384306,0.017889695,0.023420066,0.00967151,0.036863152,0.016260702,0.0353864,0.036591,0.082999006,0.017161684,0.015610697,0.012117172,0.014278421,0.013426727,0.029988136,0.016900575,0.040345713,0.0065081962,0.01892592,0.013910721
C1orf233,0.20388377,0.08858284,0.12842004,0.05702856,0.097629756,0.07689383,0.02289708,0.0182955,0.117945954,0.06688657,0.092623465,0.03278764,0.14405906,0.068116084,0.07349205,0.0663504,0.03227657,0.03625995,0.0675635,0.029285729
RP11-345P4.9,0.09822741,0.046166956,0.109683976,0.05669506,0.11116545,0.064767204,0.06452814,0.02744325,0.10047248,0.05456536,0.11968201,0.041340936,0.10785306,0.0677886,0.117418334,0.049658474,0.08270871,0.02789227,0.08954198,0.037705373
MIB2,1.3141011,1.0704962,1.2365795,1.1329007,1.1859567,1.0216682,0.2019106,0.53971726,1.3454576,0.26974648,1.0074103,0.30150372,1.2631303,0.89926326,1.3384845,0.93287,0.4397683,0.08832552,0.85655046,0.43269664
MMP23B,0.014857927,0.006059413,0.0058550164,0.02067702,0.02131151,0.006614523,0.033304844,0.00914775,0.07426227,0.0057205614,0.014569984,0.012117172,0.05685871,0.0042572552,0.012248675,0.00438163,0.020172857,0.026032785,0.00407009,0.004026788
CDK11B,0.23525052,0.22102429,0.25644973,0.19843271,0.24277842,0.2042234,0.20607373,0.51227397,0.40625829,0.13597335,0.29035896,0.29580152,0.13615493,0.1355772,0.2517314,0.2182469,0.27031627,0.18780795,0.17236833,0.2064644
RP11-345P4.10,0.0024763213,0.0046166955,0.010929365,0.0076705078,0.0100797685,0.009646179,0.0041631055,0.00914775,0.0043683685,0.006600648,0.0062442785,0.009266073,0.0053544077,0.0072045857,0.005068417,0.00876326,0.0060518575,0.01208665,0.0046806037,0.0032946446
SLC35E2B,0.2104873,0.110512145,0.09641261,0.0937136,0.15782037,0.09039848,0.08326211,0.2012505,0.2096817,0.07876773,0.123844855,0.1275867,0.10963788,0.10413901,0.08405125,0.08283368,0.13112357,0.09948243,0.092798054,0.10213398
CDK11A,0.3004603,0.28594658,0.3762824,0.25579476,0.32744846,0.33651385,0.28517273,0.8232975,0.53730935,0.23278284,0.40275598,0.4069944,0.15323806,0.19059403,0.37844184,0.3046276,0.41959542,0.3728267,0.22446547,0.27931264
SLC35E2,0.012381606,0.0066365,0.0081970235,0.00967151,0.013535689,0.008543759,0.0062446585,0,0.013105107,0.004840475,0.018732836,0.01354272,0.009433957,0.013426727,0.0054907855,0.007302717,0.0060518575,0.014875878,0.006715649,0.0065892893
NADK,0.18820041,0.16850938,0.17408916,0.1737537,0.14198074,0.21717684,0.11240385,0.10062525,0.18347149,0.18261793,0.18108408,0.2630139,0.16547671,0.20991541,0.17063673,0.1982166,0.12910628,0.22499764,0.10439781,0.23135726
GNB1,0.7445472,0.66422707,0.6495165,0.6489917,0.73380715,0.8003573,0.4974911,0.5671605,0.66399205,1.0015383,0.66293424,0.79759496,0.60402817,0.59536076,0.627639,0.6601656,0.72824013,0.92509365,0.518733,0.8430629
TMEM52,0.06520979,0.0077906735,0.012490703,0.013006513,0.14658864,0.02535567,0.0062446585,0.00914775,0.16162965,0.0044004316,0.04266924,0.0042766486,0.026517065,0.009169472,0.027031558,0.010223804,0.012103715,0.0018594847,0.024013532,0.010982148
C1orf222,0.0033017616,0.0014427174,0.0031226757,0.0013340013,0.0025919406,0.0019292358,0.0020815528,0,0.03057858,0.0008800864,0.0041628527,0.005702198,0.0012748591,0.004584736,0.0025342086,0.0020864906,0.018155571,0.002789227,0.000814018,0.00073214323
GABRD,0.0008254404,0.002596891,0,0.0040020044,0.00057598675,0.00027560513,0,0,0.008736737,0,0,0,0.0005099436,0,0,0,0.0040345713,0,0.000814018,0.00036607162
RP11-547D24.3,0,0.00057708693,0.00039033446,0,0.00028799337,0.00027560513,0,0,0,0,0,0,0.0002549718,0,0.0004223681,0.0008345962,0,0,0.000407009,0
