P1_Normal,P1_Tumor,P10_Normal,P10_Tumor,P2_Normal,P2_Tumor,P3_Normal,P3_Tumor,P4_Normal,P4_Tumor,P5_Normal,P5_Tumor,P6_Normal,P6_Tumor,P7_Normal,P7_Tumor,P8_Normal,P8_Tumor,P9_Normal,P9_Tumor
SPAG7,0.65705055,0.6994294,0.73265773,0.7433723,0.8000456,0.7973256,0.7202172,0.81414974,0.7164125,1.0873468,0.60777646,0.9002345,0.76975983,0.843264,0.70282054,0.7173354,0.6092203,0.76982665,0.6145836,0.95105404
CAMTA2,0.09905285,0.05453472,0.07767655,0.07036857,0.09503781,0.06862567,0.08326211,0.1646595,0.09173574,0.062486134,0.1509034,0.08410742,0.09280973,0.08219776,0.07391442,0.084294215,0.102881566,0.05578454,0.06858102,0.08236612
RP5-1050D4.3,0.009079845,0.003751065,0.0015613378,0.0016675016,0.011231742,0.0055121025,0.0020815528,0.00914775,0,0.0004400432,0.0010407132,0.0042766486,0.0025497181,0.0026198493,0.0021118405,0.0054248758,0.0040345713,0.007437939,0.001628036,0.0032946446
RP5-1050D4.5,0.004127202,0.0014427174,0.0066356855,0.0063365065,0.0028799337,0.0024804461,0.008326211,0,0.0043683685,0.0057205614,0.0031221393,0.009266073,0.0005099436,0.004912217,0.0016894724,0.003338385,0,0,0.0026455587,0.005857146
INCA1,0.004127202,0.0040396084,0.0066356855,0.005002505,0.006911841,0.009094969,0.0062446585,0,0.008736737,0.010561037,0.0052035656,0.009978848,0.006374295,0.010151916,0.003801313,0.0064681205,0.012103715,0.0065081962,0.003256072,0.010982148
KIF1C,0.34173235,0.26776832,0.25684008,0.2614643,0.2344266,0.19264798,0.11240385,0.0548865,0.3625746,0.12365214,0.3028475,0.15609768,0.22819975,0.24135362,0.1351578,0.1429246,0.14726186,0.09762294,0.16463515,0.20939296
SLC52A1,0.27569708,0.05655452,0.09797394,0.0110055115,0.2557381,0.046301663,0.0041631055,0,0.21405007,0.0030803022,0.25913757,0.010691622,0.119581774,0.0225962,0.15331961,0.036513586,0.026224714,0.0037189694,0.18518911,0.024160726
ZFP3,0.015683368,0.0077906735,0.008977693,0.01000501,0.021599503,0.01019739,0.0062446585,0.0182955,0.017473474,0.0044004316,0.014569984,0.015681045,0.007394182,0.013426727,0.006335522,0.012727593,0.0020172857,0.008367681,0.009768216,0.010982148
ZNF232,0.015683368,0.012695913,0.02810408,0.034350537,0.04175904,0.028387329,0.033304844,0.0914775,0.026210213,0.010561037,0.029139968,0.01781937,0.023202432,0.029473303,0.023652615,0.040060617,0.026224714,0.0130163925,0.015873352,0.028187515
USP6,0.02228689,0.012695913,0.02732341,0.0153410155,0.02303947,0.012953441,0.027060185,0.00914775,0.056788795,0.008360821,0.040587813,0.019244919,0.027791925,0.018011464,0.018584196,0.0123102935,0.036311142,0.025103044,0.019129425,0.016839294
ZNF594,0.009079845,0.006059413,0.008587358,0.01000501,0.024191445,0.012953441,0.0062446585,0.02744325,0.0043683685,0.0039603887,0.0031221393,0.009266073,0.0020397743,0.014736651,0.0033789447,0.013144891,0.0040345713,0.002789227,0.003256072,0.010982148
RP11-333E1.1,0.008254404,0.0057708696,0.012100368,0.00933801,0.014687663,0.014607072,0.012489317,0.00914775,0,0.007920777,0.008325705,0.009978848,0.006374295,0.0052396986,0.008024994,0.0108497515,0.012103715,0.01208665,0.0061051357,0.0095178615
SCIMP,0.0074289637,0.004328152,0.0058550164,0.012673013,0.0031679273,0.046577267,0.07701745,0.13721626,0.0043683685,0.061606046,0.01977355,0.3535363,0.015043336,0.058946606,0.017739462,0.061134174,0.06455314,0.09576346,0.039886884,0.16180365
RABEP1,0.1981057,0.21352217,0.2619144,0.26546627,0.23327464,0.22985467,0.23937857,0.3110235,0.33199602,0.2508246,0.18732837,0.21169412,0.14303918,0.22104977,0.18246302,0.23806857,0.20374586,0.21848945,0.17481038,0.2595448
NUP88,0.17416793,0.1964981,0.24786237,0.24412225,0.17567596,0.22296454,0.13113782,0.21039824,0.18783985,0.17381707,0.17275837,0.1496827,0.17644048,0.22628948,0.22765642,0.24036372,0.17550386,0.10877985,0.13675503,0.18742867
RPAIN,0.5802846,0.47349983,0.48050168,0.3831919,0.6186098,0.44317305,0.44545227,0.44823974,0.698939,0.4677659,0.59841007,0.37705788,0.55634844,0.41983083,0.542743,0.35449472,0.5809783,0.37654564,0.43407512,0.3517948
CTC-524C5.2,0.18820041,0.262286,0.11436799,0.15140916,0.1607003,0.20863308,0.056201924,0.08232975,0.052420426,0.046204537,0.13217056,0.095511824,0.103008606,0.13786957,0.14444989,0.12664998,0.050432146,0.06508196,0.06430742,0.096642904
C1QBP,2.1090002,3.165899,3.2952034,3.3229973,1.8152224,2.6656528,1.3113782,1.2257985,1.6381383,2.0743635,1.9398892,1.4683161,2.6060667,2.7832625,2.5435007,2.6959546,1.2729073,1.3007096,1.806713,2.4486532
DHX33,0.15848456,0.14859988,0.14364308,0.0937136,0.1177893,0.10004466,0.04371261,0.073182,0.10484085,0.07084695,0.11551915,0.06272418,0.0958694,0.06975349,0.11150518,0.06468121,0.060518574,0.07530913,0.077331714,0.07614289
DERL2,0.2591883,0.33355623,0.33334562,0.5466071,0.34184813,0.3753742,0.32472223,0.51227397,0.31452253,0.57821673,0.29868466,0.44334593,0.3442119,0.4414446,0.37590763,0.485735,0.28847185,0.42210305,0.29182547,0.526777
MIS12,0.10813269,0.084543236,0.115148656,0.13206615,0.12556511,0.10335192,0.09783298,0.12806849,0.16599801,0.09856967,0.13841484,0.14041664,0.105813295,0.13295735,0.13684727,0.1760998,0.13112357,0.122725986,0.13248144,0.138009
NLRP1,0.3904333,0.15667911,0.17877316,0.106720105,0.2522822,0.12236867,0.15195335,0.219546,0.3756797,0.09944976,0.37986028,0.10691621,0.22208044,0.11789321,0.16007751,0.10641102,0.22795328,0.12179625,0.19780639,0.10250005
WSCD1,0.004127202,0.0008656304,0.0011710033,0,0.0071998346,0.002204841,0,0,0,0,0.0020814263,0,0.0015298307,0.0006549623,0.0008447362,0,0,0,0.002035045,0
AIPL1,0.0016508808,0.00057708693,0.0011710033,0.00033350033,0.00028799337,0,0,0,0.013105107,0.0008800864,0.0041628527,0.0014255495,0.0002549718,0.0009824435,0.0016894724,0.00062594714,0.008069143,0.0018594847,0.000407009,0.00073214323
FAM64A,0.009079845,0.021063672,0.04137545,0.050358552,0.069982395,0.05319179,0.0062446585,0.02744325,0.052420426,0.049284834,0.010407131,0.024947116,0.03212645,0.060584016,0.029988136,0.07469636,0.018155571,0.057644024,0.034392264,0.057473242
PITPNM3,0.16261175,0.08569741,0.07455388,0.03668504,0.11058946,0.037757903,0.0062446585,0.00914775,0.10047248,0.013201296,0.1113563,0.019957695,0.094339564,0.04551988,0.044348653,0.0327579,0.036311142,0.0018594847,0.052097153,0.0296518
KIAA0753,0.01981057,0.024526194,0.030055754,0.03735204,0.042047035,0.027836118,0.0145708695,0.0548865,0.052420426,0.022002159,0.037465673,0.03136209,0.018102998,0.03176567,0.012671044,0.021073554,0.018155571,0.011156908,0.02523456,0.034044657
TXNDC17,2.085888,6.416341,2.6683261,5.947312,2.1236632,3.8030748,1.0553472,1.5642653,1.3585627,1.9903153,1.0979524,1.6593398,1.8681784,3.2479582,1.967813,3.8147306,1.0893342,1.3165151,1.8203478,3.1928766
MED31,0.34173235,0.36529604,0.44341993,0.7527103,0.41499847,0.36655483,0.23313391,0.402501,0.31015417,0.2596255,0.32990608,0.24947117,0.43906143,0.4748477,0.38097602,0.41959324,0.211815,0.21570022,0.428377,0.32836622
C17orf100,0.03631938,0.017889695,0.020687725,0.017675519,0.040607065,0.019016754,0.008326211,0,0.07426227,0.017601727,0.037465673,0.015681045,0.024987238,0.018338945,0.023230245,0.01523138,0.028242,0.005578454,0.031339694,0.00915179
CTC-281F24.1,0.0016508808,0.0017312608,0.0081970235,0.0023345025,0.0020159537,0.00055121025,0,0,0.0043683685,0.0004400432,0.0031221393,0.0014255495,0.0028046898,0.004584736,0.0029565769,0.0010432453,0,0.00092974235,0.0018315406,0.00036607162
SLC13A5,0.004127202,0.0054823263,0.0019516721,0.012673013,0.0025919406,0.0030316561,0.0041631055,0.00914775,0.0043683685,0,0.0052035656,0.0021383243,0,0.009824434,0.0004223681,0.0020864906,0.0040345713,0.002789227,0.0006105135,0.0025625012
XAF1,0.053653624,0.5369794,0.10031596,0.1894282,0.15983632,0.2361936,0.19982907,0.402501,0.09173574,0.46512568,0.044750664,0.4012922,0.35007626,0.49940878,0.15163015,0.39956293,0.09682972,0.46022248,0.19577134,0.45941988
FBXO39,0.0049526426,0.006059413,0.0027323412,0.013340013,0.005183881,0.0019292358,0.0041631055,0,0,0.0004400432,0.0020814263,0,0.0022947462,0.0006549623,0.006335522,0.0010432453,0,0.00092974235,0.0022385498,0
AC027763.2,0.03962114,0.025391826,0.030055754,0.039019544,0.0391671,0.028662933,0.031223292,0.036591,0.07426227,0.042244148,0.032262105,0.043479264,0.040030573,0.06451379,0.03125524,0.03734818,0.042363,0.028822012,0.030932685,0.0270893
RP11-589P10.5,0.011556166,0.010387564,0.012490703,0.0043355045,0.005471874,0.0035828666,0.0062446585,0.0182955,0.013105107,0.014081382,0.0062442785,0.007127748,0.014788364,0.013754209,0.0025342086,0.00667677,0.016138285,0.005578454,0.008343685,0.005491074
ALOX12,0.0033017616,0.0063479566,0.01756505,0.006003006,0.005183881,0.005787708,0.0104077635,0,0,0.0013201296,0.017692123,0.002851099,0.0066292663,0.003929774,0.0016894724,0.0041729813,0.0040345713,0,0.003256072,0.005491074
RNASEK,0.07016243,0.066653535,0.11085498,0.054694057,0.092733875,0.08764243,0.27060184,0.219546,0.109209225,0.115731366,0.08846061,0.12901223,0.053544078,0.06189394,0.10136835,0.0982737,0.15129642,0.14875877,0.044567488,0.0812679
AC040977.1,0.011556166,0.006059413,0.005074348,0.0040020044,0.009215788,0.006614523,0.02289708,0.0914775,0.03057858,0.0039603887,0.03330282,0.051319785,0.006374295,0.010806879,0.009292098,0.011892996,0.028242,0.0130163925,0.011396253,0.025625013
RNASEK-C17orf49,0.010730726,0.0046166955,0.0015613378,0.0016675016,0.01526365,0.011851021,0.012489317,0.00914775,0.026210213,0.0035203455,0.007284992,0.006414973,0,0.00032748116,0.008024994,0.009806505,0.042363,0.018594846,0.002442054,0.0047589308
C17orf49,0.07594051,0.062613934,0.0679182,0.07170258,0.06451052,0.07220854,0.09575143,0.3842055,0.15289292,0.09636946,0.0718092,0.26372668,0.15145326,0.20074594,0.073069684,0.087215304,0.15734829,0.12458548,0.053521685,0.15887508
MIR497HG,0.017334249,0.006059413,0.0062453514,0.008004009,0.011807729,0.0071657333,0.0145708695,0.036591,0.008736737,0.0008800864,0.01352927,0.02209602,0.007394182,0.011789322,0.011403939,0.0064681205,0.020172857,0.007437939,0.005901631,0.012812506
BCL6B,0.0033017616,0.012695913,0.0027323412,0.006003006,0.008063815,0.011851021,0.012489317,0,0.0043683685,0.0013201296,0.010407131,0.00071277475,0.0033146332,0.00032748116,0.0012671043,0.0004172981,0.008069143,0.009297423,0.005494622,0.0047589308
SLC16A13,0.0033017616,0.0109646525,0.009758361,0.00900451,0.004319901,0.005236497,0.008326211,0.00914775,0.008736737,0.0026402592,0.0052035656,0.006414973,0.006884238,0.03143819,0.0054907855,0.01335354,0.012103715,0.0037189694,0.006512144,0.007687504
SLC16A11,0.034668498,0.013561542,0.032788094,0.016341519,0.044062987,0.02204841,0.03746795,0,0.052420426,0.013201296,0.062442787,0.024234343,0.030086672,0.018993907,0.023230245,0.010432452,0.016138285,0.0037189694,0.019536432,0.0065892893
ASGR1,0.017334249,0.015581347,0.020297391,0.023678524,0.028511345,0.076618224,0.13738249,0.04573875,0.013105107,0.09460928,0.040587813,0.06414973,0.032891363,0.0556718,0.022807878,0.09117964,0.08674329,0.20082435,0.08302984,0.106526844
DLG4,0.0074289637,0.0034625216,0.00702602,0.012673013,0.01699161,0.011851021,0.041631054,0.00914775,0.0043683685,0.0101209935,0.009366418,0.01354272,0.0053544077,0.0052396986,0.010559203,0.019821659,0.034293856,0.05206557,0.00814018,0.018669652
ACADVL,1.019419,0.8656303,1.662044,1.0615315,1.2668829,1.0307631,1.3509278,0.8232975,1.2056698,1.0864667,1.5298482,0.7070726,1.2638953,1.2113528,1.0973123,1.1273308,1.101438,0.77819437,0.83762455,0.96057194
DVL2,0.17251705,0.13792378,0.18501852,0.14340515,0.1920916,0.13862938,0.12697472,0.12806849,0.16599801,0.08536838,0.2060612,0.10834176,0.13870466,0.13786957,0.16134462,0.14104676,0.17146929,0.07623887,0.122713216,0.119705416
PHF23,0.1469284,0.23516291,0.13973974,0.30815434,0.1915156,0.2097355,0.15611646,0.22869375,0.19220823,0.2222218,0.268504,0.25873727,0.15655269,0.2452834,0.2040038,0.25079617,0.21786685,0.16642389,0.11477654,0.31811622
GABARAP,0.6066987,0.19015014,0.15379177,0.17342018,0.99847305,0.9012288,0.8971492,1.5093788,1.0877239,0.21034063,0.73994696,0.65575284,0.27332976,0.5557355,0.67367715,0.5733676,1.4927915,1.241206,0.20533605,0.6406253
CTDNEP1,0.62238204,0.56641084,0.51485115,0.43321696,0.5434435,0.5691246,0.21648148,0.3110235,0.5504145,0.6561044,0.6431607,0.45546308,0.6200914,0.40050945,0.4434865,0.5065999,0.5144079,0.5429695,0.3524698,0.67027706
ELP5,0.1328959,0.14629152,0.28806683,0.3801904,0.2879934,0.34478202,0.3080698,0.3110235,0.15726127,0.15621534,0.12904842,0.16750208,0.28454852,0.35498956,0.33155894,0.37577695,0.23198785,0.30495548,0.105618834,0.22330369
CLDN7,0.032192178,0.028854348,0.04371746,0.05936306,0.1131814,0.06917688,0.10199609,0.0182955,0.07863063,0.051485054,0.057239223,0.12544836,0.0316165,0.062548906,0.043926284,0.096813165,0.042363,0.08646604,0.033171237,0.16802688
YBX2,0.0074289637,0.0017312608,0.00351301,0.0013340013,0.024479436,0.0030316561,0,0,0.013105107,0.0008800864,0.0020814263,0.00071277475,0.006119323,0.0029473305,0.005068417,0.0016691925,0,0,0.003256072,0.0014642865
EIF5A,3.9654157,5.1051993,6.226225,5.243626,5.410244,7.5747313,3.2451408,1.4087534,4.5168934,4.7617073,4.6093183,3.2374232,3.6965811,3.65207,4.1303377,3.4366586,3.7884624,3.3861215,4.934374,6.133896
GPS2,0.1857241,0.114263214,0.09485126,0.098049104,0.14486067,0.099493444,0.124893166,0.22869375,0.23152356,0.08096795,0.14674056,0.14255495,0.08108103,0.09824435,0.10221308,0.103698574,0.23198785,0.117147535,0.06674948,0.12116971
RP11-542C16.2,0.0016508808,0.00057708693,0.0011710033,0,0.0020159537,0.00055121025,0,0,0.017473474,0,0.0010407132,0.00071277475,0,0.0013099246,0,0.00020864906,0.0020172857,0.00092974235,0.000407009,0.00036607162
NEURL4,0.032192178,0.01673552,0.02888475,0.0153410155,0.025631411,0.015158283,0.0145708695,0.02744325,0.052420426,0.010561037,0.04266924,0.02993654,0.02702701,0.024561087,0.016894724,0.01961301,0.012103715,0.01952459,0.019332929,0.013178579
ACAP1,0.028890416,0.027988715,0.12607802,0.06870107,0.25746608,0.3439552,0.42879987,2.0216527,0.117945954,0.2935088,0.14465913,0.59730524,0.10173375,0.24397346,0.10559203,0.3584591,0.47406214,0.66383606,0.08771044,0.43489307
KCTD11,0.045399223,0.050783653,0.12724903,0.09838261,0.04607894,0.03279701,0.041631054,0.02744325,0.07863063,0.029482894,0.087419905,0.04205371,0.05940843,0.06222142,0.026609192,0.04819793,0.044380285,0.041838408,0.05576024,0.048321452
TNK1,0.07594051,0.08598595,0.04371746,0.04835755,0.057886668,0.03720669,0.031223292,0.04573875,0.08736738,0.011001079,0.08533848,0.01496827,0.041050456,0.028163379,0.03590129,0.03067141,0.03832843,0.0018594847,0.04538151,0.023428584
TMEM256-PLSCR3,0.011556166,0.0066365,0.0019516721,0.004669005,0.013823682,0.012953441,0.0041631055,0.00914775,0.039315317,0,0.011447844,0.0042766486,0.0050994363,0.0085145105,0.010981571,0.0058421735,0.014121,0.0018594847,0.0044770995,0.005857146
TMEM256,0.7660087,0.726841,0.75412613,0.6736707,0.97024965,1.0514336,1.047021,1.0154003,0.6902023,0.5852574,0.78990126,0.96509707,0.80443597,0.79217696,0.91315985,1.077881,0.79481053,1.0413114,0.86062056,0.88259864
NLGN2,0.023937771,0.018178238,0.023810402,0.03735204,0.044638973,0.020945989,0.024978634,0.00914775,0.03494695,0.012321209,0.059320647,0.007840523,0.045639955,0.012116802,0.027453927,0.007720015,0.034293856,0.0065081962,0.028287128,0.016473223
TMEM102,0.10895813,0.13099873,0.14520441,0.0917126,0.122397184,0.15240963,0.099914536,0.11892075,0.117945954,0.108690664,0.17379908,0.1439805,0.14839359,0.12477032,0.12671043,0.16128571,0.11901986,0.08739578,0.10907842,0.15191971
FGF11,0.09822741,0.041550256,0.04957247,0.04068704,0.04895887,0.025631277,0.0062446585,0.036591,0.06552553,0.0101209935,0.093664184,0.015681045,0.04589492,0.03962522,0.032099977,0.018569766,0.072622284,0.033470724,0.05921981,0.03441073
CHRNB1,0.09740197,0.08223488,0.08704458,0.104052104,0.14428468,0.11079326,0.08742522,0.182955,0.11357759,0.12101188,0.09782703,0.13328889,0.07674651,0.10544893,0.068423636,0.13791703,0.06253585,0.12179625,0.06430742,0.09737505
ZBTB4,0.29715854,0.124939315,0.13856873,0.091045596,0.22405885,0.11658097,0.16652422,0.13721626,0.3276277,0.085808426,0.24768971,0.087671295,0.14966846,0.102829084,0.14951831,0.089301795,0.211815,0.08739578,0.14224966,0.098473266
SLC35G6,0.0008254404,0.0008656304,0.00039033446,0.00066700066,0.00057598675,0,0,0,0,0,0.0010407132,0,0.0002549718,0.0009824435,0,0,0.0020172857,0,0.0002035045,0.0010982148
POLR2A,0.7164822,0.34336674,0.4309292,0.23244974,0.47778103,0.3445064,0.2997436,0.3110235,0.6028349,0.34059343,0.747232,0.316472,0.44492579,0.29735288,0.4713628,0.2727043,0.54264987,0.28914988,0.5315538,0.34520552
TNFSF12,0.04457378,0.03173978,0.07494421,0.07537108,0.09878173,0.33541143,0.21023683,0.3110235,0.056788795,0.60681957,0.05411708,0.4155477,0.059153456,0.19616121,0.064199954,0.38892183,0.183573,0.6173489,0.060237333,0.37485734
SENP3,0.056955386,0.04443569,0.04020445,0.024679026,0.059038643,0.048782106,0.03746795,0.00914775,0.03057858,0.025962546,0.061402075,0.036351513,0.033656277,0.024561087,0.05617496,0.029210867,0.044380285,0.030681496,0.028694134,0.0296518
EIF4A1,7.826,9.86357,11.983267,13.036861,8.4603815,11.629985,9.052673,7.4188256,7.181598,9.440686,10.264553,6.7706475,11.139208,11.149751,13.548303,11.752158,10.342624,8.435553,9.60582,10.016451
CD68,0.026414093,0.058285777,0.34622666,0.3821914,0.27560967,0.808901,1.3863142,0.48483074,0.096104115,2.3810737,0.24352686,1.7933414,0.20907688,0.87633955,0.2965024,1.2698381,0.71008456,3.7291965,0.44445384,1.8186438
AC113189.5,0.17251705,0.077041104,0.07845722,0.04568955,0.1523485,0.07827185,0.05203882,0.0548865,0.31452253,0.027722722,0.100949176,0.051319785,0.12238646,0.07237334,0.10897097,0.064889856,0.11901986,0.025103044,0.10297328,0.03441073
MPDU1,0.3029366,0.355197,0.44498128,0.33883637,0.36287165,0.4517168,0.21023683,0.12806849,0.26210213,0.43696287,0.33927247,0.35852572,0.36996406,0.43882474,0.3336708,0.5134853,0.3086447,0.46208194,0.29630256,0.5205538
SOX15,0.84690183,0.6480686,1.3392375,1.0155085,0.98493737,0.5997167,0.10615919,0.02744325,1.2886689,0.12013179,0.79822695,0.14326774,1.3411517,0.6405531,1.3895911,0.5621005,0.8069143,0.017665105,0.8062849,0.57400024
FXR2,0.14115031,0.09579643,0.11241632,0.067033574,0.10770953,0.08654001,0.04579416,0.0914775,0.096104115,0.06776665,0.2227126,0.08553298,0.10836301,0.0746657,0.09841177,0.067393646,0.112968,0.06694145,0.0765177,0.09261612
SHBG,0,0.0008656304,0.0019516721,0.0023345025,0.0011519735,0.00027560513,0.0020815528,0,0,0.0013201296,0,0,0.00076491537,0.0009824435,0.0008447362,0.0004172981,0,0,0.0002035045,0.0025625012
SAT2,0.5216783,0.42387033,0.5769143,0.59963363,0.7024159,0.64353794,0.7826638,0.6037515,0.62467676,0.9056089,0.62338716,0.639359,0.55354375,0.6038753,0.47854307,0.6002833,0.60115117,0.8023676,0.41799828,0.5593574
ATP1B2,0.009905285,0.002596891,0.0046840133,0.007003507,0.004607894,0.0008268154,0.016652422,0.00914775,0,0.0004400432,0.0041628527,0,0.003824577,0.002292368,0.0054907855,0.0012518943,0.02420743,0.00092974235,0.00407009,0.0010982148
TP53,0.55634683,0.37135544,0.25801107,0.20243472,0.4224863,0.3174971,0.34761932,0.2012505,0.35820624,0.14477421,0.4204481,0.20599191,0.34548676,0.28228876,0.38139838,0.31798118,0.29048914,0.26404682,0.28633085,0.23025905
WRAP53,0.06520979,0.056265976,0.068308525,0.0967151,0.08467005,0.09150089,0.02289708,0.08232975,0.082999006,0.055445444,0.049954228,0.059160307,0.064507864,0.07957792,0.08954204,0.10641102,0.06657043,0.07159016,0.049248092,0.09481255
EFNB3,0.037144817,0.013850086,0.046059463,0.039019544,0.115773335,0.056223445,0.0395495,0,0.07426227,0.039163843,0.06452421,0.012117172,0.02830187,0.012116802,0.038857866,0.039643317,0.06657043,0.015805619,0.014448821,0.005857146
DNAH2,0,0.0014427174,0.0011710033,0.0010005011,0.011231742,0.0019292358,0.0020815528,0.00914775,0.008736737,0.0004400432,0,0,0.0005099436,0.001964887,0.0008447362,0.0010432453,0.0060518575,0.00092974235,0.0006105135,0.0010982148
KDM6B,0.5538705,0.14744571,0.39189577,0.20777072,0.46366936,0.5705026,2.414601,0.49397847,0.44120526,0.53553253,0.5973693,0.4319415,0.45053515,0.24004368,0.9283651,0.45568955,2.2048934,1.1565995,0.5858895,0.48028597
TMEM88,0.03962114,0.010099021,0.025762074,0.014340514,0.024191445,0.03720669,0.09783298,0.0182955,0.017473474,0.044444364,0.029139968,0.028510991,0.04079549,0.010806879,0.0489947,0.024829237,0.15734829,0.08739578,0.044160478,0.028553586
LSMD1,1.6434518,1.5413991,1.0855201,1.2582968,1.6237066,1.5174819,1.0074716,1.3355714,1.1881963,0.8105596,1.1468658,1.000023,1.3087703,1.0387702,1.2578123,1.4947618,0.83919084,1.1008149,1.2975448,1.2234112
CYB5D1,0.10565637,0.048763845,0.07455388,0.067033574,0.06508651,0.06724765,0.1415456,0.036591,0.048052058,0.06292618,0.06868707,0.024947116,0.063997924,0.05960157,0.085318364,0.055292,0.26022986,0.05113583,0.07814573,0.07175003
CHD3,0.35576484,0.37539503,0.23185867,0.42921495,0.47461307,0.3830911,0.2685203,0.42994422,0.61594003,0.23894344,0.21022405,0.44976088,0.18510953,0.26100248,0.35394448,0.27207837,0.25821257,0.18501872,0.22324444,0.47003597
AC025335.1,0.27569708,0.08050362,0.14793675,0.08337509,0.21916296,0.049884524,0.05203882,0.036591,0.4193634,0.028162764,0.24873044,0.03706429,0.23814365,0.057636686,0.25384322,0.08179043,0.127089,0.015805619,0.30037266,0.034776803
KCNAB3,0.013207046,0.012118826,0.013661705,0.014340514,0.026783384,0.012677835,0.008326211,0.00914775,0.013105107,0.00968095,0.007284992,0.012829946,0.008669041,0.0042572552,0.004646049,0.0083459625,0.008069143,0.0046487115,0.006715649,0.0095178615
TRAPPC1,1.1217735,1.4591644,1.3486054,1.7668848,1.4497588,1.7473365,1.3051336,2.5430744,1.2275116,2.4303586,0.96474105,1.9415984,1.7638948,2.3464024,1.2852662,2.0501857,1.12968,1.9143395,1.4127283,2.1777601
CNTROB,0.115561664,0.058285777,0.07299254,0.052026052,0.10511759,0.06504281,0.068691246,0.0914775,0.10047248,0.063806266,0.107193455,0.047755912,0.07827634,0.06516875,0.07053547,0.0659331,0.060518574,0.056714285,0.08648942,0.0812679
GUCY2D,0.0049526426,0.002596891,0.0027323412,0.004669005,0.011807729,0.0071657333,0.0145708695,0,0.013105107,0,0.0041628527,0.004989424,0.0025497181,0.0026198493,0.0071802577,0.00438163,0.0020172857,0.0046487115,0.005494622,0.008419647
ALOX15B,0.15848456,0.124073684,0.26815978,0.08070709,0.124701135,0.071932934,0.1415456,0.00914775,0.18347149,0.008800863,0.044750664,0.02993654,0.0831208,0.0746657,0.09207624,0.06426391,0.026224714,0.042768147,0.15466343,0.08602683
ALOX12B,0.01815969,0.008656304,0.0464498,0.0023345025,0.0031679273,0.0011024205,0.0020815528,0,0.017473474,0.0030803022,0.020814262,0,0.02830187,0.015391614,0.0012671043,0.0062594716,0.0020172857,0,0.015873352,0.0032946446
ALOXE3,0.009079845,0.0098104775,0.02732341,0.005002505,0.003743914,0.0008268154,0,0,0.021841845,0.0017601728,0.014569984,0.0021383243,0.01708311,0.0042572552,0.0025342086,0.0022951395,0.010086428,0,0.00854719,0.0021964295
HES7,0.0024763213,0.0014427174,0,0.004669005,0.00086398015,0.0008268154,0,0.0182955,0.0043683685,0.0057205614,0.0010407132,0.00071277475,0.0005099436,0.0009824435,0,0.00062594714,0.0020172857,0.0037189694,0.000407009,0.00036607162
PER1,1.3941687,0.22852643,0.16042747,0.12172762,0.217435,0.13284168,0.44545227,0.2744325,0.9959881,0.16017571,1.8483064,0.23093902,0.58592516,0.08612755,0.3552116,0.14209001,0.7242056,0.24266276,0.9605413,0.19401796
VAMP2,0.9715433,0.56150556,0.8536614,0.62231165,1.3175697,0.7493703,0.9991453,1.8935843,1.3541944,1.2281605,1.3570899,0.955831,1.4694024,0.79152197,1.1488413,0.7653247,1.1518701,0.83769786,1.3706028,0.88442904
TMEM107,0.1758188,0.12926747,0.22990698,0.1807572,0.26351395,0.1772141,0.41214746,0.7043767,0.24462864,0.25698522,0.19981691,0.23949233,0.22819975,0.2639498,0.18795381,0.30629683,0.24005699,0.40629742,0.31156543,0.24929477
C17orf59,0.14362663,0.1035871,0.10070629,0.08671009,0.11836528,0.11024205,0.08534367,0.17380723,0.12231432,0.115731366,0.106152736,0.16322543,0.13003561,0.16210318,0.06377758,0.15794735,0.106916144,0.15340748,0.08648942,0.15850902
AURKB,0.09822741,0.09666206,0.2619144,0.20243472,0.2257868,0.20091613,0.04579416,0.15551175,0.1965766,0.13685343,0.044750664,0.104777895,0.18944405,0.225962,0.18119591,0.40164942,0.12305443,0.25753862,0.15893702,0.22769655
LINC00324,0.04457378,0.02250639,0.02888475,0.01834252,0.086974,0.04409682,0.068691246,0.146364,0.06115716,0.050164923,0.061402075,0.075554125,0.047169782,0.034058042,0.059976272,0.056543894,0.08069143,0.056714285,0.054946218,0.050883956
RP11-849F2.8,0.005778083,0.002596891,0.0031226757,0.0016675016,0.005471874,0.004685287,0.0062446585,0.00914775,0.017473474,0.0039603887,0.01352927,0.01354272,0.008924013,0.003929774,0.0059131538,0.00438163,0.0020172857,0.0046487115,0.01037873,0.008053576
CTC1,0.033017617,0.018466782,0.021468395,0.0110055115,0.019871542,0.019843569,0.020815527,0.04573875,0.017473474,0.014961469,0.0395471,0.034925964,0.02396735,0.021941237,0.021118406,0.018361116,0.026224714,0.014875878,0.024420543,0.028553586
PFAS,0.053653624,0.03751065,0.03669144,0.03001503,0.035999175,0.03720669,0.016652422,0.0182955,0.026210213,0.028602809,0.01977355,0.027798217,0.023712378,0.024888568,0.032099977,0.0327579,0.018155571,0.0130163925,0.023199514,0.025258942
RP11-849F2.9,0.0074289637,0.0028854348,0.0019516721,0.0013340013,0.0025919406,0.0038584715,0.008326211,0,0.008736737,0.0030803022,0.0020814263,0.0014255495,0.0025497181,0.0016374058,0.0067578894,0.0020864906,0.0040345713,0.002789227,0.002442054,0.0032946446
