GeneID,G2M
ADPGK-AS1,3.4660916
ADPRH,2.8744829
ADPRHL1,1.6476835
ADPRHL2,71.00863
ADPRM,24.16124
ADRA1A,7.1369658
ADRA1B,0.046627566
ADRA1D,0.0863625
ADRA2A,0.40621725
ADRA2B,0.12331136
ADRA2C,0.0
ADRB1,0.7789728
ADRB2,0.6395894
ADRB3,0.008181818
ADRBK1,7.626822
ADRBK2,4.38408
ADRM1,147.1896
ADSL,108.94715
ADSS,58.607826
ADSSL1,2.3049564
ADTRP,0.0
AEBP1,9.020679
AEBP2,29.044165
AEN,51.88273
AES,53.092262
AFAP1,24.238022
AFAP1-AS1,1.2076526
AFAP1L1,7.26168
AFAP1L2,19.781466
AFF1,12.824441
AFF2,0.431409
AFF3,6.4386463
AFF4,59.776443
AFG3L1P,26.028034
AFG3L2,38.022255
AFM,0.0
AFMID,20.93831
AFP,0.0
AFTPH,17.912233
AGA,24.697142
AGAP1,11.4658
AGAP11,0.91976523
AGAP2,7.5254874
AGAP3,22.61457
AGAP4,7.0958085
AGAP5,7.4285803
AGAP6,18.449566
AGAP7,1.7149658
AGAP8,5.453459
AGAP9,4.545136
AGBL1,0.21580736
AGBL2,0.087917745
AGBL3,4.1854877
AGBL4,0.37510252
AGBL5,24.260061
AGER,6.7643642
AGFG1,8.77831
AGFG2,6.823537
AGGF1,24.145391
AGK,36.8413
AGL,16.422878
AGMAT,4.642755
AGMO,10.445514
AGO1,16.161072
AGO2,17.417685
AGO3,31.074955
AGO4,6.6446757
AGPAT1,62.237328
AGPAT2,6.1930447
AGPAT3,9.263933
AGPAT4,15.928111
AGPAT4-IT1,14.05992
AGPAT5,37.38304
AGPAT6,30.071913
AGPAT9,1.1515256
AGPHD1,4.7596045
AGPS,8.1621475
AGR2,0.09257881
AGR3,0.014046859
AGRN,4.1392016
AGRP,0.05387097
AGSK1,5.354661
AGT,94.81544
AGTPBP1,13.863621
AGTR1,0.35632804
AGTR2,0.0
AGTRAP,33.50885
AGXT,0.0
AGXT2,0.004956012
AGXT2L1,0.0
AGXT2L2,22.499208
AHCTF1,14.747478
AHCTF1P1,1.0088587
AHCY,141.6198
AHCYL1,49.520523
AHCYL2,15.303153
AHDC1,2.340148
AHI1,30.0472
AHNAK,4.106366
AHNAK2,0.10085034
AHR,11.359262
AHRR,0.9433537
AHSA1,144.77672
AHSA2,7.0781164
AHSG,1.5053959
AHSP,0.0
AICDA,1.7408818
AIDA,34.28098
AIF1,0.045219813
AIF1L,94.9785
AIFM1,34.366146
AIFM2,5.2592587
AIFM3,0.36606875
AIG1,46.66032
AIM1,1.0175674
AIM1L,0.008475075
AIM2,4.9030776
AIMP1,44.695347
AIMP2,104.33239
AIP,73.55273
AIPL1,3.1998518
AIRE,0.32841825
AIRN,0.19404675
AJAP1,0.5087976
AJUBA,4.8499403
AK1,24.399115
AK2,56.195866
AK3,39.55339
AK4,33.738014
AK5,1.1590903
AK7,0.8120425
AK8,0.9024067
AKAP1,6.5236373
AKAP10,20.388893
AKAP11,21.055845
AKAP12,26.237387
AKAP13,26.747725
AKAP14,0.052199412
AKAP17A,5.225023
AKAP2,5.849431
AKAP3,0.6110734
AKAP4,0.0
AKAP5,4.14599
AKAP6,8.569138
AKAP7,60.667587
AKAP8,47.56019
AKAP8L,27.180092
AKAP9,22.105804
AKD1,32.37271
AKIP1,95.822784
AKIRIN1,170.73389
AKIRIN2,164.0575
AKNA,4.670699
AKNAD1,7.571113
AKR1A1,96.52403
AKR1B1,262.3449
AKR1B10,1.1889443
AKR1B15,0.2686217
AKR1C1,1.155471
AKR1C2,0.24084875
AKR1C3,3.5861883
AKR1C4,0.056510266
AKR1C6P,0.019648094
AKR1CL1,0.0
AKR1D1,1.5143144
AKR1E2,0.06994439
AKR7A2,38.723038
AKR7A2P1,1.0572711
AKR7A3,1.8690703
AKR7L,3.0877047
AKT1,23.45812
AKT1S1,6.6768293
AKT2,15.373875
AKT3,30.415731
AKTIP,39.28911
ALAD,18.117826
ALAS1,50.565308
ALAS2,0.06316715
ALB,0.014222786
ALCAM,92.14241
ALDH16A1,12.647905
ALDH18A1,53.48449
ALDH1A1,2.6877775
ALDH1A2,0.8830774
ALDH1A3,0.33844575
ALDH1B1,30.690763
ALDH1L1,9.22421
ALDH1L1-AS1,0.026070382
ALDH1L1-AS2,2.878065
ALDH1L2,3.6199625
ALDH2,61.199482
ALDH3A1,0.04293228
ALDH3A2,65.12784
ALDH3B1,2.3182433
ALDH3B2,0.0
ALDH4A1,15.807863
ALDH5A1,9.555315
ALDH6A1,52.090996
ALDH7A1,80.46265
ALDH8A1,3.709965
ALDH9A1,136.56258
ALDOA,890.40607
ALDOB,0.21328431
ALDOC,11.11176
ALG1,20.658718
ALG10,5.240719
ALG10B,7.653412
ALG11,31.74753
ALG12,22.510426
ALG13,23.680088
ALG14,29.449121
ALG1L,1.9018766
ALG1L2,0.122902356
ALG1L9P,5.4262056
ALG2,31.968317
ALG3,50.3958
ALG5,103.891045
ALG6,37.20851
ALG8,100.66745
ALG9,24.668839
ALK,3.420834
ALKBH1,14.241277
ALKBH2,57.561874
ALKBH3,29.62743
ALKBH4,34.635426
ALKBH5,25.520859
ALKBH6,12.4469185
ALKBH7,33.306053
ALKBH8,7.790729
ALLC,0.1441993
ALMS1,12.557348
ALMS1P,1.3726373
ALOX12,0.7333745
ALOX12B,0.10469203
ALOX12P2,2.5554576
ALOX15,0.056745052
ALOX15B,0.033958945
ALOX15P1,0.0
ALOX5,0.0697348
ALOX5AP,0.05293255
ALOXE3,0.0
ALPI,0.0
ALPK1,2.4180198
ALPK2,0.9644234
ALPK3,0.8686238
ALPL,1.1630597
ALPP,0.48036045
ALPPL2,0.0
ALS2,12.835768
ALS2CL,0.47824052
ALS2CR11,0.50156933
ALS2CR12,1.1229298
ALS2CR8,7.545549
ALX1,0.7282095
ALX3,2.2510538
ALX4,0.3835217
ALYREF,8.076174
AMACR,12.577568
AMBN,0.0
AMBP,0.014779919
AMBRA1,9.392664
AMD1,132.49104
AMDHD1,2.0654874
AMDHD2,10.959389
AMELX,0.09724677
AMELY,0.0
AMER1,4.553678
AMER2,3.5047257
AMER3,0.450527
AMFR,22.646923
AMH,3.3091455
AMHR2,0.0
AMICA1,0.0
AMIGO1,0.8251724
AMIGO2,1.4467313
AMIGO3,14.07344
AMMECR1,9.654393
AMMECR1L,23.108614
AMN,0.0
AMN1,29.702377
AMOT,7.580765
AMOTL1,11.084874
AMOTL2,34.46203
AMPD1,0.094281435
AMPD2,26.8644
AMPD3,0.4524923
AMPH,17.480375
AMT,6.2772956
AMTN,0.0
AMY1A,0.0
AMY1B,0.10765232
AMY1C,0.0
AMY2A,0.057331365
AMY2B,4.5104694
AMZ1,4.5788054
AMZ2,106.26765
AMZ2P1,23.027416
ANAPC1,19.739923
ANAPC10,46.16564
ANAPC11,354.0221
ANAPC13,163.66718
ANAPC15,90.35494
ANAPC16,32.743538
ANAPC1P1,1.533814
ANAPC2,6.62832
ANAPC4,22.149223
ANAPC5,202.65999
ANAPC7,123.77679
ANG,3.4306965
ANGEL1,14.639232
ANGEL2,30.828018
ANGPT1,6.1011696
ANGPT2,3.3298838
ANGPT4,0.005278592
ANGPTL1,11.988988
ANGPTL2,21.141163
ANGPTL3,0.4725546
ANGPTL4,5.819794
ANGPTL5,0.13041046
ANGPTL6,0.26753682
ANGPTL7,1.3924391
ANHX,0.38210994
ANK1,0.054604165
ANK2,24.801855
ANK3,8.439599
ANKAR,3.5140812
ANKDD1A,7.6349177
ANKDD1B,0.28325525
ANKEF1,2.3911402
ANKFN1,6.80322
ANKFY1,25.28528
ANKH,4.427916
ANKHD1,37.649616
ANKHD1-EIF4EBP3,3.0632424
ANKIB1,29.593626
ANKK1,0.22809102
ANKLE1,4.3136754
ANKLE2,20.643293
ANKMY1,6.058947
ANKMY2,42.041607
ANKRA2,29.144167
ANKRD1,0.3433724
ANKRD10,181.45164
ANKRD11,16.294586
ANKRD12,22.343119
ANKRD13A,10.527546
ANKRD13B,3.2820513
ANKRD13C,26.810587
ANKRD13D,13.010506
ANKRD16,4.305859
ANKRD17,37.052277
ANKRD18A,1.1678865
ANKRD18B,0.39346045
ANKRD18DP,0.6150145
ANKRD19P,4.590601
ANKRD2,1.6227272
ANKRD20A1,25.49396
ANKRD20A11P,1.7122841
ANKRD20A12P,21.231901
ANKRD20A19P,0.44099686
ANKRD20A2,28.897087
ANKRD20A3,6.2482734
ANKRD20A4,18.262196
ANKRD20A5P,2.0054827
ANKRD20A8P,20.440657
ANKRD20A9P,12.993201
ANKRD22,0.11903234
ANKRD23,6.654863
ANKRD24,0.25249267
ANKRD26,5.7111177
ANKRD26P1,0.25156087
ANKRD26P3,0.1669794
ANKRD27,16.292864
ANKRD28,12.1759
ANKRD29,0.0
ANKRD30A,0.002082101
ANKRD30B,0.044132877
ANKRD30BL,1.2802427
ANKRD30BP2,1.983871
ANKRD30BP3,0.07079192
ANKRD31,0.67639863
ANKRD32,15.379175
ANKRD33,0.0
ANKRD33B,0.7557399
ANKRD34A,1.2465398
ANKRD34B,0.012287257
ANKRD34C,0.0
ANKRD35,6.516146
ANKRD36,66.96058
ANKRD36B,47.14265
ANKRD36BP1,156.51137
ANKRD36BP2,1.0563343
ANKRD37,15.791552
ANKRD39,36.656925
ANKRD40,32.291252
ANKRD42,5.6373024
ANKRD44,28.091185
ANKRD45,2.0308216
ANKRD46,44.86334
ANKRD49,16.79341
ANKRD50,12.535077
ANKRD52,24.819056
ANKRD53,1.3139272
ANKRD54,47.3375
ANKRD55,0.32211488
ANKRD6,7.2772946
ANKRD61,4.103041
ANKRD62P1-PARP4P3,0.25205767
ANKRD63,0.0
ANKRD65,18.217022
ANKRD66,0.0
ANKRD7,3.2490344
ANKRD9,0.26404536
ANKS1A,3.4642417
ANKS1B,26.77494
ANKS3,12.999979
ANKS4B,3.139146
ANKS6,1.918129
ANKUB1,0.73947394
ANKZF1,23.181566
ANLN,125.737946
ANO1,0.10214077
ANO10,29.6796
ANO2,0.094837174
ANO3,1.5658917
ANO4,1.1656338
ANO5,4.009428
ANO6,21.821617
ANO7,0.09768336
ANO8,0.48729718
ANO9,0.0
ANP32A,45.421497
ANP32A-IT1,5.874882
ANP32AP1,0.38686216
ANP32B,193.84978
ANP32C,1.4612029
ANP32D,0.05070381
ANP32E,563.05164
ANPEP,0.01967742
ANTXR1,41.64132
ANTXR2,9.037054
ANXA1,199.88034
ANXA10,0.067125864
ANXA11,4.5685296
ANXA13,0.0
ANXA2,298.23132
ANXA2P1,2.931797
ANXA2P2,0.51524913
ANXA2P3,0.18651636
ANXA2R,21.118595
ANXA3,0.61949897
ANXA4,11.865772
ANXA5,688.8399
ANXA6,78.3078
ANXA7,82.88281
ANXA8,0.0
ANXA8L1,0.0
ANXA8L2,0.0
ANXA9,0.5567677
AOAH,2.891794
AOAH-IT1,0.0
AOC2,1.0784714
AOC3,0.78480124
AOC4,0.17832842
AOX1,3.138713
AOX2P,0.08117285
AP1AR,25.889334
AP1B1,34.74179
AP1B1P1,0.0994135
AP1G1,36.974743
AP1G2,5.804419
AP1M1,126.36249
AP1M2,0.034193672
AP1S1,29.85504
AP1S2,203.17892
AP1S3,10.00759
AP2A1,26.094696
AP2A2,6.6819143
AP2B1,140.99832
AP2M1,320.08
AP2S1,145.45805
AP3B1,40.53413
AP3B2,10.241544
AP3D1,31.21192
AP3M1,53.91479
AP3M2,15.294189
AP3S1,135.57246
AP3S2,22.668913
AP4B1,29.032984
AP4B1-AS1,7.273459
AP4E1,7.9784927
AP4M1,18.893364
AP4S1,10.392018
AP5B1,6.8451686
AP5M1,53.786114
AP5S1,12.360406
AP5Z1,13.68939
APAF1,20.127678
APBA1,2.8183813
APBA2,45.57419
APBA3,14.240934
APBB1,85.80118
APBB1IP,0.0
APBB2,43.397465
APBB3,20.790659
APC,37.05924
APC2,3.6076026
APCDD1,4.827458
APCDD1L,2.516426
APCDD1L-AS1,1.27958
APCS,0.0
APEH,54.726124
APEX1,291.7647
APEX2,11.488759
APH1A,59.3751
APH1B,23.537565
API5,104.46913
APIP,90.925156
APITD1,20.642172
APITD1-CORT,6.0461564
APLF,4.5494647
APLN,0.7497053
APLNR,0.36888182
APLP1,25.555178
APLP2,274.07965
APMAP,192.75409
APOA1,1.4082462
APOA1BP,200.28284
APOA2,0.25812316
APOA4,0.52514786
APOA5,0.0
APOB,0.004105572
APOBEC1,0.0
APOBEC2,1.705187
APOBEC3A,5.3190002
APOBEC3A_B,0.70199466
APOBEC3B,22.641266
APOBEC3C,8.729105
APOBEC3D,3.6984735
APOBEC3F,2.7295213
APOBEC3G,1.9811751
APOBEC3H,0.031466275
APOBEC4,2.5313299
APOBR,0.025542514
APOC1,0.30166975
APOC1P1,3.9257152
APOC2,0.0
APOC3,0.277187
APOC4,0.04577701
APOC4-APOC2,0.0
APOD,67.47446
APOE,9.723567
APOF,1.0476251
APOH,0.032228693
APOL1,8.543726
APOL2,23.349539
APOL3,1.3648679
APOL4,30.3086
APOL5,0.07316715
APOL6,5.412196
APOLD1,36.525448
APOM,10.577626
APOO,111.00592
APOOL,29.52242
APOPT1,73.08111
APP,172.99991
APPBP2,31.194555
APPL1,30.582722
APPL2,37.244408
APRT,46.723293
APTX,30.386477
AQP1,20.37766
AQP10,0.1139888
AQP11,5.888038
AQP12A,0.0
AQP12B,0.0
AQP2,0.21313846
AQP3,1.4302087
AQP4,37.323093
AQP4-AS1,3.3120527
AQP5,0.19744867
AQP6,5.9631896
AQP7,0.11158357
AQP7P1,1.852725
AQP7P3,7.589535
AQP8,0.55483764
AQP9,0.0070967744
AQPEP,0.421061
AQR,31.465204
AR,2.3160422
ARAF,53.810505
ARAP1,8.642162
ARAP2,9.782241
ARAP3,2.5251713
ARC,67.531265
ARCN1,91.02751
AREG,0.0
ARF1,671.3266
ARF3,42.888382
ARF4,381.90677
ARF5,298.00092
ARF6,31.618025
ARFGAP1,49.377018
ARFGAP2,52.085506
ARFGAP3,101.0233
ARFGEF1,9.108851
ARFGEF2,5.4499764
ARFIP1,44.929195
ARFIP2,20.735434
ARFRP1,27.642504
ARG1,1.2883701
ARG2,24.253304
ARGFX,3.8119907
ARGFXP2,1.1355712
ARGLU1,191.21231
ARHGAP1,34.297516
ARHGAP10,1.9892657
ARHGAP11A,123.51795
ARHGAP11B,105.19227
ARHGAP12,38.96659
ARHGAP15,2.534693
ARHGAP17,16.3409
ARHGAP18,5.3508325
ARHGAP19,23.410536
ARHGAP19-SLIT1,18.316265
ARHGAP20,4.3060493
ARHGAP21,31.084803
ARHGAP22,3.5644007
ARHGAP23,4.031969
ARHGAP24,1.7614071
ARHGAP25,5.4481654
ARHGAP26,2.9633694
ARHGAP26-AS1,0.26785925
ARHGAP27,0.46985233
ARHGAP28,1.4031378
ARHGAP29,0.88380575
ARHGAP30,7.866704
ARHGAP31,10.1572075
ARHGAP32,9.785975
ARHGAP33,72.465675
ARHGAP35,25.785944
ARHGAP36,0.0
ARHGAP39,2.0132306
ARHGAP4,2.3018496
ARHGAP40,0.30911282
ARHGAP42,5.3992963
ARHGAP44,0.23492439
ARHGAP5,27.335653
ARHGAP5-AS1,7.5880466
ARHGAP6,1.2028693
ARHGAP8,0.16768317
ARHGAP9,0.40835902
ARHGDIA,31.31214
ARHGDIB,0.10727272
ARHGDIG,0.115100235
ARHGEF1,19.404928
ARHGEF10,4.29888
ARHGEF10L,6.3701296
ARHGEF11,4.7308135
ARHGEF12,9.854849
ARHGEF15,0.25730678
ARHGEF16,0.42574638
ARHGEF17,3.316669
ARHGEF18,6.1278663
ARHGEF19,0.56697404
ARHGEF2,52.713097
ARHGEF25,4.2757173
ARHGEF26,29.191126
ARHGEF26-AS1,58.252987
ARHGEF28,1.8966588
ARHGEF3,25.140642
ARHGEF3-AS1,0.061875764
ARHGEF33,1.0854574
ARHGEF35,0.15900293
ARHGEF37,1.6055952
ARHGEF38,0.07961893
ARHGEF38-IT1,0.0
ARHGEF39,23.564568
ARHGEF4,1.8454008
ARHGEF40,16.45589
ARHGEF5,0.018533725
ARHGEF6,29.573017
ARHGEF7,58.985683
ARHGEF9,30.763353
ARID1A,27.932362
ARID1B,10.573044
ARID2,43.299286
ARID3A,0.08847356
ARID3B,7.587293
ARID3C,0.0
ARID4A,25.486502
ARID4B,63.055183
ARID5A,24.94043
ARID5B,21.373028
ARIH1,24.244593
ARIH2,72.52883
ARIH2OS,12.805537
ARL1,79.36791
ARL10,4.9061203
ARL11,1.3508222
ARL13A,0.24334311
ARL13B,16.223576
ARL14,0.0
ARL14EP,39.923203
ARL14EPL,0.0
ARL15,22.836218
ARL16,73.27117
ARL17A,77.016174
ARL17B,35.52347
ARL2,81.170334
ARL2-SNX15,0.101933084
ARL2BP,237.95721
ARL3,31.362507
ARL4A,151.8369
ARL4C,21.213875
ARL4D,44.07117
ARL5A,42.295494
ARL5B,26.561958
ARL5C,0.1002933
ARL6,12.8705225
ARL6IP1,3775.6807
ARL6IP4,100.70431
ARL6IP5,130.52884
ARL6IP6,113.606834
ARL8A,8.410546
ARL8B,98.50291
ARL9,4.7510896
ARMC1,76.62645
ARMC10,20.985035
ARMC12,1.9372964
ARMC2,3.7201264
ARMC3,0.34636196
ARMC4,0.48870963
ARMC5,9.48942
ARMC6,45.853397
ARMC7,16.784021
ARMC8,87.77273
ARMC9,16.789982
ARMCX1,69.32679
ARMCX2,47.80389
ARMCX3,79.759735
ARMCX4,14.921295
ARMCX5,25.350836
ARMCX5-GPRASP2,3.9780414
ARMCX6,74.86737
ARMS2,0.19129033
ARNT,23.017847
ARNT2,42.30949
ARNTL,24.289917
ARNTL2,3.1323743
ARPC1A,319.53198
ARPC1B,19.43853
ARPC2,364.49576
ARPC3,388.3723
ARPC4,152.1973
ARPC4-TTLL3,1.607478
ARPC5,288.9731
ARPC5L,65.51559
ARPP19,169.2501
ARPP21,11.833373
ARR3,0.19395894
ARRB1,2.2938743
ARRB2,5.96598
ARRDC1,6.4492702
ARRDC2,1.3125219
ARRDC3,196.34464
ARRDC3-AS1,18.204449
ARRDC4,9.760682
ARRDC5,0.014222873
ARSA,9.400602
ARSB,9.91771
ARSD,3.4206991
ARSE,2.4968143
ARSF,0.044193454
ARSG,3.7901947
ARSH,0.0
ARSI,0.32967982
ARSJ,7.424565
ARSK,16.202562
ART1,0.41267297
ART3,5.5389314
ART4,0.39472303
ART5,0.035513196
ARTN,0.03390042
ARV1,71.03102
ARVCF,8.485781
ARX,2.0523
AS3MT,12.127399
ASAH1,110.678474
ASAH2,0.8223431
ASAH2B,12.959554
ASAP1,28.071386
ASAP1-IT1,2.7982526
ASAP2,21.366106
ASAP3,6.5987544
ASB1,8.577029
ASB10,0.07615809
ASB11,2.6590586
ASB12,0.15718782
ASB13,8.657989
ASB14,1.8988241
ASB15,2.0903788
ASB16,2.4677427
ASB16-AS1,30.25266
ASB17,0.23208882
ASB18,0.14736016
ASB2,0.44017443
ASB3,62.08572
ASB4,0.43190596
ASB5,2.193845
ASB6,31.616886
ASB7,15.027555
ASB8,54.03923
ASB9,0.0
ASB9P1,1.1674792
ASCC1,38.326103
ASCC2,31.7529
ASCC3,16.50538
ASCL1,149.62558
ASCL2,0.0
ASCL3,0.17445748
ASCL4,0.0
ASCL5,0.0
