GeneID,Macrophage
AIFM3,0.7600823
AIG1,92.75967
AIM1,8.770183
AIM1L,0.0
AIM2,6.953981
AIMP1,32.123528
AIMP2,34.54842
AIP,77.10567
AIPL1,2.4738305
AIRE,0.17178965
AIRN,0.7211671
AJAP1,0.07462858
AJUBA,0.12136596
AK1,6.8704762
AK2,81.31713
AK3,25.418917
AK4,7.0359797
AK5,0.09444297
AK7,0.008461539
AK8,0.2357029
AKAP1,5.3276095
AKAP10,27.577284
AKAP11,11.219036
AKAP12,0.8956738
AKAP13,100.928925
AKAP14,0.0
AKAP17A,7.5513787
AKAP2,5.086817
AKAP3,0.48237297
AKAP4,0.0011936526
AKAP5,3.7219753
AKAP6,0.5192817
AKAP7,5.6101766
AKAP8,22.369488
AKAP8L,13.894412
AKAP9,23.574371
AKD1,7.172239
AKIP1,81.957886
AKIRIN1,74.79207
AKIRIN2,93.33999
AKNA,20.810184
AKNAD1,0.0038594166
AKR1A1,235.19902
AKR1B1,440.02548
AKR1B10,1.3748016
AKR1B15,0.09194993
AKR1C1,0.1937798
AKR1C2,0.041247606
AKR1C3,12.057716
AKR1C4,0.020622794
AKR1C6P,0.114535555
AKR1CL1,0.0062599536
AKR1D1,1.2811815
AKR1E2,1.109092
AKR7A2,33.143658
AKR7A2P1,1.7503607
AKR7A3,0.72927
AKR7L,0.49732727
AKT1,13.684608
AKT1S1,2.9401045
AKT2,5.505732
AKT3,4.3903494
AKTIP,16.780228
ALAD,28.256472
ALAS1,39.082565
ALAS2,0.05082247
ALB,0.065900356
ALCAM,94.06411
ALDH16A1,11.939324
ALDH18A1,16.512005
ALDH1A1,63.43744
ALDH1A2,1.8158752
ALDH1A3,1.0149448
ALDH1B1,9.349742
ALDH1L1,0.03683024
ALDH1L1-AS1,0.0
ALDH1L1-AS2,0.005557029
ALDH1L2,1.0931693
ALDH2,393.53833
ALDH3A1,0.16332892
ALDH3A2,28.736588
ALDH3B1,35.691257
ALDH3B2,0.13684338
ALDH4A1,2.7632914
ALDH5A1,4.0537534
ALDH6A1,27.353148
ALDH7A1,11.751002
ALDH8A1,1.3627902
ALDH9A1,93.062256
ALDOA,863.73236
ALDOB,0.06367374
ALDOC,23.727264
ALG1,14.949038
ALG10,6.5213847
ALG10B,3.2577956
ALG11,20.107561
ALG12,19.80923
ALG13,38.872894
ALG14,16.67436
ALG1L,0.5567113
ALG1L2,0.10978794
ALG1L9P,2.6871505
ALG2,50.2943
ALG3,64.70752
ALG5,74.95392
ALG6,14.578186
ALG8,52.388046
ALG9,7.157381
ALK,0.03826254
ALKBH1,11.605848
ALKBH2,12.398473
ALKBH3,22.101944
ALKBH4,8.635543
ALKBH5,15.330588
ALKBH6,15.957958
ALKBH7,40.26448
ALKBH8,3.826511
ALLC,0.0
ALMS1,4.5069227
ALMS1P,0.2941792
ALOX12,1.0523685
ALOX12B,0.0013527852
ALOX12P2,0.10571492
ALOX15,0.09945631
ALOX15B,27.42822
ALOX15P1,0.0
ALOX5,194.89462
ALOX5AP,1666.4352
ALOXE3,0.015729442
ALPI,0.002015915
ALPK1,17.57116
ALPK2,3.4392843
ALPK3,6.8160963
ALPL,0.20061007
ALPP,0.21342157
ALPPL2,0.0
ALS2,5.902747
ALS2CL,1.972334
ALS2CR11,0.0030371353
ALS2CR12,0.2369338
ALS2CR8,7.9463463
ALX1,0.06377984
ALX3,0.6221993
ALX4,0.0052387267
ALYREF,1.3685317
AMACR,11.896122
AMBN,0.0
AMBP,0.10521105
AMBRA1,9.200558
AMD1,126.52107
AMDHD1,3.781919
AMDHD2,26.52927
AMELX,0.014854111
AMELY,0.0
AMER1,0.45570213
AMER2,0.27645886
AMER3,0.14935014
AMFR,13.340724
AMH,0.4835092
AMHR2,0.018328913
AMICA1,45.22041
AMIGO1,0.120673016
AMIGO2,2.2115047
AMIGO3,3.8614545
AMMECR1,2.84492
AMMECR1L,8.737428
AMN,0.0
AMN1,15.1525955
AMOT,3.0222824
AMOTL1,1.6186488
AMOTL2,0.6372281
AMPD1,0.029774535
AMPD2,99.164406
AMPD3,31.162203
AMPH,2.6144745
AMT,16.227005
AMTN,0.0
AMY1A,0.020331563
AMY1B,0.0069363397
AMY1C,0.0028912001
AMY2A,0.05896551
AMY2B,12.066732
AMZ1,2.1801887
AMZ2,66.094
AMZ2P1,41.1665
ANAPC1,6.414461
ANAPC10,20.522156
ANAPC11,87.42455
ANAPC13,81.21007
ANAPC15,35.17928
ANAPC16,54.013096
ANAPC1P1,0.596611
ANAPC2,5.532324
ANAPC4,32.79416
ANAPC5,93.04349
ANAPC7,35.282146
ANG,29.88396
ANGEL1,37.231705
ANGEL2,15.496106
ANGPT1,0.08098152
ANGPT2,3.0974615
ANGPT4,0.0067108753
ANGPTL1,0.6135278
ANGPTL2,0.32389918
ANGPTL3,0.27423146
ANGPTL4,45.24667
ANGPTL5,0.15986893
ANGPTL6,3.9329321
ANGPTL7,0.47587627
ANHX,0.028514586
ANK1,0.9131143
ANK2,1.7148056
ANK3,0.6370155
ANKAR,4.039008
ANKDD1A,7.9326606
ANKDD1B,0.05400377
ANKEF1,0.8734642
ANKFN1,0.034828715
ANKFY1,21.446512
ANKH,10.560083
ANKHD1,36.07854
ANKHD1-EIF4EBP3,3.4448206
ANKIB1,9.599999
ANKK1,0.1328116
ANKLE1,3.240921
ANKLE2,8.562781
ANKMY1,9.941131
ANKMY2,13.4142
ANKRA2,19.602354
ANKRD1,0.024668036
ANKRD10,237.78276
ANKRD11,16.146324
ANKRD12,24.185633
ANKRD13A,12.952294
ANKRD13B,0.17002532
ANKRD13C,19.068838
ANKRD13D,15.65762
ANKRD16,3.036969
ANKRD17,21.76037
ANKRD18A,0.07477453
ANKRD18B,0.036657833
ANKRD18DP,1.2727411
ANKRD19P,1.5450128
ANKRD2,0.0
ANKRD20A1,0.66786355
ANKRD20A11P,0.41900566
ANKRD20A12P,4.6107354
ANKRD20A19P,0.29976398
ANKRD20A2,0.3612065
ANKRD20A3,0.7818009
ANKRD20A4,0.91579276
ANKRD20A5P,0.99839664
ANKRD20A8P,0.48658946
ANKRD20A9P,8.758399
ANKRD22,37.91953
ANKRD23,3.424048
ANKRD24,0.05153845
ANKRD26,3.4091985
ANKRD26P1,0.016405836
ANKRD26P3,0.585305
ANKRD27,10.949083
ANKRD28,3.9075634
ANKRD29,1.3469098
ANKRD30A,0.017360706
ANKRD30B,0.0
ANKRD30BL,0.123090155
ANKRD30BP2,1.4051198
ANKRD30BP3,0.0034350131
ANKRD31,0.4198408
ANKRD32,5.7829795
ANKRD33,0.0
ANKRD33B,0.06263929
ANKRD34A,0.6617484
ANKRD34B,0.0
ANKRD34C,0.0027586208
ANKRD35,1.9554368
ANKRD36,30.402205
ANKRD36B,29.531336
ANKRD36BP1,234.92618
ANKRD36BP2,0.50401694
ANKRD37,31.046751
ANKRD39,21.124252
ANKRD40,25.25776
ANKRD42,6.432327
ANKRD44,141.3612
ANKRD45,1.4132348
ANKRD46,11.635595
ANKRD49,20.642996
ANKRD50,2.4838982
ANKRD52,6.995763
ANKRD53,0.016392615
ANKRD54,5.1814747
ANKRD55,1.2677287
ANKRD6,1.8410627
ANKRD61,0.51075476
ANKRD62P1-PARP4P3,0.24576926
ANKRD63,0.0
ANKRD65,3.761425
ANKRD66,0.16907161
ANKRD7,0.0
ANKRD9,1.5097214
ANKS1A,8.917358
ANKS1B,1.4628195
ANKS3,4.5053844
ANKS4B,2.4053981
ANKS6,0.76017207
ANKUB1,0.26386562
ANKZF1,25.230127
ANLN,2.618565
ANO1,0.04137931
ANO10,23.57222
ANO2,0.0
ANO3,0.002387268
ANO4,0.00050397875
ANO5,0.029920032
ANO6,30.614548
ANO7,0.06672414
ANO8,0.16083227
ANO9,0.009615384
ANP32A,19.18739
ANP32A-IT1,9.969465
ANP32AP1,0.25571674
ANP32B,94.202065
ANP32C,0.0
ANP32D,0.014575596
ANP32E,60.395294
ANPEP,29.946468
