MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
ABCA3,17.611292,3.4150999,16.482119,15.288253,9.102492,12.162949,16.674095,19.202192,8.124606,16.73158,11.686007,17.156298,10.17807,21.397827,11.224584,20.883595,11.456716,15.642576,6.4253283,14.4062605,17.390451,1.6116502,20.519907,12.803359,12.818839,14.326314,11.8982
ABCA4,0.07842105,0,0.010929368,0.0037183096,0.010315457,0,0.0085515315,0.024884615,0,0.011919191,0.008241758,0.6450811,0,0,0.010989583,0,0.005620438,0,0,0.011697247,0.011432803,0.005479497,0.0029968247,0.010471897,0.007924518,0.4281738,7.0760546
ABCA5,14.737798,3.9283502,4.390781,0.9406761,6.069243,10.195,15.135237,5.0206156,16.109697,19.841043,6.0465198,9.781406,8.667619,34.863262,17.573647,0.6768399,8.949709,5.0225763,23.441746,1.5647017,8.523198,0.7270857,0.10687704,12.863828,1.0757091,1.9306195,0.24189758
ABCA6,1.0575597,0.503,3.4723794,0,2.1116247,0.20049998,2.3811977,0.046192307,5.372424,2.200505,0.87362635,0.5777297,0.21413535,1.1417935,3.0852084,0.0052813855,2.0988326,3.0866258,0.6537991,1.1340367,0,0.01452051,0,1.1296843,0.020141594,22.118334,0
ABCA7,1.7414354,3.1543,3.4023046,0.37290138,2.5802994,5.38845,0.58618385,1.7568076,0.9435757,0.36700335,3.7988641,2.772784,1.3599248,7.8219023,1.6277082,3.5467098,0.36452553,0.046257667,0.59235805,2.2060552,0.286601,6.3539305,0.3585794,0.40643764,0.7743293,2.6634073,0.12414982
ABCA8,4.8513393,42.2075,11.615093,0.25876054,23.584055,6.38085,16.80635,0.53,46.64164,13.215083,39.015636,0.49194598,10.686641,32.410164,10.95401,1.672987,15.334087,60.698956,21.250525,11.641994,0.78396,0.0077626114,0.3449504,15.751555,1.3847487,92.6337,0.02873773
ABCA9,7.377129,2.8186498,5.4743123,3.6124222,4.576262,3.41675,4.667772,3.7401538,6.1341815,5.4166327,7.180623,11.957162,8.232056,7.087283,7.108125,5.0077925,3.3017154,5.351534,6.029607,3.8501604,5.1694746,3.2846165,4.0487065,4.958862,3.6575947,6.593369,3.782778
ABCB1,0.2405263,0,0.39981413,5.4181404,0.51293373,8.9258995,1.3795822,1.7695385,0.9495151,0.3186532,0.11161172,0.79351354,0.61165416,0.23679349,2.8884377,0.32424244,0.83989054,0,6.3998694,1.5277293,0.29739943,0.6364714,0.07870779,4.760807,0.91126955,0.15754777,2.7571368
ABCB10,8.507655,13.87685,8.306096,4.1389856,9.363596,4.4376493,5.349415,9.133307,5.3246665,9.198282,5.660513,5.378406,6.068271,2.758424,7.629584,7.1706495,3.277701,1.0844172,7.772053,5.190459,4.545031,5.7192235,10.488738,9.990294,3.9602299,4.761123,3.3331323
ABCB11,0.0035406698,0,0.11814126,0,0.003438486,0.0219,0,0.06026923,0.10636363,0,0.012014652,0.048054054,0,0.31010872,0,0,0.0061678835,0.016380368,0,0.006123853,0.094594575,0,0,0.07268555,0.07226602,0.002954531,0.16800287
ABCB4,0.04119617,0.10795,5.834796,4.433972,2.6930914,0.67195,8.780836,1.3690768,0.0027272725,0,1.0190842,1.3794594,0.5727819,12.647663,0.44734377,1.431342,0.05671533,0.032883435,22.882053,0.0054816515,6.250685,5.348913,2.8298264,2.984839,2.1861792,0.011045599,10.886643
ABCB5,3.2811482,1.8949499,2.3177695,2.1300845,2.1013093,1.9247999,1.8658775,1.4589231,2.0342422,2.4899998,3.0821612,4.3231077,3.7978947,3.093098,3.8664582,3.5181386,1.6966058,3.3171167,3.409607,1.2872707,3.5432112,2.1935086,1.5892726,2.4034684,1.574244,1.491271,2.9009678
ABCB6,51.21918,34.6368,23.497435,37.038647,27.94216,33.841595,47.00785,54.31469,39.42327,36.879593,24.920807,26.780247,23.57168,88.42439,39.17115,45.41208,42.625797,41.93687,10.978994,31.182407,43.001858,1.2503703,37.99077,49.535515,30.430601,30.537857,20.107183
ABCB7,62.821774,10.115049,58.93773,51.087494,44.94765,42.262196,46.016544,39.877113,44.518906,34.87579,38.5,30.51073,40.911728,40.855434,43.614117,44.755108,40.4804,44.26847,41.978252,39.3758,50.71816,48.1753,41.790516,50.368584,40.326622,37.93985,37.530083
ABCB8,28.155117,7.7738004,24.671934,17.712194,15.073186,23.867449,11.431421,16.647308,13.140606,17.043165,14.073406,19.29373,24.416061,21.37663,21.468437,14.4694805,10.872774,24.13227,31.656376,19.206537,11.674696,9.55133,15.462465,20.719778,5.367889,14.121788,6.8197355
ABCB9,8.216125,5.1014495,6.0375094,3.1803942,5.2274446,10.0992985,6.061699,5.188423,8.480545,8.086431,7.3600736,6.0814867,3.7547371,5.2223916,3.7163541,3.6973162,2.662263,4.4458895,14.523144,5.5325003,13.506628,2.941381,2.3624701,14.817415,1.7210101,2.48387,3.829332
ABCC1,7.323636,2.07505,8.862453,3.9517746,7.0164194,7.9390006,2.719582,4.881154,2.1023636,2.118653,4.355384,6.180892,6.5764666,5.6729355,3.6798437,3.448485,3.081241,5.093006,11.354802,3.233073,5.912455,6.393385,8.980782,8.467876,2.9268267,1.4780093,5.914063
ABCC10,13.711195,15.85235,16.835611,13.007577,10.280537,15.981198,12.049805,6.5484233,16.818243,10.350166,11.63912,15.756083,12.121979,19.23935,8.907761,15.512987,17.6004,11.710121,16.158428,15.321835,15.0037775,14.034322,8.64202,13.4102955,7.1993113,13.289922,11.322697
ABCC11,0.19497606,0,0.19379182,0,0.0030914827,0.15505,0.01729805,0.12519231,0.2530303,0,0.06959707,0.40421626,0.23370928,0,0.16161458,0.03333333,0.43255475,1.2325767,0,0.014151376,0,0,0.027192373,0.36494568,0,0.3994085,0.024053164
ABCC12,0.9319617,0.038850002,0,0.0099154925,0.021577286,0,0.0029247908,0.49150002,0.0064848484,0.003198653,0.31446886,0.24681081,0.24919799,0.038423914,0,0.0070562772,0.024452554,0,0.027423583,0.04385321,2.1682181,0,0.04249201,0.0027432868,0.09603616,0.0055909823,0
ABCC13,1.0529664,0.36085,0.8162082,0.34876058,0.3900473,0.21535,0.26754877,0.17169231,0.22454545,0.18912457,0.3824908,0.33540544,0.677218,0.34652174,0.4471875,0.49978355,0.17145985,0.5968712,0.4161135,0.2527064,0.566083,0.29693818,0.58685684,0.60536176,0.50754,0.38100094,0.36133164
ABCC2,0.877177,4.87115,0,0.10932393,0.4300946,0.0914,0.5828412,2.264269,0.6909091,0.00939394,0.24443224,0.1348108,0.98621553,0.43108696,1.3567188,0.21683982,0.44587594,0.2125767,0.31200874,0.18444954,0.41233256,0.16232634,0.20794417,1.0796543,0.3289651,0.16859254,0
ABCC3,12.069138,42.948704,2.4107807,9.380196,25.478708,72.80861,0.3963231,10.658615,14.442666,0.9815488,11.263955,3.8258111,1.3343107,0.40016305,14.0624485,2.2548053,4.076533,0.13582821,0.018777294,6.438807,0.004059635,26.792934,0.070318475,58.813797,0.13816524,0.78249395,2.394001
ABCC4,3.7854068,12.83445,21.158138,4.016732,19.150883,9.6205,9.426323,16.866192,5.1949086,13.7029295,3.0732965,10.997487,6.460852,2.1511955,7.775625,4.1408224,8.036935,6.3061347,14.701093,5.3728895,6.201553,43.593727,12.626325,4.78146,14.843842,15.806099,5.245412
ABCC5,50.492775,36.987103,95.48372,25.740843,52.754887,21.08775,50.981087,47.218307,60.18194,62.201717,56.965458,97.80808,72.77152,51.33783,65.079475,87.08038,49.34781,45.41969,29.121181,48.328854,75.9797,40.421097,73.0182,57.269215,37.736588,36.078217,55.125473
ABCC5-AS1,0.52148324,0,1.4354647,0.22222534,0.14249212,0.15114999,0.4401671,0.226,0.15024242,0.16508417,0.84300363,0.81205404,0.32330826,0.25233695,0,0.17822511,0.52784675,0,0.21764192,0.14933486,0.70193267,0.112781465,0.3776281,0.6726178,0.11307074,0.13295548,0.45468247
ABCC6,5.949282,2.0608,0.4862825,5.4505067,2.4048896,4.8652,3.8159049,4.3298073,1.5757574,1.899091,2.085348,2.1421895,0.17330827,4.6301084,0.49239588,0.18242425,2.1098542,0.020368097,0.40043664,3.3722935,0.24381879,15.850605,1.3816797,1.7462627,1.0181805,10.485264,5.6952705
ABCC6P1,0.96574163,0.00665,0.21107806,1.1178029,0.7090852,4.56885,0.8094429,4.040577,0.100969695,0.9657239,0.20124541,0.86708105,1.2741853,0.95331526,0.012968751,0.03294372,2.0205112,0,0.8751965,0.6818348,0.2545079,0.10228373,0.014448007,1.9020389,0.015943479,0.18981048,2.7501767
ABCC6P2,6.072727,9.88415,0,7.121662,5.4168615,12.4894,4.1203337,8.936653,3.0150301,5.8402014,2.302637,1.9533243,3.2817795,3.7547827,10.605521,1.3753246,5.170073,0,10.644499,4.8658485,0,0.094196506,0.93723,2.134092,0.73755383,9.458785,4.2966814
ABCC8,1.6384687,0,8.292564,0.2970704,7.0506153,0.61895,16.931644,9.106001,11.438969,0.44212118,10.900293,6.197514,2.1374185,2.91,2.9421875,5.467446,1.0154378,0,0.04873363,2.986353,5.1863384,0,3.1711488,2.8199914,0.004103705,0,2.4393759
ABCC9,81.28597,74.42649,63.63435,61.868164,83.15973,60.012943,54.397156,63.585003,84.71302,72.920784,120.412605,98.83574,116.910446,91.88609,81.84636,81.74351,46.694233,89.1038,98.01048,43.92768,84.752785,51.77672,71.84148,79.16034,67.0115,53.133827,64.805
ABCD1,2.600909,2.1124,7.595687,4.2012954,5.3383284,4.23845,1.4264345,3.8140383,3.7199392,0.21296296,3.549634,4.9488654,2.1802754,5.9713044,3.920677,3.340043,1.9659488,0.86803675,3.979258,3.2154586,2.0334709,8.55046,1.1178709,5.785725,1.0319908,3.0405753,4.0217853
ABCD2,4.0850716,9.307799,5.1858363,8.711409,6.756783,14.529799,0.5750975,5.5651917,18.483393,11.461077,7.2120147,3.234135,3.6243858,9.9202175,7.4591665,1.0654545,7.182153,14.8533745,14.919782,14.478898,2.6558297,2.3102157,1.0327674,6.418357,0.38203543,2.0283475,3.0569394
ABCD3,132.15692,39.004948,88.09744,170.8646,82.03534,76.50459,60.452477,117.725464,86.7169,107.94162,75.68659,97.866714,87.0865,60.82625,110.252754,82.524895,141.35974,122.913734,108.51026,124.0851,72.96347,32.743122,42.01718,66.46458,36.868454,107.35653,140.21948
ABCD4,30.88646,40.88445,48.01892,52.315434,38.42904,67.91241,30.55635,25.209696,21.059208,59.826126,37.85648,16.707487,41.315712,28.244455,64.89041,37.376366,52.894234,65.24731,30.93751,43.944336,19.519876,32.74461,37.321735,69.977516,37.864384,52.96537,47.2277
ABCE1,81.786125,38.114,71.264496,92.390396,59.71055,60.071148,91.030136,76.76003,61.171936,80.47969,71.41168,58.738354,67.44945,58.8381,53.23047,86.0696,87.5281,82.978226,58.37559,65.8869,87.95556,33.35119,92.90194,48.119286,107.36758,62.347546,49.068966
ABCF1,49.438274,52.66195,39.012264,45.30191,30.671925,38.7187,47.283737,19.888811,34.202423,42.772694,40.76681,49.833324,52.335815,58.427555,36.039017,59.5155,41.624233,48.24147,56.794323,47.900227,60.75108,23.129034,47.00627,55.01223,40.682278,39.35468,51.23473
ABCF2,97.40521,116.19385,58.04796,77.518196,46.457035,67.2956,58.08409,72.535416,37.09636,68.50502,55.092052,72.360756,73.031425,52.37739,53.964954,84.51026,59.1808,73.6727,73.573586,75.948,71.47903,30.21686,77.066864,63.915676,57.567078,45.08666,31.696861
ABCF3,46.586452,68.901245,43.09899,47.33986,38.123363,44.489098,35.792233,44.408962,42.024845,61.06764,31.069304,36.353783,37.994762,56.549786,51.121197,48.42692,46.103794,53.23552,40.105328,36.585823,40.76717,34.727276,30.474928,65.96711,35.26325,48.85334,30.453356
ABCG1,10.650574,20.10515,66.41714,3.0907888,29.919588,8.283599,17.989695,16.343576,5.951212,6.464546,64.41011,33.69757,63.83476,34.339622,2.2189064,34.119656,0.3999635,48.744843,5.3092136,3.1215138,25.873983,37.02913,19.621548,18.742798,11.785547,2.8235264,11.008828
ABCG2,2.1588516,3.7028499,0.81022304,1.7687606,2.2205837,2.2775998,0.32047352,0.54457694,2.000606,3.2209764,0.10018316,0.9438379,0.0668421,0.768587,2.3941665,0.19510822,1.1667154,6.4138036,1.2616594,1.5814219,0.0018806059,2.7915196,0.39287823,1.0270474,0.009386728,8.310295,0.46268618
ABCG4,1.7344497,0,0.030743496,0.25476053,0.004258675,0,1.6360724,1.1011153,0,0,0.2187912,6.4241896,0.12488721,0,0.018541668,0.39493507,0,0,0.33921397,0.15745412,0.81782085,0.0035160414,0.12763287,0.28852555,1.3169122,0.31719142,2.41272
ABCG5,0.18119617,0.01025,0.13921933,0.06278873,0.10630915,0.03715,0.25665736,0.04023077,0.047575757,0.0583165,0.042857144,0.5267838,0.012531329,0.31353262,0.1253125,0,0.15562043,0.13944785,0.23960698,0.08071101,0.05809088,0,0.07564849,0.21182926,0.16882083,0.48671785,0.13069816
ABCG8,0.28650716,0.24754998,0.048141263,0.013915492,0.038154572,0,0.119331464,0,0,0.16649832,0.17890109,0,0.3739599,1.3648913,0,0.054545455,0.4673723,0,0,0.11589449,0.14438921,0.05803454,0.018548865,0.03303849,0.051223747,0.032772884,0
ABHD1,1.1736842,0.049349997,2.048104,0.9988733,4.5358205,2.4297,0.45164344,1.3653847,0.6825454,0.38932657,1.373846,1.3798649,1.8745613,2.285489,1.7180729,3.8226838,0.20467153,4.6083436,1.3572489,1.6622248,0.44093364,0.8290263,0.61787975,0.6553927,0.3233954,2.5873275,0.2376772
ABHD10,96.150665,30.695848,70.08008,59.67952,42.073708,44.230103,73.0917,65.85496,49.275146,49.203068,62.44274,74.86852,42.980324,25.275383,50.40354,123.36234,72.453354,93.34552,51.077908,43.900112,90.34735,41.30888,54.854786,34.598904,46.00255,52.157925,41.64361
ABHD11,38.22163,52.8072,34.729664,43.399014,38.33705,39.0026,21.83713,34.32227,11.959516,36.71185,19.790697,39.220108,29.76396,64.54066,44.574276,27.17411,19.824345,30.654295,53.73624,34.07683,28.99705,41.012863,22.851427,38.595524,27.366537,20.657747,21.743443
ABHD12,54.313297,34.7007,75.201485,99.762825,46.124702,32.69405,79.79888,120.073456,63.295147,82.95872,38.806488,30.827488,65.66293,18.01462,77.788284,35.042553,146.32475,41.3435,19.630438,43.9978,75.314,77.96247,65.37356,41.376934,37.223267,42.362206,51.146862
ABHD12B,6.997799,3.1904502,1.1932342,5.68538,9.630883,4.02205,8.369388,2.2342308,20.06,5.5440745,3.354945,1.6738379,3.6933587,5.7180977,7.947917,1.6478789,1.6311679,4.473497,1.8377292,2.8770413,0.16851053,1.3919591,1.3461329,3.0362835,0.057453334,1.9975585,0.9558538
ABHD13,25.225597,13.025349,22.228477,12.646844,16.24139,84.15205,20.019472,29.35408,23.10855,25.055084,23.68747,30.704517,30.315765,17.888914,22.590885,23.95026,14.367736,31.837547,28.928604,23.793785,22.336952,26.843714,14.425578,25.451347,25.77595,30.590364,22.346067
ABHD14A,53.044544,83.7574,59.26706,44.23944,25.142698,44.025948,44.349915,86.45443,32.87963,63.34256,44.12579,28.310865,39.373962,43.816628,58.778908,103.70996,91.57912,70.35276,10.878254,55.017086,61.873276,38.873226,71.77408,47.473335,40.886753,96.95075,77.458046
