,0,1,2,3,4,5
BTBD11,5.840488214656392e-11,4.750488995718435e-11,1.6071579796734552,0.8705199594035418,13.956675139483067,4.735562700496343e-11
TNFRSF10C,1.5069643925788592e-08,2.0573095213921384,0.45773264448792544,8.53211678684245,13.266566265048011,8.798517702817053
FEZF1-AS1,3.8030489676813234e-11,0.7136809365505663,6.9874620173037e-11,5.3968170586247934e-11,7.141325834068339e-11,31.629039529217017
IGF2BP1,0.5062955017044979,0.1962058514170773,3.823850322293904,1.9866311137202928e-11,9.486537121329117e-11,5.232947884702393e-12
CACNA1E,7.595801960165142,5.62474981176795e-11,5.60695198642054,7.583421412190608e-11,4.363798241037322e-11,1.019702898634356e-10
OTP,16.081229085019988,1.5576315984370444,0.07301587291523552,5.89078572620555e-11,2.6738568661744984e-07,9.213756775345628
PKDCC,7.899722752982598e-11,6.315118170757968e-11,3.6288070317753305,9.932335884473757e-11,18.198608906256087,5.953255274469562e-06
EPS8L2,0.7651493199040343,4.0946053856422555,2.2113936584338703,1.244396512639689,1.9458507157517766,4.671079707781904
CD79B,3.0358618010031655e-11,6.305896381302352e-11,0.12475998479915255,10.578969166842993,25.376226950406153,4.406328506350576e-11
HBB,8.83245871725048e-11,0.9351119546911707,2.5577135748511886,6.705374181902926e-11,2.211646691073378,4.81512243372386e-11
HSPB3,2.5253634381506966,9.543928094737296e-11,1.6963280146688016,2.884455818951645,1.8629401528659904e-05,7.142019813543746
RNU12,6.482376900949328e-11,0.8330514765722314,2.1102305764950815,18.947733639576725,1.6498108465538681,2.0203958552546963e-07
IGJ,2.2517260242249395e-11,1.387481837128291e-11,1.6573013529546216e-05,17.234042076214067,1.6869046053829464,3.9895971099914926e-11
STXBP6,1.0846896803111683,5.946711918976232e-11,2.0681540493324198,1.6008729314293972,12.222584279692592,10.93180056842671
IL21R,3.1431078401269126,0.04414853190521287,0.7371336687734157,18.819549056799765,1.1798705595433372e-05,1.664993997285205e-09
PPARG,1.4971543677859172,1.1513930707369768,1.0242847419148809e-10,20.70516541998501,5.019207918581541e-11,8.111425138913446e-11
FANK1,1.73963771275918e-05,5.289998935480546,0.9143494613961918,1.3880235769326486,9.38656839925069,5.578010548733972
PGM5,13.532376752134319,0.358378678576094,6.213976321301145e-09,5.7036757829537,1.459078375790783,2.767274687849078
MT1H,7.871811424099733,1.9968455489088017,7.325770078781243e-11,4.94785241319085,1.9378659296146805,5.66578513657907e-11
TP53TG3D,6.535405851649275e-09,3.641420097053182e-12,3.610031911435331,1.2448131675485868e-11,3.502420017794784e-12,3.824349108927356e-11
LINC00189,7.492558945451581e-10,0.004025244661177506,2.511650786741097,2.5455221078546444,12.484879613856206,8.659648291229724e-11
RGPD2,21.32358953194538,0.06593827702369975,9.207863026378746e-11,1.2632169044095887,1.3675989194428082,0.03418434431396189
CYP4X1,9.390069800599377,7.050407891781008e-11,0.4545592649502244,7.115952959427916e-11,6.852328136824081e-11,2.454582452530124e-11
