,0,1,2,3
SLCO3A1,1.2274085239522619,1.7347109099558762,2.277249903041584,29.798795165549482
LOC100130370,2.701009991089097,8.054722962483315e-17,2.5630091273670037,25.676910658441177
OSR1,1.0609080412535743,7.324154096533213e-11,4.616324122739558,2.438701746941075
PSD4,16.92017738527269,1.076695930080207,3.075828146235467e-06,0.00011574682537076358
DMRTA2,2.458363880133472e-11,7.547262154642585,0.013990982478064937,6.624151545098223
C9orf129,1.512081500509931e-06,6.351662282425757e-23,6.23426034464347,3.26824041896369e-08
LOC100996455,16.36958794216227,1.0731951805787683,1.1329445744965632,4.320325457208471e-21
OXTR,0.00011551082999191798,5.89508992912814,1.7472094066967758,3.7918815617190584
AMH,3.1308696728158787,0.0005843179375742316,5.316445845328344,3.432345750897994e-08
TSHR,12.448045483538163,0.6880380900293579,2.094460105727288,2.575644935852182
SLIT2,1.4506955470339056e-15,4.15140779185699e-22,4.269096923191495,0.010028931627646231
ELOVL2-AS1,2.1187729499460035e-08,7.72955570375591,1.3127043083025867,2.591267063413871
LOC286367,14.431841253990616,4.5157392299303326e-11,2.910026403921297,0.5965435510847762
CRYBA2,0.6566761961634868,1.8731242336639865e-05,2.962759249110089,4.609257573365522
FAM201A,7.774414412246469e-33,2.793962882073705e-23,3.034253998729687,13.924216211882065
CDC14C,2.268985250988289,2.1449979343351946,3.7172926684238368,0.8696375214646538
LZTS1-AS1,0.6927730105289073,3.1970820071781985,2.1757368002932957,2.5650326003381193e-15
LRP2,0.9093256494554925,1.319166789394814e-05,0.008238949988923916,32.83161489214654
VTRNA1-3,2.5637465704282034,4.736036619847654,0.000464040199279892,0.004989471957630143
GPR133,11.32044185116854,5.545493661203893e-13,2.3171021770701654,2.619300721427452e-26
NAT16,2.878542393798458e-07,6.072418351612615e-22,5.6131293603417145,1.4586496256130148
CCR7,4.808938142452524,2.359524651727919,1.3737069043934982,0.7831680895792253
ABCC6,12.429590822951246,4.353408853274993,0.9127610477304522,7.640028883579204e-18
IL7,4.2896970273442,7.36394033748689,0.09501064979376991,3.519042237046809
ZIC2,2.417719985008999e-31,7.387681955113875,0.0033182368261131133,5.622155175681067e-19
DSCAM-AS1,4.1996784564240315,3.857657449863071e-11,3.7932869613864892,2.2506331976852327
RANBP3L,1.8946577623444301e-34,7.324766569134115,0.0162770734099825,5.033702383142522e-21
PMFBP1,1.0369185363960935,6.371612185872717e-23,2.4283547593746673,21.206877802297296
EEF1A2,2.903960172452892e-12,0.011398691538096768,6.85337599264954,0.15376147890476033
C8orf48,7.64443119643557e-20,5.346819873295706,0.30458666694977404,21.125780298949184
ATG9B,5.243165147565343e-21,4.625158583581333e-10,6.480719707785511,3.1963879581968103e-07
PAPSS2,7.211317110019119,2.718170667640026,3.67473968124013,2.128071411715314
