,0,1,2
IL4R,0.2677947610843287,9.499474031991067e-08,21.21659402297557
C21orf37,1.6119951642579304,10.754611255577274,3.0329802444080696
LOC100287225,1.5486882543979945,18.68954509171109,5.74489607199454e-17
CD200R1,6.490406183108543e-07,8.906040484846893e-17,16.675312418715563
UBD,2.805883007776003,4.681781672467876e-19,7.97368228235184e-31
PLEKHA7,3.4952606904257353,1.7572661211569265,0.013792516445907487
PPP1R3G,3.3436981113028303,1.1386796094832426e-24,6.400797962842507
C10orf113,2.544344985906761,1.7224442820839987,1.5340517170025935e-09
WBSCR27,1.9177546371709446,2.386893162990438e-06,10.143227176453925
RIMS2,2.3681486910254024,4.419853416147483,2.587517837650071e-05
RIMS1,2.920749466875099,6.58910565159134,2.426005571591061e-26
BIK,0.7244599360380963,1.4478115211651522e-22,14.787010526207743
MECOM,3.0399605162502055,1.6982401811822193e-06,1.7949861785616177e-64
PDE3A,2.897223014467701,2.1739522662714427e-21,9.875684454676047e-23
SLCO2A1,2.2461317923201705,2.9201998332567888e-08,0.8035098442906996
MIR4712,1.1500872231292893,20.31450134825688,3.6590953659932386
HOXB4,0.9266574716899658,9.32130082932631,2.938448477443869
BCO2,1.1051213433375586,5.616045245286302,18.128693607850607
CADPS2,2.5084216266477286,2.130639111486028,6.905652330762358e-07
PLB1,0.042182942268347755,5.874296376560046e-23,19.453735066997563
C12orf61,1.8907479781754482,7.078206207510456,2.7937563155307816
IQCA1,1.949722103471917,10.503951874478123,2.191136525617349
LOC100505912,2.387729476337052,8.192845032999575,9.336608679146693e-15
HIST4H4,2.156674447566394,4.105331819944489,9.653878889774226
AMER3,0.9711653551948535,4.1434652366134825,6.247927723462425
RAB27B,2.4004465846584457,8.914928862660473,1.5372671304684973
ZNF732,2.722064339802171,2.8229687528841635e-17,2.1545336942886487e-60
FLT1,2.2645863787552747,4.848226952828328,10.591779880767305
BCL3,3.4660009379513324,1.4547331523335492e-26,3.1979869127307836
TMEM151A,0.5931276454920218,20.71779272324256,1.3140628643544573e-05
SLCO3A1,1.717408709035799,20.672781286127808,0.11609860871109583
LOC100130370,0.7446072288709312,19.73587055046434,2.3972377401302243
OSR1,2.1813608786317875,6.372250266179584,0.31708309349147185
PSD4,0.3071846985175561,1.5040091074247818e-08,17.19651533510053
DMRTA2,3.7396090649826625,0.07332317975944994,1.0153115793526567e-07
C9orf129,2.96814801042691,4.215287316665355,1.0497952093552923e-18
LOC100996455,1.156033762836303,2.1614847046597926e-25,16.158536156954874
OXTR,3.891851924166746,0.019405755411500757,1.7272120098391105e-05
AMH,3.5712289456932282,0.0047283634986346685,2.143884512450117
TSHR,1.3291355709902715,3.5458974652434256,12.12477817465051
SLIT2,1.9120636610789554,4.342707623063074,1.0601575122996623e-37
ELOVL2-AS1,4.441922212969066,8.402646512907997e-12,8.504558694383635e-09
LOC286367,1.2980596471650279,3.835871113485499,14.006216986067724
CRYBA2,1.7992078960762068,4.569016492882886,8.439049712986772e-13
FAM201A,1.1090200021227832,11.865091796365505,7.346184385384841e-57
CDC14C,2.9584220492548887,3.034740202785033,1.9887043782993785
LZTS1-AS1,2.841723631726971,1.6108402676600217e-25,6.273463235250808e-06
LRP2,8.851110359724203e-12,21.06606996988078,4.091190067956484e-12
VTRNA1-3,2.1784733584671137,1.6183778499915573e-23,2.901909682122697
GPR133,1.288395546347133,7.992388004310614e-18,11.28668976656252
NAT16,2.4400737047956405,7.00902931631509,1.0756860827220202e-19
CCR7,1.8776215526894198,0.024507704263428735,4.989434277100964
ABCC6,2.520643641356721,2.2030627699480645e-30,12.40213645084125
IL7,3.4971942644905263,3.0804000091807926e-07,5.154806958409146
ZIC2,3.393183355345037,2.252907853250924e-49,3.280770113813821e-29
DSCAM-AS1,1.68079973160537,5.577916423642933,3.970538843685401
RANBP3L,3.385111768391668,4.605764050615948e-48,9.179536490022047e-35
PMFBP1,0.5558109081996078,17.69179524841403,0.3384984756241349
EEF1A2,3.8196263879535426,4.499979107009508,5.45573396321344e-26
C8orf48,2.637249321071836,11.193201026171598,9.394842092935718e-17
ATG9B,3.426210621576123,3.4838832849598163,9.711559246872743e-29
PAPSS2,3.1463624732924864,3.6423486385032153,7.153976013061669
RASGEF1C,0.3887970366907214,1.4422307100269198,18.468157804465125
PLCL1,0.9393155789358876,18.34349033873733,2.910856146206725
RIPPLY2,3.4936573920422718,5.7685671098189895,5.217574787899351e-36
GALNT3,2.80591617701915,0.00027836866870719365,8.060515897457186
HOXB3,1.871163856618629,8.099520974186804,3.161997856147641
LOC643923,4.219325619312324,1.9963711137542656e-30,2.1098354132633387e-10
TEAD2,3.2935761575920046,4.300971025944785,1.1795785145096366e-21
KAL1,2.2946237348373066,5.699625391804742,11.882569103757
NPTX1,2.483768225280547,1.704435586793215,3.3758561295252423
HPCAL4,3.6111502403924507,2.5122139339001398e-11,4.45458707524489e-36
FXYD3,2.9193904311383796,0.16443325548687418,9.641750202100835e-07
CRTAM,1.5187999435032333,2.3604496815431225e-05,17.30250903825031
PLIN5,3.4777531659494434,3.2116397347912633,3.502992998464165
CEBPB,2.4315892633265026,1.583388423732671e-09,13.434366439351477
TGFBR3,3.8799269994973127,1.8989522711821117e-09,2.8413190478397574
PDE3B,3.3089394461960873,2.873262413561796,7.22680566758372
MLK7-AS1,1.4546335992379282,7.608507494719744,5.476088584040366
CDH3,2.6975149581153857,1.916458335410417,5.133710541261261e-35
LOXL1-AS1,3.04186590901651,4.880282772613695,1.240786758837516e-05
PRH2,3.7765561796190203,3.423244815431684,3.931763181696333e-09
TSPYL5,2.2698882896123083,6.03755953660678e-07,4.8138408213440655
ALX3,3.4008688922062924,4.658402931415376,2.898499165001044
CYP7B1,2.095369146877498,14.09762132085705,9.936046829643633e-13
SNORD27,2.636044166199537,9.404872175473912,3.177321079671269
MIMT1,2.443707610281277,1.8270674922611319e-09,3.16400673157449
PHOSPHO2-KLHL23,2.578166075199298,13.577057488028741,1.6631023250327674
TEAD4,3.8415357878937755,2.1023640615710887e-11,7.843545350576336e-23
ST3GAL6-AS1,3.5539789429977127,5.6126663539152695,5.917757612940801e-13
PPP5D1,4.676046534209542,3.779030675213093e-13,1.751327099330139e-14
LINC00612,3.4272319674687455,3.0431509150673146,5.756478795928877
MIR3652,1.7137261637033527,11.840506334928556,3.507412421007295e-07
SLCO5A1,2.1283323512617343,5.3827213427925695,2.093295956204395
LOC100133985,3.772466237230319,4.815868684828879,0.005989207813753387
EFCAB3,3.8646650228516934,3.06693119416137,1.7191927569625145
LIMS2,1.8037900167964254,6.355743596186512,2.705793005838255
NFKBIE,2.6239506513809348,2.1717166008961005e-16,13.681815560957329
STK32C,3.341416332304335,8.142378715392868,1.2497624879583575e-19
SCML4,2.449552656691686,6.889200834084595,6.451705797086429
SNORA62,3.515023098683216,3.408711392023168,0.8853765804405874
NDUFC2-KCTD14,4.190848121271264,0.0011092476157207856,2.6804690774343724e-11
BAI1,4.2856598615399575,2.9030407236163545e-05,3.200401476103083e-26
SNORD77,1.5371267244805118,16.733018030214076,0.0005823562761187265
VASH2,3.0262315034352754,6.61855289052564,2.4328913378329746e-22
LOC100240734,3.395027582903124,5.3262750803114125,3.14052935832167e-08
NCR3LG1,3.8399496402712354,3.671220049267256,2.7958025914837963
ITIH4,1.7491229757666575,2.9021171230001454e-06,15.040350121538184
MDFIC,3.384854821345882,9.068128513411364e-06,6.764543994185681
CLEC4E,1.7280620671528888,6.47740557501921,12.52213740732199
ZC2HC1C,3.437959517882594,4.204152092898738,4.619965357265805e-10
DGKE,3.467954845572113,2.8278205550406854,0.6930909684238247
COL22A1,3.618727047376455,3.2136909336174724,1.1058363988592919
DERL3,3.0660071506042135,3.0508081811943497,6.382790884323939
