,0,1,2,3,4
ZNF804A,8.996728671690298e-36,1.1470063527060677e-21,1.4692941865996503,5.7543489727512,4.320863488555618
KIAA1199,7.614572030843183,17.022886854527243,1.8915878842474925e-10,1.140757547537129e-22,1.1018239187156075e-24
ZNF728,1.2895481726742791e-51,1.6712441213001683e-11,2.041150398948084e-34,4.298185825420114,3.2363184880590876e-49
CXorf64,4.778425191154553,0.00029073344420670207,2.9535745733487833,0.5094176052313101,2.1115186568206536
PPP1R16B,1.3008503255725238e-05,2.5749968327569546,3.383373204601327,2.4458453429404856,29.113532507213563
NPAS2,6.974873494022944,1.5490432809951521e-06,1.7227845023395598,0.7167945050990636,2.5822732567313622e-17
GAL3ST1,0.45575645403615295,3.0881249582201044e-13,4.136217598679237e-05,3.0117986795597083,25.821751839871826
HOXA4,3.187296298829094,6.905361109752272e-06,0.06863732423116765,2.7241508696343244,4.983618650348455
LOC100499405,0.0029323498523033177,11.316940091720681,16.974321756379258,1.2880887194772488,2.7950257105328427
MAGEL2,8.76411288596291e-14,3.8213365223447735e-08,6.924449523497368e-09,6.740067661711063,1.1875497010040306
CD300LB,1.6047722955334138e-15,1.996238743999984e-11,20.585137282654006,0.20649149911719053,2.023347555398497
VWC2L,0.4941577507153633,1.949442077521916e-18,4.771270906875419,4.118737120957124,1.7031943915509027
LOC151174,0.2480527372602278,7.753026750361617,2.8269338784568694,2.4833970353992396,11.365447859392832
EMR1,1.225230215627732e-12,1.8053483589151973e-16,19.70662260808905,4.636370091902344e-11,1.2963987485093259e-20
CLIC3,1.9119187628030414,5.885216447467562,3.5264530142283217,0.31221081089181635,3.0960517044731832e-12
CNTNAP2,2.1313922993396874e-11,5.52877582254307e-15,7.069530208845611e-06,4.775074317023272,20.00265487459094
GRTP1,1.9001167399809946,5.88372622713333,2.9762364683978705e-24,4.008657411368995,2.7113645930353494
GPR126,2.937390587064755e-12,1.233842860782454e-08,12.688635423889203,2.232006130335997,1.5698034132184386
MIR3650,2.4063497292595226,1.8267136876278004e-34,2.011309459443675,3.4778287145131515,3.243698167950076e-09
P2RX5,1.6271157084237745e-35,0.021342504693460974,0.7819463677762629,3.876541600508569,7.051271855617576e-35
STOX1,1.912186877140254,21.036940897719305,1.4761173719066917e-13,2.0125167876930914,6.282972446891914
LOC100129518,4.395950664787125,2.327800568676678e-08,1.509335753305653,2.774148724231041,5.064547887566251
IL4R,2.2229728916538073e-07,2.9166137895235087,20.451424862360476,0.47713325513359417,7.346764621696346e-08
C21orf37,1.3289504176457542e-21,9.952546380541954e-27,3.296411420476157,4.502640573964934,7.784252358578977
LOC100287225,2.1855274699091187,7.451773631708893e-12,6.390846134894658e-13,2.09567943338727,26.118671322508483
CD200R1,0.34987576768539475,1.749038334063235e-15,16.106847732701446,1.7648831646885902e-11,1.987129163262456e-06
UBD,5.216033998145271,5.094044756868725,8.30293917039332e-31,0.0004078921840781816,2.8132842982333806
PLEKHA7,2.574332682809559,22.628200016647043,1.4316466342377907,0.9152476192465638,6.214950004712718
PPP1R3G,7.000852661489732,2.3058338155368423,5.921553169283792,0.6300640892651872,4.034131524695694e-08
C10orf113,4.298455448408608,2.1682771868607047e-38,2.1034575697372602e-16,1.6751032255878733,2.2815675745760475
