,0,1,2,3,4,5,6
CLEC3B,0.6658957911446175,1.7574417571482321,3.015675920296568e-06,8.725627587389235e-12,0.00619803206582379,3.8253788279038336e-13,21.586696483500972
CFHR1,7.077858820675889e-20,2.501870303458961e-13,5.206445190844567e-16,4.6942291955606755e-16,6.039046291532018,2.171380123919865e-11,6.575238621270752e-13
MGC39372,9.824548617805242e-17,20.336127976939334,2.2130916608739217,1.3587166251654052e-12,1.0559282410727462,0.07249983599045463,8.071197608915021e-05
PGM5-AS1,1.7477897926352366,0.053691639036367145,0.10072257484484966,4.4901818576488965,5.2280029339861676,0.7398205242226744,0.0006001058207376675
CRYBB1,5.374540823044726e-10,22.326335124312497,2.277874092337146,0.15584173676584429,8.506397078791528e-12,0.04512910177055031,0.9728722044253321
CACNA1A,4.014353443479207e-12,1.0258823328097449e-08,0.34488085447378075,23.75712025275252,0.3123071368113779,3.0868214875783218,3.21320169782308e-15
SIGLEC6,1.8649253940855844e-33,18.979470313146162,2.6034350810474594e-18,7.063792372578026e-32,8.952961878699275e-18,2.7354700639887638e-36,1.5243758688713883e-25
HES3,7.508006156702184e-23,2.5927250550768666e-33,1.5116883753138903e-14,1.0800294744123474e-32,1.4990107355756686e-30,4.395540088565977e-11,21.784602039531162
C20orf197,3.2095739153897357e-07,20.5989388491873,4.8950115642761834e-14,1.885778523807599e-18,2.7285466256044473e-13,4.946231412931335e-20,1.177271008160817e-16
CACNA2D3,9.33273145338656e-15,13.578701533927175,0.258064543324739,12.90279658855146,0.5676975668253794,1.0654416179860158,1.7216424933138514
LOC100506388,0.026891976302905844,11.889346477165107,3.3322468540652794e-11,0.2003847653836812,1.4207546688863831e-11,1.4525285552288088e-05,18.470276302859258
ODF3B,5.954746409585697e-12,21.78101759619257,2.8461118637907417,0.003699401242957055,1.9892909250946258e-12,1.919609574670763e-06,0.008810392857611201
DCT,0.7778707877033527,4.537795529646491e-09,3.0379823143090854,9.19325622530469,2.453756345028125,0.0004919589396149214,4.293376852345556
GPAT2,2.2092283582718912,3.2159035496479365,0.2987025132762633,7.011446105797755,1.805677109720499,1.8977190539462216,0.0026160951086360417
ANXA3,1.764391912792293e-22,3.1844970326761928,2.334123136294547e-14,1.2111926699092827e-14,9.070876169977547e-24,4.80230808958968e-14,21.183597008391306
TEK,0.6676625705494604,1.1821669061139983,7.902678952461008,1.6142391942647074,0.0343362859943755,6.773520132121819,0.8618997748315885
WDR49,2.395503622526197,0.05428561746138305,2.129909146819743,4.7277133981335217e-14,1.432623120840078e-12,1.029233120179915,21.128328446724677
GNGT2,2.0552880631933246e-05,21.77167166960302,0.07142481956322498,1.0437888066548335,8.729456807152362e-11,2.4500435770584394e-13,0.6094947139286372
FFAR4,0.00015257083936614748,22.287401360738574,0.6223244169025144,1.5311202257702194,0.31000940631505136,0.3317792931777341,0.1014947943118636
ABCA6,1.7376031382703372,2.819399661734852e-07,0.0038896108296269634,0.9574877674220506,3.428238622636878e-14,3.69734628907123,21.368485434121595
CCDC64,1.96719282228013e-14,1.982926786592349,8.65900888387421,5.159366786852398,0.032731004938160904,4.570890183215856,0.0035602817124193
SST,5.148680386655402e-20,3.729697053863693e-16,3.37832016674477,10.546924508647365,1.8443482838210559,1.6068077739309994e-05,7.758893282868613e-17
SLC16A10,0.1799036297661563,3.3332498015107834,0.3162048469080122,18.517989628336196,1.2379784769902242,6.241092602925622e-06,0.1185239676773737
FEZF1,2.379897849359521,1.3310209766133085e-10,1.046155614452031e-08,3.0936370212269526e-21,8.940184921137283e-17,19.6542022506456,5.65526389687126e-14
SLC38A4,1.269854286914955e-21,4.087195435935217,10.839594420234494,1.4555716904198651e-15,4.280050073293075e-17,1.1076099477619313e-13,1.900316639909951
KNDC1,4.559209899865273e-08,0.0067470426569939184,3.5818503603415706,0.1880866627511325,8.01422402495658e-18,1.1505164615858336,20.44601488487807
CNTN4,7.174165625087353e-06,1.789810388521462e-15,1.2581681323853444,13.565983762375481,1.970705086204353,4.464867418864216,4.838613899433692e-10
MAPT-AS1,2.7043676109575286e-10,1.0178760132771498e-06,7.076441267127236,15.590646094775458,4.994510940637586e-06,0.0008681977153472347,1.6877213481633898e-14
TDO2,4.048364865974194e-11,3.1769893923217004e-16,0.8954819881600374,9.461857942556487e-23,9.964630711204322e-24,0.931528156122982,20.91388211886326
TMC8,1.8183396523431183,15.616376783513095,0.000417402613598189,0.3369017863977403,0.03892840884767182,6.791354417321325e-06,1.1390449215440754
EMR4P,3.586137577423714e-10,21.253578715947338,0.6475254647009033,2.426770194551778,0.6680227731268173,0.7727231561384806,0.4629565002038794
OAF,1.7893498377646417,1.4312879705827992,3.2639832844833574e-07,0.042734132554584275,1.3988188049111034,3.2124860959057004e-13,22.52378318580778
CLMP,1.7293096684045368e-12,1.5985541642017567e-07,0.008988031950119832,5.099380926114764,3.47943571320342,0.03550975384701314,8.926219010615503
