,0,1,2,3,4,5,6,7
NFATC4,1.1024780149266984,7.1000072360509385e-12,4.01270429201997,4.650665623188887e-11,47.28943451761469,1.4582232096661958,1.2440900811743626e-10,7.851954655987278e-12
HAAO,1.2536028363204976e-07,1.3161789066646774e-11,2.1552451361122166e-06,0.7128536403267812,2.9974725346209355e-10,0.00021693901629862248,14.400791542682063,19.489987271242782
DACH1,3.3295198478510023e-11,15.846729153202638,2.408581919034223,1.1467045232651383,21.971638666572577,0.19645773676665196,4.0052579018362695e-11,1.1854851423593409
NAT1,2.7132732678710807e-06,1.1340863560910078e-08,2.489240234129279,1.2705814887729838,5.659597074331869,0.34913272007371593,5.129918769437236,22.46687026954924
BTBD11,1.9950300084795208e-12,1.1242714949284301e-12,2.3433298190730806e-12,2.408702291511409,14.692290491486999,1.6347988098228148e-12,9.276933500441604,3.1750055153119295e-12
TNFRSF10C,3.72301941919084e-05,2.6958476716194826e-11,7.817845736316638,7.111288944891571e-11,22.04847294738385,8.502602555150007,7.10965728247992,7.865272984834773
FEZF1-AS1,0.9283097427960285,1.0122459220759631e-11,7.46640566606366e-11,2.4890350104371533e-11,2.7048813101946863e-11,43.90657397430784,3.604777581515322e-11,6.796436401380349e-12
IGF2BP1,5.063132432969634e-12,7.041852406775338e-12,15.19918838918645,0.000560087163686107,1.3586668314437995e-10,1.1493560464218342e-17,1.4838958337013106e-12,7.325978372123191e-15
CACNA1E,1.2205084531208124e-11,9.193482011032186,2.7202005315369817,5.804282583271337,9.621320221297307e-12,4.7467720213647764e-11,1.6753616258669747e-11,1.1839324944405038e-10
OTP,2.150306175492088,24.547849837933576,2.3981802974690163e-06,0.0015124586765948617,1.95495119436294e-10,8.596390444685255,4.0191887071869435e-11,3.023727052565999e-11
PKDCC,2.4696015000309892e-11,1.988900746523664e-11,3.99171741480884e-11,4.686351765488364,22.155240928160644,9.346761827438589e-11,5.009557637921299,2.8724588324963245e-12
EPS8L2,2.8050868323930276,3.2034927041620543e-10,10.076495795891148,0.34648249909606116,4.325389482167366,4.0638288636027635,2.8217859816878248e-11,2.2229951933336345
CD79B,1.1675512128130868e-10,1.3767261029447685e-12,1.0172850461464284e-11,0.5839527428381698,36.81679369304916,1.079799551264531e-12,4.5964325619751986e-11,11.555117835041615
HBB,1.8404075784739288e-10,6.3564066470514885e-12,2.996016636764008,2.386284326981855,3.055262980103114,2.72084266997056e-12,5.1869534906340355,7.369213477490932e-14
HSPB3,1.7836940018587017e-11,0.771543967760045,3.215900343383637,1.4513944667508254,1.1392290839483673e-10,9.30589435748902,5.855391922096662,2.2741817916480973
RNU12,0.5455607239058623,8.82294335550426e-12,8.233482966935853,0.08431362618184327,3.7345071341929117,6.368318274587828e-11,4.6085580283270476e-11,20.71284425194452
IGJ,9.410477276287832e-13,2.4159274935763357e-13,7.875429169424415e-12,1.5103948848431146e-09,2.3745150049483503,3.199605634986285e-12,8.242553587361641e-12,19.379285712265215
STXBP6,7.824045370295961e-12,0.0012209890323574897,4.659582104532702e-11,3.1392367724816284,12.304671839331558,14.149831652362277,10.283636733367771,7.20565461488265e-07
