S6,S2,S12,S7,S14,S11,S13
PLA1A,5275.93727772994,1.18857307227797e-10,1.34545085437669e-08,1.33709774666117e-10,1735.68335536741,8.29380825637307e-11,9.57271761831232e-08
STXBP6,3887.1680711466,0.000120886223573329,1512.81481205517,7.67597337585373e-11,2778.69513411637,730.794492668449,7.02836966107344e-11
TUBA1A,494.095210903135,9.97722655968304e-05,1.84517904973495,1691.93232518502,2385.70038760454,1441.6118692247,2457.88789685513
RCAN1,2562.90477937342,1.22308929689431e-10,0.00103554234047086,2546.8443971709,1854.09521963189,0.0275569842995073,201.492943151733
FGF14,7.47131514394253e-11,2816.00307092263,1091.64041795346,2967.92025895404,9648.24867328845,7.9234942824015e-11,1246.49803882208
ESAM,0.127153407852442,0.348692899594417,7.94862826055314e-11,0.37694640303401,3267.28936316002,1575.02901184572,5725.34664505431
COBL,3.58210774310612e-10,4641.53569145237,1459.69699644343,1.49768930347914,2736.18364532015,383.373279683296,3665.52840221196
NR0B2,7.70788384901971,178.311480037989,1.68596299412181e-07,3.86410437424452e-09,533.745045834604,1164.23632434963,2763.6593825006
ARPC1B,0.00207682530086639,6.37677580055326e-08,832.742300204199,191.824910439161,1335.66898816763,2062.36071934073,0.503638880960804
RPL9,559.011345281328,2545.87616492398,1131.47171058164,2502.05490559698,53.0298360002824,4066.30022623208,765.412771778396
PDE1A,0.0142869870460882,5504.64581507042,6.30804736700354e-10,0.000505418666571891,6620.99184516164,0.00109651032574657,618.032217498909
TSPAN1,3422.94159679855,452.60328053314,29.9445108229241,1.54833073925117e-07,2114.30125971085,616.051303527248,2.50227289531479e-10
AK1,308.241232405445,267.474472656606,795.835768873154,1239.39404541318,7.90192099383344e-11,2192.23073784747,4350.72212855232
MACC1,7.5592457128471e-11,3737.71156299511,5.09653096892854e-11,764.993089932424,5021.52572120944,415.909330010311,9.1072408954732e-11
CRYL1,1420.73861996247,1361.77397004291,1.50173115744423e-08,460.197539810162,2668.52644577197,338.531803801585,3.14110492721726e-09
AKR1C1,1946.54748869537,2555.85991574491,1474.11152636686,855.341318522893,1729.10705545908,0.00310179865436714,6.03033119642232e-11
CLIC4,0.000654261478086121,0.012583953388053,1476.58768866633,495.507374319919,2072.12490133111,383.237096672877,930.724741826255
SLC12A2,2046.94701763931,2183.52624457695,4953.01653801057,0.000142677451020122,8.60180638435512e-11,7.98953963763397e-11,825.514806914171
EDNRB,1.46694084939175e-08,0.0457857423287253,7.58964815571463e-10,5.98179853503694e-11,3264.28173214384,4.84791506181748,1100.70764744868
GPSM1,520.088758356331,1016.91955028818,563.851616432243,2050.83244965154,570.825807747699,2862.50966218075,5751.54561854224
ANGPT1,27.290001177906,2054.6143185269,6357.95132339666,1770.22175360061,4447.17644234226,201.772596991099,1775.32096955035
SLC2A4,3548.77042820476,138.474729477925,1674.99980627973,851.967424954211,6.77604211286852e-11,1415.51780743484,6118.66543522822
GLT25D1,1108.44582825096,581.450360941526,700.283120052142,1472.94851249902,1112.95565121776,1091.46979039858,1242.89627897984
ARSJ,1076.72137108615,3699.78660349463,0.111716897536665,2869.8640671034,8571.08392214901,5.3786094093751,2467.22055736733
CREB3L1,0.254933644993514,0.0312777103983149,1445.26300338585,4.20091185872978e-08,4441.59817571088,2894.35227823877,1777.35025039521
LYNX1,2003.68560576916,299.474320435925,2367.28718112655,2501.91238500246,1129.76913961739,1769.92127479446,4133.11182263688
NLRC5,1447.84371990108,89.9867364977138,648.073200900295,176.10524822721,56.5167073261904,3208.61974337674,0.0269054746431249
OTUD1,438.191367913036,412.746720658114,150.541753095412,1383.92300408508,1.63952328469419e-05,434.939890993863,628.964400873174
NUDT4,2346.54394368871,1.2637511053317e-10,419.827522478929,1447.89706213841,5731.5804192326,70.1192507398458,1.06399775036513e-10
SSR3,1865.89757577481,1127.7283030181,1804.37642222095,444.211516869704,1242.52164238747,32.8383480181174,827.139296889376
MAP2,1968.4516961281,5095.94448758831,904.163523094893,3243.38036940508,1060.51301847277,323.351482311392,8.26519314760154e-11
NFKBIA,185.548074729336,8.11090316299364e-05,646.987464025869,2016.67966728638,4000.0483032299,1520.20618482634,635.116658790601
NID1,58.2009246001967,1.24857413149227,1353.15795457473,9.61770736068633e-10,887.810832860483,112.653485049286,3431.29254801048
PKP4,884.458345341226,1271.45554277837,1178.16512615342,4846.08853659349,4414.06599952761,404.542201765926,0.0010189112850329
SHMT2,3.2310058002215,784.078940558818,4015.72417442787,2509.79719065084,905.821525062868,2563.35549856473,2014.80948906559
CRIP2,6.72047702833963e-07,0.13753276013144,0.129970763279004,1875.92069528671,695.283121721241,2304.25628024632,5099.97709435951
HBA2,2130.51813001657,551.744233998506,1.81839672598409e-06,1.39422508684121e-10,1013.65260625247,4967.66396130136,1298.42731346026
SOX4,256.42595875378,5.82350270776672e-06,812.370416545468,3359.67954543481,4756.10105109786,648.276080885019,76.9192694708291
THY1,1364.98387378758,92.2117184313208,1576.16001742634,1423.25216017278,255.634745530876,2560.44924039725,2596.96489371878
DCPS,1227.79591383323,857.363052465992,6.01926740028415e-08,562.749692028218,3588.18561260232,6132.64969627957,1.50600139167984e-05
ZHX3,913.940588569907,1096.59818171256,0.462160486698516,5010.37665208526,4073.1550521619,906.697365981801,535.984518120041
ARG2,3408.4486052651,3.79460362018754e-09,1977.64038998158,2658.71617218253,3310.55237715653,964.730869706202,1.03759029107908e-10
PLXNB1,3071.13294128599,1482.81659650006,201.430599731539,1946.564312515,2818.23558756843,3720.9886435752,0.00822996542215841
CD276,3110.96784516782,607.264199578053,1229.7567262561,1678.88173079229,791.823949439844,673.934506380631,2304.0162335922
LRRN2,5374.53041697626,1774.70302906781,1600.02558823656,1521.85613065713,0.00334456376173737,526.132296440764,2892.54798466064
EXOSC7,3898.81767793555,1667.45433826346,2003.63257989288,264.958529474563,2.12552021037189e-10,3913.8027181064,8.13530365123453
GRB14,49.0007398700886,1539.32157585401,1134.35097396059,6156.52877133906,4906.24435418985,1631.9476067162,388.953378272667
ATP2B2,3044.78065593255,1089.74777701793,2378.73936054065,2119.16387166182,9.54267187846225e-11,1431.23956591117,2620.46161575639
NRCAM,1618.85910801984,2552.6972823526,1475.13936164816,1061.89181064019,1347.3359550489,927.209628703691,6.48325306305314e-11
FZD6,972.6623586181,0.231162793554711,5202.90929260079,2902.60019985138,7362.6557883057,9.44808761957646,1883.5246011853
UAP1,2722.02320997017,1450.27553922039,3708.39881792495,6.24811075748708e-05,56.4825477087864,1.05796992555431e-06,2156.92255017085
UTP20,0.892017439516984,2989.01903123481,2.33492687759132,575.17904410779,2601.50926347826,2101.96992581377,945.594415409195
KCNIP3,3043.39657065914,335.187001981383,233.229069586735,8.19449922497461e-11,270.23154174674,3563.02383613055,1844.1434423537
GPSM2,1210.03264065125,1271.90813522187,4265.03624293275,5.98264134904584e-11,6.77591455700688e-11,2013.12870130131,1182.62351083163
PLCL2,5027.4566395965,0.0374226552447655,3080.01232196695,451.847799040134,919.522289683292,22.8134243015874,346.715356469689
LAMA4,1343.77601288403,650.272905530011,3505.55410498473,1022.46608585131,879.881132470446,6.02033678713229e-05,2041.50676801068
HSPA1B,5995.02036791842,393.788302632836,1207.74982044355,3272.62080366777,1287.44180160419,161.304726527372,2057.57944096383
ETS1,0.636265252627922,4.99037404117483e-06,9.03883409164853e-07,7.91785295154328e-11,3768.6948935329,394.579340116619,868.00951197891
SLC16A7,7.65464822981294e-06,3387.74718577945,2085.27618187355,1.76100709071775e-10,2785.17526895892,7.22848241548196e-11,8.25402269331045e-11
OPTN,0.00739301074118809,986.751586278133,0.111157143527265,207.096707268708,208.251282536184,822.387365706003,3254.51926882125
TMEM2,3598.62030201737,1389.2777956484,1505.66528574768,1040.403138705,2192.45003995448,947.693535168534,910.731753269432
DDAH1,490.865615029103,1848.54323766462,1168.89360571043,210.815848685489,3363.20121112668,544.726591377554,0.183600157330084
CITED2,1788.39770247327,3628.36741451686,507.413455232774,5276.24304186564,4997.25252972094,1.04709352048548e-06,1825.1624043045
SYNGR1,62.1321430648423,2079.71736858229,327.335806292381,4196.42526090689,2738.20567116076,2465.47000476144,4726.60360251362
SERPINI1,2634.91826876208,141.431397481534,3176.39484505798,1732.4262255373,151.386876071348,4.9768539752426,5162.52413895967
PCCA,1511.52982647667,1695.78365553296,1097.17864363569,105.186966735769,2301.4861634259,1.6017258342808,995.942002925728
LPHN1,6097.78869703356,1011.53058078492,2491.22367305964,1351.44285344263,1524.77071736316,2.23973690503057,2780.83089242805
NTN4,3277.00485844921,2669.02977348176,585.294910845458,834.636500324363,6400.02078022522,3.52539222610111e-05,185.256540639193
SHC1,1707.14126042711,1053.2973153376,778.120101525659,1025.18818382045,1721.07309846888,1521.23521620521,1653.38764732014
PKIA,1.21560844499835e-05,1950.91819792803,3150.97726939625,6.83620232108561e-11,646.983168108564,1104.40176250479,4618.83156914683
SORBS1,1254.03623531068,2521.48604846269,2311.13326678871,257.756009566852,7.39273870878815e-11,551.977811140038,1997.25079897609
CPNE1,2719.11635699132,1801.5254084444,54.1397127321878,1589.75314171245,1600.83991427746,3179.31216065545,1350.82630537613
