S6,S3,S2,S5,S7
KYNU,827.097797746412,569.556849319229,1.70781804267233e-09,7.32161030825978e-17,8.47539844407088e-11
PYHIN1,2.54096272362216,4.64485081771991e-14,302.618122495009,217.352170887694,990.567510564833
ECHDC2,847.857931382664,309.515830841306,473.528207466313,1145.04927641153,151.400340344993
HYAL3,599.019162162001,421.391127535057,336.006355135248,1582.81625971564,5.28284209025302e-14
LRP12,5.90388147652819e-07,1.97783880767631e-13,75.889392146785,84.7577652812544,647.699350477987
ACPP,33.8794447438599,796.490175081007,1.38959545236221,0.000119726815193594,1.15022149247993e-11
ATP8B3,966.541676929358,1295.64583970469,283.456344266507,581.563083526458,3.34081587471886
JAM3,1.81725884364192e-09,4.92331902695107e-13,1026.80183799022,352.939762410949,583.094635544646
ZNF219,1110.25232536684,1.55707633950866e-07,825.782654212669,1217.5976981106,0.00173019048553476
BCL2A1,9.44097461246398e-12,258.552521235778,315.641731336288,1.36868244530042e-05,0.000125854969725548
SEMA4C,436.597804602134,101.205106296786,382.90327764095,996.582366570308,2.39450522550703
LRRC70,55.7253730198876,2.72690874010752e-05,408.169666076198,74.5722366498569,1505.5546223359
ARHGAP22,26.8989208303507,1.00927577968908e-06,1344.15759296928,2.43221206738413e-13,3.92055347778304
SPINT1,321.826564805535,775.552130004,426.270711221061,2.05774101103187e-10,887.597084190095
NGFRAP1,205.936342143233,3.27022037286786e-05,951.593991533118,1.14690359480812,40.762926895808
ENPP4,239.987825847903,262.716851087888,1.35869222284572,1.27337802762885e-08,542.769083258672
TET1,0.000412176064494985,2.80022500495063e-09,177.65663896239,3.86958193370101e-15,1534.73297464269
ST3GAL3,953.64384761761,886.424101573198,451.439991311417,625.032308031629,0.314114823552849
C20orf197,244.763918560018,387.611291793807,13.8794527257675,0.00319958765493577,4.20666497531128e-05
PRKCE,492.683649624822,316.769096992356,285.376533078178,496.679009679901,2125.6617786899
LOC400931,718.949149026477,703.754930458264,774.010734939892,3.61881578447421,1.11651336124994
C8orf55,487.284633076152,118.043387218551,1791.57893830377,115.35882985159,2.41497718258727e-05
LOC284837,637.417366990111,474.817734300795,490.740476520015,160.672645240319,4.99104951276157
C19orf38,291.948084374219,608.33063637179,454.612442421103,19.0371521511302,0.000772162905314215
DUSP5,465.285209340012,2.84298421029314e-07,318.214861602172,351.852065401701,1342.81252532041
ISG20,414.093379221756,0.000694133861630303,579.388204160557,1.10854090501331e-05,1276.29151202387
PQLC2,1047.84397159027,1115.28286222435,766.758740652471,68.975033372789,3.16079977403795e-10
ME3,633.407314539439,8.13153367502699e-15,644.150032935934,0.00639159562368651,1373.92575280187
CARD16,63.7379553319068,236.040600934247,171.215546742082,0.00327559115995214,272.088788584028
SUCLG2,491.063146216085,1069.12478213042,40.8469445477227,118.536078258094,54.1661358688791
GIMAP5,2.2865125549423e-08,0.042588250873579,750.034434279521,1.17745108715314e-06,514.662525891167
MTX3,600.096818041812,40.6535821720851,392.229321663053,39.5100326865104,251.164544128517
TMEM149,458.162179903922,702.692377235252,457.834394406183,1377.76182687398,229.320574007051
SLC45A4,88.5671169387356,899.499137344655,776.528064453614,719.762969262875,168.591308360382
KIAA0649,349.43132371045,593.239338343342,109.974471730987,1057.18538696112,2.70301431247712e-11
CRELD2,307.190296796187,704.580473114225,804.270856376303,1684.00707154945,489.686790215268
TNFSF8,0.426599529531996,156.525353345268,451.48859380674,0.000355466854501031,797.771113722374
GPR162,274.098843415007,83.4010864404307,505.26132227874,485.252407311014,1110.02424700301
MMP19,534.474463328687,572.424170927322,283.007561075017,1413.74720516008,189.823416005902
FRAT1,543.711213745567,1486.31812697695,461.832800010769,230.971059011581,0.00790142512374516
SLC1A3,138.134868959009,980.948649033607,0.0471871524102725,166.953076240042,16.7978465082369
SPON2,589.674004894115,187.718828841195,1021.87342222377,736.274756312749,637.03136814545
TLR6,0.030366963260449,557.488629617488,376.88777054035,1.04881495330556e-10,508.169677599266
LRRC28,147.301242886588,139.910945884341,3.18368240248232,1233.59951548587,1629.7736650687
ULK2,598.957683183875,370.338160735208,96.1362363599775,2.7589203697763e-14,229.326619674329
CEP55,17.5995500141581,1399.85429636024,1.64706322822713e-05,0.0216350430707793,464.678777453997
GOLM1,541.666867361201,388.935267895456,0.186614880739447,1366.53717149449,267.55359534462
PYCR1,393.499519220578,0.00410571227840359,1282.93886252674,526.683516349344,13.2106753809597
ERN1,190.716764146548,454.450085787232,406.776678476769,887.206606275498,1238.80135445547
BLVRA,247.781386584197,3.51008370940803,13.9880806606619,84.0926517380758,220.763187364463
GALNT3,0.000112211347735153,228.793051897037,282.571998551562,1699.16353187567,295.637996584955
CD2,27.2070892294533,0.000317521786492603,560.066781185991,159.271463559172,323.894100934347
C4orf32,113.150311166837,126.363067283706,222.477100479478,23.1509167810868,1171.78969241809
LXN,116.373178639553,9.31305303160573,113.113144553276,175.482348365818,814.195530696684
BIRC3,1.06054273542746e-09,101.142755943928,434.869852701888,5.47710138794685e-07,194.297770342371
FUT7,565.418674243498,742.192209946999,921.971168418683,708.254022131501,670.382759041814
GGT1,248.389350119,1270.90463636952,613.829790449872,474.180574244195,24.0770179566878
NIPAL2,4.0972252518409,758.637698626913,273.045176161511,85.0608622960475,1.94069548648923
DEPDC1,13.6317232424847,605.26993387324,5.20427018499458e-06,0.113955171454842,491.159678835813
CDK18,501.493610710066,403.609726251803,1020.98619642663,6.11418415690591e-16,836.4730887764
GDPD5,145.487247437057,358.757095955857,1009.61524874224,459.517886452834,773.483894396576
DPY19L2P2,575.329759292819,8.13257622345829,243.427663499392,238.936164823796,67.0164538300426
ZNF429,0.000358368698947674,31.2513113940561,3.56051470741743,1299.83368717256,323.872790008063
ST6GALNAC4,686.546051752368,286.027583215274,1016.35279770494,9.75716733472516,652.365614323227
TPM2,318.663494431311,1.48201516527497e-08,945.629265475514,833.882569776033,1294.59204447821
SEPT8,303.63140955081,283.477877363637,105.927478647118,208.617335301542,736.587640299649
CKAP2L,0.0191758120346429,849.933048760396,2.34873056380886e-05,8.14293064049216,465.24202009325
GTSE1,184.062099354981,1151.77050321736,233.918973888945,195.222574404329,469.350845027404
C16orf13,1094.65210208873,399.893803312641,1327.71078468847,604.386599709303,5.16357780481088e-12
