S9,S8,S4,S6,S11,S5,S3,S7,S2,ITTH
TCGA.ND.A4WA.01,7.19008526741691e-10,0.0103682105745747,1.81823133775261e-06,0.690659480453722,0.139434969588921,0.00370738965780679,0.126720047745261,1.17680540494031e-08,0.029108071261314,0.438370746786308
TCGA.N8.A56S.01,0.00641546994693384,0.0466059328936715,0.0692227947136167,0.55017543705122,0.0508625401165662,0.0368636953639823,0.23952233848361,0.000331082093569916,7.09336829476228e-07,0.594849466952653
TCGA.ND.A4WF.01,0.445405488038123,0.0886750792276053,0.0902639988802906,0.069231268905195,0.0711996929317978,0.0269585101521103,0.198126171208472,3.11701225305836e-06,0.010136673644153,0.741793644886163
TCGA.N5.A4RJ.01,8.86995245982324e-07,0.228787852950203,7.04175277257771e-07,0.510098694237449,0.119219970950503,0.00898807394887466,0.0241030423596508,0.0752033515454699,0.0335974228373263,0.62585677889108
TCGA.NA.A4QX.01,0.00528255526004796,0.0681138194095641,0.621373100938481,0.0956191202420342,9.91326812901028e-07,0.0224842997528168,0.187124296298278,1.63286064831783e-07,1.65348590092426e-06,0.51419029462779
TCGA.N5.A4RS.01,0.0857146316641031,0.155279682080201,2.63332468149622e-05,0.575338253846778,0.000579579987110648,6.44111607562512e-06,0.0116636597964227,0.132922854686244,0.0384685635762499,0.577088126022546
TCGA.N5.A4RO.01,0.0982381062453484,0.123243518483637,0.0777342007664573,0.228086750535676,0.0132783741416699,0.000125404756194065,0.458768396024366,0.000497861790804429,2.73872558470227e-05,0.656154598992482
TCGA.NF.A5CP.01,2.38174684209671e-06,1.53192406158152e-06,2.68989296919687e-06,0.0152717938994664,0.212630309797371,0.0184841605692195,0.478948865987365,0.176286684499519,0.0983715816831871,0.616044844888376
TCGA.N6.A4VC.01,9.80199344680095e-05,0.0416671869478941,2.59150832762454e-05,0.458819472636958,0.000266642316028723,0.0118003467101783,0.197618468880164,0.246351863655804,0.0433520838352286,0.613165930923212
TCGA.N5.A4RU.01,0.291590096317062,0.0148994343176306,4.09626973301915e-06,0.219106811520803,0.208942313239805,0.0148178283044815,0.200769662131726,0.0374502700484597,0.0124194878503002,0.748286339017478
