S9,S8,S4,S6,S11,S5,S3,S7,S2
PRSS35,4836.96047783476,0.00276077524781116,6.27983694917554e-17,297.547762548986,957.252420690925,2.97603628308568e-18,0.0258856770258582,1.45861235370421e-21,4.95142242315615e-17
SHD,526.775215513749,0.0116670972925459,4343.90980645234,2.88498429045659e-05,0.000489499408945493,2002.07352326811,6.57171822822254e-16,145.065568205517,1.15958766675576e-15
RNF144B,420.162011580549,0.0268177475761073,5.00259686335919e-17,955.129044575209,0.000628438706207347,1167.87555625652,2.07453898417982e-05,639.357745069106,893.721744524733
FGF11,315.104630522732,16.2025325756213,730.964586331484,501.419931216584,0.00333091043654858,0.244631074324973,1438.0536528625,1623.3977525957,2.14606013279834e-16
MEIS2,277.095666809046,1388.22033730739,0.0722470412774412,424.098034374021,145.796346213126,0.524781281114801,1580.3459986759,14.6254417145669,485.452256003053
FAM171B,0.0623022370358395,0.000303526384230077,0.0597789706590632,0.0133410624984757,685.361478158357,55.5264628355629,2480.28694516957,6.74225419053158,391.984485596321
ECEL1,0.00455679513754881,249.18218176764,767.530005170739,210.93685356174,119.619542091392,1444.8693166097,1505.31545871854,250.728977855695,1.27113195326316e-10
RALGPS2,361.791083809587,0.000446097468002114,2286.15610284303,1061.82894926762,504.139156343132,3091.54576117479,430.009544074003,89.743614320205,1.08675154097251e-11
CLSTN2,0.000239060683906588,8.55736323905906e-19,1618.81413055926,225.409701470338,262.007743392833,4154.55177919268,319.472066018982,5.11495475152581e-14,197.854704615632
ASPN,673.636800846633,464.942360565006,400.327793147787,79.2294362394691,1846.44851360526,164.864538388457,428.896524329173,7.85832598761849e-24,6.85951561365316e-21
PCDH10,1.96001027008237e-11,2.7626609267072e-13,1.38580517546971e-16,0.333011881196153,6.87143202001196e-06,6.06780523065591e-12,1991.45525958635,2.77227489717628e-33,1240.00096859587
LIN28B,0.000632566890346782,1.35018059569357e-08,287.280208506646,1298.55834467167,2.7757458031537e-19,0.363952406073789,423.990472069578,0.784444278363928,2.8178111590808e-14
LEFTY1,9.611178165856e-23,4.5078303981296e-05,0.039781133951422,1798.48088236206,4.00132884510047e-19,0.140361726429503,444.348588459054,15.2989984612668,7.9613991467242e-09
JAK3,1829.51158566631,316.295201210079,257.711761092632,1440.64628931454,337.900269370034,2.07472553106708e-06,402.183179000313,10.406338449286,0.0856418879860413
HOXB5,3.02708639137034e-25,0.000182849727939133,1.20938754374961e-30,1889.9378049246,1.07873305411668e-08,2.03131970661029e-31,373.247871615054,1049.83592696851,202.492978841751
COL8A1,6.83504958932315e-21,4.36894501218203e-18,7.49447916169717e-26,4.49737293025769e-16,0.979318027936951,82.5638007558724,637.572135016287,301.317414206541,6.40363948391307e-08
UNC13D,8.26263828596413e-05,597.482568143758,24.2299459068754,1850.47118288908,0.410171369882422,33.8321621726666,2.52725222554388e-12,1482.29751927434,343.599457600448
CHST1,9.25810841457603e-07,0.220668299546714,146.397569964582,1489.80954266489,0.00254708948970724,278.89686431337,0.402403963129258,1149.55252435669,0.000400458982339719
CACNG4,79.6043924445834,272.652009411885,362.796219567392,1338.96292706618,616.633789364504,300.157798862707,822.294851566981,206.106149724963,474.740723243273
GATM,20.5896935149951,16.7904955282659,2836.87366024994,254.854966473593,2.65073836708052,3506.7984961912,200.089215582608,269.194824054611,0.000902852745418021
NTRK2,3.38675242259616,2.15025692986238e-13,318.81066499262,622.479483976794,1937.00748413794,20.1421859885544,473.454431932069,4.98361706336813e-13,2.72101406617858e-05
TFCP2L1,1.45871515643054e-27,0.000289909574045828,1.89641595291976e-20,428.930065207736,5.88118622706001e-15,2.99278168591622e-10,1075.88596813857,328.792423225527,1136.50835609574
PI3,1.92143907556017e-05,2.28328406559482e-12,1042.22996546444,1.05913234131139e-05,434.137996863968,1.90724480450599e-35,262.303661109689,2378.42921574716,506.551134803044
PKP1,0.000486897959283888,21.8607070484598,420.681837702206,3.16236140364517e-15,1195.9637822411,5.85691251412543e-12,0.00230498950929051,1500.68656524473,2.2848064689993e-09
ABCA3,76.225915415766,18.3603201773897,557.274088361104,598.374360175027,3.49187282746114e-14,526.697789305188,1968.08727557943,1.63714300063642e-06,4.55202995890379e-09
PITX1,315.099200148681,942.346829930987,822.339793842844,2.19242695045008e-14,1940.33743313423,3042.78379481661,315.70748034262,1710.71633100332,1388.95334060664
TMEM30B,4.6541824608087e-05,4.99174708938426e-11,1.73951857202032e-09,909.948592756452,363.433976450169,3.92670376452935e-05,30.3913669062432,3412.50197398305,881.990392318454
CDKN2C,927.992454614842,232.199301542348,8.35181268091491,0.000664787399766805,2312.1333887198,331.591744632431,1968.2472906871,5.28908141045669e-21,825.713518939723
PROM2,4.54494401789602e-20,169.204678135136,3.75020296502391e-29,806.087928566523,1.75932829596837e-06,7.60270580556851e-21,61.4743466890978,3814.79778086575,2488.70610208779
TRIM29,1.29958482939885e-09,0.0999621231503889,9.47621406701253e-10,448.441400528888,1364.05666049449,3.71262083906099e-10,6.90180917933721,3538.13405141752,1047.61967909589
FSTL3,276.2335998517,613.707428709987,0.000776402296310489,369.597714543547,0.000609370831620554,523.566230874366,5.12448281471234e-09,389.10246493912,2.54800164552477e-13
PTH1R,0.0406188364881321,2095.44781267504,237.774674474256,33.5973743201679,3096.77831360422,96.061893845547,0.0865925624760011,4.33751659345955e-26,2.88574736341992e-25
KCNG1,330.704660016993,2384.59346249696,1.00109604972888,0.0344535695212256,2170.80438265174,462.300376016121,0.226318386349108,2969.22733958222,8.49914414521428
KREMEN2,415.293353586503,213.355464385174,3776.10706204889,296.529005584033,0.0750779474362533,47.3287423967308,488.505019958176,5.38808238661082e-06,0.000364392419886458
GSTM1,0.0564924752826874,2864.78607948089,108.93287724996,1.09081093670911e-09,713.846913102873,425.407531086765,240.889399345648,0.00189168167400316,441.202168937004
ARHGAP19,4626.88179009347,341.025662601314,672.739270445139,420.091177155665,1.5207483538864,432.803056138628,987.762763601278,0.0870434052552704,400.680141767973
CNTFR,496.42521807456,1118.48598502101,2423.78262876028,46.2735680072768,1492.4231376039,229.057285183463,1193.73952334711,7.84548118583247e-22,3.21202644122247e-06
CALCRL,564.549859960702,4.21411411151953e-15,0.000132047084325534,5.153090772958e-16,334.2524781596,417.009878179245,1779.8351770301,6.74677472139393e-12,5.56934529963555e-13
REEP3,3.87720163603213e-06,1088.46486878074,0.000291525832859759,3.33581147845702e-08,4.14570547454733,43.7189344621171,1187.67472773254,345.93728660789,631.323164299295
MUC20,3.07843877300448e-08,0.000581183336769781,229.032990183793,556.082446172966,529.557332073175,166.89265114523,0.0242862022207115,1566.65254944419,5842.12367192084
SULT1A1,1404.78699590332,140.119300043058,74.0715088535182,1309.83224185787,4.96592308766454e-09,483.249438679631,0.00559851461626111,943.379342001502,3.80448622558111
COL21A1,3.4988817575247e-09,8.36534471799164e-10,883.755563544771,92.1921441569726,2763.20370833757,989.081368861986,1131.07637668386,1.93791934013461e-23,455.40136717965
REEP2,1227.77897979455,1478.95261764997,196.611024228564,414.177918481432,0.000478255883266073,10.3476913237114,1620.22354701787,9.34169826288978,249.104257801217
PKIA,931.257857184784,0.000731711869306711,776.418328741071,393.906645708183,177.167015063709,5088.66455813724,226.190175591576,143.579270647427,3.66798579601965e-08
BAMBI,2.72827297821145e-10,471.75538441649,1.87490427210448e-17,1580.9350317817,1226.66496109498,9.662491251227e-16,329.045671559399,1100.45162047297,1034.40979672709
CDCP1,5.15081822673168e-08,2.98206490360178e-11,1.30565481005955e-25,1.63724462980652e-17,0.697147383141667,1.09667858751384e-21,269.172994845228,3818.46224168894,1908.33848449229
PDE4B,971.192260912452,2.12699711594234e-12,974.00896464216,2.10791852815249e-08,283.94264262574,650.18600000684,1621.21654722824,814.32984118258,0.0102232380056713
FREM2,2.17230813977922e-14,0.000273825764704209,105.022900871079,1491.0577392428,696.274613872535,3907.12915494797,251.262009866798,1219.73525943506,2570.6747470937
EPHA7,244.508180119441,1.23476616049011e-14,16.7830712405308,772.641958813057,657.280666644906,179.257199414208,573.670911274445,1829.30281930247,1.5295428648178e-09
SCHIP1,1285.65891579383,411.187746660778,2847.22177267966,666.578587319551,30.409546063387,2471.17395141206,265.104655077022,84.4350822675941,16.5330561367042
KIFC2,3.88254244124446,1757.35392882811,7.80242467862363e-19,581.574273409724,1.013471464897e-07,3.68556397513533e-05,1444.02098077107,1620.11531091723,608.508126544738
LGI2,3.58111816414163,0.00273637611089462,3135.18608747583,837.260112492304,566.113060197235,1865.42262334294,503.538399187469,1.85169276741031e-05,1.05600030014002e-05
CPZ,2.10120477164422e-13,58.6472755577348,865.193088838466,369.8859580324,2113.46604486669,7.4799680008709e-06,7.09239216218367e-12,5.58224985339348e-11,6.97460013441444e-12
PLEKHB1,1.03068853120216e-08,3.44361027999935,7.95559779290497e-22,2093.0430696118,3.72705640892377e-12,3.05390361535415e-22,157.327655570889,1229.948981213,810.196853551554
CDH6,4.13516636454518e-24,1.84043314964179e-17,7.29027567745938e-26,725.291536711931,1.95398978899527e-14,7.67816023837033e-28,589.985702686037,1472.49164387243,1.34329359432579e-05
WNT5B,0.0389018874829375,546.052673507505,6.26260205506622,682.40268265526,2372.47543560343,57.3975796692868,984.032905460518,0.00234203569666734,0.000964094831923298
NRCAM,8.7940450633098,2.95538453607376e-06,341.747064980169,14.043632582266,632.588133476883,42.6481813139663,1166.19292667161,1512.82020444024,440.728637815077
MGST1,119.154881310775,618.688948249031,6.75330588973166e-10,653.314725985295,265.827676402479,4.76962454058e-16,24.994812505993,1742.80504351431,46.8654383265858
EFCAB4A,5.27676001858256e-19,1499.54204634862,2.78199553004942e-05,541.043011481332,3.56533793009299e-13,2.50734678652175e-06,32.5935947987027,0.119541350848934,3663.62064655176
PKP3,8.74230394730063e-13,0.000345803295561097,2.06695058865936e-23,351.393200156127,366.344815906501,1.00718491177664e-24,1.09970295099462,4003.52700331914,2922.0434567977
MYCN,1.44442583317271e-06,1.25286268254328e-05,371.758321202681,2238.55900316488,73.8311014003748,641.34072391092,0.036887949197089,923.348669775966,4.06591715791981e-15
