S1,S3,ITTH
TCGA.RW.A685.01,0.691968590008098,0.308031409991902,0.890887975162383
TCGA.QR.A6GS.01,0.9478821340195,0.0521178659804995,0.295326274723392
TCGA.RW.A684.01,0.831659865962824,0.168340134037176,0.65389358636576
TCGA.QT.A5XK.01,0.984955056038848,0.0150449439611522,0.112631942285234
TCGA.RW.A67W.01,0.657504848655273,0.342495151344727,0.92718640378949
TCGA.QR.A70J.01,0.336765697450529,0.663234302549471,0.92169002101934
TCGA.QR.A6GR.01,0.640519392401399,0.359480607598601,0.942251209826493
TCGA.WB.A80P.01,0.89804461612708,0.10195538387292,0.475163544171027
TCGA.P8.A5KC.01,0.989069629901836,0.0109303700981638,0.086899672195329
TCGA.WB.A817.01,0.845273298225091,0.154726701774909,0.621543552285745
TCGA.WB.A81E.01,0.94892867299007,0.0510713270099303,0.29093056337588
TCGA.SP.A6QF.01,0.601933097090796,0.398066902909204,0.969808567506858
TCGA.RW.A689.01,0.890532940168687,0.109467059831313,0.498306354041714
TCGA.QT.A5XP.01,0.999999999232657,7.67343259403003e-10,2.43417424996099e-08
TCGA.RW.A68G.01,0.570704655165441,0.429295344834559,0.985527045041944
TCGA.RW.A681.01,0.956309526271729,0.0436904737282708,0.25896423748125
TCGA.RW.A7CZ.01,0.888119606688315,0.111880393311685,0.505561867814412
TCGA.W2.A7HF.01,0.924936497590856,0.0750635024091439,0.38454166610949
TCGA.QR.A6GO.01,0.84787651026038,0.15212348973962,0.615128925507796
TCGA.QR.A6H0.01,0.570114668497192,0.429885331502808,0.985768371372567
TCGA.WB.A81N.01,0.960347907611011,0.0396520923889889,0.240694765645145
TCGA.S7.A7WP.01,0.999999995789757,4.21024332463714e-09,1.23217588657642e-07
TCGA.WB.A81M.01,0.947932874537667,0.0520671254623327,0.29511389526719
TCGA.WB.A80L.01,0.888995932640637,0.111004067359363,0.50293711980906
TCGA.WB.A819.01,0.946380101924407,0.0536198980755929,0.301579417296218
TCGA.QR.A70D.01,0.912074032148082,0.0879259678519182,0.429508815658277
TCGA.S7.A7WM.01,0.922195997493151,0.0778040025068494,0.39439379257153
TCGA.RW.A8AZ.01,0.954540364652773,0.0454596353472266,0.266787343796632
TCGA.TT.A6YJ.01,0.984471316899212,0.0155286831007884,0.115538926274494
TCGA.QR.A70K.01,0.869274698925991,0.130725301074009,0.55942397605444
TCGA.QR.A70W.01,0.775314051708873,0.224685948291127,0.768632067422194
TCGA.RW.A686.01,0.865688776328911,0.134311223671089,0.569144283317162
TCGA.QR.A700.01,0.838960187738144,0.161039812261856,0.636791322738727
TCGA.SR.A6MY.01,0.902618913163243,0.0973810868367573,0.460638430610625
TCGA.WB.A81W.01,0.998192019818835,0.00180798018116546,0.0190792451083735
TCGA.P8.A6RX.01,0.871711101501284,0.128288898498716,0.552726738700882
TCGA.QR.A70C.01,0.699486253863139,0.300513746136861,0.881917992296346
TCGA.S7.A7WT.01,0.905058368941909,0.094941631058091,0.452752708562543
TCGA.QT.A5XM.01,0.999999998358768,1.6412322050035e-09,5.02631769107824e-08
TCGA.RW.A688.01,0.925000259286467,0.0749997407135332,0.384310604344368
TCGA.WB.A816.01,0.672365033766662,0.327634966233338,0.912491758557604
TCGA.RM.A68T.01,0.814063088554381,0.185936911445619,0.692893988293065
TCGA.QR.A6GX.01,0.920194989685783,0.0798050103142166,0.401491759046394
TCGA.P8.A5KD.01,0.99999917345426,8.26545739549745e-07,1.78939684366359e-05
TCGA.WB.A81R.01,0.959359101098415,0.0406408989015846,0.245223009688983
TCGA.WB.A80Y.01,0.93113486562536,0.0688651343746397,0.361674212106259
TCGA.SR.A6MU.01,0.605100680616727,0.394899319383273,0.967888578211047
TCGA.W2.A7HH.01,1,0,0
TCGA.SQ.A6I4.01,0.973252829330716,0.0267471706692842,0.177807074897187
TCGA.RT.A6Y9.01,0.958247135625884,0.0417528643741155,0.250272079367606
TCGA.RM.A68W.01,0.680298226953832,0.319701773046168,0.904056852110149
TCGA.QR.A70X.01,0.824498563902092,0.175501436097908,0.670136311934292
TCGA.RW.A68C.01,0.764853122308152,0.235146877691848,0.786876126606645
TCGA.QR.A6H5.01,0.943211848232851,0.0567881517671495,0.314560876853633
TCGA.RW.A680.01,0.620265236605693,0.379734763394307,0.9578544784732
TCGA.SR.A6N0.01,0.667143471000044,0.332856528999956,0.917818291577135
TCGA.SR.A6MT.01,0.999837990068712,0.000162009931287543,0.00227368112153778
TCGA.WB.A815.01,0.908173368859075,0.0918266311409251,0.442537663546348
TCGA.SP.A6QD.01,0.697456247052835,0.302543752947165,0.884378172546639
