S5,S2,S1,ITTH
TCGA.OR.A5K6.01,0.657461392890822,0.0833938247949305,0.259144782314247,0.758070306521959
TCGA.OR.A5LA.01,0.000123981445912293,0.433436691028906,0.566439327525181,0.623903685974354
TCGA.OR.A5LO.01,0.158152694321664,0.116118271701685,0.72572903397665,0.70483197004947
TCGA.OR.A5L3.01,0.501033901134936,0.327519376470409,0.171446722394655,0.923144932039004
TCGA.OU.A5PI.01,0.337652600328404,0.000196004276203984,0.662151395395392,0.583695236668983
TCGA.OR.A5JP.01,0.303867899532976,0.440697626127263,0.255434474339762,0.975481728810005
TCGA.OR.A5JZ.01,0.367299729859852,0.0331899107143695,0.599510359425779,0.716942853614095
TCGA.OR.A5KU.01,0.647743526285904,0.00778407739972429,0.344472396314372,0.624610538695336
TCGA.OR.A5JW.01,0.040800298423413,3.6849665362538e-05,0.959162851911225,0.155551466144142
TCGA.OR.A5JL.01,1.13282796714762e-05,4.23492042144047e-05,0.999946322516114,0.000554447415649485
TCGA.OR.A5JB.01,0.414012841293672,0.123341479937617,0.462645678768712,0.891883285360217
TCGA.OR.A5K8.01,0.0822423385549053,0.226373669206367,0.691383992238728,0.725373280248402
TCGA.OR.A5LE.01,0.678865265301117,0.161109946263773,0.16002478843511,0.773988824813065
TCGA.OR.A5KO.01,0.152375875146918,0.204593166410552,0.64303095844253,0.814894865305963
TCGA.OR.A5K5.01,0.797570935095001,0.202394483107994,3.45817970052226e-05,0.458838859114245
TCGA.PA.A5YG.01,0.55312871237643,0.01545771624323,0.43141357138034,0.68693996347391
TCGA.OR.A5JF.01,0.412849242906591,0.0495060261817614,0.537644730911647,0.771586281477486
TCGA.PK.A5H9.01,0.189144180900156,0.0565670171266831,0.754288801973161,0.628197007533448
TCGA.OR.A5J3.01,0.233474303797884,1.87081495847064e-05,0.766506988052531,0.494858676280253
TCGA.OR.A5JS.01,0.560494789135315,0.0334454643422667,0.406059746522419,0.73191963845102
TCGA.PK.A5HB.01,0.315039799787568,0.0921889994346229,0.592771200777809,0.813432727335316
TCGA.OR.A5JE.01,0.546321999826669,0.453633495307634,4.45048656970023e-05,0.627432293099974
TCGA.OR.A5L6.01,0.296024020591849,0.496070142628045,0.207905836780106,0.941797076287007
TCGA.OR.A5LG.01,0.214977109907687,0.383405918196487,0.401616971895827,0.968860355097508
TCGA.OR.A5L4.01,0.0778724517185287,0.0233897910334669,0.898737757248004,0.34823553567641
TCGA.OR.A5LK.01,5.38786356780869e-05,0.999890554405611,5.5566958711238e-05,0.00107721477641786
TCGA.OR.A5K2.01,0.259508885339132,0.486534800672809,0.253956313988059,0.954532783276136
TCGA.OR.A5JT.01,0.187245021896402,0.00859984114675049,0.804155136956848,0.48231358040912
TCGA.OR.A5KW.01,0.13311376967995,0.0676107123023138,0.799275518017736,0.573132634553699
TCGA.OR.A5J8.01,0.407621912892813,0.252699672214198,0.339678414892988,0.983220233349509
TCGA.OR.A5JQ.01,0.885893951770713,0.103330766502597,0.01077528172669,0.355623944900045
TCGA.OR.A5JV.01,0.332733396531069,6.85894035524376e-05,0.667198014065379,0.579636646534573
TCGA.OR.A5KX.01,0.148313950995872,0.525526014135265,0.326160034868863,0.898010136827687
TCGA.OR.A5L5.01,0.544399457952152,0.390268607892141,0.0653319341557066,0.797814725491266
TCGA.P6.A5OG.01,0.434467343658134,0.532625114308775,0.0329075420330907,0.737344363301262
TCGA.OR.A5LR.01,0.328413187627942,0.0534146824499762,0.618172129922082,0.745944115769589
TCGA.OR.A5LT.01,0.342997844513156,0.239576711466177,0.417425444020667,0.977622947091483
