S1,S3,S2
STIL,120.398704062072,1638.28672391064,880.862121438093
ZNF649,163.799524144599,1307.32339148195,1115.31779473048
TSPYL5,773.256302722139,377.22465420832,1072.04990643411
WASH2P,491.134671436196,439.802529758543,1020.56508039449
EXOC1,677.569605590691,609.03647670229,1063.84454061666
ASB7,136.068093328861,88.322362121189,1411.66279279767
TRIB3,162.08965286557,1122.69181530582,512.085462904082
GSTA4,1048.81289229861,191.482783114922,887.558575619391
PACSIN3,996.818941600494,1596.07361488212,187.703347461204
RMND5B,457.8208087938,1743.287672158,286.57293862108
KLF3,1931.76453245853,562.41796480785,369.83529458784
TAF1D,458.753172122617,1246.24844168061,624.326712082232
ZNF295,110.402201594324,291.62997130282,1453.65991477699
USMG5,439.894133037599,1170.05649358087,569.66662582109
FAM101B,1244.57346453103,1256.07140641964,154.219513485329
SORL1,1165.71355935739,1178.33458951761,327.306722323594
IFI35,720.857889052971,477.380245863029,300.340543315186
DSC2,1110.90136665611,550.192893015938,633.650106616851
GALE,892.721783695645,1328.46702688649,141.679939319406
GLI1,622.173623134882,1354.84646306899,447.925385694481
TMEM159,737.48514750545,143.187215331586,1049.8707686316
CHST12,283.739745263416,1579.29408364242,596.734716027924
GCA,79.1394750999714,55.9723099534939,1253.5557023046
ZNF286A,788.30092528228,1201.84292257244,954.240397541766
LHFP,1581.18306039687,70.7238916539812,591.874030406307
PCK2,1002.5298335037,740.79503779181,129.150319136688
C1orf86,969.95843704118,929.394612292044,257.071043817769
AIM1,472.36531252796,829.890021520393,620.886555983239
ZNF618,1347.04626884312,372.1383460685,1009.08980781268
LOC100129034,1720.27255915412,331.689462908315,405.133728334253
TET3,1195.54080820373,238.55662929221,1090.98176426093
TIMM10,160.261107690652,1566.74956108355,468.945166597478
TSPYL4,1610.97093216947,281.246382551617,666.085605405183
AGGF1,441.246112679791,160.10534706837,1477.87348748628
UNC93B1,507.660909053243,735.629626293579,239.851900270033
LOC642852,1250.87423349368,547.955508715059,936.072918433929
NAB2,1796.70504011967,163.335784078093,505.469335319498
HEBP2,1011.0960446152,1280.36909005738,220.574882614
DNAJA4,8.42865878859758,1026.24651679034,1127.89434574329
UNC13D,568.559940514892,266.591199911116,307.639987813437
ARID5A,257.076052564308,371.587692360069,517.642612020352
GINS1,500.186496716832,1796.3548950717,720.279242962474
C16orf13,591.742313706468,910.830233230542,436.023588054092
SH3BP5,1777.49576117538,305.982304638676,532.718503167335
FLVCR2,80.0710629481113,349.288093573627,1045.08821166898
CENPH,82.8850355899695,910.021493785363,1139.5142424761
ARRB1,428.38286291623,1557.30218541693,225.066282079558
CELSR1,1214.86842462707,109.51925034376,1031.6357547275
C3orf26,154.210532967319,1496.30974331551,769.777777672213
C4orf14,422.668590349331,1053.29538961725,896.476174122165
PALB2,82.4701641603485,630.491644581029,1307.81303981982
LRP3,1656.06758359476,597.531546525711,711.070658017634
TUBGCP5,304.110901204474,226.330870289459,1395.35451760483
CD83,232.032876150345,332.198199358095,1008.89515301912
MRPL40,286.719391400538,895.599889560256,827.143311795898
PIK3CB,386.679315378927,1659.3441020513,687.557860159423
CYTSB,140.149214419272,881.470761919693,1244.61599215573
PABPC1L,225.67367680536,523.428081236178,993.894368064896
PON2,1722.70005559435,378.189817365189,916.702382369964
C19orf66,601.704377875899,334.994600916763,703.019869699456
SH3D19,1765.18836776715,472.74336143452,535.04048166346
TRNP1,10.7869280301366,1092.36440450044,948.729940561925
GNPTG,1165.71798331928,647.092855146714,312.23637531666
GTF3C4,298.91459866871,1041.36829940177,1309.34106887565
VAMP1,339.703772542307,609.43837120941,979.828359054687
IQGAP2,439.580828571722,1271.12651581873,326.715436658156
HIVEP1,671.42141259787,41.8881781459132,1365.39263555399
USP54,684.072828723286,291.785295816302,1103.90320120316
KREMEN1,1208.41393677307,60.4774228982388,929.987885776481
NR2C2AP,30.0639067009039,470.106465376695,1097.91408108377
ZHX3,730.255468620599,104.622510762746,1273.85968557803
ACO1,1013.40558749323,476.803455504482,260.897948515946
ZNF496,407.536890017669,482.108231197642,1457.66756905804
PFDN4,238.635951535192,1552.35476960979,545.837302106387
ZNF107,57.1252106767733,894.756525003407,1217.03320926545
DPY19L3,376.986897065532,177.609983740729,1353.35268292236
NEK3,114.267120060377,472.733449498877,1020.6937532043
CCDC56,1331.52831242358,1355.226079161,309.032651603111
FAM113B,4.92318994078675,984.800278467609,1024.30350851802
WRN,371.329189420703,620.802391712501,1466.40884598833
RPUSD1,517.484762099958,1683.5945537509,375.333047847767
MTUS1,1500.05777145799,686.925648123324,594.953456929093
RBMS2,1882.67383089772,817.060039132951,440.703574135263
HRAS,628.074208735771,1066.02349255822,382.43049771779
DTD1,619.034159552884,1646.61187834352,363.65598940737
MPDZ,1354.8127110481,531.832248641576,767.411006684656
RNF6,299.203164018028,213.461498325363,1121.9659874611
CENPJ,144.933136035429,243.294128007138,1341.96273536806
RGS3,1665.09737785177,420.054885705247,317.708415134069
ZNF692,629.936292718014,400.890540405303,696.835805892512
TP53I13,1086.2709495604,653.760615832467,725.182798689613
ZNF134,146.117657254706,334.249892631522,1314.5344660957
ZNF451,259.037407949249,360.767309460437,1491.91116494661
HOMER3,1242.68932733217,670.566875343676,560.879775925792
AKAP11,766.152154580907,113.085560932301,1291.41926747688
BMPR1A,786.444808400939,1443.47923990744,494.248619075198
C1orf27,339.313751428706,398.095965022669,1213.51679827803
ITPRIP,614.149131497029,133.440592207894,1211.17916956851
SLC25A12,273.080340798054,240.441595776175,1253.8798703097
MAFB,1189.19529459137,379.95350770152,305.660719080454
