S9,S5,S1,S8,S4,S3,ITTH
TCGA.MQ.A4LJ.01,0.168421165215102,0.558901174573144,0.203939687624653,0.0372901415455291,4.61596666292833e-06,0.0314432150749092,0.659073153635972
TCGA.UT.A88E.01,0.115589427000754,8.92756583148143e-05,0.81741858833004,4.83683794647827e-05,0.000201056182590472,0.0666532844488353,0.333605932076116
TCGA.SH.A7BH.01,0.0376584053257726,0.0268454832715057,0.00343134469309912,0.0336436850976997,0.866755583515206,0.0316654980967166,0.327871544302764
TCGA.LK.A4O5.01,0.177289869964547,0.194976447382572,0.551047680326825,0.0442792982099786,0.0045387023555015,0.0278680017605756,0.678744851375128
TCGA.TS.A8AS.01,0.62905511228133,0.000122050367796687,2.47566117964975e-05,3.03005927243983e-05,7.74116724732111e-05,0.370690368473879,0.369396192526395
TCGA.UD.AABZ.01,0.246959341045967,0.351386397687176,0.263106030763805,0.0878905260190671,0.011323284877679,0.039334419606307,0.812561313006387
TCGA.SC.A6LR.01,0.404526406122951,0.536008161752541,0.035455486084461,0.0103154559369984,0.0133937902188109,0.000300699884237967,0.516900851413787
TCGA.MQ.A4LI.01,0.136837133349588,0.692827198320387,0.157952382356548,0.000183388749494575,0.00930492835761909,0.00289496886636309,0.491097525287168
TCGA.MQ.A6BL.01,0.282287501199041,0.000169237535620301,0.0598152759010541,0.000189357438929717,0.0432303179235139,0.614308310001841,0.537868063152587
TCGA.SH.A9CU.01,0.192926425581316,0.714639730797513,0.0238516033873852,0.0523754155915659,0.000578865646778591,0.0156279589954415,0.485800964075056
TCGA.YS.A95B.01,0.096546736934376,0.263579581041069,0.549374948791261,0.0883855092141708,0.000285406478307076,0.00182781754081604,0.63317588849556
TCGA.TS.A8AI.01,0.14451198639131,4.79775419420727e-07,0.598403165547662,0.202448983178138,0.0172865144615848,0.0373488706458855,0.615661775222145
TCGA.UD.AAC1.01,0.12597572591314,0.394414266136859,0.40992925444283,2.17049234780544e-05,7.86988994696869e-06,0.0696511786937464,0.658225245542418
TCGA.LK.A4O4.01,0.356737315675392,0.151196114672941,0.157664681676251,0.219977058759196,0.0848986503573919,0.0295261788588288,0.888000752594143
TCGA.SC.AA5Z.01,0.00302746407668984,0.648947445262423,0.188996974040013,9.18487468021119e-06,0.0240029099197315,0.135016021826462,0.543051872882092
TCGA.ZN.A9VO.01,0.0178589704421789,0.317844833470682,0.00762202891927719,0.0731883167064518,0.000404305922646513,0.583081544538763,0.54830182674206
TCGA.MQ.A6BQ.01,0.240178977957551,0.00327660849739546,0.382154653908558,0.0168255144243143,0.0302167814420488,0.327347463770132,0.708222583085196
TCGA.3U.A98E.01,0.717708402845205,0.00025236205895518,0.000579689189809755,0.00494274433906078,0.000231658821320183,0.276285142745649,0.350518612929166
TCGA.3U.A98D.01,0.0951399299668187,0.303883883624153,0.519713850972778,0.0513155506724339,0.00741074802245376,0.0225360367413625,0.66980080962688
TCGA.3U.A98H.01,0.170336809574933,0.143630902257259,0.476195516288479,0.0552770746918714,0.0201078616051024,0.134451835582354,0.804739198872653
TCGA.TS.A7P8.01,0.384108434084737,0.568391761772207,0.000165178584965476,0.0235042285333205,0.0237729942966046,5.74027281645731e-05,0.484262454116435
TCGA.TS.A7OY.01,0.179691187492899,0.674680737400659,7.026439463099e-08,0.0175145554817781,0.0803930453141017,0.0477204040461683,0.553994131517347
TCGA.TS.A7OZ.01,0.194942905383,0.292005152313381,0.106554425995105,0.335884931989532,0.0210961312274303,0.0495164530915517,0.844671866175066
TCGA.UT.A88C.01,0.0973064733248614,0.128431383159761,0.484211212930636,0.141364610254591,0.00360228414720667,0.145084036182944,0.791612016784617
TCGA.XT.AASU.01,0.252220744266854,0.000224429044201989,0.562177182394272,0.179634910127533,0.00477950718915699,0.000963226977981578,0.565766613487717
TCGA.3H.AB3K.01,0.633195669948663,0.000427125881777491,0.229335197457488,0.0124461747730713,0.0472316880282021,0.0773641439107975,0.573263811244679
TCGA.LK.A4NW.01,0.156833384209256,0.360985362365907,0.26669689641658,0.0813838598500932,0.0251861107119227,0.108914386446242,0.864625624852074
TCGA.UD.AAC6.01,0.223732701294942,0.390174488803148,0.276448778122408,0.0897056087977779,0.0199383702534456,5.2728278150978e-08,0.754572895104566
TCGA.LK.A4O2.01,0.15128436563888,0.335122051177153,0.411634548381787,0.0386671747965773,0.0318472669733007,0.031444593032302,0.760032352964311
TCGA.TS.A7P0.01,0.230519381408839,0.592907514085207,0.0936716701541005,0.0650648675860187,0.0177813573983587,5.52093674759069e-05,0.625070931934541
TCGA.TS.A7P1.01,0.0457940373747724,0.0147958160417859,0.904232117178746,5.15151308022731e-06,2.2051005228705e-06,0.0351706727910927,0.230168447133316
TCGA.ZN.A9VU.01,0.186248203837299,0.407705579683803,0.000172008824744498,0.0779747002943954,0.00010928481162942,0.327790222548128,0.695328570863196
TCGA.SC.A6LN.01,0.45075453649348,0.254775141932871,0.119905065183378,0.107887519850819,0.0512446162253865,0.0154331203140658,0.791810414421507
TCGA.3H.AB3M.01,0.214284663943276,0.560255764813265,0.11476398220304,0.0844950121133456,0.0134636219505191,0.0127369549765538,0.68396494977641
TCGA.ZN.A9VQ.01,0.117483776921838,3.71575616203305e-06,0.297774424026631,0.541903371921107,0.0210323598892279,0.0218023514850342,0.61894440917538
TCGA.SH.A7BD.01,0.246117741952885,0.000248635238074958,0.203750100004302,0.00628539182890032,0.0281945079573744,0.515403623018463,0.639224747347041
