S2,S10,S11,S6,S9,S4,S5,S3,S7,S12,ITTH
TCGA.FA.A6HO.01,0.0015426900102975,0.000244375853628431,0.000237727074387669,0.000400937769722928,0.628258125648213,0.101206245188728,0.000438541492579593,0.150438873077467,0.0815367440077278,0.0356957398772474,0.50060411965164
TCGA.FA.A82F.01,0.00776337743780241,0.108234963081793,8.62837517283479e-07,0.132426974346499,0.120782815016947,0.368812929878459,0.0936996060468483,0.0853357327202227,0.0662802125826102,0.016662526051301,0.803129964282689
TCGA.GS.A9TY.01,2.72108464342727e-05,0.102774217848559,0.252448986679143,0.539620407493009,0.016851495356491,6.10805264320966e-06,0.0457572154506006,1.36779998654475e-05,0.0263199709428258,0.0161807093304286,0.559001844156863
TCGA.FA.A7Q1.01,0.0149240662971784,0.0639744954618004,0.121045277384595,0.0513507632519929,0.215099973485771,1.86928369834575e-05,0.0741964017472516,0.45922641630661,8.45127192272749e-05,7.940050859117e-05,0.664184301170351
TCGA.FF.8046.01,2.54111668781424e-07,3.2953321035352e-07,1.9849337101149e-05,0.514587065473326,0.040109088198197,0.0753311618577803,1.12373374802611e-05,0.16957710584,0.183578946075273,0.0167849622359641,0.584876705367264
TCGA.GR.A4D9.01,1.40692376304464e-05,4.03850150287504e-05,0.0202572997410153,0.0495776298823562,6.37194627822303e-05,0.572992680888673,0.185154903553253,0.144494308426822,9.68162834128004e-05,0.0273081875090253,0.538187452486027
TCGA.G8.6914.01,0.107029533005464,0.0475465854490115,1.00005856936615e-05,0.0436036500916799,0.218214078206535,1.88110877088789e-06,0.20354243517334,0.0190402271867884,0.290307235623424,0.0707043735692924,0.78117677770612
TCGA.FA.8693.01,0.0608508345652945,2.68116203626427e-07,5.47012510807153e-07,0.128880921209559,9.01448705386883e-06,2.25521212608896e-06,0.159199489839403,0.113881791734528,0.501388712386558,0.0357861654367634,0.625310743303179
TCGA.RQ.A68N.01,1.87733775721683e-05,0.0554593845897734,0.0246643760931639,0.111727537804685,0.0717986771345293,0.484024570346172,0.0123911149382833,4.16584391273581e-05,0.154629247280728,0.0852446599959665,0.690738747528912
TCGA.FA.A86F.01,0.0463926927726893,0.0433783881948321,0.0222273260666622,0.0476531966776814,0.08104311029963,0.516867402987359,8.91041493094917e-05,0.171801982129855,0.0622008202044087,0.00834597651757221,0.681462045405432
TCGA.FF.A7CX.01,0.0469511567285034,0.0185413838446196,0.0908860290244765,0.0405603262069104,0.205985328784665,0.450531646749465,0.0392750716841937,0.101061487740998,0.00213953719547767,0.00406803204069031,0.714191259810731
TCGA.FF.8061.01,0.0966563377361498,0.0720958041476032,0.172341512079889,0.23121446823758,0.041932226684171,0.168039640342303,0.0561841541421241,7.53827274634722e-06,0.161402917677365,0.000125400680068371,0.845620828135898
TCGA.VB.A8QN.01,8.2635306455032e-06,1.07383610975955e-05,0.132681617679291,0.209270101192707,0.00920570569292751,0.244768770390415,0.240944309339732,0.120109772832933,0.0429661657855317,3.45551947189161e-05,0.745352430421022
TCGA.GS.A9U3.01,0.000665296551295481,0.000191425611023518,0.000376408411829024,0.000224721902036313,0.161167019528999,0.000832009552689478,0.000749692100412467,0.589882632620716,0.191352146164219,0.0545586475567802,0.479159599323071
TCGA.GS.A9TQ.01,0.04509769495207,0.0329659935853621,0.0132395713847373,0.166888447513424,0.0418819564714743,0.262893758084208,2.39366915486061e-06,0.403368220294001,0.0335660708469032,9.58931986656801e-05,0.683355878891996
TCGA.FF.8041.01,0.111353512262623,0.272973149940656,0.280065435296543,0.185512043731874,5.11077052152319e-05,3.47095103528391e-05,3.66601080748162e-05,5.6996869692242e-05,0.149797509731669,0.000118874843299948,0.675358845859414
TCGA.FA.A7DS.01,0.0178532672659482,0.0416062074912873,0.0213187938514643,0.0951884224681133,0.0198746782343051,0.744635201180843,0.0159540845655727,1.58812983587297e-05,9.92949975691494e-07,0.0435524706941315,0.438724009487462
TCGA.GS.A9TT.01,0.0126748500629876,0.0323205335891667,0.0103278754067419,0.0517161001731478,0.00344742843760014,0.784881818455752,0.0299261121976256,0.0643267640009961,0.0096004988692723,0.000778018806709431,0.394360245537147
TCGA.GR.A4D6.01,0.310696032848054,0.0813044799937265,0.0511671227183817,0.125988867498444,0.3899990462949,2.2738925224474e-07,3.95863754513315e-07,2.89835201040805e-08,2.88036955716741e-07,0.0408435103730109,0.64196478878538
TCGA.G8.6326.01,0.000116058509181605,0.0112008021564747,0.0534835989187311,9.97111732662601e-06,5.07748795875497e-05,2.76236267308375e-05,0.0135102196799062,0.00346625512964308,0.109747603105325,0.808387092877094,0.304496166786517
TCGA.GS.A9TX.01,0.0419331293818145,0.0530909518550026,0.00621741947306584,0.0528185917795478,0.000104247762244207,0.000304108566487551,0.00345188419752743,0.840997503429988,0.000773919993533681,0.000308243560788713,0.283349645178709
TCGA.FF.A7CQ.01,1.51342640153962e-05,3.80356906715744e-05,0.0015157040622391,0.0755728497913647,0.00861196132647671,0.811118840946428,0.028757933526272,0.0167908125323653,0.000434179568464687,0.0571445482917023,0.327423011038008
