S3,S10,S2,S11,S8
SERPING1,5.1406333176903e-07,3480.47000719057,8618.96129395591,2.04009581464618e-16,0.223024870166557
ACCN4,7384.74734018143,1.39782056949956e-19,0.000437118458038513,2012.99344945845,6370.86870746966
TIMP4,1913.09603731283,9.02779457244439e-13,6329.97143718401,2745.62639288032,892.946376271986
ITGB4,2.02333171877149e-30,2097.12393891763,4.15839784691743e-12,185.090972560402,0.000115307442120014
JUNB,235.99448949035,3.43891613302542e-08,1.63789664598282e-11,0.00492558924274591,3034.42347863699
NAMPT,1245.50877969672,3150.7993186807,2.26419787143408e-08,1.01770882800447,2.45971493011264e-11
PRKCB,947.582450580609,4.28820465112221e-12,55.9660622297752,398.054263664326,0.00426823466838121
NPTX1,465.401322375318,463.109985611679,2193.27068104606,92.4718320131268,89.262803966549
FCGR3A,6.4753078219348e-11,1.05452308636844e-15,0.000297703418794139,1915.77991076771,1.22249859278622e-05
RNASE1,68.2335817492889,2.66506983510686e-09,1.51230304072215e-17,481.927478134194,4193.68736812734
PLEKHA6,2054.5055293549,1166.07810262699,9195.93820706141,0.0356249962764378,0.00325782013270459
PPP1R15B,1608.04648011626,5474.05790267778,1290.60877259525,1638.24790810359,9.88199650590159e-06
SYNPO,5.45957477967768e-06,165.405120306334,10937.5761343805,0.000122560244157168,840.717398042988
MOG,274.705712629725,7.47532451705303e-08,3687.71273633615,180.514805876791,3.7955065077497e-06
FABP7,980.908019857082,10048.3089897371,15262.8354387565,7.79557282778229e-14,2853.59974795079
ATP2B2,1466.52596509365,1190.06702698123,1.26182481348292,361.504401146434,0.00132877070975425
CERCAM,1580.37830078541,1360.3956719423,9.13504064059531e-09,12.1014715749901,2522.50086166952
NSF,2014.39482288298,1087.72300210132,3248.08034134672,936.132061963322,125.598054015363
IFIT3,1456.34766702592,1.38570488183886e-06,2.47749016299553e-16,38.0503197124216,0.000186436908799574
KIAA0513,992.871937298051,167.731194163733,859.810636822881,742.527982000665,585.855407728347
PTPRN,3534.14339629377,3.86567910477565e-14,6.36568810425577e-05,7.96903655174442e-13,58.9946400673076
DUSP1,655.890389688376,0.00465695306035745,30.2462500789746,501.369953943594,623.293858589061
ENPP2,20.4514880598847,0.0105554577481727,0.000272355249486532,24.8953272477277,4.1191276355686e-11
CTGF,1166.63912542106,2219.17064649026,25.6521035351542,2165.85025309796,1877.69110422887
APOC1,121.170739883646,1762.25223088748,1.89782156909619e-05,0.62494122663521,11400.4516680706
IGF1R,2881.90476299692,1836.09428214292,1795.3468171055,4041.34768869075,0.035590462254215
RCAN1,1319.37248643506,3018.54498497319,7313.50565077422,179.737124648026,646.896269860336
SCN3B,4235.86092095769,5.39804686503116e-05,0.000164161596104704,2.10444846047993e-08,0.0140749271278495
TRIB2,4001.76444202134,9090.41072210652,21604.271310936,1500.79576095328,0.30317125884266
ADCYAP1R1,1403.61692015713,154.974415768427,3.18021130825305,0.00712705945651831,1.47255984717668e-19
MATN2,556.66941036606,4130.67928698149,8916.23044766482,1095.64473128394,27.3211893042132
HPCAL4,542.924209476105,6.04516053479726e-05,8.14676140541717e-05,4.39159600531173e-09,2.1940701049474e-05
CA11,111.102257506884,582.874520680747,0.00612220024442121,397.569727253218,3772.88451475806
PSD,3608.41111427367,0.00442012570526021,0.304780778359835,288.126646846367,5411.58321569821
SEZ6,6198.94134875592,5524.35036074502,1.5857652220839e-07,0.228783863753982,0.299205951079989
ETV5,5428.78635732748,3036.98807527573,23215.5696695834,1.42027857012526e-27,151.341625625892
DHCR24,1886.43173800737,2102.57588983413,5883.18767236888,334.261184160014,0.0358842530187068
LGALS1,1.72809940876522e-09,3910.88452223697,8848.72324833098,2.74342277614849e-18,8546.46437174095
LFNG,31.5400695328153,8170.89445512643,3.35799290514106e-21,23.7077213018594,3553.53623508593
RGMB,7628.52112920479,7.89753107831577,2659.39018532457,2604.68115566023,1344.87662757838
LUZP2,1561.95535288673,1.44971144823185e-10,3.57334923240062,3340.79665970012,1910.83467511716
BSCL2,2.8110921881648,1665.12163379707,19127.8913876672,21.949021613463,6701.81106929453
SCN3A,5162.69798244554,1.43589874819263e-11,8126.83766741523,4334.95718769806,0.00012651398287945
PEG3,1832.37343753165,1932.26653295563,2142.11235417306,1376.3325448546,1.8089279110259e-07
DLG4,2665.19332465642,730.379751765901,244.628041848238,1816.59045373905,2187.95383746114
UNC13A,4374.61220226179,839.863150512161,26.4779425202701,583.173008776009,2.70507059043488
CD68,3.13692562327805,4.13415812855004e-05,0.0821064742692214,1752.46036736021,2134.82355330536
RUNDC3A,4626.3587837574,0.000480565958986948,1.29588721259429,1166.15367342215,7372.99253395283
PIP4K2A,2353.69215680453,1.07377581332719e-05,1189.99076859736,1529.34914236647,0.157391612650076
SNTA1,8.91267950866909e-11,3094.53224863017,4.4638146070735e-23,8.75245728104876e-10,1102.20723512393
PLEKHH1,1266.75084200283,0.00502300336965251,1.11209237841997,1218.6078102372,4.09706850769172e-08
LPCAT1,5838.18184807779,4848.73294667795,4856.53568616139,0.031279022345062,3460.76685402115
PSD3,2041.05503775602,1420.03242488386,8438.64656618789,1270.73670404565,7.98061051271791e-06
TCEB2,433.181641972001,1983.1154362548,1.38692406140441,281.456499371761,24349.9766068852
APOLD1,2496.14354076102,1540.65952731426,0.0105443961624207,1641.51314586129,512.508172049934
RGS5,3684.3844889465,2805.28680998538,2912.0550538836,2244.34164600486,861.967742991402
RNF19A,298.268441291383,717.998583716275,2.31119752460191e-07,2195.70375702716,7.97729321768774e-07
SPTBN2,3737.88451566177,2.537486945374,1979.85981170186,3458.15939958245,2972.58240736792
TMEM100,4193.05647688118,6.85907796131194e-25,8.01984646206006e-08,3531.90221142649,1.26558537119326
METRN,94.2841611965906,1723.31677111428,11867.63892834,12.2389552428399,19512.0153816556
CALD1,1566.29279798815,7062.14050735712,0.00434452075769728,1929.13767072353,31.3363110821718
LYNX1,902.290895093256,705.031937099862,146.00295405307,4.23716723122579e-05,987.717546956924
LIX1,7.79205397628355,1077.32916599311,4.52567567852207e-13,35.6792071747184,156.033278794666
PMP22,14.7379831195127,5400.50810560731,1840.22068722001,1.29535806743014,1230.57770129794
TRIM47,2035.80499419589,5839.84754892106,4.0237746966369e-10,0.0508933452825907,6333.01303801973
ELFN2,4828.62571721217,1.16860681010047e-13,11610.4632275081,2539.4272406678,0.208074268408723
GBAS,1442.53082151145,5954.84827347399,0.510831681665416,1038.93870662879,1324.20424722867
MPZL1,2206.50199426883,1504.98699557252,40466.6521156769,3343.20794285543,1930.48623563403
AMOTL2,4545.905853753,0.000234129013895527,11913.2669899266,6642.12348753012,19.819643671762
KAT2A,4304.30648651259,2496.20625304879,6.01393472056287e-14,3059.53829978925,5756.85014482463
SLC15A2,34.1050084330727,1.036128156418,4.16956016412219e-07,1396.20432467837,0.013635459648896
ALDH4A1,2.45388698495597e-10,1739.32504272634,1.04706602971768e-08,2583.0374108733,1454.49960588087
JPH4,5285.06714422202,2.12048420743161e-08,3616.77923437533,2648.68114770213,1859.30691054755
KAL1,1292.93120364323,2957.84268175007,5.95817371317345e-06,718.592247876462,0.0100745276052171
LMO3,2222.513288102,2797.31934456493,0.000854192402260217,6.87235857095106e-08,381.639085354532
DNAJC6,1195.46932433729,0.00560765802728317,3176.29941690766,1560.28563303721,1.0366639535459e-06
LOC254559,4536.34685341641,6.23712425396738e-14,6.18929370043559e-09,5061.23610702552,4764.84457577675
MTSS1,5210.73513548388,1464.23328959005,17824.0428036056,4976.10400572777,95.8347653577584
ALDH7A1,1469.56762141541,4659.94281146714,0.00821613678322479,0.0215871189694036,16.5433776588125
IQSEC1,1930.07770289536,2362.10696775422,9203.93322692888,5.64964003255421,221.189040579346
RAMP1,2960.66992248593,2264.41961461371,8.49193023217769,0.000250720804690517,11894.3108790672
CCNL2,233.476103902417,5313.14304623725,2.3157570337706e-14,5792.94518887172,2861.35748941287
ITGB1,1662.62934725552,2743.60148807376,14750.3902597583,2963.97330340878,8.32363499734547
LASS1,505.121434680441,5007.0963170172,0.0311355619151326,4.74150219524256e-07,3298.57412519805
KBTBD11,1312.23003447477,266.25938491145,5.89065951718978e-12,4.03740583231092e-05,0.307026764708603
RHOU,2543.04532450657,2893.48311700861,4.5092248963998,1519.41396120154,3.0945218372697
SGCB,2997.4147155576,3681.19520834694,11216.8500954688,2672.63554034305,5.41982439603034
SMOX,1142.67809442956,2542.07082802295,4.38629580121702e-07,555.185516636977,3381.57336427092
C8orf46,4633.93949594769,1709.68044354826,150.429771084006,4.00608763382541,0.000920057831016614
ATP6V1G2,3794.394301227,9.30879451922088e-12,0.906681717338688,1865.56996657221,1338.33423974191
PODXL2,6402.97658905014,1705.86057754367,7875.70999562128,2295.57850396445,8710.59777128698
