S2,S4,S9,S6,S7,S10,S1,ITTH
TCGA.D7.8576.01,0.542282241183173,0.106010606456222,0.0509777809195905,0.128937969457153,0.00187960413115421,0.000939945555527153,0.16897185229718,0.670330673929579
TCGA.CG.4442.01,0.551542305768462,0.000147607476603065,0.203119569911563,0.235365817647901,0.00444960611111234,0.000874752827405992,0.00450034025695233,0.538724834015498
TCGA.VQ.A8DT.01,0.4771410431627,6.9217954941965e-05,0.268810756511778,0.0718375309529026,2.36057324897682e-06,2.98664587351797e-06,0.182136104198556,0.619910185272851
TCGA.HU.A4G6.01,0.233836234260398,0.543430893689168,0.131143421196382,0.0807649339704124,6.74809138082425e-05,0.000120130754220967,0.010636905215611,0.612003362921916
TCGA.IN.AB1V.01,0.660614695790192,5.84752410755559e-06,4.40591093443846e-05,0.0885247584090557,2.88615958103431e-06,0.00376965603477438,0.247038096972945,0.439642651668134
TCGA.D7.6528.01,0.374244637138077,0.335318498601968,0.184174302789652,0.0977594400147361,0.000132338116874638,0.000217528913602339,0.00815325442509012,0.675961751925923
TCGA.BR.A4IY.01,0.000184197295949325,0.214382041793176,0.0460312031733987,0.719382634836259,0.000871644428217743,0.0169780002373809,0.00217027823561783,0.410616718498534
TCGA.BR.8284.01,0.681527945089779,0.0347507062304313,0.170550187028786,3.59284333661942e-05,0.00046720582752977,0.00139023285101181,0.111277794539096,0.481597225434825
TCGA.D7.A6EY.01,0.625476790455426,0.00628427395409135,0.14316345973195,0.157171372796074,0.000322680865781943,0.00223143340829668,0.0653499887883805,0.559614727647787
TCGA.CD.8526.01,0.389641359961229,0.42587675835614,0.163762202781122,0.00799822471127166,0.000462236561475528,0.012058862062441,0.000200355566321008,0.577740598690958
TCGA.BR.8289.01,0.396727722179045,0.296852223329084,0.164558902391223,0.0212380270853245,0.0001316695835614,0.017193380088288,0.103298075343475,0.725419068036142
TCGA.MX.A666.01,0.544610842374077,0.349238545244571,0.0954593124899534,2.70699821593465e-05,0.00135594886550539,0.00930131967001176,6.96137372123613e-06,0.501265812641452
TCGA.BR.4366.01,0.774975071770764,0.0858936252857301,0.0479487668464833,0.014722202782723,0.00681725391995869,3.49592276158615e-05,0.0696081201667248,0.429626690869139
TCGA.BR.8484.01,0.734599390180739,0.114312898779554,1.00742917576807e-05,2.32014261785892e-05,2.2793321760151e-05,0.0417108519738019,0.109320790026209,0.436606237525052
TCGA.D7.A6EX.01,0.202693957834072,0.224802586762515,0.246991967971346,0.0365420751381975,0.0127835423569397,0.276035537872821,0.000150332064109248,0.790238313170196
