S9,S6,S2,S5,S3,S7
CLIC3,299.437882510818,0.000150114868893379,9.2283406312482e-11,52.2381148745669,2505.05308217723,4.79711534398572e-07
KLK5,334.612132129779,80.1740340634414,7.25840437847108e-08,3.07838837599128e-12,4185.49200057578,536.132423691796
ZBTB7C,14.8408916397325,572.268446668646,6418.94242480651,990.699885554082,1056.95322713028,509.188587521331
IGFBP6,2.3258557948067e-08,2.18815681861597e-08,4.73628255775438e-09,1.68508614525963e-13,2008.78114043241,3207.08283682873
TMEM154,72.5477831659989,120.131303702257,1366.3284239319,18.6715566553377,4055.48040510008,2628.87951413983
FRAS1,143.660714559597,2344.2551366489,77.15579539759,1281.22748125277,7.0987205419229e-08,9.49431262950316
CEBPA,451.551665605055,2900.70936969393,2311.85569835885,1172.97380587721,1933.24843860513,0.00483318763958556
KRIT1,412.843952266723,2983.61763356665,601.391810903154,827.910950064777,1438.9717108676,935.095240467226
HSPB8,7.92859264720681,135.625615307448,69.6277295044988,0.0627428084580425,3021.67794804924,893.079233987815
CACNA1H,288.403495333229,7.51311412568358,2.65383108928068,571.092667154076,0.126287685940252,72.6283252066659
FGFR4,3742.29403647325,1223.57619251867,4.75959176535215e-09,2070.82003034613,5.567315881718e-12,2.47720034857784e-07
GDF15,2835.9955058502,934.52943497612,3.5089326643945,1374.20437013022,1.05624000382488e-11,2.41060281383164e-13
MTHFR,735.874599923394,741.248083770516,423.807831135723,2566.07515507411,776.03012099507,357.663240049101
RAC2,302.981726716902,38.2273180330668,33.4044718582478,0.00394618199392631,241.404547991798,2334.22587072127
SASH1,215.721160426376,805.543172877813,434.701213689282,844.985958351976,0.00392548726728814,17.0956371683751
DIO2,196.42252380573,395.009086937742,530.162683139579,847.134858487191,0.000258065106764091,0.0192340081043806
VANGL2,9.94692548236074e-06,2064.70711712478,5308.5115311984,3.04047326604214e-08,1029.15107523312,2242.66046603302
GMDS,2088.69066356211,110.866103830978,31.5305122188141,4258.09661036927,2.19630745980387,1.6967835990211
