S10,S12,S6,S11,S4,S9,S2,S8
TMTC1,610.625064230444,677.013021877932,547.728004278594,1143.72637840464,0.000365645738896567,42.3475548165436,623.27249982708,31.3243780543607
KCTD21,981.48185630513,1312.40145655909,465.462470513514,642.492929121732,521.664084544613,890.732329794423,12.3894818074408,12.4040684113307
INTS4,1130.76962067759,569.970832459596,629.657951125947,1090.23484771268,492.494991232953,1046.55425301425,18.1695563261517,527.929250438719
TINAGL1,101.567097293941,334.290595249825,63.5520002511523,179.920985792942,523.047159725275,531.108819583321,838.671830973677,2389.66573062983
BARX2,325.42650319139,1408.25308771886,517.31372643204,702.251328771688,1082.72324739189,6.11241516060685e-05,26.4018396608177,2379.40609529347
MTL5,2296.73623211634,37.1607604229015,680.720581207585,295.760016858543,1138.41268185372,316.280027934446,67.2625084643118,249.203367405718
DACH1,1965.94106190345,5123.12256949193,742.015649495267,1.63103322658009e-06,0.030911410356259,48.9503356271011,1.05257152621412,5.94871099377752e-13
RHPN1,1103.24540151526,14.424948200991,14.89787587961,1117.79040196334,4714.94486292313,818.043723051123,1726.50781144162,0.75758735670567
GPRC5B,136.283032367827,224.677967144374,26.0317388964404,1420.56370598321,3.3549938920675,1005.22257284434,163.204576414692,2607.85563419434
AKT3,22.8831970609726,0.000263829687963141,645.84200681556,133.090175152557,0.00129120670576843,2.38711020917729e-05,0.00723548179545733,2112.80221565218
DEPDC6,667.601021540372,14.3238247719285,1134.07339082631,2328.23504555155,1106.80257921106,662.480666975138,0.0208785611768328,0.667776801788161
KCNS3,0.00119183128678053,4070.54746708946,1940.64484090804,825.32455994175,742.749455454061,1268.52569353376,853.798309250784,96.0350449036459
CXCR7,1645.74248989887,0.177544059689666,18.4585685456103,387.454464436985,341.766133271687,359.893612076023,19.1584041243056,10.2724734438427
EPB41L3,1620.56952613984,2448.38792938555,486.845101033393,98.4485539755468,6.6942981249194,326.310823995362,422.244129597985,119.505923115651
TCF7L1,0.00690366457462627,2.52824696090114,152.430163882151,637.580241445963,436.536239251603,6.78748570540819,206.972069002239,3932.14572982501
GADD45GIP1,55.1204939179715,247.508208201806,0.0686605859667961,180.296922578764,6234.58747951791,497.550818184317,2497.46909450476,740.094804775653
HOXB3,457.221801364932,1908.32520038227,653.978035438616,180.004147915211,589.069073377852,1536.47366844773,155.906680882064,0.0598580467623408
MAPK8IP2,1250.61629075515,4859.50235438249,54.7030200825956,310.854247613367,761.599220363068,920.606028879682,3420.60756797003,191.126518375456
C1orf106,0.231726149324121,1.37172210370943e-14,3.23093910591438e-06,1772.51473545595,18.4191696990925,2464.83445260579,40.0442406171708,1928.79599041007
RPS27,24.1744382685638,528.670543323459,925.170029737123,1378.98263254736,2515.4691743609,8.50322564184819,45.2520969734882,899.719643139808
BOC,1.92970305818929,0.00396252736445235,0.0211349563846354,441.051361291358,0.147511320160786,0.000173901055930265,2.33775619331053,2964.95996845622
FGD5,44.9329761185178,307.308663388686,679.922346669279,349.448957503242,68.5418037902515,812.757269589101,41.4544705507104,48.2220814568538
LEPREL2,6.15873028515412,1402.68659635161,2.29530475642476,15.3397367788994,3248.83701918459,62.344614203133,2700.58560747641,494.055175757971
SEL1L3,22.9301848088212,478.119033480181,0.624597856467813,455.595213831775,0.105073188287572,689.999449109843,46.7348474964634,1307.90673212297
GRIK3,825.37753790794,3308.88941433154,1366.31507518199,677.942957112818,38.9627302509955,9.67026158294109e-10,295.626833234099,0.00119307270119338
SLC6A9,478.764036503162,190.480247971147,733.576332551613,665.161989543272,344.60052900275,519.146441416448,2321.46688834216,1369.09082486505
LIFR,848.400012915565,1422.0810910659,407.897651073048,2.41479167186352,5.39137367163423e-07,0.0509899267351772,0.00337325501697477,434.680134898219
ANXA9,1628.12058765055,136.321350729524,1387.14010733591,0.000613065493110124,1057.21249604575,523.985296215305,4145.4869276705,1.3073898200956e-14
HOXC10,554.603209873726,1.6187320071058e-07,1041.01132190323,1895.37948438251,1679.39032281773,1609.59622489831,708.981733042936,0.799082293580378
PLBD1,1004.13771387475,22.1883494201034,105.22399500498,1497.45415071051,307.471083625659,400.902795294455,695.047684096848,745.713766277893
SPAG5,1374.68273632686,0.302255393572806,45.5344009405326,2608.84951653678,466.619303863093,3251.50113677408,673.798477896933,904.191632478139
C1QTNF1,35.7887681626372,17.141211013758,0.00247323951215013,0.0561109206874591,926.31284846878,3.31529963388717,888.486317905505,1231.20347747137
ALDH4A1,1140.40598159783,96.0149971431046,358.934660465551,247.055941269217,1778.22214304186,4369.76364299253,24.5125982994123,10.4847776050249
HEATR6,1537.20180030941,45.5636703073438,333.353747782718,0.980956887949533,19.7396472220319,3036.4400353996,624.126852851532,303.056140249599
HLA-DOA,6.39611144626753,177.313209366496,178.871747429051,8.9757437753569e-07,171.422814266173,0.0040507401454269,4.15277568573713,53.2458394938915
C1QTNF3,0.47087634107723,1.00112098310732,622.901047496439,3.67224310601315,290.143534339074,3.3394207299324,133.308158393913,4.64789890259687e-13
C1orf64,1082.96769647641,106.312498014121,750.874662447693,7.07843280587067e-13,1453.02656856483,129.243953064502,121.326057718634,1.18583201284061e-15
NR4A2,427.478208153868,4195.26735553511,648.79999555339,294.481119527675,0.00920840484613362,87.6621251378962,862.141201780028,130.825769334369
CMYA5,1060.6132719741,11.1781806682015,1422.85364699928,1.20235674079235,0.000102063951935052,0.0202862187351828,3651.46683967852,7.36902725196899
GOLGA8A,792.543286255863,469.842294750616,129.45747583503,374.645061772048,1075.21813241628,365.668854636931,1.659737945518,1429.71446221587
BNIPL,766.698469327031,913.629114817624,1245.074673038,2.50389288780543,1270.16966295978,23.7381370950875,443.322570673148,779.459972263302
POLR2J3,971.673143882366,247.595198457742,94.5901042613552,585.556715358299,2175.1535888404,479.309560941349,944.165258565861,2371.42145241703
ST3GAL4,685.5032378518,422.242817281018,97.0265174276166,819.544822022566,1304.89393838765,445.48509514562,686.531411573396,2015.99670199788
BRF2,2021.98996186379,0.006668834572354,0.0285076110398103,1244.86345519819,561.280731839405,0.0195405396158353,2365.67214008287,229.899263453167
NFE2L3,90.2289016777783,0.244390517417526,441.454959131088,986.381513012942,229.373991249264,1.84005782922532,286.589032520401,2039.3933524001
MRAS,126.903905164938,337.385219463476,12.9838926708204,140.799054302786,1.22923924338324,6.99651571346883,1030.20086302234,3632.33702574876
TYMS,825.187046015749,1.23690649196599,89.059227628035,2322.06889148733,697.01489137168,119.419028431604,982.709433406258,2207.75927979209
PLEKHA2,1040.64685270334,59.6555340754613,256.810449799185,902.250040588469,49.2638249170898,19.3474360580472,1339.76647939601,546.536970380163
PSMB9,4.63223378410803e-05,0.445856814980461,0.0829227589366452,6.40954579013439e-05,1054.40821460105,8.75167930138766,7791.79352861787,102.585695869912
LAMA2,325.883303992936,4.7363164158612e-05,411.45620578072,18.9587485831782,1.00111018713037e-06,0.000111420906246435,0.00116044848309659,0.972137631147157
HOMER3,16.5899430726753,0.059532895856607,0.200072850589705,116.876712934777,3264.87965885548,1500.84144049502,1270.90053579426,1678.39872469565
SIX1,1629.37396874687,0.323678869672581,107.621161881385,1237.50951484821,303.102465902374,1551.50535343022,0.242126796044969,0.260217403952893
CAPN13,361.41532201968,1621.76983699312,1495.52098575006,8.34442868891756,625.243980798167,3300.627667582,29.4393581780788,1.2959056997129e-10
WNT5A,0.00510016012336578,0.00148265519208263,1474.15207699408,1026.263502216,7.00826340089934,38.0328090697194,0.0157321057463854,7.18804210325622
GGT5,165.388839325672,2353.36622168807,0.238167685537478,0.223393885273579,2649.82916476873,29.8334607080656,1699.62291764742,93.5528063110068
PBX3,69.91734769226,5465.60261963461,1003.15985319643,581.290673936965,298.133321656932,87.6293380539498,453.190754355984,61.4088989122951
LRRCC1,1007.34463676009,2.2874862538737,873.774566376055,3393.85628533165,177.86859635685,82.1428099501451,3.94217548273143,637.828849799952
DDX60L,958.157862152164,658.583384144369,454.871514425969,320.594283769067,8.51908286536185e-05,2.30782161638372,8635.71823757945,9.19640958388873
FBXL7,1991.00089451629,722.518251352014,532.762210241054,0.0145492466173588,94.8352141633753,20.8073956139116,2184.34286477877,0.000868066139640717
IFFO2,749.380369194329,649.45113447172,72.0512381826124,428.829218891447,0.559334627370488,80.2411498729788,0.0760938788097281,2803.93061927162
RAC2,16.0732788136583,633.445956088429,44.6246832251077,4.37268329781312e-05,1535.54654381116,0.0477442545018374,1227.92747295299,7.91286115437841
ZBTB10,1845.69379603561,82.316149620346,141.152529727094,2981.88687763407,4.58248644054493e-06,2.16991807057666,7.75692611423347e-06,463.989653167002
THRA,776.973451167823,1161.5446685119,427.479680452615,214.222214428961,161.89792091864,5488.70744291548,2132.45377504016,710.152918086933
CD53,8.54749352840059,204.047656880056,177.146149525836,0.00307068096112567,391.262420163032,0.0168574883803628,1019.42980811926,3.53469136809289
