S1,S10,S5,S6,S11,S4,S7,S9,S3,ITTH
TCGA.97.8177.01,0.0228109946112818,0.102118106454538,0.0286739091978254,0.0485607683199515,0.369069961319937,0.105594230690198,0.317630583241865,0.00553385056562088,7.59559878189137e-06,0.712884041334927
TCGA.55.7907.01,3.11604575075695e-06,0.0209885034084614,3.32411990921675e-06,0.367154193312723,0.0682681390924665,0.279732081877093,0.165259768438226,0.0236311778610864,0.0749596958442832,0.714028558533904
TCGA.44.8117.01,0.00016261125850168,0.0557367360788399,0.00016716094044038,0.277615427756797,7.16446854710383e-05,0.408808843808578,0.223782892226262,4.70947463315101e-05,0.0336075884987781,0.607788121761948
TCGA.86.8668.01,0.0340281711038054,0.000423813920870213,6.68824773807423e-05,0.1108624875849,0.650023571268331,0.156264106548582,0.0279464632740465,7.42598018848757e-05,0.0203102440201996,0.506405281396931
TCGA.78.8660.01,0.067074815812492,0.0407568788432231,0.0165863793987533,0.37046184787884,3.78274152876015e-06,0.210548788420038,0.172312424625668,2.93628141852175e-06,0.122252145998038,0.744386398435078
TCGA.05.4415.01,0.0160878513913554,0.0638047875746385,0.0817441267179813,0.543512024750603,3.16727799981687e-05,0.0599950744173788,0.000211097239961854,0.000181931036929071,0.234431434091154,0.587398840567288
TCGA.75.6212.01,0.023199041856897,0.0528528309104485,2.26182873552775e-05,3.57048144209419e-05,0.735947813694934,8.63263744961893e-05,0.10861901154322,0.000254071082461609,0.0789825814357663,0.4157491219944
TCGA.67.6215.01,8.49243286967815e-05,0.038556692386633,0.0797909247023315,0.108002036837554,0.348790112069395,0.259127363929512,0.0865168813912558,0.00795424721866853,0.0711768171359528,0.784638195630452
TCGA.05.4430.01,0.000145197602760072,0.109821587328989,0.0217875282346353,0.155877311524325,0.136066521473651,0.190365499466374,0.358297550241362,9.59426225534253e-06,0.0276292098656483,0.760580116753918
TCGA.49.6742.01,0.0543946174762593,0.0328173432656214,0.409384029798495,0.228620218695903,0.00791998712915276,0.0555845728320337,0.059466153552175,0.0759413348803628,0.0758717423699963,0.78812694336537
TCGA.38.4627.01,0.0331106064028166,0.306891523005608,9.36303697346922e-05,8.43833522387123e-05,0.291878326572496,8.60496407057004e-05,0.344399707356008,0.0232838882306904,0.000171885069700583,0.588650551056827
TCGA.69.7979.01,0.0349262154601623,0.00786174413090068,1.21648020707745e-06,0.520475196944535,0.0512106375647452,0.104233145912345,0.280317891528278,4.33557252701732e-06,0.000969616406300226,0.5672251142359
TCGA.69.7973.01,0.00177301291535424,0.0293079847960503,0.305105581801819,0.437124567795184,0.0465793281389243,0.17979417638833,4.12603608513577e-05,0.000170087616238098,0.000104000187248753,0.588386033984499
TCGA.73.7499.01,0.000882153835195235,0.0907246724134153,0.0756055273988254,0.279501467984439,0.0282602867818915,0.000832611008379749,0.52377268214567,0.000119878930388328,0.000300719501794686,0.55724541765154
TCGA.44.A47A.01,1.3425070586104e-05,0.0517690012304772,0.0252346570509388,0.280382128461378,0.288948336017796,0.127572435716905,0.220181204698824,0.0027762489999001,0.00312256275319475,0.724456491307898
TCGA.78.8662.01,0.0222074091871464,0.0978097494740936,2.17651626692248e-05,0.43250152790389,3.03755911283027e-06,0.188394535911717,0.259048896055019,1.14729089006504e-06,1.19314554615735e-05,0.609516065385594
TCGA.55.8085.01,0.153543548925456,0.0560584903432495,0.178549126519994,0.351746526623154,0.0176557437099565,0.0321959623098285,0.197985730072213,0.000546341780900739,0.0117185297152475,0.766023761312413
