S1,S3
LPGAT1,1425.65873143616,775.087781268989
HRAS,959.391923776484,3306.57434265991
KIAA1409,1769.31401850408,0.0119065166974518
PSMB8,1022.02324349059,3587.72297393839
C1orf122,896.46124531189,3316.24382627153
IL17RC,1542.10328255904,2417.18198064178
NKTR,1531.16615081913,806.112226722533
ZNF428,1033.91417138715,4163.18570265751
TMEM120A,940.825378495115,3856.21969940753
C14orf1,1141.44120882978,3592.75619278984
ABHD14B,1189.34630167712,3893.99079584814
MARCH4,1108.37306703802,730.899802735972
BAD,1080.75131130294,4224.10302170651
HLA-F,635.259908087094,2756.74823336617
COMMD4,915.73806630486,4601.71032107892
SRM,885.09619771693,3131.9781927119
SLC7A1,1591.12863863054,135.973196015155
FAM96B,1019.16190651433,4447.61599836946
RBM6,1420.32851148142,2639.28253634495
MANF,1091.67531986359,2112.17756399138
ZBTB38,1375.94696875124,452.298906238877
NDUFC1,1308.18584341667,3686.69988346047
CABC1,990.961646097884,2712.13752629098
MICAL1,1252.3161445463,1560.38888710316
TXNDC12,1147.66769496426,2099.23809929836
TMEM208,990.071999158566,4170.32826272903
CDC25B,1370.59133055793,1152.88736271824
C11orf10,1131.87151726745,3640.82258181859
GUSB,1130.63627707216,2086.98358482575
APOL2,1208.4665646442,2100.37274885977
GHDC,1428.40006868706,2237.52630857396
SLC4A2,1116.74680255659,1538.51987530569
TRIOBP,928.046496599895,1779.15660058469
RAB24,1158.87434475903,3608.81939660808
KIAA1715,1668.85622491214,0.134206299229804
KAT2A,1073.26924948084,2796.89073907884
TLE1,1404.25603072028,2482.88416995631
ENPP4,1948.12928172769,43.7810770534004
DECR1,1080.39945351824,3172.55291950998
DDRGK1,896.835092092392,3626.41208208488
DEAF1,1500.56783404326,2047.13539779837
RNF157,1495.13878685689,642.642605113091
RRP12,1291.0723915314,1890.95431785072
COMMD6,848.19930804309,4261.4826224427
ACACB,1181.73998141776,2123.04760696469
GRK5,1110.98201612183,998.001020784935
TRAPPC9,1212.58533300555,1517.80363612637
BRSK1,1603.97429705404,1777.16220437487
GRHPR,1155.77827346602,3730.66934150385
SPATA20,1487.65445570459,2753.75176310932
C16orf42,815.976337299562,3803.01794172724
