S5,S6,S1,S2
SIX2,4.46951779093149e-25,722.351233927455,5718.02111541662,0.0071535173325024
LRRN1,0.0124543236205991,258.661466681683,699.165720771372,5680.74375794289
CHPT1,695.586891372015,642.920467941502,68.2835392796525,940.675148135588
C20orf114,381.360044042602,63.1786414445272,1.63855506259058e-13,160.27259756135
DIO2,0.209907874200383,734.252715954701,1.40932369867375e-14,1354.03373933197
NDRG4,532.108642754551,453.249262762072,423.395192757639,13.0645006351582
SPINT2,80.5747533258942,678.930673785811,6567.79508802296,0.00162922981402894
PRIMA1,581.033255840872,27.7889483631335,3.10205319884519e-21,3.48827309221976e-26
CLDN1,8.32846897329777e-17,969.618877309027,4.14867810938195e-07,1.87202116706541
PLCH2,3.7543713970992e-26,337.544283140466,586.544654853624,300.583355881334
WNT5B,3.48239215987804e-22,404.341954962687,3296.15400909031,1519.20815393781
GFAP,77.9394438836673,2.00837684517385e-10,1.58632865652308e-18,5.30706908145593e-27
MGC29506,3.0037743005083e-06,6.78534460671279e-17,2.39063595382438e-08,2.16826230471992e-16
SOCS2,2777.82447575095,647.66535764162,61.1985265242111,4.68515289985694e-10
PKP1,22.273991741328,30.0076304798318,0.000361015192395917,823.692081542391
CXCL10,180.621421873314,0.000132898821830864,2.58436848015563e-13,9.32775556983163e-10
EPYC,4.5578011884396e-27,0.00972701523309139,1677.55171921067,1319.24226956285
KRR1,314.92425095474,1131.66029302127,342.544982170104,65.0194120023529
PLAC9,4.04194631419853e-20,195.262749881321,913.682691217488,985.610833467177
AKR1C1,0.0113985095478557,45.1689710675494,1564.69541638738,957.176125924962
DIP2B,120.34786669226,1805.47020187716,0.132886672416396,818.12359566202
IL11RA,666.349433078205,1407.94900217912,1163.48302559958,960.500437362111
MYBPC2,5.0189133381684e-05,7.97179076812071e-09,3.37706884629477,1855.85695253806
ABCB5,1070.19878873401,264.666379519628,0.0165606325098412,1.93431704294016e-14
ITGA10,286.169294486545,656.011863538499,586.850391533266,2328.4803976467
TRAF1,985.143573557665,0.000779457248577901,4.81492370812755e-12,3.89920411395479e-15
ACACB,1032.39109714965,924.154604028578,950.866625201397,0.0190313691897702
ITIH3,1345.81179059791,1.7236517752134e-09,3.73775842929401e-16,1.97970970143027e-22
LY6H,3.56096757747467e-06,159.960624377283,3119.35359213862,9.31681898184229e-08
FGFR3,4.40354065715689e-23,299.258275784445,4818.39273119553,8.24760874164333e-06
TPPP3,0.00193871276245573,611.954686908453,448.589507919462,1183.1745304757
SGCA,2942.67399941005,0.0119403282514131,19.6927245740913,614.889216407401
SLC37A2,4.61333128030561e-14,4.81311422667486e-07,2615.86619126879,1215.41622701753
NME3,841.210608856121,0.00216688250295656,11056.2729880184,0.000977236571668744
MBP,730.681138739855,663.364364014988,7.69210755470703e-11,4.14272069286976e-11
ADCY1,947.433650187353,1243.84143968398,1.03828619525985e-09,0.106301842919062
PRPF38A,671.659708152312,1429.49599273053,1312.16363675043,1327.30702675103
MEX3D,10.4641613738276,1847.67424305551,95.81715867512,534.407615662432
WFDC2,2962.31342791485,1.38052784030807e-11,0.00254067316112237,7.18517753223e-13
HK2,3.61106400480667e-07,1246.29689632592,12.9164587052725,0.0143370308641364
FOXS1,0.00039613699706338,640.154371400197,2.19255173183835,728.546539910833
KRT18,144.011327934403,651.933244198175,1880.39279274205,105.327685192651
POLR3B,0.0259896133381342,734.474462482611,0.000796999753003267,3.25369849423412
PADI2,0.0185449273187002,1.77703201178719e-12,2936.96256978858,3.92331040811318e-07
TNFAIP8L3,2997.99533662009,396.556951376512,121.818250268886,5.51769677648285e-06
PDGFRL,0.0509564042127843,0.0830475012623163,1.12774275692135,7490.07507347664
WNT5A,4.84269382492105e-13,1284.49743148179,1931.99876074985,2538.65745338426
CA9,335.321172327985,383.317093514171,1557.03835248565,1754.5021310424
