S9,S6,S2,S5,S3,S7,ITTH
TCGA.IG.A3YB.01,0.0220844888228316,0.532874117861302,0.162942306380795,0.0408576149346121,0.100931416144465,0.140310055855994,0.755090717344682
TCGA.LN.A7HX.01,0.105883381084646,2.14667756203289e-09,0.203496006453385,0,0.0321816156099678,0.658438994705324,0.528797835837574
TCGA.V5.AASW.01,0.439916064985034,0.181614707611034,0.0149611534829588,0.296326963041998,0.000330668815029743,0.0668504420639454,0.713181035968846
TCGA.L5.A4OH.01,0.201760383437025,0.305263396596099,0.000726525945994095,0.411098787359096,8.88287609269332e-06,0.0811420237856935,0.703081853071268
TCGA.L5.A8NK.01,2.79159881568833e-07,0.481478036979244,0.00987634027436857,0.0511053870338153,0.143745104904074,0.313794851648617,0.665277437484437
TCGA.2H.A9GL.01,0.0303535956363965,0.607430890150353,1.38067751690703e-05,0.36215876008908,6.39146551547238e-06,3.65558834864309e-05,0.433838741264557
TCGA.IG.A4P3.01,1.73671477814393e-06,0.220182530241701,0.310819883605666,0.111823443140684,0.0591947507584804,0.29797765553869,0.820159737625469
TCGA.LN.A4A8.01,0.03800016662077,0.61831786200975,0.0701034822754489,6.47262891846261e-10,3.15204281239091e-08,0.27357845692634,0.537152704257891
TCGA.IG.A3I8.01,4.65567414370048e-14,0.728901801393459,4.80183929673493e-14,1.360998960204e-13,0.0233582794679697,0.247739919138341,0.37054826377686
TCGA.L5.A8NS.01,0.0960360795246523,0.244364279137314,0.000355544959323439,0.521184015088403,6.52327712325026e-06,0.138053558013184,0.661496177833764
TCGA.JY.A6FA.01,0.0406544325642307,0.333435702486738,0.432824866236221,0.0800718185372877,3.3532495970077e-05,0.112979647679552,0.729865775380236
TCGA.LN.A49X.01,0.0205450788080822,0.177479588917809,8.73326867074493e-07,3.4588186709818e-07,1.70939848103172e-07,0.801973942125526,0.3145867089113
TCGA.LN.A5U7.01,2.15119539368526e-06,0.00127745404507246,0.274218553281987,2.75816959719664e-06,4.96130465439028e-07,0.724498587177484,0.333115238411951
