S9,S5,S1,S8,S4,S3
CLDN5,130.287874706619,4.80624194244102e-09,4.0457304317547e-05,227.007674362638,924.483171915944,2.01542350192663e-19
TNNC2,1.45987971428741e-19,864.731776155613,5.14105191492203e-67,1.59937065350603e-28,532.096425682805,1.41887042425742e-79
BMP2,2.99682334711257e-12,573.472032688643,6.45189264509552e-18,2.29183048950307,2.87495191288318e-25,5.99196252383199e-14
PCP4,62.9108242775468,734.970961710017,1.04939316390391e-19,1297.79396755132,0.00016758476799009,1011.1573565137
KBTBD10,3.99604434634206e-20,872.54328554964,5.20421787969763e-52,6.22418719412119e-20,8.09214499740397e-16,1.39444799052868e-80
CHAC1,0.0802778502706425,8.40801764798339e-17,2.33113791493844e-30,1.30858143584241e-30,5.64414777530505e-05,1.29527716122087e-05
AREG,6.82478076350734e-09,5.33098685706501e-14,1.54391854639276e-23,4.71781477212181e-11,3.68373418958688e-26,0.00120607683087473
PCDHGB5,5.57855797678198e-06,0.000189028362050814,384.530197535753,1847.6551723147,5.93807799403479e-37,330.401034192717
CES8,5.91364284714648e-18,6.23433775673089e-12,2.58168718146531e-11,1.83288017553366e-30,6838.91007833222,1.63057596610606e-21
GCAT,225.495283294945,87.0748929391317,29.3087626789996,1.95460024465621e-15,6906.11018143987,143.210771881003
PTGER3,6.21216960876221e-05,1113.82391291583,0.0524478869417664,767.138631925071,214.844134448493,1.46222237912627e-21
PALMD,4.55404480549549e-10,407.079094231904,3.71187958787092e-10,0.0561212320576099,1149.9043472697,2.02415832213888e-14
NPTX1,2.68179080516153e-24,1.98836776110826e-40,0.000483139266934566,1.6480274318411e-17,6609.62296928522,3.77682660074714e-27
CXCL13,2.55201782901044e-17,6.19613088241674e-07,7.5445318171042e-06,318.618594325862,2.84403615877587e-30,762.487545419828
CST6,1190.00682394207,4.48247786008254e-05,144.563709879651,4.31244109808181e-14,6.78853785404395,367.334304792921
MLPH,354.643463131545,119.337610746041,0.00182782824850684,17.9272254984765,2529.59213140399,1.93780601222342e-06
ENO3,2.8433301382209e-11,977.328983464544,3.63156394964963e-37,0.000744956268119175,235.249709623104,5.15041946716863e-31
