S6,S5,S2,S7,S9,S8,ITTH
TCGA.BC.A216.01,0.689117123412445,0.131201695573934,0.00029065702480154,0.000141015373509876,0.123237650351452,0.0560118582638575,0.528045980538118
TCGA.ED.A7XP.01,0.5426201718777,8.97569477705647e-07,0.331959070872195,0.0562197156566244,0.0277106904911971,0.0414894535328064,0.608918704624099
TCGA.DD.A11A.01,0.571463748977818,0.289646053806917,0.0488381784133401,0.0171124778490772,0.0507847501122852,0.0221547908405629,0.631491498894974
TCGA.DD.A73B.01,0.613254338999538,0.325540815594823,0.00226679762144611,0.0346662833330603,0.0141085486485697,0.0101632158025636,0.503592262068945
TCGA.DD.AACA.01,0.198205191418854,0.0252017307249045,0.551204430895026,0.00264869674909359,0.131897231093512,0.0908427191186094,0.693551028528934
TCGA.DD.A1EH.01,0.506584128933969,0.00316769303309358,0.00040488700770776,0.00572310746366381,0.476426748615323,0.00769343494624216,0.438753919243322
TCGA.DD.AA3A.01,0.662700467881527,0.000604558157029491,0.0328527324218289,0.00144261525396295,0.0241277566816042,0.278271869604047,0.471382223739311
TCGA.RG.A7D4.01,0.365142760443139,0.0205184540237805,0.196710352339585,0.00486551215652891,0.234835361523394,0.177927559513572,0.804123798995424
TCGA.DD.A73F.01,0.629153794378215,0.292213823851527,0.000433527544966472,0.0433993212427857,0.00369263325880555,0.0311068997236999,0.513008603789399
TCGA.WX.AA46.01,0.0878035130387604,0.54087815679405,0.196734240403177,0.0354213811971546,0.0899925094695811,0.0491701990972765,0.752902380012866
TCGA.K7.AAU7.01,0.775549572902036,0.0123672646473075,0.0421621052147735,0.0027500965286809,0.0112078440049219,0.155963116702281,0.41372971547704
TCGA.DD.A3A2.01,0.2959995436579,0.519071169192876,0.0943420784475172,0.00759215095898434,0.0189409747843834,0.0640540829583398,0.676230167939915
TCGA.EP.A26S.01,0.208362146250971,0.176844913848204,0.409051860678796,0.0245809066866326,0.132010708693954,0.049149463841443,0.840139109390105
TCGA.FV.A2QQ.01,0.521887583457608,0.163812982615544,0.0967632358112189,0.0834606885421559,0.0157594927994834,0.11831601677399,0.774055738071743
TCGA.3K.AAZ8.01,0.447103918740018,0.0970426015648213,0.139133337913735,0.180901830550097,0.092793657584553,0.043024653646775,0.851647201791653
TCGA.DD.A3A5.01,0.444827841849577,0.351898931229593,1.86885984864614e-05,0.130263888939487,4.48210208957441e-05,0.0729458283619612,0.661360061192854
TCGA.DD.AADP.01,0.229893870855394,0.171278216657538,9.95266803343037e-05,0.0472540077007401,0.519986778543892,0.0314875995621021,0.688860549779681
TCGA.DD.AAD2.01,0.390732048363711,0.308547325435931,1.46537597034172e-08,0.0649460740448922,0.162416708347132,0.0733578291545736,0.778241538736922
TCGA.ES.A2HT.01,6.16629012063761e-05,0.000445474878863617,0.000147037016551637,0.968889969479888,0.0238925889579961,0.0065632667654939,0.0882718450403187
TCGA.CC.A8HU.01,0.738884072207376,0.0126891732459365,0.0217265970826025,0.0120258723384465,0.0997611004176155,0.114913184708023,0.498917328423499
TCGA.ES.A2HS.01,0.116901477761451,0.37241092098196,0.0345248050509828,0.195430404325301,0.000150731328849079,0.280581660551456,0.788024302140878
TCGA.2Y.A9H0.01,0.851801129357721,0.0883603568212955,0.00258703024822408,0.0052342201896397,3.33388142756778e-05,0.0519839245688437,0.305832154996358
TCGA.2V.A95S.01,0.697014318298901,0.0011240688793043,0.000298215390758653,0.0204190173886453,0.116896700568517,0.164247679473874,0.495996040397117
TCGA.2Y.A9GU.01,0.448628265914526,0.193756722061878,0.000426878042983561,0.0667110619571678,0.286600008755753,0.0038770632676919,0.69272383514058
TCGA.RC.A7SB.01,0.516886329551037,0.256445172722829,0.114491587560728,0.0535058656835229,0.00314073656896628,0.0555303079129175,0.710762811086194
TCGA.FV.A4ZP.01,0.132147178223961,0.000480708283500858,0.00014252750096367,0.0392758164550495,0.000456504092377172,0.827497265444147,0.312384949398899
TCGA.DD.AAD3.01,0.565870536481879,0.203329703381292,0.0115928224415038,0.0439597766548328,0.141423465803058,0.0338236952374353,0.684403325181522
TCGA.DD.AAW2.01,0.357845414627737,0.161904457274457,0.328624640568543,0.0247565979018698,0.043169274604992,0.0836996150224015,0.816563233168333
TCGA.DD.A39V.01,2.0616738793467e-05,4.1813674779584e-05,0.497141817080774,0.029407472015378,5.96766313027122e-06,0.473382312827144,0.449772299579795
TCGA.DD.AADD.01,0.445511387101616,0.0133230134578067,0.13776862130954,0.0105491739730262,0.35858506540325,0.0342627387547612,0.682119866589418
TCGA.DD.AADW.01,0.665836117797152,0.00889037636026123,0.011357000653491,0.00045924547876369,0.287161795484217,0.0262954642261158,0.458288630597498
TCGA.DD.AACS.01,0.715915103395269,0.110968716249038,0.0395032873374696,0.0242478651327071,0.096729260660039,0.0126357672254773,0.548196087996326
TCGA.2Y.A9H4.01,0.566439804437004,0.293263270543972,0.00145283624864112,0.0603757097190599,0.000490478499578019,0.0779779005517448,0.593472470446619
