S3,S1,S8,S10,S9,S12,S4
PYCR1,526.095319209788,197.451168987303,2.26049294178536e-09,9099.23530328266,1598.69199439054,891.405942698381,1077.29185793698
TTC39C,1495.79677957778,589.491168034134,671.87988304244,599.191194577421,9735.38509982768,907.891574693624,420.278925113732
SEPT6,1.37583874960675e-14,1365.86678445285,1504.68457854146,1.75995991264116e-23,2610.78315174471,259.008859256273,33.7368908087958
C9,8.97070009727842e-22,9.95408617788452e-11,3.02767228118251e-20,0.000197130677552281,4.14804651324116e-16,361.615576722315,8.06116081963419e-07
DZIP1,0.000180904462317284,3041.93523989033,4.31535046308549e-37,323.439099337093,2.00442122221563e-05,9.53092608526051,3286.45791561515
TSPAN1,1623.56882880945,1.40414713825922e-21,1.47077727072315e-25,277.417695044562,7.05203922563811e-06,4.4754998100507e-35,0.00567335951916785
PTK2B,7.09390712937505e-08,220.159890035006,514.580503661433,212.078173648403,145.013341010274,1.52202933768549,566.309478682319
GPT2,528.850038437147,363.072943265943,154.831281518793,1418.04301515409,8681.80440565492,671.466094995904,61.0128477480869
ARRB2,1546.05551030115,749.118744805126,9025.64124197352,447.349489145899,760.752596351591,591.121951794859,689.902111158255
ANO1,2.68190131921761e-12,1783.58263372611,672.250308866418,17.8799515316613,3196.27968093435,253.665815872085,1.3647393847977e-12
EPPK1,1.25560260420993e-18,3068.43114763513,271.862112870309,1196.8217508304,9.68515293261612e-18,223.589954169774,1.25503359761226e-22
COL12A1,7.72303981072314e-10,1229.84749297779,1217.84950949472,0.000130655352803264,164.516233690283,958.992103190191,0.000717234674553194
CYP2C9,914.69629779766,0.000322671516220912,2.19695366630866e-09,1.42703429693234e-08,3223.49627658104,2.930736168686e-09,5.15719940232329e-06
PROM2,0.00217989206104784,2952.02619728946,3409.21863394369,1165.04095228669,3.81477586734216e-36,124.268409582094,3.86856263511572e-10
PLOD2,7.51643631586945e-22,1590.34535449284,516.668319329433,822.680882251043,1887.0060674343,3308.15459268254,1.43150932046613e-27
ISLR,683.376141375048,799.100180338847,7.17111570801522e-09,13.3393822019397,3.31581712412052e-13,1852.84554868628,1.08256646775061e-16
CTPS,1730.57465347221,697.338587939677,8807.47298487678,566.427202294877,1432.69228956209,1286.14874346292,24.0914013978915
OAT,3.25394668080025e-15,420.146585929233,631.088442714373,1354.70270435834,555.887291594199,409.008354826206,0.223300130756658
TSPAN12,2616.32750537931,1068.76047666409,289.694167320144,1381.59716446597,65.1200548763999,1.22078762289624e-21,1602.79061847677
AKR7A3,657.117267435624,5.05837919404086e-35,3217.24878655705,1.32256172431086e-09,6480.49199028431,4.77395539793957e-30,1279.4064987364
MRPL14,2549.84906213601,455.011321722738,257.677566710406,1065.05664385426,688.63819643442,199.350002978481,207.572773678125
SNX10,423.553939046182,2.1500578026133,2.75631071526041e-15,313.196377827175,313.737381251416,2843.6922733666,480.936948324611
TTC39A,2364.86271310005,3.6163458722768e-07,132.250109950797,303.504172257399,554.998605621752,1.94367941161286,1400.20007244689
TSFM,1044.83017212801,397.324169362668,967.504128867811,9201.19569416318,543.999838701614,787.547600425009,275.063679466419
ETV4,1527.11950436933,3430.39108313068,6.53215696923367e-22,4443.58921576458,3.02177530220726e-13,725.847508354326,1.15712621177947e-16
PRAP1,1896.48877065842,1.2851885016429e-13,1.66825794119904e-12,145.665508445016,6438.0411221049,3.24673565689403e-09,565.754281390972
CCL5,580.848955313845,2.15266502593766e-24,8.56497408580921e-37,6.68299272874275e-32,3.44815765941963e-13,0.148897210304991,2.85034923251064e-09
GSTT1,1940.56361739532,1161.85836728099,2.19785617466721e-24,757.886018084271,1541.3916160079,0.00423084606964456,3055.39813102383
NUP210,7.71989314183e-06,1439.11033770173,368.521076484492,952.704856508473,162.907809262575,43.2526221477476,307.298304559469
HTRA3,999.417157755407,439.681488121592,6.19533687739545e-18,5.64246392530276e-07,2.64335367474888e-07,1348.08073296433,7.55995177421234e-14
ANG,1163.42650840489,1.08004809750482e-06,223.342051586509,314.527467064062,7563.45150112737,531.210102936219,1568.32351276588
MFI2,6.95603697681479e-15,1815.85687302225,3.33343788027118e-11,671.136016700893,0.111313135868149,3667.51148778478,124.041380996464
BYSL,731.641462958607,395.069919886012,205.140026347311,1235.32311335084,216.130523687435,265.329065824773,1.75209185991046e-06
GCNT3,986.894433015736,1.13155267474521e-14,542.647537325774,29.9035130250517,8.20831208576795e-31,0.00935320044179776,3777.54575241876
PDE7A,1274.43690074674,802.465433803763,2.20250294866675e-07,619.053210846782,2.75487100124038e-23,574.48726557184,728.453083439003
MICAL1,487.992430115523,375.465491195444,778.406416207007,549.523329751964,0.0138846005633035,886.538508057571,475.28689559936
