S1,S10,S5,S6,S11,S4,S7,S9,S3
LEPR,0.000347359313160025,623.307231279523,2485.44088719166,63.0607719800278,495.17264286285,718.841805616974,0.00396516834457719,145.970956060435,5.67778014317733
PLAC8,1.20064515408531e-08,1185.63362863795,81.3445379610362,0.232862910864817,638.923304681893,204.821829513832,514.684352542366,8677.9392812536,36.3130734396463
SPRR1B,1.82739917282224e-18,9.45920006776176,2.13089464958338e-14,1.39576924466945e-09,17.091662339453,314.565203105859,0.0227021776489397,713.914157362945,2024.38087928721
LRP4,689.978316758998,0.000457246167004829,127.458934768783,1607.68833721767,0.0021870103275402,3.71314781782279e-08,6.64253723850598e-08,12.2848044152245,3.67176166781676e-06
NPTX2,8.15850821866481e-15,113.308047435919,7.58318588127506e-14,643.468072307007,2.37318216412556e-09,4.80243884561802e-14,6.19898270569124,4.28382376183347e-15,1.74027431206606e-09
SNTA1,1173.41611261495,321.860801476886,1180.86359043807,364.882131416168,7.62407197445506,353.112425602697,2440.35930491965,0.343118554028529,145.740370581407
LILRA2,2.74426709097392e-16,5.79197687590172,1896.06188775436,113.366779835107,2.45908162385735,131.433294563578,1.1240106684875e-05,9.49377516524426e-10,4.77260836668964e-08
GNG4,1.19192988792494e-05,688.835528499962,634.054989882914,997.582398121772,6.55783656575466e-16,1.01661854505631e-13,1.19761566341425e-11,4.18226208611283e-09,222.612985508374
CACNA1H,1449.08289029352,3.33185872692057e-13,1033.65595811579,408.996232201242,246.291096822669,107.91606662185,0.0707511131083234,67.1461605370628,0.765764260676887
GSTA2,929.709382047457,1494.43217539937,179.222272385488,471.890327015187,18.5621137491078,7.75121802020721e-11,4.59308532405376e-12,0.205666720627353,2.95111295739194e-15
CILP,8.83770859396225e-12,0.000329412883108532,0.00220823578596016,3.38524818021108,0.140096788672725,74.2037849920186,883.64762643265,5.78519224643615e-09,7.01869521868194
NTRK2,4.75698426032645e-06,1272.63789215196,2.77275906378579e-16,371.756840454781,720.377406476487,2.68303753279311e-09,1.81530956360663e-13,0.805711956263199,7.50555986318197e-06
PCDH7,1.7583615743138e-06,0.000986421978244435,9.00244754067346e-07,249.318916511565,318.071989957441,0.191734684088171,452.879442320583,345.078722296408,4367.98305124412
LRRN4,3.63542410049686e-14,9.65488459767897e-06,4.6249175320798e-06,0.677541386510898,26.1054696260439,2021.49555492124,1466.94916981158,1.76356356290343e-13,0.00289900961747068
ATP10B,4.71537163277641e-12,0.000136558974691702,131.810823242349,66.9864016503137,1480.04973219729,10.0272227812246,690.629469335094,3637.93220672319,240.325116708268
MATN2,985.520930541755,1081.23498417976,248.539168188286,1192.41428810921,882.999715319695,2.13311768739309,0.042854953513644,1866.62983158273,1.25729350819226e-06
PHACTR3,228.111932068581,1273.70108102349,791.385729614933,0.033621854987355,16.4735688392185,1250.49562367653,8.07597993234642e-08,232.141219677895,58.6329705629924
CYP2S1,2.78948153553371e-05,361.919218309984,1.9916033316268e-08,473.097598569227,144.205214378341,966.925276174626,878.684593807439,7684.70658581203,1.38055214981503
ADM,236.799450137559,2238.17886895661,284.165535166691,330.674036928733,0.000223257353443839,47.6574581861656,79.7953395521404,1328.08840464527,3741.4167476784
B3GNT6,1160.49484873544,0.000199919532611528,687.106936151588,0.0711404316644099,88.7145394198739,1292.10002610425,2.4466660332283,3836.6252108876,464.585805515657
TMEM14A,1664.89368515255,4394.26639161819,80.3547328679369,1132.66465948788,139.194866675667,18.9479411305059,221.320091097176,612.686912195297,260.905541639476
NRIP3,0.000140949866857296,552.359094842562,0.000172992847965774,402.392837659641,421.543132690519,77.3810133577743,241.26067382702,1.47680913225387e-11,0.18455299301458
CCL19,0.0224368044208577,1011.01786709653,43.0404122625346,0.145172207700094,665.341647823196,65.6338548086942,598.393283085687,0.730331870324389,6.94749051752824e-06
SERPINF2,1545.38273879776,772.153098809038,2134.67665837407,36.8885326464556,513.245647075759,457.334798865802,246.03354866839,177.474829211717,0.862052852711439
REC8,1.54112104502897e-05,8.62949639510889e-05,1801.19690545457,149.853931837416,9.62525351840803,0.0586388876927564,799.750273330445,517.273217686052,1.37466517560811e-08
GGTLC1,71.4998016939269,247.517313070935,2.54753074813462e-06,1.76976981988589e-07,1755.74173142831,1042.32832982271,707.777728019611,1.03994023434121e-13,1.61464228549952e-13
GLI3,1.87843990013041e-13,281.20534391689,8.32791200966605e-10,739.355434016221,215.977906764522,63.1375935894659,8.42684638315483,1.70576097238119e-06,0.567904315575624
