S10,S4,S8,S9,S7,S3,S2,S6
ACTG2,30.9309540631722,1.41393266724618e-06,283.200507013013,0.0173240357822862,114.621589246386,311.087936414533,9.80725161947307,230.667239256914
GPR126,426.286680871883,1233.9802544039,54.8272280625284,1354.64316857399,1281.34168536225,0.0521664845296583,5.96392887248516e-05,372.720591867386
EPOR,298.25403342747,101.019364008408,1488.10631578927,1430.27994052133,0.0590867827428497,2.01608968422,421.975875095336,1784.07997587365
FABP3,257.483403325658,1379.42900758918,116.035140880285,1.51635294380133,2053.77871700069,362.946278485318,0.00491247475730822,0.0665058195699297
TNXB,152.616553532575,1.4534871335643,568.67439625121,1.03921497538449,737.970592925099,5.78563030600691e-09,504.710240392075,3406.7838407048
PIPOX,225.364734058133,2.32905800980593,0.128055016617166,240.792980819187,0.000993127537415584,487.633816260987,1509.37015402957,0.00131039345869872
LTB,13.838141326174,463.002651407559,1.82097452667127e-06,0.530099914207426,0.655734166201607,587.341357300417,147.473311553604,2.96549125176247e-09
IMPG2,48.4706559576155,521.560543164543,1236.21822522774,789.08365732784,527.194548207773,0.000230504270728189,8.00951809122604e-11,3.83001286946719e-09
GDF15,74.2389680319139,58.6932526652093,582.045246698846,370.687008036892,246.038948010074,1118.36335270513,333.444259635302,4050.79715868084
BNIPL,77.2412595502546,0.00204965378199316,893.388832160054,822.900761874329,1014.16613380691,155.441908317467,674.121796075532,188.325703185636
KLHDC8A,579.989610402844,49.8341966079488,474.686080617012,30.0630799509277,1159.53273824406,3.09038071515424,695.146418704153,0.649861264187762
CCBP2,4.09622827115187,3.55716591283141e-12,9.8494961762305e-09,1.82125471646983,1157.94647116708,607.307133890629,1433.07697547221,1400.59828394541
PPP1R14A,420.458506797726,0.00327116201095609,293.060834191804,0.286512357266181,79.50625876988,2029.6133088029,10.9841573166519,2.70136301774304
LEMD1,1.96490719218378e-05,800.225536469768,167.299968105318,2140.86184050973,2.49801953257233e-11,1245.75880370141,1020.84473665007,9.14279573807512
