S7,S2,S1,S10,S12,S8,S5
INSIG1,344.598268388011,3039.21792684869,1163.42293422004,43.5916414667415,0.000101597513889632,28872.785271949,12708.1516014886
CLDN7,699.089076485127,48.4816997259249,0.00962722068972953,8.41666230835406e-06,8440.38325916167,4811.71818596502,18202.0999741426
BZW2,818.951411898868,1207.55007594415,0.0111877293610716,1142.58245529694,1955.0495491712,1382.79624844122,1861.90981434227
FMOD,0.0014273747579018,2.01691356922059e-19,1.86872635921909e-12,4.75015204785462e-05,2046.60628334826,0.00345226839704638,2.10781189339771e-12
NRCAM,1319.65503952706,2050.76283082827,0.000118491784979422,19.1100215729286,1481.7291541772,6.00835991382731,1769.33359077728
ACSS3,1079.71370852591,6470.36710506848,0.0952475928090883,6.09384672724151e-17,36.8925188939953,10.9871414425657,3700.83807782198
NDUFB1,306.274820365285,3.40403967946501e-09,712.704944664931,2410.23046359832,3.95591892403442e-10,2.60703292758586e-08,28415.6266363135
FAM195A,387.767039866012,0.000134193826683573,3.07149880043012,2345.52518862768,1.19454919585146e-17,0.133478112421078,25197.6749459485
RHOBTB3,648.105108547197,2353.16869259656,951.437934570336,0.00406416260426212,3127.08517482341,123.490073624164,2010.38546813086
AMN,1931.75542900671,3.2402849130733e-28,2535.50220621655,5.15783272807,8.53094386291937e-28,5.721831255099e-25,3.71134763876707e-13
PCOLCE2,1275.13705662825,2.0839667277536e-20,2149.79032788243,6.66173400632701,3.53827158044813e-17,2063.08011940064,6.47447762923481e-20
RFK,689.638619321797,3309.71525537719,3.60824200950715,7561.45266426166,2.48990825108934e-07,2.91748047066415e-13,14055.8815794011
SLC2A2,2228.03929025914,5.4048505781127e-19,4.07244654520495e-11,1.25838229066048e-06,1.64041026068423e-09,14868.9800172032,3.00074584483314e-15
STEAP4,298.819425837511,5.96088048197102e-05,3041.47053056885,2.48171091009051,1.97531618690035e-16,253.781090604366,0.228104997848044
NDUFA3,92.7356916966263,8.54837337655122e-13,417.755291484212,2501.70738713844,0.00112213266633141,5.5256854125923e-10,24714.8566823895
ABCB1,2128.62900381762,5.43463486538401e-08,3.15063718317215e-17,129.778017243419,2297.59272624594,3511.8198646182,7.47425202013512e-21
FADS2,879.132695204798,0.00289320556291023,1723.19852501774,1812.83507842018,0.0111940211263763,19230.0468308624,2.83759613428165e-10
CD8A,0.00391537408288385,1.25947290053785e-33,1.58543338094203e-05,2.5106760604549e-13,5.61489481342736e-13,2.518150647061e-23,1.57210261960254e-21
FMO2,2059.34329750131,1.28582165358675e-31,638.078270246735,185.997259255039,8.57635509835078e-24,2.7941600462178e-33,2.34405307286794e-25
ALDH8A1,2689.70641180589,0.0242595072931657,2.53177012923072e-08,4.59980943386486e-19,1.60276757956166e-05,2144.3457558421,3.07772019570958e-10
CXCL10,503.719370090926,7.52040578441062,0.0479524352939459,6.19689717080513e-05,6.43888509907517e-25,977.392596900768,629.02804497954
NTRK2,1160.91163755146,6.4432488546163,477.04251048041,1.113927545384,472.992043911679,6.94756004913894e-10,1.06795439519713e-14
PRKAG2,804.743211174078,7000.99406605479,124.408808723619,5522.06173070008,0.642848376774365,0.00349479006048299,4956.07287065116
FLRT3,2286.84312626718,177.368903250816,7.55588284548203e-17,1.08978376705717e-17,2564.885608595,0.0107783754364307,893.771848908012
CDH11,673.38484360218,2.96706402528447e-10,0.0570188135647771,95.5685266444945,1.07888067552952e-09,1.24582449426866e-22,1.30246287667107e-21
ATF5,100.938066186972,980.11804959453,1595.88201653357,274.068564879224,353.655132687946,0.388878775385899,925.821339997716
ATP5G1,818.109960446159,15.5677764038646,0.00524167633918207,2198.92506321159,19.5032052023451,1.11003115687295e-08,24347.1040614776
EFHD1,845.358623935282,6758.56462558892,1209.80965821883,43.0317451181657,5.41686956157982e-10,0.147659107498908,3574.54383373647
