S5,S2,S1
YOD1,446.645284686148,217.044444292482,0.489797554868289
TGFB3,113.5191167981,375.563420124091,513.97105298963
TNFRSF6B,5.68133474236027e-10,328.760925754165,4.53590965555566e-12
CCDC151,472.294341100187,9.27482953879603e-14,2.44344366313729e-14
KCNG1,8.64805323657033,394.68277999506,431.224239975373
KDELR3,3.90635942707393e-05,221.963307615147,388.448222914446
CD53,2.18230644853884e-08,4.47446822576754e-09,1.24536000918189e-12
PTGFR,7.90996635046043e-24,2.19224399879766e-24,35.3203205805383
POMC,9.82012105258224e-07,784.470600338838,313.858379337709
CCNA2,224.465984574049,775.775652282498,334.115948846225
SIGIRR,99.9490245594228,768.841445140034,128.626553662777
RAB6B,104.85740486886,2.83413981008108e-12,292.63195465774
NR4A2,166.239728569357,507.567344299696,226.739314740394
HOXC6,117.497375998509,1309.49143165916,436.200884842851
MYBL2,250.747158582656,521.143307186579,1.68130199176758e-17
FAIM2,2.23128766931133e-13,6.61157122840008e-20,104.615510833184
AMY2B,3.09010093774571e-17,795.915638031217,2.10939730614497e-08
RAMP3,8.78168404547183e-12,0.000296930676426193,0.117036004615419
SLC6A2,5.13046460430671e-12,3.08563286347175e-12,681.199865041548
COLEC11,0.304849180251517,339.787119056414,265.941921843451
ENPP5,0.029625698657327,5.18579388758862e-17,687.356935298288
CLMN,128.408494468571,0.0957799044180817,1058.35708489236
TREM2,0.0292302939714227,276.602473221089,6.83098393645552e-09
MS4A4A,7.98300708001848e-18,8.31876669564071e-16,1.21599797462922e-15
SPAG4,0.00105433857348789,1.51521394456738,1.28768069430744e-15
KIAA0101,229.95572917914,486.479295844202,1.03063508424135e-09
FBLN2,0.375544457869536,114.412665013993,163.404478497548
CASP1,1.41417150387654e-15,1.04434330967634e-17,3.77518172865594e-14
RPRM,414.793319446421,507.094530120657,515.918526854012
ENPP3,113.526284965559,211.224794924047,581.401218091783
KIF20A,0.343098727308461,1127.20827075637,255.167243085704
INMT,0.00259695166877824,4.20831701927472e-07,1.05194356337407e-10
SYT11,515.554430624469,2.71910160225436e-20,1.21587421824771e-10
C8orf73,223.099417028617,1098.95223649636,4.69672296640402e-15
HNMT,5.29679327127898e-15,2.45559286009532e-15,218.310196046748
FBF1,196.711013458194,303.1737436293,64.8384327642041
TLE2,163.915864578836,951.093975219398,209.400925031839
PKMYT1,419.174204297499,1303.69625847973,0.137167813598781
LIME1,7.56098583603262e-17,1976.94283669787,5.30338245622161e-19
HOXA5,568.478597227989,1.2624303077158e-10,552.710953936225
EMID2,1317.97123776536,157.315996083545,117.520863098505
DTX1,280.24386822293,322.678369385847,1027.0211812873
PLXDC1,2.59298001328754,456.062504948619,72.9185661946845
CAB39L,375.971372669054,1.20600646950399,9.21309184954297e-11
LIF,348.13109400203,5.12371855550597e-14,197.21635186589
CA2,366.730623899505,254.396047989408,100.766983014887
C20orf160,5.05812957850209,997.673595643291,7.50542557677427e-15
ADSSL1,466.42959096571,0.00283520263209608,656.529175438772
LAIR1,2.11928778945267e-14,3.95187387913899e-12,1.36032927124942e-15
C8orf31,5.93856364291831e-16,1834.23631041527,2.74152971462831e-18
THBD,167.745896678896,111.080646502442,37.2486900954224
C1orf226,1214.4554132412,1.0234847043388e-16,80.7382733483797
TLN2,5.06153126624601e-14,2.69615338664243e-14,548.677631133353
MGC16121,73.3012716559964,1525.66773081844,223.10659462281
EPHB1,7.65674815203508e-20,2.41833738623764e-23,555.901449344179
MET,271.627043089424,3.69647878323616e-15,0.063925723294724
GJA4,1.86206248323249e-05,20.5151886559105,0.0420866324435965
DNASE1L3,1.73990591808948e-17,2.1148118910884e-17,3.05454955658785e-10
MARVELD1,137.180120341447,157.580623884806,6.10891162679357e-13
LOC654342,0.0011767511372767,393.008565816688,87.3442170353238
IGSF3,1.3269441803752e-05,1.14918193696226e-13,578.063718487131
HSD11B2,601.536572743647,1229.20810237229,4.74800222519748e-11
MAP9,172.850657264099,162.132150260492,581.874012973681
SELPLG,0.00157788780812736,91.9651354712669,1.18039694089053e-10
PMAIP1,1.33699370354569e-11,2.20619385615896e-15,1.29060529207114e-13
PPM1H,441.800966493535,333.439487909308,286.177944157271
FAM176B,3.03443643933941e-09,1333.88390334411,5.46789894497678e-20
TFEB,2.35976655846502e-15,0.00151173772274788,125.047623131399
TMEM26,220.296891948032,520.89793403624,0.000997529675634334
TTC9,1088.44405890796,2.16485630466974e-14,0.358776250871114
RECQL4,171.49467301985,1946.51119998404,3.47567354038316e-09
CLIP3,609.185023596679,592.111074252765,11.8799896010997
RCN3,0.00382992765697547,807.029946050832,14.1321266129798
FGF9,952.120212472766,471.89769230847,755.591147063699
KHDRBS3,1349.92092400807,480.160525951675,1.60020023454812e-09
PROCR,170.605038071703,22.4593921756369,2.52424806857516e-12
SLC44A4,794.287560944883,217.640449639075,221.76512395817
EGFR,7.23218890322175e-08,3.34880662734542e-16,1231.71860922312
PID1,472.300678024429,592.560089491686,292.56461735595
SLFN5,189.212070223175,1.1050376419076e-15,376.054584765225
RUNX1,246.843223784698,4.65143378620038e-07,225.086458397129
RAP1GAP2,861.350259122797,122.467512049888,193.064923420309
ZDBF2,187.483354093017,1063.78037163374,200.197977181186
ATF3,389.9848063216,0.0855232108249828,195.859289283337
DUSP4,467.997386193454,3.74743109431209e-11,150.379599697754
IL6R,233.80397031822,6.43210799016498e-20,564.631939393428
IL10RA,6.79340019654033e-11,7.5176962843064e-12,1.41735279712441e-13
PLEKHG2,151.938134895564,1066.63850728814,161.425524409501
CLEC2B,413.644387769248,1.43703673097128e-09,5.46489155431145e-15
PCLO,508.790738896989,5.70931140733321e-15,919.587485158902
PLLP,1.54439903341559e-13,0.971516201456007,0.000226407444869643
AMOTL1,973.520015403511,1248.03745051883,4.00521305383532e-11
SMOX,33.9322905297831,1.18658069813049e-13,386.24106011356
RAB23,3.51610744967435,170.011418415326,539.541577327827
EGLN3,2.51006979742901e-10,2.64361153594318e-15,586.225487297187
ARMC9,355.337899192972,421.801219729128,7.00254437610315e-08
SMAGP,1207.23848924631,570.004357604706,21.1558941601375
