S8,S7,S5,S2,S6,S3,ITTH
TCGA.V4.A9EZ.01,0.219140970133434,0.504835256416901,0.0881855136508567,1.18881385053286e-05,0.107792116563256,0.080034255097047,0.744648558374203
TCGA.VD.AA8Q.01,5.30087229986654e-05,1.40179741957609e-06,0.848779757146002,0.0640809047579567,8.55774437623618e-07,0.0870840718011857,0.294875522484104
TCGA.V4.A9E9.01,0.139123719357135,0.331662583124282,0.218541005017732,0.110516361217896,0.200036946969056,0.000119384313899166,0.859047051139116
TCGA.VD.A8KL.01,0.0244069873829831,0.0802122113297181,0.18383559886262,0.138290165796277,0.57323488399183,2.01526365716095e-05,0.668147944557291
TCGA.WC.A87T.01,0.537439116176325,3.64265079822874e-05,0.155873028650151,0.289624723627028,0.0168620112713397,0.000164693767173848,0.587681613986722
TCGA.YZ.A980.01,0.0276716005462067,0.537212936678079,0.347225392207019,0.0872400784744522,0.000583224403590636,6.67676906518088e-05,0.568229658481873
TCGA.VD.AA8M.01,0.142602880804451,0.140525817475812,0.296790997008736,0.353147233883834,0.0669329144442278,1.56382939053965e-07,0.816294338629585
TCGA.VD.AA8T.01,0.572474929885691,2.81481760572487e-06,4.19526096524802e-06,0.079940406050166,0.271375068823046,0.0762025851625254,0.598009224910153
TCGA.VD.A8KI.01,0.000107178764726614,0.17657114439274,0.0648256691496432,0.0296750216612664,0.606689570553377,0.122131415478247,0.641209357830113
TCGA.V4.A9ED.01,0.0924810168696514,0.0867033842291807,0.179323463576196,0.143447467810182,0.498010804744391,3.3862770399134e-05,0.762623930280872
TCGA.V3.A9ZX.01,0.112046396093161,0.163992156752781,0.105158574331029,0.0983743785157309,0.413976812222327,0.106451682084971,0.898713096794768
TCGA.VD.A8KJ.01,0.450067874365988,0.106712065744423,0.0590700833922438,0.239606896635,0.123372270408806,0.0211708094535388,0.807767741997771
TCGA.YZ.A985.01,0.161288293794196,0.0894556778931275,0.0953620515653976,0.12237751021329,0.529990509626308,0.00152595690768043,0.746636003859184
TCGA.V4.A9EJ.01,0.138093519228027,0.23996065896356,0.091879346060358,0.513335055861314,7.82026304581465e-07,0.0167306378604366,0.695398565111589
TCGA.VD.A8KE.01,0.0355418386087933,0.143204002876497,0.21208456312024,0.568522934303596,0.0406404982315982,6.16285927522723e-06,0.656958530729149
TCGA.V4.A9ES.01,0.470615613646483,0.0542982704546171,0.0843458372000461,0.0458268415425617,0.228748519253409,0.116164917902883,0.809402158677749
TCGA.WC.A88A.01,0.296705170940579,1.77986086481727e-05,0.174480658931685,0.0233157675901924,0.429058641732196,0.0764219621966998,0.732539976148693
TCGA.V4.A9EH.01,0.707654444843871,1.60764139560218e-05,0.154210770559989,0.138071827418428,3.22603360395534e-05,1.46204277159739e-05,0.45042148005825
TCGA.WC.A87Y.01,0.26528848003435,0.100806920685403,0.0321190485331573,0.188445278697538,0.413330739044343,9.53300520809416e-06,0.766597798497315
TCGA.V4.A9F0.01,0.213251630029445,1.60256651923866e-06,0.126373054081715,0.0881050164202628,0.471231688318474,0.101037008583584,0.776414696780322
TCGA.V4.A9EM.01,0.427464233210121,0.461902234787713,2.30204038592816e-05,2.79039512092729e-06,2.36398557286609e-05,0.110584081347457,0.538078196982135
TCGA.V4.A9EO.01,0.222255664568974,5.11365539566355e-05,0.000138031025686827,0.307988361799286,0.46955911424649,7.691805606358e-06,0.588116437036134
TCGA.WC.A888.01,4.28250374255019e-06,0.179168977995278,0.820810120275709,9.51799560247234e-06,1.89956625325938e-06,5.20166341445868e-06,0.262534735348585
TCGA.VD.A8KD.01,0.953197567411111,1.54826581779897e-07,8.77234063985592e-09,1.55494679130114e-07,1.15670325404199e-06,0.0468009567920333,0.105487444165501
TCGA.V4.A9ET.01,1.53935742465941e-06,0.348689362294117,0.196437415002186,0.229290990170518,0.186964643643022,0.0386160495327324,0.817037930147511
TCGA.V4.A9EC.01,0.340442781867588,0.211877670803615,0.374228396704345,0.0610812731276187,0.0123576036129975,1.22738838356272e-05,0.719194024557903
TCGA.V4.A9EQ.01,7.74547129520745e-09,0.120420781238004,0.092966245076823,8.71217207777519e-09,0.615905864570594,0.170707092656936,0.600542842187365
TCGA.VD.A8KH.01,0.744017432572577,0.121821573096728,1.72333294658847e-07,6.28138227115192e-07,0.0425340133861613,0.0916261804730119,0.463096997661668
TCGA.V4.A9F5.01,1.89341513330632e-06,1.83603783153971e-07,0.200485950346413,4.02802500843347e-07,0.649130525439046,0.150381044393123,0.495395438563582
TCGA.WC.A883.01,0.0116597652821848,1.69721374314383e-05,0.0645092587794208,0.110336859934191,0.036351983954588,0.777125159912184,0.440102596775571
TCGA.WC.AA9A.01,0.487926760752104,0.000273161402830335,0.199855338536823,0.000401654791913498,0.204669998968079,0.10687308554825,0.692600169698189
TCGA.VD.A8KF.01,0.499023341354285,0.000198010074031787,0.00017801437536228,0.149855412193087,0.350616725762222,0.000128496241012323,0.559871537187423
TCGA.VD.A8KG.01,0.00010152560576375,0.350460387441537,1.42993705709153e-05,0.488968415773524,0.122292180361598,0.0381631914470059,0.613923791994987
TCGA.V4.A9EL.01,0.106965289496395,2.51212353775863e-06,0.223575346310264,4.98865045130248e-06,0.564319218135848,0.105132645283504,0.632778308013984
