S8,S7,S5,S2,S6,S3
PPM1M,190.394363018318,1780.4794304144,1647.45665003354,1313.53816764189,286.165418532323,124.240437064441
CNTNAP1,58.2851733189005,598.511358653718,169.104128790712,0.526959663656129,835.193854107236,928.279740113974
MGAT4A,1337.91089464,0.0333811111309413,0.00417351311966328,1005.55199110024,1162.06281688178,1072.58885515691
ETNK1,1558.05299822715,1.85823903101044e-08,0.644320184283401,767.233489842636,50.9314259444089,850.259235031114
C15orf59,241.032044713716,0.145403258609771,2808.11180366,31.9514187584529,693.025552531808,588.578059024643
MAFF,1011.51834212645,1831.53899226751,740.463630732021,789.383539270998,237.495194182996,2001.65510128734
C3orf39,444.433767142347,1682.05990695364,1616.0647772347,1396.89368494927,0.0286071819328722,2.78325268056983
DHCR7,456.2441538488,1292.554246367,1181.80005082605,4.09217636549951,1316.96756601895,856.304067864628
ZKSCAN1,1760.02985246207,6.15104903031547,1.72880748423867e-05,1230.74800525097,518.151860432072,250.863226605574
CAT,1865.58159500965,502.780706338195,8.61335626784997,1364.0275724281,388.73898764722,193.20715844789
ELF1,1599.18247018347,0.463906326366361,0.000367117762462239,842.080753661408,489.338513982521,1139.90411986412
KIAA0146,885.304553442276,0.82172844858669,0.0288971496388746,365.246732277961,972.543864255086,1428.36111706083
KCNJ12,516.677942530527,1282.2392196484,1298.20695856096,976.334941178154,358.009011675853,336.189005422769
DDX11,621.437514408821,1512.70342074924,59.3655128088001,1346.15076244666,402.548368939065,652.961694456311
ZFPM1,97.6669028841336,861.323875893556,2293.78682189619,563.787060412306,503.103195635896,454.736906051493
NIPBL,1686.23864472209,0.00536299920356576,16.4338692136019,1054.29632150763,373.669920510291,840.773442293329
CCDC51,809.31419624783,1864.96544668326,820.920359770698,1275.9311037204,619.874666931357,192.64613316024
PRKCZ,321.42920445369,1799.28903794725,1509.48249140545,710.233411139078,471.411010394938,7.56251755219113e-10
CAMSAP1,941.826574709835,717.710303337318,74.9882367754553,982.396115648468,665.567532229011,898.798452777814
DR1,1447.41860432065,0.126082129314485,383.13827125427,612.917077783235,388.325035798508,264.685626844192
E2F3,1130.45070002036,430.695096811719,10.8356803141054,2071.82638204967,350.750152796871,448.522419211703
CEP57,2153.68204649458,37.3188857989295,38.4649205797133,865.594091123337,258.727930479849,443.511112772864
METRN,221.672159838058,334.363036307863,2846.66122684602,41.8797076932945,736.800985539421,2175.42204647715
NPDC1,749.521244448563,529.799852247509,1258.62796683722,0.000236739285938205,695.179360545113,806.669962311354
UBXN2B,1056.48460168065,0.717866469031183,0.0293654813841532,222.351408469006,598.015918683245,1403.22313761255
MEGF6,642.624811611046,841.56738004768,1552.81868980745,613.226858883659,462.448441002544,1.14851382358388
BRWD1,1488.39644793097,1.38493416462543e-05,6.85743980526824,912.528216861793,287.371719155715,1608.87336484168
EPT1,1088.01207093257,70.1184925278484,0.162329450935458,739.37440051168,524.176707031658,865.695713789652
CTSO,404.894812781299,0.123982023850087,213.359272139763,1037.37707514943,598.169533981372,465.888729543505
ANKRD50,1499.16940158595,13.5749424128901,4.55954566308099,821.198879910542,694.799567971149,1446.86145683519
ZMYM2,1430.69918932824,2.66470935011953e-07,1.63787941035024,613.977303909237,435.673322987045,1234.18099159524
PLDN,1508.6046052543,0.000479554261360353,125.882032763156,1622.51077567724,320.138242223301,656.905967848229
CEP170,1047.75022323132,3.44918318028155e-07,1.74004850420555,1410.60217999802,134.203207767069,911.072363559531
SMOX,393.171102540586,1654.68960936467,1726.6755052468,583.550621300957,446.452634254701,1356.70107808348
NOP58,1145.88196018823,4.40046101358786e-05,18.1407046411093,504.998104913116,347.400100813008,1262.41398920718
CAND2,565.107104375626,1787.59328108048,1655.47360939711,1181.11615956951,97.1111875068769,112.19765160376
TANC1,1337.46290955829,284.665080403982,0.000107317112920642,812.822598544805,345.2275558453,1413.80685677648
IGF2BP2,1374.75740406503,1123.00725242458,427.387780219701,1139.93947898609,327.417106838568,126.879688165352
PYROXD2,1092.22421039531,1055.09488307979,845.922529024527,284.710648488092,1081.92268360664,0.0891992311825006
ROD1,1451.87180575764,0.144574156472701,20.697230316966,746.512496913295,500.399694245713,1562.05753673208
TMEM8B,573.695155683154,1957.43142035788,1058.25971496617,345.938919709449,76.0319604423157,446.698175164368
SEPT6,532.999575825497,516.287254097287,1029.65259166138,81.4351419526373,739.32332567909,996.501180887434
LRRC61,336.774015308877,1676.08266675991,1287.48041765117,157.294410430595,662.90377556175,389.151385787605
RAB3GAP2,1251.35812956851,7.08687482414812e-06,0.00164407273649118,594.243569182756,194.593409677278,1362.7673940541
ZNF580,304.503156119168,2434.03382234297,1260.19130437603,236.262495906719,291.103323812982,669.277499397099
WDR11,1592.16614253636,0.000461648581924134,1.85929061935951,980.650808662568,459.06121580846,392.160510098259
C1QTNF6,226.226943462327,664.368591726566,26.3980226211542,365.571124596722,1372.88176758758,1476.16643933248
TRPM7,1455.06254288164,1.59859775821784e-09,0.0285317568611862,1034.27642614859,135.909137031139,556.081931934267
LYRM2,1535.69030653827,0.0309715951694237,119.519655342043,820.035758080049,132.906501188705,1349.28309675711
TFRC,994.220876789733,0.0255620342273271,2.90380158051087e-05,741.99617108345,761.842629310737,601.344324024756
USP33,1530.69715902084,0.00733178742820626,373.072942581112,1077.62576820863,208.507564004952,171.132603742043
SESN1,1565.0944419382,152.625366536375,675.165396296719,1122.34557146279,37.156963926334,1.49317517006443
IL17D,0.809130069742507,118.306835224675,1062.78947265296,1322.47696778556,860.252631321768,256.934423152605
MCM2,698.494444081699,2431.8812502191,919.666004182553,1042.7786639091,238.116497845682,201.803861295644
FAM8A1,1441.61815980935,35.2040927638769,2.8270854007934,1524.89277310794,214.367404863178,1278.54755120297
NAMPT,1584.21003116438,0.0260341594242985,10.5077698254422,794.288725687989,172.871442246234,828.54838269753
CMTM7,372.999808617287,2338.14966054946,1164.85294645493,688.208799812214,185.355724890364,860.760825666633
VAMP5,141.309247125765,1199.29049609092,1127.11004312526,277.784772585787,245.144172521985,1176.37670427771
RASSF3,1354.4999930121,100.996777626991,0.00442575146194655,1543.72894940992,828.083652882698,28.2390480834081
PDE8A,1664.07243665526,1.39075425959501,455.000321460276,1136.68021879764,413.855544182456,598.671334930428
BRP44L,977.452247117198,36.3205721326878,1228.36401601258,1153.08166588733,89.7270903239006,2537.33619543353
MARCH7,1402.29859218661,7.66164011482481e-05,0.0430852720433273,755.300927572751,696.347059263011,1263.25106032799
NPAS2,1226.04098782,1310.43965622546,28.8456984802882,323.468528711577,277.454613376903,2988.19241193756
KIF3C,134.847972140347,916.916994494954,502.6058468625,714.700841499448,41.4740462640728,856.379029151964
NPTXR,248.600045562805,1307.37587433076,1864.36425512671,405.853649464244,114.419823048108,279.959580814545
PCF11,1608.16289109988,0.000958780274604333,120.919500309776,1094.53257451558,327.48223382641,1178.58294151569
LOC100270710,115.013301497044,1208.14398868952,870.700717101769,377.714161680656,1739.06591146472,1100.70917360424
TMEM181,1308.96830662774,7.24913065420374,42.1701951946082,1144.16309004436,252.783153740365,1132.85629138432
C18orf1,662.90006508401,4.43570801758355,10.6309043264487,806.85126811632,1019.71021453543,517.200596192722
CHKB,354.919549493787,973.312091275311,544.487457689163,595.725497690609,1469.67975773877,1419.38405619403
ZC3H15,1672.47312071655,0.344515299653346,11.1570941941701,769.09888290419,553.581449564122,1075.38640274201
ARHGAP39,16.473947952073,2292.85534573222,184.657036574329,1184.63222188965,590.934000221672,1320.08158360514
LMBRD1,1665.59671956598,305.831198326941,147.2852145955,418.640467970652,451.99136503284,1300.40466339693
TLE1,245.043929269853,642.674616476847,665.594923127812,1108.54105477379,667.80860162894,31.3580646401103
ENY2,626.67284445799,196.472567641804,285.743544840457,402.067825478936,719.945534915137,2357.13295104843
C9orf142,232.753326948196,914.731665624219,2973.08716939233,154.185491878608,510.734179387492,1247.18195959877
ZNF524,271.623558050309,1368.70471102327,2327.55043020786,6.1653086466999,1144.794814435,668.684629771695
ERAP1,985.230881302734,82.6809701200764,216.440485900667,617.343736842341,480.771581553394,9.7285223008525
ICK,1213.93709266722,164.079953726949,0.225415882112204,1640.09973544076,103.428193171887,141.958357181583
BOD1L,1341.3095859215,12.1264873148467,2.78255238625097,819.603159761499,457.01377228646,954.030646353204
ST6GALNAC6,425.736464382184,2607.63226494112,551.096783565525,404.50899359655,278.023550704596,1482.30662128941
ENAH,1324.86862054333,209.605386477673,2.18906854639278,320.724031815813,226.378421728353,1786.15372289846
WDR36,1443.87257061038,1.68364973686774e-05,82.1081483639322,524.906766144676,681.075611451532,822.935542490339
FAR2,28.234333915164,33.1860342351544,68.1127178759897,1661.04585227185,1036.55122939995,415.052018697784
BTG3,1234.87665965739,85.0520458749947,313.993117493374,496.155339932063,364.954746569549,2743.34357078272
PIK3R4,1148.48956941571,580.153471079655,508.603419408145,2080.51522550175,29.2708807814494,135.764524043288
EPB41,632.500198453827,427.633126194622,730.572993113256,1195.19186911602,200.736469753849,0.842048552183993
SIAE,1256.42377170634,442.987435017981,12.579320324166,219.467965434688,756.134394906037,321.39982359106
C12orf76,684.682569064413,704.10538793332,169.002010035061,783.14127488698,641.847367088911,720.545066886688
TARBP1,1575.25819969647,0.362062846038148,33.3632068462174,1007.58012481045,488.819411323857,1319.18279518115
PREX1,231.139590589276,337.179278618953,181.51404566661,558.277939449409,454.370578388739,647.45996229443
LOC339047,1378.93846585666,752.504777039341,1146.59106914947,361.374029315997,519.67940944696,1447.34341583088
C1orf113,466.591592551909,953.643448903966,1291.07379820144,967.394726488536,630.602297785834,395.832916561012
ZZZ3,1418.33116671836,40.3955223275001,422.099014728064,1551.46541221192,231.23849834677,206.442532489447
