S9,S7,S3,S1,S10,S11,S8,S12,ITTH
TCGA.2J.AABU.01,0.0670611608541745,0.0138391405276637,1.0826598160262e-07,1.71759041520635e-07,3.27031404376649e-06,0.00524122757990321,0.0201853411983502,0.893669579500842,0.215085506734194
TCGA.HZ.A77Q.01,6.37081276027577e-05,0.00427470713273733,9.83083799340148e-05,0.306454357884159,3.66840264690636e-05,0.0286784213331127,0.572091506658422,0.0883023064575636,0.492106562302939
TCGA.FB.AAQ3.01,1.05606752591995e-05,1.35522482751376e-05,5.46951135280794e-06,0.671960403621849,3.09630877260828e-06,0.327952657344129,4.41575174960484e-05,1.01027728662571e-05,0.30474966013026
TCGA.XN.A8T5.01,8.47590652338807e-05,0.0358274137054842,0.0113138574683256,0.159482070711564,0.000120159730925706,0.0437798573411938,0.687141074336418,0.0622508076408549,0.496420015437668
TCGA.YY.A8LH.01,0.0730417868286039,0.00114688233217023,0.0118182010272411,0.712197779383301,0.014736699417568,0.0637983074006001,8.3435932248576e-05,0.123176907678267,0.475860258608895
TCGA.F2.A8YN.01,0.0291555663384252,8.45909613025111e-05,0.00996136775873394,0.71401440614279,0.0195612307352984,0.0934257602664297,2.87221673581639e-05,0.133768355629662,0.460757279878644
TCGA.F2.A44H.01,6.9244139309013e-06,0.0929734242842717,0.0681332255852498,0.135365858337964,5.66385495983722e-06,0.176150447083206,0.377130530727997,0.15023392571242,0.785375650582314
TCGA.2J.AABV.01,0.000961021687772423,2.88891151402114e-09,3.28554661527955e-09,3.96194589196857e-10,2.03777276063068e-05,0.921275714885995,1.36085647267998e-09,0.0777428777671176,0.135142155753531
TCGA.HV.AA8X.01,0.0806793458752516,5.38849643698983e-05,0.00680214381401486,0.875993625301062,1.29512894517655e-07,0.0364646199997092,6.19873256527217e-06,5.18001323604863e-08,0.228125128581357
TCGA.US.A77E.01,0.0242467695701104,0.0135254932752765,0.0230806730164112,0.821850591452405,0.0179703646480761,0.0342646252719848,4.86254101559853e-05,0.0650128573555797,0.366738754549509
TCGA.2J.AAB9.01,0.000218194834438098,0.0136766499869334,0.00793202451076208,0.0441618901965477,0.000624400408733991,0.0646479951968159,0.361808832142813,0.506930012722956,0.543694198442656
TCGA.HZ.A9TJ.06,0.0170194519267707,8.24542196688603e-06,0.0511240122696203,0.497398735064313,5.39655443483127e-06,0.0419249593971883,0.151189883391345,0.241329315974361,0.639861590731301
TCGA.2J.AAB4.01,0.0774123802383894,0.0103255737456248,0.0247485566775046,0.579551801840027,0.00561087123139015,0.0136083226047709,0.125355124283315,0.163387369378978,0.623651359454678
