S3,S6,S5,S2,ITTH
TCGA.66.2744.01,4.0665591840992e-06,0.730091659495524,0.269893020921949,1.12530233424848e-05,0.420792025049704
TCGA.22.5480.01,1.08416346726992e-05,0.857800163359625,0.142188529934751,4.65070951510623e-07,0.295072103731995
TCGA.58.8388.01,0,0.999682731920491,0.000120029213340681,0.000197238866168261,0.00222425923709599
TCGA.63.7022.01,0.104271088751958,0.87431891511743,0.0213497948237583,6.02013068539524e-05,0.314416218091724
TCGA.85.8584.01,0.140063033128866,0.638140855250095,0.157519403501575,0.0642767081194646,0.74263211575186
TCGA.77.8128.01,0.495686651341335,0.504293862996263,5.66112664701476e-08,1.94290511352031e-05,0.500130319535213
TCGA.60.2708.01,0.243227724773805,0.503607301507563,0.243608260123928,0.00955671359470328,0.777457045429776
TCGA.85.7699.01,0.0247351943378985,0.937234392115013,0.037962452704064,6.79608430245667e-05,0.199881936287744
TCGA.33.AAS8.01,0.660101580176161,0.304918078733347,0.0349763394795803,4.00161091156632e-06,0.543653683238912
TCGA.18.3408.01,0.831144896371636,0.0155636831544951,0.132212110911811,0.021079309562058,0.40927514497092
TCGA.56.8626.01,0.0829287361460808,0.748119645685452,2.07775443022072e-05,0.168930840624165,0.522400127977222
TCGA.22.4601.01,0.453226275967475,0.451492039235359,6.28259785883934e-05,0.0952188588185779,0.679664141712029
TCGA.43.6773.01,0.624249706005328,0.304210414429031,0.0715012125700004,3.8666995640156e-05,0.609673338610173
TCGA.60.2706.01,0.428924499067741,0.522936953622295,0.048122403517108,1.61437928565311e-05,0.611899291764255
TCGA.77.A5G8.01,0.378610856371503,0.314851597738165,0.0554833356937084,0.251054210196624,0.893751115026776
TCGA.85.8355.01,0.343956726404925,0.516207055236081,0.0106066080973628,0.129229610261631,0.736546563470618
TCGA.22.4593.01,0.0732177617278865,0.837319112862626,0.0894547311541984,8.39425528923957e-06,0.401158911782415
TCGA.60.2712.01,0.0156491136166636,0.778160062977348,0.156536338957634,0.049654484448354,0.504673858838996
TCGA.85.7843.01,0.228569095262988,0.452887227306967,0.0429911291734403,0.275552548256605,0.855914990686254
TCGA.66.2790.01,0.0718708443083141,0.84587952913491,0.0558487692342519,0.0264008573225244,0.42407259662447
TCGA.NC.A5HE.01,0.286545422771665,0.551568798942941,0.137957746424517,0.0239280318608759,0.756623153316289
TCGA.33.4547.01,0.191288582263303,0.575675466420049,0.0809684516293128,0.152067499687335,0.810952642376366
TCGA.34.5240.01,0.668921855175432,0.0907322662975547,0.213460780261903,0.02688509826511,0.659007211716125
TCGA.63.5131.01,0.154262990000467,0.598314416887174,0.0371126425236354,0.210309950588723,0.754385996487939
TCGA.66.2758.01,0.487185218643825,0.285757035350198,0.227054796420031,2.94958594560146e-06,0.753767824427735
TCGA.85.A50M.01,6.87508896327308e-07,0.831881884820611,6.83548904448378e-07,0.168116744121588,0.326704094809227
TCGA.NC.A5HI.01,0.117381365341402,0.541519160659074,0.0312072975244152,0.309892176475109,0.760929128180699
TCGA.77.8009.01,0.694432266978175,0.300069896405746,0.00529537943796056,0.000202457178118324,0.464484879722068
TCGA.43.A56U.01,1.44816283737773e-09,0.643909431746942,0.0556510350245886,0.300439531780306,0.581034569076798
TCGA.68.A59J.01,0.505419460310574,0.262273542639448,0.046184437673557,0.186122559376421,0.830169398056354
TCGA.34.5236.01,0.497346688122395,0.407960824147844,0.0668274860945084,0.0278650016352521,0.716825023688774
TCGA.22.1002.01,0.0624097037974671,0.699653703999691,0.0313555638908418,0.206581028312,0.618467056969871
TCGA.NK.A5D1.01,0.000206732409782828,0.905344244304614,0.0944287587953625,2.02644902403661e-05,0.227111734929314
TCGA.51.4080.01,0.533543510350665,0.251788305292586,0.174539701237288,0.0401284831194609,0.805135514446144
TCGA.33.6737.01,0.407583732755683,0.229462600469539,0.188929129791732,0.174024536983046,0.95412851349967
TCGA.56.7223.01,0.405585808202618,0.56632633598375,0.0277271087374873,0.000360747076144513,0.570070442134776
TCGA.39.5011.01,0.461335117253977,0.289046590824818,0.249609368316945,8.92360425907746e-06,0.766204003204743
TCGA.39.5037.01,0.622847850329675,0.0513889804280015,0.224050656777732,0.101712512464592,0.732208803079622
TCGA.66.2777.01,0.40877317586629,0.391065924992183,0.0636510419462472,0.136509857195279,0.851194877133718
TCGA.21.5783.01,0.00915809486147469,0.969029316984676,0.0218125881538489,0,0.113183083286331
TCGA.85.7950.01,0.0155950138457124,0.974045476472267,0.0103561478849724,3.36179704812265e-06,0.0994553028050039
TCGA.77.8153.01,0.43657529439063,0.459021980343566,5.53398790741173e-06,0.104397191277896,0.689038259069507
TCGA.L3.A4E7.01,0.0154347332427707,0.703099270510767,0.015826916851577,0.265639079394885,0.526444337259743
TCGA.60.2724.01,0.0712213095263521,0.458571514253913,0.126426751852685,0.34378042436705,0.847019808016347
TCGA.90.A59Q.01,1.1787732580175e-06,0.645988230876723,0.156222355668735,0.197788234681284,0.644052543413597
TCGA.94.7557.01,0.441157677733635,0.502089526391276,0.0567498313482707,2.96452681859174e-06,0.627434962736277
TCGA.96.7545.01,0.621355598620063,0.224143621030553,0.0468162251739139,0.107684555175471,0.731577814238027
TCGA.85.6798.01,0.555637425977069,0.396191572463181,0.0481704102429474,5.91316802650145e-07,0.605528778392829
TCGA.98.7454.01,0.128256362088282,0.745226781603276,0.126516785540003,7.07684392759251e-08,0.536761217302886
TCGA.66.2771.01,0.029692945393608,0.354601514158303,0.376034537219852,0.239671003228236,0.852790949986229
TCGA.56.8083.01,0.00711503014189329,0.992884033116787,1.58052465482825e-07,7.78688854591628e-07,0.0305070299241043
TCGA.85.7696.01,0.390872579237365,0.37262534449763,0.0782706393162953,0.15823143694871,0.884484620844381
TCGA.77.A5G6.01,0.0725142529544876,0.748213981508113,0.0105164736937682,0.168755291843631,0.544959886084169
TCGA.90.A4ED.01,0.0114860404712873,0.857015529213832,0.106174202758119,0.0253242275567621,0.371311106637348
TCGA.56.A4BX.01,0.503405119807021,0.307953361449263,1.11153788433979e-06,0.188640407205832,0.73785030807591
TCGA.NC.A5HG.01,0.0114292429074264,0.604301523069386,0.0860396259629618,0.298229608060226,0.668947925334506
TCGA.37.5819.01,0.138745379743589,0.668270596629908,0.192983382906615,6.40719887402491e-07,0.620999848393945
TCGA.66.2727.01,0.702598613402983,0.182605677254879,0.109993838656805,0.00480187068533321,0.596505462685149
TCGA.77.6843.01,0.68418192322605,0.315685806422886,0.000122287800965306,9.98255009812596e-06,0.450750881638701
TCGA.77.8130.01,3.88536201045226e-08,4.99433370864151e-08,0.321993616976954,0.678006294226089,0.453269263574506
TCGA.34.5928.01,0.00142632145379828,0.902358285913018,0.0959246438087148,0.000290748824468636,0.237533358323118
TCGA.22.4594.01,0.319716852271195,0.467577027790403,0.212606956697027,9.91632413757319e-05,0.757503588785842
TCGA.22.A5C4.01,6.91313054291615e-12,0.842691709689123,0.0326178928025918,0.124690397501372,0.371835420181952
TCGA.33.A5GW.01,0.569353049389352,4.47265575359919e-05,0.019634465467769,0.410967758585343,0.550936723017103
TCGA.94.8035.01,0.16300898805381,0.493336171554848,0.0305684212202242,0.313086419171118,0.803912858554528
TCGA.94.A5I4.01,0.31977089913535,0.389386137162871,0.029708616464758,0.261134347237022,0.856199805770206
TCGA.94.7943.01,0.272334929188628,0.636757051032502,0.089974092195792,0.000933927583078479,0.623848159920328
TCGA.85.A53L.01,0.17383441773302,0.613604974831484,0.102864702676249,0.109695904759248,0.779213223079035
TCGA.63.5128.01,0.458087496839285,0.253931298865553,0.0641339226666639,0.223847281628498,0.877809726987396
TCGA.63.A5MU.01,0.340508709578102,0.384547576264753,0.0348341977865312,0.240109516370614,0.861174180176759
TCGA.37.4129.01,0.0252922300310441,0.865188422284685,0.109510851385695,8.4962985764562e-06,0.332252702978157
TCGA.98.A53C.01,0.0165141533765152,0.953184171798001,0.0302930311340372,8.64369144643551e-06,0.158335409670859
TCGA.56.A4ZJ.01,0.066007066552688,0.574512591975284,0.0544761319764262,0.305004209495602,0.734704686675326
TCGA.22.0940.01,0.241443606774294,0.466472939663947,0.223071608713597,0.0690118448481613,0.878600647339774
TCGA.77.8145.01,0.2084864872954,0.632983902939702,1.20332938179833e-06,0.158528406435517,0.655235651546938
TCGA.O2.A52W.01,0.0752079121789198,0.512677210414329,0.0244203268292315,0.387694550577519,0.717839052779556
TCGA.63.A5MV.01,0.127054230560365,0.751950412355245,0.00485547027299661,0.116139886811393,0.5427514645485
TCGA.34.5231.01,0.22951493779082,0.642767805270735,0.0284137295363118,0.0993035274021334,0.687017988729953
TCGA.33.AASD.01,0.631228525294814,0.222325670025716,0.0163110890531456,0.130134715626324,0.690485049498133
TCGA.77.8140.01,0.0622616880953298,0.655341725391576,0.0325026155844262,0.249893970928668,0.654775090409508
TCGA.39.5019.01,0.358794316413615,0.385809972799075,0.12555709327274,0.129838617514571,0.909479832494487
TCGA.22.5478.01,2.69026602887484e-07,0.825327670631425,0.0397478081248423,0.13492425221713,0.401718250057743
TCGA.90.7964.01,0.369357978349289,0.438699108708528,0.0303622435592352,0.161580669382949,0.815095797464554
TCGA.68.8250.01,0.0932681307218911,0.727408798289884,0.0481077172252072,0.131215353763018,0.624130737615998
TCGA.56.8504.01,0.394123297137589,0.413491486011097,0.0338719869575402,0.158513229893773,0.82143978651001
TCGA.NC.A5HP.01,0.284820047406728,0.609961496631621,0.0256124702742335,0.0796059856874177,0.688571390478363
TCGA.33.4566.01,0.133998816977657,0.530669729549861,0.301571287615702,0.03376016585678,0.780116911576337
TCGA.58.8393.01,0.490266696127176,0.355023489437796,9.99182935329726e-09,0.154709804443199,0.725558265197991
TCGA.63.A5MS.01,0.1025474618218,0.884756863530228,0.00106390161628949,0.011631773031682,0.289237082125586
TCGA.66.2780.01,0.0586607198837896,0.385971267413236,0.236703301991321,0.318664710711653,0.893972988381741
TCGA.21.1075.01,0.662981613938922,0.190954010308857,0.0994477379915846,0.046616637760636,0.693296076048893
TCGA.56.7823.01,0.457335368563144,0.387290454051596,3.18878506829769e-07,0.155373858506753,0.73178233266717
TCGA.63.A5MP.01,0.469237282577451,0.40812562563934,0.0278838903291954,0.0947532014540134,0.753015464563413
TCGA.85.8072.01,0.563643697982512,0.409110993683302,4.81142581944673e-06,0.0272404969083666,0.567710561301891
TCGA.21.1078.01,2.21266194213102e-07,0.55549885813957,0.0893223628122638,0.355178557781972,0.65641975477772
TCGA.77.A5GH.01,2.71324470091816e-07,0.947940390788581,0.0360900512938583,0.0159692865930907,0.17069426921438
TCGA.34.2600.01,2.62529381381043e-06,0.517943808771948,0.0197094040168056,0.462344161917432,0.558935091604229
TCGA.33.4533.01,0.0551744985930713,0.830038542175597,0.114334291601671,0.000452667629660176,0.408218553558548
TCGA.85.A510.01,5.98027602670821e-05,0.925816841815525,0.074121256073424,2.0993507836917e-06,0.191039753844156
TCGA.52.7622.01,0.676868446792687,0.227698557947594,0.0190606952726236,0.0763722999870955,0.629752787436024
TCGA.77.7337.01,0.120391619544758,0.486623264472578,0.0585937856845007,0.334391330298163,0.82083012112992
TCGA.37.A5EN.01,0.326729604864751,0.546556774590044,0.0538198150580774,0.0728938054871277,0.752963971530686
TCGA.77.8148.01,0.279095275437213,0.679949953460412,0.0405102034160831,0.000444567686292515,0.542293501814944
TCGA.18.5592.01,0.616305198429571,0.310395655115741,0.00843864388135033,0.0648605025733386,0.634176175402162
