S6,S5,S2,S7,S9,S8
CXCL16,824.1679818573,2.07949658034726e-05,9.90821262680988e-21,10455.4670408459,7611.81190195847,0.0620678076071414
HIST1H2BK,2293.62540866917,2155.09250644145,4610.76443076937,5155.65215852785,2835.85344355195,3542.61781652842
LCP1,2029.3047153612,1246.3846845241,50.4656853593638,1.95692391439054,1754.24919606931,1777.12723886219
MAL2,2388.94925230045,5.34822389043769e-05,1.15788331471363e-23,0.000421993403332243,3758.04774202918,6686.95963176501
NR1I3,337.115290619767,6777.05407368071,2951.31279969463,12418.7156527396,33.5649708078848,2896.18018734914
ALDH6A1,353.109716473637,10767.8927386082,4761.37328144035,1.09727109280166,1960.46413276259,2.15066626454808e-16
ROBO1,2324.84119916467,2.76189378232179e-08,2782.26133291055,7.13579895197858e-08,4692.49597240606,48.1561656660363
PSAT1,3380.70775922226,3652.31867015812,1628.99028542618,1743.3928989422,3491.42030725615,842.011064220025
GSTT1,679.661798122317,4242.17588233473,4446.14981785161,6100.93045138012,7.36720735761916e-09,1965.25620900002
ALDOC,4038.78411593968,1960.57026512201,25.1092221982542,4577.98666070866,0.000543673925641815,4535.40440495047
SNHG5,0.00066137212112332,1818.28988661104,92.1467186675903,2765.30566160346,2980.35330032917,16458.0862291461
SEPW1,42.7914615378508,0.000369950975812865,3.00084128531988e-11,8079.86401484077,0.00529022784230271,12236.210581462
HIST1H2AC,1196.03203796117,2180.62393874757,6264.47201810596,3489.15181526975,3071.99372351296,2638.40938233097
TCIRG1,2252.42370272408,0.00818421021485208,6.8211139173672,7440.96909107357,3071.94287258006,4816.78074798231
ACSM5,429.48468042135,10692.2577688245,4143.92363427682,29.040358404329,6.06414673622916e-08,1.22810165533034e-08
JUNB,376.515810795201,5735.23043058225,1.1752313709056,2718.36993212341,2689.21876647312,393.680681725538
SLC23A2,7.60219009182055,5697.42814594318,7232.95725144792,855.189005617788,3998.47212484109,9.58563513862071e-07
TTYH3,2644.23443154952,4.50717117993645e-05,1437.46991044833,1.10591324052751e-07,1980.44136404469,515.905488102201
NGFRAP1,2081.99229297073,5.05897784491241e-05,2743.7551010338,5933.6120464445,4126.04238965525,3244.95134233537
FGGY,2590.53475788515,6451.77414453007,1.30162661428372e-05,8470.44188294304,1.75768651865138e-22,242.800603111234
IFNGR1,0.00128380393073855,2831.44292826878,7550.24422607073,1.09701993556993,2039.03839501082,0.0628089028409396
PSMB8,2185.25638789625,1677.8873497768,1089.8567670805,8437.86864890308,2.44909747209117e-06,4656.58556661013
DUSP23,1723.99953765742,1.26700091017331,1466.14717132419,12501.7258161612,0.000914060057767844,8101.24329960084
PPAP2A,0.0571833806299667,3755.00937016966,5551.49267662826,735.56369343565,4079.1739042425,1243.93902924986
PPP2R1B,2017.45951158207,6580.33815596128,434.536276512979,2755.48030694368,7776.63067869536,2.56306394647812
FAM195B,1738.15319428186,0.727387440071271,932.144846632073,5672.87196807527,1738.06922389028,15861.4003389082
NDUFS8,1804.49396973433,874.76327217458,717.760449521907,12064.6239288327,1.66882650001844,10994.4057065599
SORL1,2137.22850318455,9213.22739443118,3756.12548482383,0.235876060768124,886.462412139029,0.00102745800591069
MMAB,282.733935587422,2703.85233258939,2835.26620645016,9031.24836510863,226.757412673732,13399.595311103
MRPL41,1091.33109265223,1274.24284667695,236.704501198735,16568.0313243697,3.95800207604312e-05,8903.4962924351
GABARAPL1,3.39134785872087e-05,7487.9615564266,6008.94673470848,5678.48145633765,1988.82809566725,0.0365790698583546
ACADM,1611.02455773603,11246.9456644312,4310.49792459908,6.97371932840341e-05,1803.98467851301,0.000284271488566312
FKBP2,1585.50398646356,1723.36455665179,448.295103440656,18938.5267400202,5.71214746208299,12604.5826198423
ESPN,2330.14118355208,4937.31937416266,593.807982946789,10475.3520063517,808.052857087002,4223.44135087382
ALDH8A1,671.598920289805,10530.7280677048,0.00172153522995889,4767.90861797488,2119.58320205293,0.0151643811359378
CAPN2,2638.96277743277,910.217215624084,1838.74112597048,4355.94537750485,971.83324731437,1443.61600421335
RCN1,1593.51198106579,1274.23990380307,266.45879359603,5262.700622228,2569.46621804044,5753.1082427499
HIBADH,1201.82254590828,5703.53161030493,10502.0045973259,2123.13225428483,1951.58085849283,0.964237768086894
SARDH,1604.83318191715,10760.8690745058,933.961330436498,9300.25379457803,3019.98960050254,2367.28635791376
