S3,S6,S5,S2
ITGAM,0.90816024672233,474.168071475957,0.182623283746554,3.52678779366422
LRRC8E,1061.13580547217,101.718809938383,51.5772552762877,1231.47499494855
PROCR,389.047879691125,254.718572424849,1349.80054820233,536.426110538063
HDAC9,0.00195358861211773,463.911930000536,860.0562602519,41.711776617985
NIPAL4,3.90049266686163,1.28229507048941e-12,376.393878696276,1498.08599035963
EGR2,601.499932923572,168.884531897538,0.744334293544919,250.770162083696
FAM164A,245.716646289815,319.372292861769,1447.70531617017,288.878879032566
AOAH,613.097877896747,328.878079232297,63.0064159883489,149.916981439389
BAALC,265.64914067436,402.068415191847,931.478508501629,314.459331518213
JAM3,40.1221613729811,749.382751716996,192.68233900812,0.000205667491679403
DCHS1,1.25401009994101,621.998392453816,1.01850146922697e-09,4.21975483199469e-06
FBXO17,429.171043726839,507.451209935526,158.547482564316,0.840785793693664
MFSD2A,407.701437544077,524.646311689752,12.9254719633595,762.235513718238
LIF,119.266089739689,95.6683289961762,282.972075890761,342.184860263041
C1orf109,309.622755822751,841.910749446444,369.540548837975,209.34466350259
FAM46A,0.602948878611928,352.803922826686,310.071506360433,1064.37245275426
SLC16A9,641.58248361722,324.435946449912,9.96539204700418,722.315160655658
MAP3K14,123.00177363333,835.277793567621,37.7801354873042,3.66422169230873
DMRT2,1396.28209560226,143.005381764712,0.0148979076381759,25.5071632236063
C9orf82,547.033618391882,456.860825713621,1377.30706752272,16.034975373372
ATP2C2,0.0843607393120679,445.127800537424,60.174151883423,1621.3180747081
KIAA0556,247.059159936834,822.612590495144,6.61516285830797e-07,552.743730013864
DNM1,597.284446198129,547.851582076836,0.00670673258344704,45.3687910937929
IQCG,9.26305215123752,730.745068507732,593.790953837567,511.500287411134
BAG4,371.555960298777,544.069529529596,497.248131965299,831.516066417227
GPR126,5.36065398025357e-07,859.471760253416,507.955172625041,240.889436356342
CYFIP2,220.124260081349,742.238238753141,18.0507629571619,5.83090463772006e-07
CD83,162.502600102504,736.591215417713,302.430026756046,18.2247773588805
PTGS1,0.447805179111404,133.975695951377,567.663364189664,492.856021694676
LAYN,865.627384780254,128.133063722879,1113.09064062587,588.775961314443
HS3ST1,7.45395730920337e-10,287.376631836132,271.492807308391,1453.41473434234
SH3TC1,1.18631209963655e-10,535.565341307677,20.2676822427739,99.8891263694364
PRSS21,264.718466849846,369.788678838623,1565.38572555848,424.286104874383
TBX2,676.505952134127,544.583244495867,0.00313373132003525,7.14918268348223
SLFN13,161.343426721921,746.583084870297,355.249973592567,0.179647741616051
SGEF,1737.34527412691,444.163953431612,2.31791189737753e-09,40.9893730425534
IRF8,28.6812527902739,189.961849831271,899.552157555532,2.8775308050683e-05
VASN,4.5189999380844e-09,179.568553478612,180.343612535243,0.00162840073836966
TP53I3,404.073609282295,419.8172544972,1308.16615439259,436.425600303161
IL2RB,57.2989495444322,499.416351674638,647.598748611122,1.63623726782425
C17orf28,336.194905371179,702.966336414762,316.614658054443,23.7331343949335
LAMA2,0.399203515178786,423.098068316702,5.26254548732861e-06,33.8072465359345
FAM174B,44.169600598236,641.642628209347,207.701832479961,176.716223992217
SGMS2,148.98905670042,116.749422115576,94.9364380888958,536.639666752475
SIX2,467.798603709295,664.661949721895,3.43593871205533,75.583270260304
FAM171B,775.563375783738,533.534309310421,489.824450366891,7.85904111129238e-09
DPT,57.0681236120143,42.7922511391961,804.793121436896,0.097671013672892
TMEM119,132.730387578594,305.89129679553,36.0681302341389,0.574838938817268
PLAC2,268.576211032534,531.908541942879,1.34062549382272e-05,1453.74513174147
FPR3,237.097694363006,269.923438531473,755.262954778359,0.0005413700848738
B3GNT3,3.01879422154397,156.245716907815,773.592506080777,1124.94276637668
DFNA5,201.387608246741,116.892877012645,894.321084165443,530.499874854711
BTBD11,1554.56486038907,167.612546926784,16.6350513625797,834.774248383478
TGFBR3,587.110192607636,744.645829576718,5.52867105283577e-07,287.9321755518
FBLN5,0.248289279774885,339.234017754816,45.1611218783351,6.18296912204867
DPYD,0.00899691620594337,150.660170618863,1105.15484213517,844.32532789969
ANO9,70.0408268165945,754.395062192547,4.16790098707233,200.88130176933
FIZ1,250.892067956856,703.578209410086,0.0956982590855252,536.508493922656
AVPI1,334.778569327882,175.004448064703,945.746476068644,981.047578063705
TMEM116,1750.16114333453,8.3495537529275,316.661832020899,123.702697443903
B4GALNT4,683.545679920262,1084.60867320071,6.0915159119239e-11,0.301926016128439
IL27RA,34.9597798819532,675.848329475224,631.776297244323,8.81877461649878
LYST,396.359663330366,599.233245914396,24.6508938193693,378.29927156716
IFIT2,6.01155950354951,344.492526880973,835.59405663535,256.120682574317
MYO15B,10.3573436900373,762.983037734728,0.0227392376723335,118.476090990043
DOCK2,72.398777539978,340.301331812713,13.0633819395917,0.0532224365264562
MRAP2,1519.75809910597,0.00722567786405172,383.240495765692,168.8250569845
GCNT2,1606.81539842957,375.137534218773,441.670210084974,0.0591500182687698
MS4A7,153.638813337708,54.8801093816843,1011.87749302553,26.6623975822656
FOXC1,5.32901025142106e-05,907.876510320334,70.4901535963238,38.9724532802883
INHBB,568.01649563103,308.211356558662,131.780357021806,162.887720983179
ADA,563.853213282283,402.831422758528,1668.98552508904,922.8887346118
OPLAH,306.668292415974,860.724356294474,33.8548635512752,1097.90431659306
NCALD,31.0230082854872,530.034713745336,7.34790465845278,141.916676052207
GBP3,1.0981560854146,194.596280945418,1226.61296185208,900.645876875888
CCDC88B,146.774899549049,465.031629499804,0.0341522028355661,680.283706799907
PLA2R1,1354.02901032675,45.2707237194364,1.53215832614465e-06,745.52515869695
QRSL1,259.807629263346,682.989553908286,746.998268461318,535.245930977237
