S10,S12,S6,S11,S4,S9,S2,S8,ITTH
TCGA.E9.A229.01,0.297693707013852,0.00310202759280217,0.458097589226307,0.0327756774623095,0.0113010851358519,0.0254089630936306,0.15165361111676,0.0199673393584863,0.652314584970992
TCGA.A7.A4SB.01,0.735285118806729,0.0451450081975318,2.88893645102851e-06,0.00481837962189789,0.167036943188704,0.0253906597384355,1.04171460125561e-05,0.0223105843642379,0.417825898458417
TCGA.BH.A0HK.01,0.188190564593021,0.0191830962879171,0.284632087753485,0.185643180029291,0.274667392800058,0.0455627861015141,0.000540435220663628,0.00158045721404981,0.755182378906184
TCGA.3C.AAAU.01,0.369524459576397,0.428803934545466,5.09202070463738e-06,0.0647534597072592,0.0720269672289781,0.0122716221091279,1.36268091357319e-06,0.0526131021311537,0.628393344436782
TCGA.E2.A14Z.01,0.0883938495628391,8.34465356685723e-05,0.367700098620786,0.242966310683376,0.246083977432661,6.17636672054674e-06,0.0482554388649931,0.0065107019329553,0.697790300510426
TCGA.D8.A1Y1.01,0.213004868006874,0.000306441729934328,0.416225466840266,0.18619314811425,0.148767838646742,0.0168020785137722,0.00406676181365559,0.0146333963345069,0.695387374917446
TCGA.AC.A7VB.01,0.687212201314487,4.02320504492562e-05,5.02128884394847e-06,0.0430018255972557,0.0878915544399671,0.0671938150434907,0.0874712588719612,0.0271840913935454,0.528908082418083
TCGA.B6.A0RO.01,0.398442724599563,0.053747686333123,0.236663984591102,0.010258924184976,0.137820060280232,0.0756718071998557,0.041748946604084,0.0456458662070643,0.795300951510251
TCGA.A2.A04P.01,2.4324623827962e-07,3.33879827536082e-07,1.12848621431181e-07,0.0351352784755965,0.358488925647961,0.0105176538022192,0.0250837906659479,0.570773661433588,0.454853691707284
TCGA.A7.A13E.01,0.137250093317243,0.00657315655993776,0.103765263020821,0.162790133817501,0.0252451350259198,0.031718715547518,0.000955557934749167,0.53170194477631,0.664143368723701
TCGA.A7.A0D9.01,0.862620660052751,9.13903453896921e-06,1.93519027917653e-06,0.103142156917583,0.0163122824870326,1.79046945363933e-05,0.0178789333638764,1.69882594021455e-05,0.241113074152198
TCGA.E2.A14R.01,5.1968501112861e-05,1.09629052291117e-05,9.53385441804613e-05,0.281249418802141,0.149735851109762,1.90321105306451e-05,0.0441636567006821,0.524673771326362,0.538132130968025
TCGA.GM.A3XN.01,0.206936769602891,0.0019794358808155,0.150764208071783,0.0474051509290294,0.393713417962341,0.000150319738957518,0.0440635986337565,0.154987099180425,0.751623527008706
TCGA.A8.A06Y.01,0.343937742348624,0.0834993046154542,0.298323686376226,0.0569863679079583,0.0826842779079215,0.0384245386237042,0.0262226979554283,0.0699213842646832,0.822984286008539
TCGA.E2.A1IK.01,0.0944948849053934,0.356377433170634,0.220840873611538,0.0725983878414374,0.174503823744616,0.0150503661035314,0.0440412893829585,0.0220929412398915,0.819519309012031
TCGA.E2.A1IU.01,0.21229463691868,0.0905891956070523,0.516778852501065,2.34768091987738e-06,0.0819537977905308,0.0604346881515508,0.00969753633262287,0.0282489450175784,0.677128327054068
TCGA.BH.A0E2.01,0.587053475834476,0.0373604235605047,0.0739039617810141,0.0487446268624487,0.197218185470994,1.36834933300717e-09,0.00171070722105224,0.054008617901161,0.607847264507423
TCGA.AR.A2LE.01,0.120526383630363,0.03621319171157,0.56374610443898,0.0619519669192081,0.201273738698379,0.00503817206683718,0.000507336787527974,0.0107431057471353,0.611933636068025
TCGA.A8.A0A1.01,0.264008050777577,0.00129674243565134,0.613284277934337,0.000106265432282366,0.108626561139771,0.00686453481827358,0.00571429772773804,9.92697343704671e-05,0.464932532861817
TCGA.E2.A1L7.01,0.310203865553767,0.0312759817444563,0.209143205085043,0.199034675465991,0.140331366879836,0.0106038965111592,0.0352024626922188,0.0642045460675283,0.835754390061207
TCGA.E2.A14T.01,0.671481143196561,0.134775830037516,7.44082503362379e-07,0.0433319114940023,0.0963078033438558,0.0540973105224099,2.30947775021893e-07,5.02637537646616e-06,0.508217746419523
TCGA.AC.A5EH.01,0.176743929793454,1.82018880511182e-05,0.266708864093323,0.0509069063386791,0.272608311876074,0.150880355595096,0.00726335951168158,0.0748700709036404,0.807947542058832
TCGA.GM.A2DM.01,0.168676871310693,0.278896939952383,0.416513849883475,0.0244635627092693,0.104658964351322,3.65125373520084e-06,5.83319772144495e-07,0.00678557721935005,0.664629954195423
TCGA.A2.A0D4.01,0.554818786358229,0.0551635300456154,1.0379866493785e-07,0.23353718422973,0.0957871282665329,0.0444169756649813,0.0115102594244434,0.00476603221180319,0.608921128560014
TCGA.AO.A12F.01,0.076002130086924,0.0104011807782322,0.0218867433383273,0.148943821704738,0.149236587804769,0.051777160914206,0.00131710723088638,0.540435268141917,0.668017965731099
TCGA.AC.A3HN.01,0.220136650637962,0.0174798936137163,0.42107296935834,6.74537915708639e-08,0.167610457743301,0.037561846825485,0.0193271602160863,0.116810954151317,0.729930808489426
TCGA.C8.A1HN.01,0.619005361764379,0.018547991942086,0.0364317681395444,0.244594189482762,0.0450921425969122,0.0296816725737811,0.00664618513626721,6.88364268284784e-07,0.535446790983621
TCGA.A2.A25C.01,0.248582684110878,0.0473433460023634,0.473133177717321,0.0243541716034244,0.000566180070885234,0.0699845888613594,0.0859835012140729,0.0500523504196957,0.714716123929263
TCGA.E9.A6HE.01,1.73908928602955e-05,0.000128056303192134,0.263418857630804,0.0184999395263092,0.553228837507569,0.0337772471223209,0.0989950563023974,0.0319346147145473,0.580648285837275
