S9,S7,S3,S1,S10,S11,S8,S12
IGSF3,376.470232465736,6.34008784805034e-06,103.427622677254,1098.54636483213,521.978418665779,0.077326377039124,516.215149861758,1406.50673209113
VWA5B2,1.35700380169974e-08,6268.61408198995,6428.11862822575,0.00632453433241142,4.05497280138838e-14,0.00341453659806856,28.5651458833877,1.8407867362884e-07
PIGG,674.469444295948,839.753180877055,1398.57614495785,1554.85941598912,603.969351883359,12.4780124170187,232.577623202714,586.463871714422
ADH1C,3760.26831460293,2.18178737165257e-14,1.8696243730482e-10,600.730944738476,1.78335367278683,5718.92837417288,68.6399020789204,9.37315737794342e-13
CD37,1.29985171737462e-09,59.3858136024212,6.52970882592852e-12,267.49398207641,0.000255835077910579,1981.2014697068,3965.61792681229,227.517420662609
SERPINA6,744.522756450938,2612.03383676452,5620.1040990444,1.91173709405165e-08,5.68385287678738e-09,0.229573673753951,0.00680750248939029,0.000282309241766895
CACNA2D2,3.47135439736708e-07,3588.18840302229,6696.13823177196,1.29330773221783e-09,1005.6431347437,167.47571692331,506.389983777249,2.93955038739808e-07
ATP6V0E2,58.410440964561,7051.80309230026,6811.08808147018,458.46962502669,204.967535269076,2431.9669453145,533.647131364403,174.709774011137
IRX2,477.304242592896,3847.23676918047,6258.29209384491,2.43234589095532e-17,8.30359260629157e-13,9.03630043872878e-07,1.39202371145692e-14,0.323449203925078
PI3,2795.46984577674,1.85263503856148e-11,1.40691697706538e-13,1329.11421812267,0.000606813052835665,3762.17378149424,0.459993574632024,1051.39257833406
WNT11,1.09887629059556e-13,102.051812892965,0.452421409371781,3.74346391016636,4.47060630054826e-15,2.76515791612121,218.157990934611,2889.73708265109
SEZ6L,4.16595840198624e-15,5245.37808618657,6804.19843761803,1.83248911665397e-14,4.81362002668094e-15,4.63424262013631e-14,0.000222228518118458,3.73817786054368e-15
CELF3,1.9275900876025,6363.34796606557,6859.55211603384,7.57509405755372e-11,1.25321188775229e-12,194.40633711438,68.9206219587706,0.0588225078873631
ARL14,2078.81769594869,8.36579613821853e-08,24.380128091087,2685.2238726841,162.815737738227,0.587465722216868,145.578040017716,1167.16367512268
LPL,0.00194099088753207,407.08927679885,2922.45461141417,27.9712696288148,312.085842183178,1249.82453628229,1681.86955033417,0.487590294449232
CCL19,2.58335612772842e-06,0.183858465934167,0.0143921259620697,120.678386448782,3.06841393599064e-12,1532.11027705688,4766.70120342128,56.0226258051774
S100A9,0.000895120196030987,6.14581659630269e-08,3.69760924706658e-11,107.141622064769,2.35743190496639e-11,5176.88229252909,1393.67426195762,2032.4583866476
ZG16B,2480.30520110555,1.6728141924267e-10,1.18981806175411e-14,1265.23897099106,1464.04508926464,5593.50053926024,5.12762871558146e-07,0.00657781555901991
PKP1,6.40865746881493e-05,6.97316931814769e-15,2.38319407601815e-09,2.35257066670889,565.172476932968,2413.89340717272,267.63452059174,3297.80429375998
PNMA2,655.517876869192,2164.32791941665,7535.97725141455,764.2479164744,77.2334593687018,7.35543188107438,998.661001775135,258.353141496472
ADAM12,0.00251762552760879,0.275486167267295,0.000891543552044045,0.00501994395945744,2.0360795926032,138.961767006425,1202.26475651486,385.042187343653
IL8,2186.07065470208,0.0150296780373732,6.01538658932842e-08,626.479112232034,8.73722333113767e-06,29.5606124160692,1009.24716368607,442.619218506358
MYO7B,2362.91088482253,4.76618777165326e-05,1.1363541078174e-08,1951.30586330563,4727.62525426916,0.402434155374194,0.436178869645177,1.36810230305559e-13
TP53I13,3.72268405600611,12651.6642624164,3465.94423033737,1339.91409159921,539.881946805315,2405.90083878955,55.8215488979307,561.020887887726
TAPBPL,364.609974555298,1433.18839134258,1528.41547036722,681.847267587367,9916.06687548211,467.74938300472,667.146248761408,1035.71593553466
FBXL14,516.71434442486,981.724891933639,1204.0845329059,985.747992869281,10302.1673459872,362.858711161204,811.883870954549,1190.23912613708
APBB1,45.4394910883869,4826.30813749854,7207.25100375906,264.736430809572,4.82053267288874e-06,722.696100472736,1158.85885604037,329.124665019382
VANGL1,208.789467036622,0.000634079245878826,49.5155084429348,670.589484026932,1214.89855392225,0.938690471187186,483.717815824153,1452.03898272624
RAMP1,0.674840174281465,500.136660868143,1210.02266584724,1300.79695235276,893.908877403371,866.064887671803,22.1000829458971,536.305332041887
IFI44L,0.0494285930133136,5.45254070255687e-07,1.66547831076691e-07,1920.98536238512,2.92848017678888e-06,129.884655455983,949.296254157364,626.786074762405
B4GALNT3,469.864245480827,119.260757128449,1233.57001144726,1610.85163026044,9095.87701644789,0.172820407047814,346.797087198856,1554.0703210376
ITPR2,1248.57410621566,146.840711042019,2.2803855482897,0.00586196870421947,276.598213674248,0.000176956120008068,2061.2560727382,39.683194614266
RGS16,24.7595022884429,1931.70412613754,0.224001703781674,762.113644505614,273.641561793701,80.0073847515695,746.375818125612,1.06491980250545
PLEKHB1,1140.09986808438,3085.61509995138,2632.3117914418,536.434565123119,3785.8779209935,3848.80358041226,132.135200575324,2.60468694612667
SLC43A1,819.710240572157,752.418594776749,422.559102095369,332.596965687952,240.904447233965,827.611207889212,113.893986897827,0.393813575832544
PODXL2,335.70027779211,5806.82342016018,5333.15530053389,339.404108259718,1073.16036115948,2721.22423414309,133.507170390709,516.153412794283
C2,102.913780926507,0.377334000453307,6.37248999001106e-06,339.357253324874,4881.07087282802,1445.45769516923,2119.41227432319,505.067807078967
KIAA0528,2184.09861624072,1712.36640650341,2902.78359804269,692.300308812218,7376.28233794348,201.372848920808,866.225974993931,561.575410958192
IL22RA1,106.740233728023,0.008462060589009,0.00350581728110416,1399.07217287474,1467.30094125773,1.54421843952621,72.9902359037844,251.936085520493
SLC34A2,2248.21066007481,1.42463668908653e-08,2.18058323497588e-11,157.093491415228,2.84606413424245e-14,441.228133198846,436.97310468374,1099.85822800409
C1QTNF3,8.71297086465238,509.987015904789,140.852267855346,65.0980174651892,0.0269114895497075,764.661773293525,474.815898328443,184.268409730594
CCL18,0.000115988192354739,7.54113910235596e-12,6.97232005916513e-09,353.502101685804,6.82092471898538e-09,540.978549502745,1399.35318557543,159.988746616629
HIST1H1C,247.512395568199,0.100697731818117,243.285631508656,2315.00783606234,181.991104485583,5297.54911336337,9.57377765419006,1417.52000012439
ATP10B,3764.10564029005,2.31317391493614e-10,4.06118666218735e-07,2393.64789363104,1525.17794794182,0.00178953233650184,55.8899856904738,2.637393422687e-05
AGR3,2434.78675609737,113.768767440755,0.00154462697175869,2538.75735090842,6888.77639310183,2426.18045554851,3.78466520336798,0.0627356191215054
EFCAB4A,543.265930358852,233.971399507698,259.512595704004,3257.20200314838,6398.90774990897,1807.51108228814,8.37820537593614e-05,76.4899737386724
FAM46C,707.067165279186,6307.20948922022,3743.00527689981,3.18395179049931,1478.39120303837,0.754880344905228,2239.42944902111,1.19485267249519
HMHA1,0.000797176332777439,505.026463846873,0.742917904909608,975.242431636768,5.38192817391619,3664.25189461576,3130.74153849286,1941.73711490175
CILP,6.52355996894983e-09,0.0490272066895373,0.00433877246914531,0.000529899247050519,7.40349572737917e-13,112.994006505451,3634.36382390244,427.4798372092
OLFML2A,16.1296136436408,1390.18311005495,1593.13527154358,96.8586732743084,178.750249718209,977.765413969088,900.233876073125,2036.03270519531
BAIAP2L2,1656.60463796416,5.94263719960982,63.9279218537873,2582.41469185288,2899.4642902874,4612.38917445391,0.000905048936959759,0.00176817943843805
CAPS,549.163498833843,1587.23889248891,160.958271546699,1508.7172892003,42.4285073879339,4116.0029293544,0.0800672030082289,2660.95028802533
FAM129A,1307.31495568225,119.063286831189,0.389515600945237,45.5999255734877,0.0121001273497032,1.35531697244988e-05,1842.48447386487,689.263477313649
DGKQ,68.4058873941053,875.716578816772,471.79708988036,2183.47372375159,1951.8185658995,554.139794068021,83.6510858257053,184.289975893321
COL8A2,8.86376625139658,431.778151615653,0.33344314272966,801.201200603714,0.0461931175694888,134.277107775037,986.652954896907,219.617139965446
KCNJ15,1040.97398665767,3.99288374859286e-06,0.00013031819161064,458.249132208154,1.139050889147e-11,0.0196350523801648,1057.31206675359,715.003797124871
TCEA3,1251.72685460957,62.8786819391657,0.00519062496525182,1390.05233937474,3818.84636928313,3628.79392936994,217.441712931354,19.7477308914551
ROBLD3,816.147864335032,699.271832483482,256.870318633642,1117.0039055198,701.764521649352,12336.2063915576,116.302913489759,475.510055428621
FLRT2,553.126480324473,197.770208503196,0.000184235613560526,0.0111791040087683,1.16820030248488e-12,0.00173574802502127,2633.22454908586,79.4327380469841
INHBA,456.20882431733,3.57171308743268,51.0699357063242,5.41677486372665,46.853598548829,0.00260470980624892,488.713169493091,0.355960426957245
EPHB3,1310.37263761228,43.9321517763378,0.00205881937502287,856.596104379435,2423.57843854706,8146.09732829003,181.947637660938,14.4296665837242
FOXA3,1129.30909096791,1092.57308786698,679.186755961054,3512.0714303915,5385.18802596848,2049.3902774752,108.709058671775,0.131049749607383
MFAP5,0.631767354457058,57.565336968946,1.43675272623094e-07,214.39230976016,0.0310573877552859,514.388899400846,2025.81710624374,170.340315922725
SERPINA4,644.998671569816,1.41432437982703e-05,1.02098519808746e-10,1754.2703408801,3.9291240941211e-07,639.887080426734,807.049275575249,427.442380067214
CD53,0.501290785945181,5.49117862204073,5.04049285499864e-06,95.2202490767017,0.00279868104935721,990.324720289719,4166.0262079894,235.87810878469
