S2,S10,S11,S6,S9,S4,S5,S3,S7,S12
LFNG,243.486443528751,0.000536256137746443,511.297734384084,145.862394988415,1709.68103900486,0.000327702886160588,709.287386233,14.1102889192459,27.5628226866561,280.877027457991
CD69,1.49330835689973e-05,3.07727734516386e-12,1.60270676579449e-08,1.42411579515708e-06,908.927493920696,224.440485742768,1930.12120085525,385.147078627026,0.08565602931179,632.109119691451
PIK3R5,0.0150037575958471,1.01875386735383e-09,118.480142363482,7.46442991707413e-09,713.790723214645,86.3133875926364,385.19339263161,151.715325870433,4.43596033415222,1546.63402524891
SSBP3,2740.79683587765,198.831771322437,889.819805822274,190.960174389296,7.49157519283803e-13,47.7425200137055,729.354088813746,586.003242817487,17.2724912474932,117.517630390675
GP1BA,189.79623233369,1.65179618747979e-09,1005.28363679599,6.20205840560304e-07,659.191901439344,0.146124862500724,4.459220169935e-13,640.4950231833,781.60398441288,180.315634483221
COBLL1,770.086897279655,1157.76284290699,763.407013214799,322.414509109179,2.47462180200051e-12,337.017446789139,964.461934890566,1307.99191024654,0.0173984856183818,19.5748958418277
TTN,0.00109124270920912,2.83924083538065,438.131387201306,67.4201349279383,628.396818157031,1048.40245884521,113.871112016331,935.647286579488,2.86458412354486e-10,2.10882495037682
MTSS1,1.76919880689067e-12,6.33728677010715e-10,399.351715481196,159.654333556122,1877.86235134087,554.755230881605,420.896405087911,40.6557555250174,2.94956373691721e-11,275.364620927009
PLA2G16,79.0807804022018,3.20681432160627,0.00259828346369383,652.737096327437,1511.19569712209,0.0159534556693092,1462.64678935037,7.14845341006218e-07,507.505962436569,2449.98108678164
RNASE1,580.273841285088,420.942965814619,271.12190241068,2009.55363787355,86.5684500736589,331.884940038602,903.735289021578,105.485800394932,691.642881150393,286.360539342291
STEAP3,6.20825395069796e-11,3.31823915031064,5.16066131492821,1.66424837251558,0.408368666530402,103.259552474433,706.885788666168,159.450762790512,2372.89409078332,1854.91812872131
PPTC7,2.56395474404951e-11,3.30235287563064e-06,0.106446883311995,4.96903347057231e-11,0.13197277101081,1163.87443923539,454.028806309664,1169.34365403885,1.08192825948298e-12,0.000400155307854429
PFN2,1315.28178590707,6.08972710309556,0.00515157740435709,152.673286858423,2.26413895827762e-08,108.378175606454,626.894903726152,177.4786782951,1400.3408670521,13.1374998299966
ABCA6,64.1523895024208,295.835298470418,1387.88048822918,0.00169026593580166,249.127698284225,947.812709959689,382.429874584489,745.05381510081,89.1620863409961,0.00998235253722903
KIF1B,25.9435929210068,125.158184556828,41.1598086577818,205.680223269161,0.0122807602854193,333.1649364766,412.198457553089,975.907304211683,3.90182261701738e-07,368.93786232715
UPK3BL,727.202749259215,385.548880196877,1061.71118448844,1700.30065594574,500.187017861409,9.2940800493585e-05,0.00498880586151474,1.66677703458792e-12,1.47282332329185,398.62201084705
PNOC,2456.75587359661,269.540103065558,705.7131573342,372.537237027247,732.404492185323,172.07623198834,14.2413352066237,81.6636937762807,607.056717900506,0.00047686182083003
RAB37,361.969977019222,6.52396513921803e-12,184.401785196451,0.0987591926425042,1038.37080271545,5.40086903590853e-05,4.21340274637949,263.020548412341,12.0499974891351,2412.77533108635
DFNA5,5.39903004064619e-09,409.422409958283,193.858345500402,280.43341719253,431.116016068618,817.135088252963,137.476058553037,211.022845793583,1329.76898036275,137.653849469113
EMR2,0.000115221899592311,0.13839791833725,0.000121472560316349,0.00454711076394133,1.98451647509495e-07,604.75880243541,499.45716978522,57.4885799179551,625.237388774397,1883.01698312368
PDGFRA,0.0128744158326872,190.429709540578,599.24189498596,0.136053417268316,2.56283658146839e-05,272.536829722694,2237.38793009666,937.963445179255,694.82121838811,307.180894364819
CP,2.51642322419702e-05,9.10422475603080e-11,4.57858862634892e-12,373.25991350935,0.000175711022848862,401.413156980286,256.712804952097,0.0131791351010453,1300.20632197541,1220.26962612233
RIMS3,8.35122597169917e-05,595.657861391943,1.40349661301426e-11,8.10076125813544,568.541610976823,554.512080937264,648.658722266293,223.389274431691,0.196705774456622,895.868980666574
GALNT14,1914.1656965927,0.986422212127155,249.785623141527,1450.45433855157,9.63112814215364,186.443061300202,857.301909810943,5.80831560918402e-06,487.96899050661,6.32657748267324e-10
GIMAP1,425.923723590532,3.33291781293319,6.35257382141645,0.129438678738261,672.923929734203,142.820742827065,24.0854309983651,403.473795165174,722.105939311521,3179.1352408693
SYT17,279.448517800382,1108.72393322725,2506.63167583367,144.42591183196,465.776533933001,2.6397212443406e-12,0.851446748921045,167.557171690597,99.9356408828233,1.5540295732187e-09
CD96,65.2108500220393,1.51509896315878e-05,143.961409508403,267.144732078652,520.826085859479,232.486428932097,0.191476977263495,811.347059287832,15.7594877922136,1555.6961694416
CTSW,528.249790936372,60.8705479245596,0.159668332161271,216.019183696564,364.588309810118,260.666002498379,0.015449760694795,406.073654226353,1453.22411327873,1722.40810177431
CA12,1.63772124067951e-12,112.960727046039,0.143215330126455,1.90404170711203,1.19264094647121e-12,208.593506290371,1842.15925429702,2.82135437395498,572.648694046842,710.130092534882
SIRPG,412.209963335341,0.000283581525127834,5.35989598711426e-11,7.85160853031597e-09,463.524865014996,170.649057640626,5.88841093575615e-07,617.119392761601,26.9095655332874,2405.42337027214
PIGX,191.5174638548,724.173584976176,793.195011649997,1178.70839435858,316.688920592517,234.500580186761,299.37922063638,523.824545341928,75.3068435008192,662.645122843668
ADM,0.0393488819575457,448.750802582555,155.446618523135,198.707029356014,989.525172208274,385.303729446819,438.315131517901,3.13398408377982,1061.3824265308,2459.20231410786
PLCD1,0.138888177560192,357.90701657766,1780.19135602478,525.922784524415,293.313248637009,637.147713498075,4.11773638005599e-06,4.96789648597122,327.48251720134,705.408655333932
GADD45G,1527.69433582907,41.8788455812153,411.874047053002,0.0278716350275472,0.000336632835264641,0.0218707413003624,149.678117413185,0.0335209535893347,1987.54084536919,1591.24499924986
IL28RA,0.0404441322317516,783.795996112862,1780.78149100618,3.10063311991373e-06,459.603309159615,782.026869910136,426.806628111685,1058.21795813908,3.37671051483086e-08,2.44559344327435e-10
SLFN5,8.00097378072593,2.38648980530242e-12,5.7181726998935e-08,5.71768016707446e-10,0.00135972507647564,174.633484007704,236.81720686569,1019.99788343756,0.000328941704652758,427.953087163986
NFATC4,68.1679511000659,459.533891400659,873.332393165262,902.795187521743,1285.78558219132,333.07044738042,281.439445349775,208.538947787092,751.494190924838,745.716577889927
SNTB1,0.103243334673505,252.788688508847,274.901727488973,342.150448646331,9.86855481087866e-06,131.261779875822,212.533749320611,457.406215270222,256.6341911938,599.753209463262
CPEB4,238.972613041243,245.729849143527,0.000634413178553608,0.730155292026732,34.7174496910287,557.347878810077,588.922272520155,1112.86369541992,0.14016384544142,37.2065274850177
EMP1,3.92399485927001e-05,61.6137503422196,206.143226851258,166.59895231012,0.249200857300694,459.394908957867,2650.2604229581,269.014459258037,518.839445722352,224.41992116088
SYNGR3,282.810100228591,3.78528575589869e-08,2238.53043226643,1125.86810047219,0.0607584384175863,4.05501650923485e-06,436.670218054654,5.8950691088336e-11,791.195830888595,124.64008095719
GNA15,159.736259332621,461.578489334948,50.2870569041342,285.919122570759,4.63983248670219e-05,145.742062308881,593.736070696845,0.40870426750126,1245.57116153734,2290.67657229013
NID1,52.6997688459401,0.230977822837243,125.486687356939,4.54713662112052,0.185654568793178,655.262471644386,2276.7669395118,694.498899620099,0.0331065211065623,241.01407249729
DNMBP,0.616427413075334,495.245674805598,290.246481742504,313.45763680254,1772.16811432229,1015.82028144434,17.0777766438108,834.997536942892,0.000168066975519734,0.000419805865650215
DDX60,73.461004363124,0.124424605750403,2.93496438259122,0.0211327503090858,7.84713703900485,329.257709397217,851.969390354123,272.383595216801,0.068937453756845,747.12475902592
FSTL3,655.346842846851,612.090257960058,2048.96721644117,586.128707154097,1.56588753398448e-06,0.00800621897995929,377.034701930257,3.59608608978166e-11,377.304494183523,1100.72355121573
GPR18,2339.88293102981,360.649799742547,6.76781851382144,120.948280308221,480.580513200963,172.116071440113,0.877242127074676,1031.08043957245,4.86268817483888e-11,214.190816254233
PHLDA1,109.215836322981,3.12866409978329,37.6120735137386,446.518900561155,0.314353180970941,1283.28521524895,986.282925976945,233.86653568285,533.802625470814,468.458171147192
F13A1,0.231807533537407,412.034121349362,197.914378841363,10.5994213561669,920.854396577715,793.722470764131,294.415026465302,177.889349839748,1.75676125581083e-08,230.014251758662
CD28,97.5379221399209,6.15597680135142e-09,2.83695005108131e-12,1.00749795765513e-11,35.7586964109668,98.6166469430919,6.0211469579678e-09,1039.06866783271,0.000181363152759341,1439.90517235891
PDPR,8.78738253159441,0.247028087452089,177.009110702613,0.00303935007418571,0.362582460841034,1044.90808372245,618.693157437912,1330.34340774258,1.80082951648645e-05,156.085934844429
RASA4P,1665.71672312468,804.985397797494,979.354669960438,209.559536615024,1216.36355630297,251.033270013422,1.52745531234057,55.4505593402772,838.824151364659,527.883955593608
EIF2AK2,0.32662141940959,483.95051436196,29.3498168856571,383.950538107986,1.33447774289011e-11,241.060995316315,733.383282921727,114.610258948425,5.99332729933578e-10,211.791270032304
GCAT,728.867942788618,623.815404339967,0.862674120522545,2267.70429133081,193.808461181764,317.457171207247,0.0104739015170708,2.62048834646751,729.221357272104,472.824023255207
ACE,4.42495861427801e-06,150.217796314133,2.40911752269936e-05,18.3321050882726,227.728425500311,508.577600198306,196.649090131649,521.202472149728,993.233275018668,586.702242787532
