S6,S5,S4,S2,S7
RAB31,641.990235420577,0.0357278356650632,251.871950028053,10.2303493741454,249.323107411764
TYMP,581.5979525334,1292.44883040348,2.94200305648783e-06,0.0113472467708432,0.0387147896541043
NSUN5P2,981.358053168687,2394.93833902756,0.0151361960447676,475.506756704182,481.689151389514
EDNRA,61.1387854810414,0.022950558213793,527.452557137211,223.738294235581,65.8160638491066
MGMT,323.956048972376,3652.48583466898,218.73372309661,218.028595446886,483.215770581874
LOC100288778,496.760083948779,2986.75606486537,0.91902955212539,339.925543349561,1585.95123663564
C20orf54,203.063723519234,469.732997592366,736.250519327344,634.631647584293,302.23981535943
TTTY15,935.313260426607,6.91116190392017,787.621061651698,617.679935478658,1.36425944267395
TUBA4A,0.000762761773262867,1575.87621922567,554.169181392375,160.58234485147,3118.78964045586
PDE8B,286.639950745144,1.77862333902658e-11,1668.94026357957,0.00268820487551471,0.000130588285176728
SULF2,528.064569811474,14.6606263033733,342.012576040875,56.3049313248268,932.700083110298
ATHL1,643.137556193735,1770.77848597999,0.000253521814140976,0.801718952344637,2.04301551550705
NUDT14,464.379950885745,3438.9350833017,216.277425121223,385.204833926315,688.749123904431
ANO1,289.598492279854,1.77750243579605e-05,522.424097577529,58.7791546622298,0.27982662510143
PMP22,424.379994700446,342.961586055076,23.0538737897927,36.1914449974079,2210.56079015425
GGT5,634.679010150361,1097.1975321512,11.3661389802615,12.8086272671264,658.081044621257
S1PR3,686.837644616901,7.09397500367679e-07,32.6551569570354,375.718375056469,750.306669824775
USP43,730.083294589955,334.222946269664,721.613904301881,752.627597810237,0.162371043553173
TESC,316.128043338261,1879.24378133463,894.556494974527,4.487407410875,71.4702090982837
SDK2,505.944570456406,0.89819725408799,869.554316277957,1383.46471712104,149.108944675182
MAPK10,727.838703286895,443.759998668888,239.853091908645,1242.27360384792,1798.68202481044
SYBU,1057.61360543198,290.183203490524,349.386925264223,969.217416093388,194.011020132838
ADRB1,727.056872091529,943.088614771973,668.070034036742,1007.44881295239,1329.33035986838
C5orf30,1397.61527287675,26.5707681272633,695.528486885873,481.990140758256,0.0161533583399943
ISYNA1,669.615688263615,1671.56288540583,3.26158250639362,9.4717039830905,77.1183017532921
SPATA13,363.076759798111,1.96227052401013e-12,876.092447773774,1211.46818790063,6.15906226094951
ARID5A,216.440242334597,969.846060899729,0.128974060174225,0.00844576051201051,1341.21653814719
WEE1,1084.39177915126,0.00347990355779917,571.925692688359,37.4784124946685,136.805671969091
IMPA1,1495.68590633102,6.41996964784838,61.8766593842793,947.667907420506,517.866271312213
IRF7,834.219386153953,2430.22324952918,156.338918551315,486.302414438988,1132.71885914773
DOCK8,546.706320008266,6.47587833365925e-11,265.037329114539,968.39108109745,48.8433761440558
CAMK2B,511.886980188036,1733.30011761699,305.503199576844,587.438154798944,2530.17193302366
ANG,1.98966029209884e-05,1780.27714105015,157.102206294622,1097.95998347743,500.012473981714
EFS,1.11192458602145e-05,444.387592297308,107.446061926513,956.453836949456,78.0505231851025
HIP1,828.529493232952,1.91583196909553e-11,1304.95163713091,58.8556749607202,86.2074212293327
STBD1,797.586346482696,156.266756571915,420.848709395717,513.005813453453,3155.56036170859
PLOD2,641.037122110357,1.63122472194106,580.421428835073,492.189426667197,1198.88383838085
SDF2L1,66.0128746334493,3304.29225291406,409.747298812676,687.191508791037,521.563089597506
BTN3A2,630.384433013238,414.452078410024,355.835175797873,372.165360406513,580.854369576136
FRMD6,0.172925055521353,0.0030527855111351,800.405668929626,260.003643905336,172.095651114446
TRAPPC2L,120.545141352865,3307.56233303344,171.712346203323,633.122353781265,1513.43969606418
RANGRF,374.08581410037,3086.65268614926,260.166769837145,541.382765787615,1332.85149676066
IFI16,706.574762928872,0.00344831254461264,177.645962108009,94.1321144767099,131.533214511927
GBAP1,76.3855039714514,2389.99747796286,41.2189632006375,459.621657373669,632.900289450787
GABBR1,780.621787108055,956.284040165935,201.58166555085,450.57340797539,87.6362975455742
CFH,379.429854348874,0.0206321114838977,112.440599283471,100.680116499897,1107.31516172554
ING1,407.022940754547,656.607746103463,1092.35938841005,238.221987881099,111.62543423933
TMEM56,603.101379336028,0.673526649916311,1372.6639433878,253.069144951142,481.390465329534
C9orf142,459.06096238419,3359.11332447073,2.52227586162534,280.047907575196,783.223437051614
KDR,260.415006103427,1.53191715670371e-10,504.722449072484,640.896614618022,210.977898330669
MEIS2,2.94816332859422e-05,0.619249751282198,430.677766260341,269.590966148373,3.86309639574222
C14orf156,635.244653199927,3331.49566688794,105.054991601009,639.097374752429,1559.71292728041
MAP1LC3A,286.646695623436,2390.73106839771,305.532593773294,160.006915316277,1392.8083548892
ACE,76.0158873647861,262.840020466732,1086.42649712006,857.308108313053,13.1151324006366
ARRDC2,625.64248481598,1004.23175971058,240.451962050787,59.4227430076503,2050.18868403007
MSRB2,438.177484833255,3209.25486718025,34.0919916839159,402.643306389363,1586.92794426339
AMPD3,425.15701040018,237.66943768366,1661.85213205842,0.00174335690410946,801.576747660013
APOL3,695.572152613991,851.450827287899,696.167271672733,48.4920317039725,226.881204104571
KDELR3,373.454338392967,427.91824357511,1132.0502426681,719.13011540074,9.09391613469747
ZNF655,56.4189735145575,2.95395619223418,633.330831544879,596.130123682956,79.9985931944405
LUC7L,1001.79281249132,2460.62893959423,263.925330592752,188.06262100476,239.69914308743
H2AFX,1315.61689918998,2069.63484379645,26.0804906838494,465.190915732377,840.154022582793
KBTBD11,423.822084637374,310.449429098643,840.174727826904,1382.75956085494,313.852015426089
CCDC69,0.0159329824799107,524.712187292576,339.781667924651,224.729243111018,2032.09998849966
FSTL3,399.293998282084,1376.8629359158,0.0646393783199868,8.81958898584743,1401.04833079893
FZD7,153.527747871932,3.61924201208925,428.920646528768,284.065937317767,836.836192988356
ZNF697,788.86600768842,179.16679524379,1000.95649886649,1093.17118378902,447.372011295333
PREX1,1038.56748138743,0.00188758655289005,547.400064706412,243.020466729545,25.4271708680791
GEFT,65.9688245124681,825.060335856877,89.4299073291999,136.802660037057,714.195997195681
SLC9A2,597.800675410623,0.0214037905611023,828.060633853109,1799.49596087407,275.888983574796
TFRC,1009.46635172352,0.00213901152084212,357.705937222508,580.478532954441,218.735321314671
TGFBR3,41.0705734283668,0.00420843419496201,632.474662035238,406.427826350446,838.223817147626
LPHN1,491.267405228837,1178.34868239488,589.406455948691,455.475138131196,502.591051830491
HEYL,698.702000030818,67.2360381700121,189.004216033954,123.087250172269,1551.03691109476
KIAA0040,768.061183740017,110.37360214739,474.28259447448,486.937864865498,1524.23583799611
CYP39A1,283.430972794734,300.69568029761,1605.63317771284,977.099314476728,17.2130211812011
TGFB2,583.909370793096,0.491072385637722,297.49339074252,341.37556505849,506.724380657218
AXL,515.642307310672,14.3032874874694,347.162136563487,119.602432411438,537.736307141141
ZNRF3,349.767065722865,35.8580941007562,860.064756642815,1105.80281972123,309.759102276809
FAM21A,395.488273883567,4.26424695642195e-10,1382.4183552566,453.25539968418,58.7569987589729
ZNF524,360.82999428298,3291.52286357551,155.827423740854,303.938097928545,737.058053740785
AUTS2,1099.85995134963,0.00184653065489154,67.603981082796,809.737951680948,53.4829582282678
FGFR3,624.143835168685,937.888887456822,411.316668713534,857.044998044072,752.967485793184
MMP15,565.919314315584,1918.33085291047,1073.50023585654,156.610407022776,343.690522533825
DPYSL2,531.704168777035,54.9325626056942,258.106605544751,315.128023876587,1133.62753209917
PCTP,542.750429420137,717.007854059463,888.305968872759,1266.19288543254,1260.56771852979
