S5,S6,S1,S2,ITTH
TCGA.HB.A5W3.01,0.690610531402486,0.267464543750472,0.0290094822640969,0.0129154425829447,0.553449839774127
TCGA.DX.AB2W.01,9.88624524342372e-07,0.132725766550311,0.580484256872303,0.286788987952862,0.679489449011818
TCGA.QQ.A8VF.01,0.110086019696813,0.788925140461717,0.0361267953572374,0.0648620444842319,0.524666415543542
TCGA.MB.A8JL.01,0.0272743938622619,0.651379339765754,0.0379058362159219,0.283440430156062,0.619536813527534
TCGA.FX.A2QS.01,6.88888863121344e-07,0.900067975766088,3.50596907630518e-07,0.0999309847481413,0.234399871556759
TCGA.X6.A7WD.01,0.539438202987639,0.389836976835718,0.0129381360317632,0.0577866841448807,0.664499458427672
TCGA.IE.A4EH.01,0.494657501655533,0.433787378043111,0.0525304466652596,0.0190246736360966,0.678523787905975
TCGA.DX.AB30.01,0.000392028848071063,0.804284902656366,0.0790718784722211,0.116251190023342,0.45377043356189
TCGA.DX.A1KX.01,0.0529499448978466,0.862655760991612,0.0307205287891845,0.0536737653213567,0.394589949041647
TCGA.JV.A5VE.01,0.293865964749766,0.625544749555609,0.036888900177017,0.0437003855176082,0.657773785984655
TCGA.DX.AB3C.01,1.7009491419085e-07,0.74118188288544,0.251290726535043,0.00752722048460227,0.43703895364553
TCGA.N1.A6IA.01,0.0997349556506343,0.519241202478188,0.0645529256662578,0.31647091620492,0.801573283101292
TCGA.QC.A6FX.01,6.57848947001209e-10,0.821949894133579,0.0683935561154042,0.109656549093168,0.423440886980061
TCGA.DX.A1L4.01,0.0107355454693906,0,0.0355318790178979,0.953732575512712,0.153242109100767
TCGA.DX.A8BK.01,0.0162934697099327,7.94724672962773e-06,0.795823958567712,0.187874624475626,0.406150530932807
TCGA.DX.A6YR.01,0.0582341323915193,0.83705662193425,0.0414868545987489,0.063222391075482,0.447991468811964
TCGA.DX.A7ET.01,1.46823150505286e-10,3.46916151919208e-06,0.999996530637489,5.41688568170221e-11,3.39659926346116e-05
TCGA.X6.A7WA.01,0.815660674407058,0.13953966222913,0.00662370263251641,0.0381759607312955,0.432017928447082
TCGA.DX.AB2T.01,0.0596004699433001,0.840492643614918,0.0455099263228589,0.054396960118923,0.442272819269855
TCGA.FX.A3TO.01,0.0831395317118123,0.779658712295459,0.0725009246874983,0.0647008313052302,0.554173229559918
TCGA.DX.A1L0.01,0.000408685222370226,0.891969998322015,0.00184570640972453,0.105775610045891,0.255644028120897
TCGA.DX.AB32.01,0.055211284797394,0.813506656226199,0.131281589572297,4.69404110372945e-07,0.428765686407087
TCGA.DX.A7EF.01,0.0686088486569506,0.708013372679821,0.0407437598244259,0.182634018838803,0.627012123194869
TCGA.DX.A48O.01,0.76763326066942,0.181018558668457,0.0513264865744052,2.16940877178967e-05,0.479720435145971
TCGA.DX.A23T.01,0.10374232542545,0.567433344448861,0.222606903833135,0.106217426292554,0.814538956904496
TCGA.IE.A4EI.01,0.712203465670669,0.273816507114764,2.32209756151654e-05,0.0139568062389518,0.473390024155533
TCGA.KF.A41W.01,0.176869950233562,0.629881280129061,0.0891494437871951,0.104099325850182,0.75638629320107
TCGA.DX.A3UE.01,0.615029719791446,0.283731485891202,0.0789806198734204,0.0222581744439318,0.679199602899129
TCGA.FX.A76Y.01,0.702002705508937,0.256725034811575,0.0402975462515701,0.000974713427917936,0.529205919894798
TCGA.QQ.A5V9.01,0.0515585925759874,0.600802575165821,0.205059845363352,0.142578986894839,0.765787502694129
TCGA.DX.A8BT.01,0.0895553694691441,0.857701266260982,0.0293630805006155,0.0233802837692589,0.388915386247713
TCGA.DX.A7ES.01,0.295172338104636,0.532697574177907,0.0636047726268754,0.108525315090582,0.802071444042651
TCGA.DX.A3M2.01,0.000333193340597754,0.000346142051587216,0.999064831534969,0.000255833072845601,0.00611473291507383
TCGA.DX.A8BV.01,0.0946603944616076,0.799749694902055,0.0303184321225938,0.075271478513744,0.506791211632841
TCGA.DX.A6Z2.01,0.707976060079375,0.222269832483722,0.0210384567735533,0.0487156506633494,0.5822746979956
TCGA.QC.AA9N.01,0.0833313272649922,0.8009147898736,0.071460647818168,0.0442932350432395,0.513232638873944
TCGA.DX.A6BG.01,0.0643642749980672,0.535123196248908,0.020533403070792,0.379979125682233,0.69150058803573
TCGA.PC.A5DL.01,0.96846485865949,1.43963403492619e-06,0.000874162538839158,0.0306595391676362,0.103910645199301
TCGA.X6.A8C3.01,0.0827639948831557,0.850139165224753,0.0349103211190206,0.0321865187730709,0.412593077777565
TCGA.HB.A2OT.01,0.0662333245845138,0.47934283480043,0.165521026361119,0.288902814253937,0.857473538765105
TCGA.DX.A1L3.01,9.59499564439367e-07,0.817502263511241,2.17108828717924e-07,0.182496559880366,0.342766789257144
TCGA.DX.A3UC.01,0.804872386052623,0.162823351800301,0.0321874593372997,0.000116802809776529,0.41976173912646
TCGA.Z4.A8JB.01,0.0377710002072992,0.203440698531879,0.048836313292602,0.70995198796822,0.604742529408648
TCGA.HS.A5N7.01,0.680668800444274,0.256366376248162,0.0219456692689681,0.0410191540385957,0.595551660068965
TCGA.IE.A3OV.01,0.72755849436751,0.252093497627339,0.0199673321294314,0.000380675875719862,0.476034561604644
TCGA.DX.AB2E.01,0.0118477840108664,0.684755378964622,0.104763297749118,0.198633539275394,0.627043052020841
TCGA.MJ.A68J.01,0.0652485014993961,0.561158904883657,0.0674459255636347,0.306146668053312,0.754930292070907
TCGA.DX.A8BL.01,0.110227617401008,0.697142986268068,0.175228168559696,0.0174012277712281,0.627763154561426
TCGA.DX.A8BH.01,0.0529485959365664,0.733841154171176,0.213210249892258,0,0.513739251239024
TCGA.K1.A3PN.02,0.904169861532239,5.86013949744892e-06,0.0958242662716863,1.20565773255034e-08,0.227863548781088
TCGA.DX.AB2X.01,0.0256010265643215,0.737398947411207,0.184394967580783,0.0526050584436887,0.566353648488079
TCGA.HB.A3L4.01,0.310069065999409,0.603807684673051,0.0861228411670403,4.08160498926628e-07,0.633975584052384
TCGA.DX.A3U6.01,0.103997922279494,0.53577039384968,0.118766076682347,0.241465607188479,0.841024082310205
TCGA.QQ.A5VD.01,0.563177049761212,0.160171447819832,0.135914058408734,0.140737444010223,0.839594075338378
TCGA.QC.A7B5.01,0.153174833255248,0.263404840891494,0.33165329024641,0.251767035606848,0.97530921137574
TCGA.3B.A9HJ.01,0.0946957243497766,0.779167777811905,0.126134133272578,2.36456574065942e-06,0.489658484916153
TCGA.3B.A9HI.01,0.0561887130188622,0.756506214515655,0.0896957553694244,0.0976093170960586,0.588814559314927
TCGA.DX.AB3A.01,0.000468288567311139,0.753435437019913,0.216525829312588,0.0295704451001876,0.470540739338745
TCGA.X9.A971.01,0.456726754680271,0.513028833624547,0.027103482314247,0.00314092938093446,0.588781311558149
TCGA.RN.A68Q.01,0.284579996735825,0.667165933071374,0.0482472930820322,6.77711076868816e-06,0.558319103868722
TCGA.MJ.A850.01,1.31239192299121e-07,0.65598363043459,0.325218790019501,0.0187974483067166,0.516905772069384
TCGA.K1.A42W.01,0.551125748610525,0.372996657440028,0.0699877307301148,0.00588986321933316,0.658280076603334
TCGA.DX.AB2Z.01,0.115557011561805,0.779098250543013,0.0257648904043944,0.0795798474907876,0.533459075504547
TCGA.DX.A3U5.01,0.0290446372374575,0.970943333309065,1.16715763990116e-05,3.57877078377422e-07,0.0948968321196179
TCGA.K1.A42X.02,0.59025269675351,0.35807918759966,0.0516565971718195,1.15184750107671e-05,0.60025361509493
TCGA.DX.A6YZ.01,0.118622248906126,0.819114406131297,0.062253435687106,9.90927547095815e-06,0.425077690094417
TCGA.DX.A7EN.01,0.526050439180563,0.421730631798378,0.0481644698349726,0.00405445918608634,0.627897783750849
TCGA.DX.A48L.01,0.58076776902201,0.355553940467123,0.0549102219618731,0.00876806854899379,0.637776543615036
TCGA.VT.A80G.01,0.0478607013021827,0.528983650198056,0.0563041051800423,0.366851543319719,0.730141138449058
